label|rel_type|source|source_id|source_type|source_url|target_id|target_type
subclass_of|subclass|BRENDA Tissue Ontology|bto_0000001|bto|http://purl.obolibrary.org/obo/bto.owl|bto_0000216|bto
subclass_of|subclass|BRENDA Tissue Ontology|bto_0000002|bto|http://purl.obolibrary.org/obo/bto.owl|bto_0001479|bto
subclass_of|subclass|BRENDA Tissue Ontology|bto_0001479|bto|http://purl.obolibrary.org/obo/bto.owl|bto_0000216|bto
subclass_of|subclass|BRENDA Tissue Ontology|bto_0000004|bto|http://purl.obolibrary.org/obo/bto.owl|bto_0001479|bto
subclass_of|subclass|BRENDA Tissue Ontology|bto_0000005|bto|http://purl.obolibrary.org/obo/bto.owl|bto_0001479|bto
subclass_of|subclass|BRENDA Tissue Ontology|bto_0000006|bto|http://purl.obolibrary.org/obo/bto.owl|bto_0000372|bto
subclass_of|subclass|BRENDA Tissue Ontology|bto_0001593|bto|http://purl.obolibrary.org/obo/bto.owl|bto_0002050|bto
subclass_of|subclass|BRENDA Tissue Ontology|bto_0000007|bto|http://purl.obolibrary.org/obo/bto.owl|bto_0000067|bto
subclass_of|subclass|BRENDA Tissue Ontology|bto_0000007|bto|http://purl.obolibrary.org/obo/bto.owl|bto_0002733|bto
subclass_of|subclass|BRENDA Tissue Ontology|bto_0002733|bto|http://purl.obolibrary.org/obo/bto.owl|bto_0000669|bto
subclass_of|subclass|BRENDA Tissue Ontology|bto_0000008|bto|http://purl.obolibrary.org/obo/bto.owl|bto_0001479|bto
subclass_of|subclass|BRENDA Tissue Ontology|bto_0000009|bto|http://purl.obolibrary.org/obo/bto.owl|bto_0001479|bto
subclass_of|subclass|BRENDA Tissue Ontology|bto_0000010|bto|http://purl.obolibrary.org/obo/bto.owl|bto_0001479|bto
subclass_of|subclass|BRENDA Tissue Ontology|bto_0000944|bto|http://purl.obolibrary.org/obo/bto.owl|bto_0001958|bto
subclass_of|subclass|BRENDA Tissue Ontology|bto_0000012|bto|http://purl.obolibrary.org/obo/bto.owl|bto_0001479|bto
subclass_of|subclass|BRENDA Tissue Ontology|bto_0000013|bto|http://purl.obolibrary.org/obo/bto.owl|bto_0001479|bto
subclass_of|subclass|BRENDA Tissue Ontology|bto_0000014|bto|http://purl.obolibrary.org/obo/bto.owl|bto_0001479|bto
subclass_of|subclass|BRENDA Tissue Ontology|bto_0000015|bto|http://purl.obolibrary.org/obo/bto.owl|bto_0001479|bto
subclass_of|subclass|BRENDA Tissue Ontology|bto_0000016|bto|http://purl.obolibrary.org/obo/bto.owl|bto_0001530|bto
subclass_of|subclass|BRENDA Tissue Ontology|bto_0001530|bto|http://purl.obolibrary.org/obo/bto.owl|bto_0000101|bto
subclass_of|subclass|BRENDA Tissue Ontology|bto_0000017|bto|http://purl.obolibrary.org/obo/bto.owl|bto_0000297|bto
subclass_of|subclass|BRENDA Tissue Ontology|bto_0000297|bto|http://purl.obolibrary.org/obo/bto.owl|bto_0001120|bto
subclass_of|subclass|BRENDA Tissue Ontology|bto_0000018|bto|http://purl.obolibrary.org/obo/bto.owl|bto_0004078|bto
subclass_of|subclass|BRENDA Tissue Ontology|bto_0004078|bto|http://purl.obolibrary.org/obo/bto.owl|bto_0002553|bto
subclass_of|subclass|BRENDA Tissue Ontology|bto_0000019|bto|http://purl.obolibrary.org/obo/bto.owl|bto_0000669|bto
subclass_of|subclass|BRENDA Tissue Ontology|bto_0000019|bto|http://purl.obolibrary.org/obo/bto.owl|bto_0001200|bto
subclass_of|subclass|BRENDA Tissue Ontology|bto_0001200|bto|http://purl.obolibrary.org/obo/bto.owl|bto_0001964|bto
subclass_of|subclass|BRENDA Tissue Ontology|bto_0001200|bto|http://purl.obolibrary.org/obo/bto.owl|bto_0002195|bto
subclass_of|subclass|BRENDA Tissue Ontology|bto_0000021|bto|http://purl.obolibrary.org/obo/bto.owl|bto_0001103|bto
subclass_of|subclass|BRENDA Tissue Ontology|bto_0001103|bto|http://purl.obolibrary.org/obo/bto.owl|bto_0000887|bto
subclass_of|subclass|BRENDA Tissue Ontology|bto_0000022|bto|http://purl.obolibrary.org/obo/bto.owl|bto_0000497|bto
subclass_of|subclass|BRENDA Tissue Ontology|bto_0000023|bto|http://purl.obolibrary.org/obo/bto.owl|bto_0000508|bto
subclass_of|subclass|BRENDA Tissue Ontology|bto_0000508|bto|http://purl.obolibrary.org/obo/bto.owl|bto_0001103|bto
subclass_of|subclass|BRENDA Tissue Ontology|bto_0000024|bto|http://purl.obolibrary.org/obo/bto.owl|bto_0001307|bto
subclass_of|subclass|BRENDA Tissue Ontology|bto_0000065|bto|http://purl.obolibrary.org/obo/bto.owl|bto_0000473|bto
subclass_of|subclass|BRENDA Tissue Ontology|bto_0000026|bto|http://purl.obolibrary.org/obo/bto.owl|bto_0001479|bto
subclass_of|subclass|BRENDA Tissue Ontology|bto_0000027|bto|http://purl.obolibrary.org/obo/bto.owl|bto_0000486|bto
subclass_of|subclass|BRENDA Tissue Ontology|bto_0000028|bto|http://purl.obolibrary.org/obo/bto.owl|bto_0000433|bto
subclass_of|subclass|BRENDA Tissue Ontology|bto_0000029|bto|http://purl.obolibrary.org/obo/bto.owl|bto_0000030|bto
subclass_of|subclass|BRENDA Tissue Ontology|bto_0000030|bto|http://purl.obolibrary.org/obo/bto.owl|bto_0001367|bto
subclass_of|subclass|BRENDA Tissue Ontology|bto_0001367|bto|http://purl.obolibrary.org/obo/bto.owl|bto_0000722|bto
subclass_of|subclass|BRENDA Tissue Ontology|bto_0000032|bto|http://purl.obolibrary.org/obo/bto.owl|bto_0000035|bto
subclass_of|subclass|BRENDA Tissue Ontology|bto_0000032|bto|http://purl.obolibrary.org/obo/bto.owl|bto_0000586|bto
subclass_of|subclass|BRENDA Tissue Ontology|bto_0000035|bto|http://purl.obolibrary.org/obo/bto.owl|bto_0000193|bto
subclass_of|subclass|BRENDA Tissue Ontology|bto_0000035|bto|http://purl.obolibrary.org/obo/bto.owl|bto_0000604|bto
subclass_of|subclass|BRENDA Tissue Ontology|bto_0000035|bto|http://purl.obolibrary.org/obo/bto.owl|bto_0001533|bto
subclass_of|subclass|BRENDA Tissue Ontology|bto_0000586|bto|http://purl.obolibrary.org/obo/bto.owl|bto_0001533|bto
subclass_of|subclass|BRENDA Tissue Ontology|bto_0000033|bto|http://purl.obolibrary.org/obo/bto.owl|bto_0001913|bto
subclass_of|subclass|BRENDA Tissue Ontology|bto_0001913|bto|http://purl.obolibrary.org/obo/bto.owl|bto_0000797|bto
subclass_of|subclass|BRENDA Tissue Ontology|bto_0000034|bto|http://purl.obolibrary.org/obo/bto.owl|bto_0000852|bto
subclass_of|subclass|BRENDA Tissue Ontology|bto_0000604|bto|http://purl.obolibrary.org/obo/bto.owl|bto_0000176|bto
subclass_of|subclass|BRENDA Tissue Ontology|bto_0000036|bto|http://purl.obolibrary.org/obo/bto.owl|bto_0000498|bto
subclass_of|subclass|BRENDA Tissue Ontology|bto_0000036|bto|http://purl.obolibrary.org/obo/bto.owl|bto_0000604|bto
subclass_of|subclass|BRENDA Tissue Ontology|bto_0000037|bto|http://purl.obolibrary.org/obo/bto.owl|bto_0000604|bto
subclass_of|subclass|BRENDA Tissue Ontology|bto_0000037|bto|http://purl.obolibrary.org/obo/bto.owl|bto_0000680|bto
subclass_of|subclass|BRENDA Tissue Ontology|bto_0000038|bto|http://purl.obolibrary.org/obo/bto.owl|bto_0001913|bto
subclass_of|subclass|BRENDA Tissue Ontology|bto_0000042|bto|http://purl.obolibrary.org/obo/bto.owl|bto_0000000|bto
subclass_of|subclass|BRENDA Tissue Ontology|bto_0000044|bto|http://purl.obolibrary.org/obo/bto.owl|bto_0000431|bto
subclass_of|subclass|BRENDA Tissue Ontology|bto_0000431|bto|http://purl.obolibrary.org/obo/bto.owl|bto_0000522|bto
subclass_of|subclass|BRENDA Tissue Ontology|bto_0000439|bto|http://purl.obolibrary.org/obo/bto.owl|bto_0000202|bto
subclass_of|subclass|BRENDA Tissue Ontology|bto_0000047|bto|http://purl.obolibrary.org/obo/bto.owl|bto_0001488|bto
subclass_of|subclass|BRENDA Tissue Ontology|bto_0000047|bto|http://purl.obolibrary.org/obo/bto.owl|bto_0001491|bto
subclass_of|subclass|BRENDA Tissue Ontology|bto_0000046|bto|http://purl.obolibrary.org/obo/bto.owl|bto_0000851|bto
subclass_of|subclass|BRENDA Tissue Ontology|bto_0001488|bto|http://purl.obolibrary.org/obo/bto.owl|bto_0000522|bto
subclass_of|subclass|BRENDA Tissue Ontology|bto_0001356|bto|http://purl.obolibrary.org/obo/bto.owl|bto_0000421|bto
subclass_of|subclass|BRENDA Tissue Ontology|bto_0000054|bto|http://purl.obolibrary.org/obo/bto.owl|bto_0000254|bto
subclass_of|subclass|BRENDA Tissue Ontology|bto_0000254|bto|http://purl.obolibrary.org/obo/bto.owl|bto_0001488|bto
subclass_of|subclass|BRENDA Tissue Ontology|bto_0000057|bto|http://purl.obolibrary.org/obo/bto.owl|bto_0000390|bto
subclass_of|subclass|BRENDA Tissue Ontology|bto_0000058|bto|http://purl.obolibrary.org/obo/bto.owl|bto_0001491|bto
subclass_of|subclass|BRENDA Tissue Ontology|bto_0000059|bto|http://purl.obolibrary.org/obo/bto.owl|bto_0000416|bto
