id|label|source|source_url|synonyms|term_name
bto_0001618|bto|BRENDA Tissue Ontology|http://purl.obolibrary.org/obo/bto.owl||F28-7 cell
bto_0006058|bto|BRENDA Tissue Ontology|http://purl.obolibrary.org/obo/bto.owl|"[""TCA8113 cell"", ""Tca8113 cell""]"|Tca-8113 cell
bto_0001238|bto|BRENDA Tissue Ontology|http://purl.obolibrary.org/obo/bto.owl||Sertoli cell
bto_0006481|bto|BRENDA Tissue Ontology|http://purl.obolibrary.org/obo/bto.owl|"[""LH"", ""LHA"", ""area hypothalamica lateralis"", ""lateral hypothalamic area"", ""lateral hypothalamic region""]"|lateral hypothalamus
bto_0003479|bto|BRENDA Tissue Ontology|http://purl.obolibrary.org/obo/bto.owl|"[""SNU484 cell""]"|SNU-484 cell
bto.sci|bto|BRENDA Tissue Ontology|http://purl.obolibrary.org/obo/bto.owl||SCIENTIFIC NAME
bto_0002666|bto|BRENDA Tissue Ontology|http://purl.obolibrary.org/obo/bto.owl|"[""adulte Stammzelle"", ""multipotent adult progenitor cell"", ""somatic stem cell""]"|adult stem cell
bto_0001542|bto|BRENDA Tissue Ontology|http://purl.obolibrary.org/obo/bto.owl|"[""corpus Wolffi"", ""mesonephric kidney"", ""mesonephros"", ""mid-kidney"", ""middle kidney"", ""wolffian body""]"|mesonephron
bto_0002372|bto|BRENDA Tissue Ontology|http://purl.obolibrary.org/obo/bto.owl|"[""neurocytoma cell"", ""neuroepithelial tumor cell""]"|neuroepithelioma cell
bto_0000328|bto|BRENDA Tissue Ontology|http://purl.obolibrary.org/obo/bto.owl||culture condition:D-phenylglycine-grown cell
bto_0004385|bto|BRENDA Tissue Ontology|http://purl.obolibrary.org/obo/bto.owl|"[""Cuvierian vein"", ""cardinal sinus""]"|cardinal vein
bto_0001447|bto|BRENDA Tissue Ontology|http://purl.obolibrary.org/obo/bto.owl||forearm
bto_0001726|bto|BRENDA Tissue Ontology|http://purl.obolibrary.org/obo/bto.owl||inflorescence meristem
bto_0004353|bto|BRENDA Tissue Ontology|http://purl.obolibrary.org/obo/bto.owl|"[""somatic sensory cortex"", ""somatosensory area"", ""somesthetic area""]"|somatosensory cortex
bto_0001660|bto|BRENDA Tissue Ontology|http://purl.obolibrary.org/obo/bto.owl|"[""ASM cell"", ""airway smooth muscle"", ""airway smooth muscle cell""]"|respiratory smooth muscle
bto_0005768|bto|BRENDA Tissue Ontology|http://purl.obolibrary.org/obo/bto.owl||epididymal epithelium
bto_0006380|bto|BRENDA Tissue Ontology|http://purl.obolibrary.org/obo/bto.owl||BEL-7404-CP20 cell
bto_0005571|bto|BRENDA Tissue Ontology|http://purl.obolibrary.org/obo/bto.owl||HAE cell
bto_0005500|bto|BRENDA Tissue Ontology|http://purl.obolibrary.org/obo/bto.owl|"[""QGP1 cell""]"|QGP-1 cell
bto_0000427|bto|BRENDA Tissue Ontology|http://purl.obolibrary.org/obo/bto.owl||pituitary gland cell line
bto_0005689|bto|BRENDA Tissue Ontology|http://purl.obolibrary.org/obo/bto.owl||atrioventricular node
bto_0001497|bto|BRENDA Tissue Ontology|http://purl.obolibrary.org/obo/bto.owl|"[""IEC6 cell""]"|IEC-6 cell
bto_0005138|bto|BRENDA Tissue Ontology|http://purl.obolibrary.org/obo/bto.owl||MTC-1 cell
bto_0003924|bto|BRENDA Tissue Ontology|http://purl.obolibrary.org/obo/bto.owl||KHOS-321H cell
