id|alternative_ids|label|source|source_url|synonyms|term_name
clo_0027071||clo|Cell Line Ontology|http://purl.obolibrary.org/obo/clo.owl||ND00382 cell
clo_0015094||clo|Cell Line Ontology|http://purl.obolibrary.org/obo/clo.owl||GM17135 cell
clo_0035286||clo|Cell Line Ontology|http://purl.obolibrary.org/obo/clo.owl||AG06084 cell
clo_0002970||clo|Cell Line Ontology|http://purl.obolibrary.org/obo/clo.owl||F19 cell
example_of_usage||clo|Cell Line Ontology|http://purl.obolibrary.org/obo/clo.owl||
clo_0034147||clo|Cell Line Ontology|http://purl.obolibrary.org/obo/clo.owl||AG08463 cell
clo_0014940||clo|Cell Line Ontology|http://purl.obolibrary.org/obo/clo.owl||DA03132 cell
clo_0050927||clo|Cell Line Ontology|http://purl.obolibrary.org/obo/clo.owl||RCB1889 cell
clo_0008712||clo|Cell Line Ontology|http://purl.obolibrary.org/obo/clo.owl||R2LBLN cell
clo_0011004||clo|Cell Line Ontology|http://purl.obolibrary.org/obo/clo.owl||AU10152 cell
clo_0016709||clo|Cell Line Ontology|http://purl.obolibrary.org/obo/clo.owl||GM03255 cell
clo_0004337||clo|Cell Line Ontology|http://purl.obolibrary.org/obo/clo.owl||ICR MEF cell
clo_0027511||clo|Cell Line Ontology|http://purl.obolibrary.org/obo/clo.owl||GM15181 cell
clo_0015996||clo|Cell Line Ontology|http://purl.obolibrary.org/obo/clo.owl||GM03910 cell
clo_0019858||clo|Cell Line Ontology|http://purl.obolibrary.org/obo/clo.owl||ND14902 cell
c0460005||clo|Cell Line Ontology|http://purl.obolibrary.org/obo/clo.owl||
clo_0000153||clo|Cell Line Ontology|http://purl.obolibrary.org/obo/clo.owl||immortal pro-B cell line cell
chebi_38101||clo|Cell Line Ontology|http://purl.obolibrary.org/obo/clo.owl|"[""heterocyclic organonitrogen compounds"", ""organonitrogen heterocyclic compounds""]"|organonitrogen heterocyclic compound
clo_0025951||clo|Cell Line Ontology|http://purl.obolibrary.org/obo/clo.owl||GM00489 cell
clo_0000752||clo|Cell Line Ontology|http://purl.obolibrary.org/obo/clo.owl||immortal human pronephros-derived fibroblast cell line cell
clo_0037249||clo|Cell Line Ontology|http://purl.obolibrary.org/obo/clo.owl||BCL-2 1863 cell
clo_0015137||clo|Cell Line Ontology|http://purl.obolibrary.org/obo/clo.owl||ND09235 cell
