label|rel_type|source|source_id|source_type|source_url|target_id|target_type
capable_of|capable_of|Cell Ontology|cl_0000540|cl|http://purl.obolibrary.org/obo/cl.owl|go_0019226|biological_process
capable_of|capable_of|Cell Ontology|cl_0000101|cl|http://purl.obolibrary.org/obo/cl.owl|go_0050906|biological_process
capable_of|capable_of|Cell Ontology|cl_0000219|cl|http://purl.obolibrary.org/obo/cl.owl|go_0048870|biological_process
capable_of|capable_of|Cell Ontology|cl_0000006|cl|http://purl.obolibrary.org/obo/cl.owl|go_0050906|biological_process
capable_of|capable_of|Cell Ontology|cl_0000197|cl|http://purl.obolibrary.org/obo/cl.owl|go_0050906|biological_process
capable_of|capable_of|Cell Ontology|cl_0000014|cl|http://purl.obolibrary.org/obo/cl.owl|go_0017145|biological_process
capable_of|capable_of|Cell Ontology|cl_0000039|cl|http://purl.obolibrary.org/obo/cl.owl|go_0022414|biological_process
capable_of|capable_of|Cell Ontology|cl_0000034|cl|http://purl.obolibrary.org/obo/cl.owl|go_0017145|biological_process
capable_of|capable_of|Cell Ontology|cl_0011115|cl|http://purl.obolibrary.org/obo/cl.owl|go_0030154|biological_process
capable_of|capable_of|Cell Ontology|cl_0000017|cl|http://purl.obolibrary.org/obo/cl.owl|go_0048137|biological_process
capable_of|capable_of|Cell Ontology|cl_0000018|cl|http://purl.obolibrary.org/obo/cl.owl|go_0007288|biological_process
capable_of|capable_of|Cell Ontology|cl_0000018|cl|http://purl.obolibrary.org/obo/cl.owl|go_0001675|biological_process
capable_of|capable_of|Cell Ontology|cl_0000018|cl|http://purl.obolibrary.org/obo/cl.owl|go_0007289|biological_process
capable_of|capable_of|Cell Ontology|cl_0000657|cl|http://purl.obolibrary.org/obo/cl.owl|go_0007142|biological_process
capable_of|capable_of|Cell Ontology|cl_0000656|cl|http://purl.obolibrary.org/obo/cl.owl|go_0007140|biological_process
capable_of|capable_of|Cell Ontology|cl_0000408|cl|http://purl.obolibrary.org/obo/cl.owl|go_0009566|biological_process
capable_of|capable_of|Cell Ontology|cl_0000300|cl|http://purl.obolibrary.org/obo/cl.owl|go_0009566|biological_process
capable_of|capable_of|Cell Ontology|cl_0000021|cl|http://purl.obolibrary.org/obo/cl.owl|go_0048477|biological_process
capable_of|capable_of|Cell Ontology|cl_0000022|cl|http://purl.obolibrary.org/obo/cl.owl|go_0017145|biological_process
capable_of|capable_of|Cell Ontology|cl_0000024|cl|http://purl.obolibrary.org/obo/cl.owl|go_0000278|biological_process
capable_of|capable_of|Cell Ontology|cl_0000670|cl|http://purl.obolibrary.org/obo/cl.owl|go_0048870|biological_process
capable_of|capable_of|Cell Ontology|cl_0000151|cl|http://purl.obolibrary.org/obo/cl.owl|go_0032940|biological_process
capable_of|capable_of|Cell Ontology|cl_0000035|cl|http://purl.obolibrary.org/obo/cl.owl|go_0017145|biological_process
capable_of|capable_of|Cell Ontology|cl_0000723|cl|http://purl.obolibrary.org/obo/cl.owl|go_0048103|biological_process
capable_of|capable_of|Cell Ontology|cl_0000037|cl|http://purl.obolibrary.org/obo/cl.owl|go_0002244|biological_process
capable_of|capable_of|Cell Ontology|cl_0000839|cl|http://purl.obolibrary.org/obo/cl.owl|go_0030099|biological_process
capable_of|capable_of|Cell Ontology|cl_0000050|cl|http://purl.obolibrary.org/obo/cl.owl|go_0030218|biological_process
capable_of|capable_of|Cell Ontology|cl_0000050|cl|http://purl.obolibrary.org/obo/cl.owl|go_0030219|biological_process
capable_of|capable_of|Cell Ontology|cl_0000557|cl|http://purl.obolibrary.org/obo/cl.owl|go_0030225|biological_process
capable_of|capable_of|Cell Ontology|cl_0000557|cl|http://purl.obolibrary.org/obo/cl.owl|go_0030851|biological_process
capable_of|capable_of|Cell Ontology|cl_0002009|cl|http://purl.obolibrary.org/obo/cl.owl|go_0030224|biological_process
capable_of|capable_of|Cell Ontology|cl_0002009|cl|http://purl.obolibrary.org/obo/cl.owl|go_0043011|biological_process
capable_of|capable_of|Cell Ontology|cl_0000040|cl|http://purl.obolibrary.org/obo/cl.owl|go_0030224|biological_process
capable_of|capable_of|Cell Ontology|cl_0002194|cl|http://purl.obolibrary.org/obo/cl.owl|go_0030224|biological_process
capable_of|capable_of|Cell Ontology|cl_0000576|cl|http://purl.obolibrary.org/obo/cl.owl|go_0030225|biological_process
capable_of|capable_of|Cell Ontology|cl_0000576|cl|http://purl.obolibrary.org/obo/cl.owl|go_0043011|biological_process
capable_of|capable_of|Cell Ontology|cl_0000576|cl|http://purl.obolibrary.org/obo/cl.owl|go_0030316|biological_process
capable_of|capable_of|Cell Ontology|cl_0000041|cl|http://purl.obolibrary.org/obo/cl.owl|go_0002540|biological_process
capable_of|capable_of|Cell Ontology|cl_0000041|cl|http://purl.obolibrary.org/obo/cl.owl|go_0045730|biological_process
capable_of|capable_of|Cell Ontology|cl_0000041|cl|http://purl.obolibrary.org/obo/cl.owl|go_0002495|biological_process
capable_of|capable_of|Cell Ontology|cl_0000145|cl|http://purl.obolibrary.org/obo/cl.owl|go_0002504|biological_process
capable_of|capable_of|Cell Ontology|cl_0000094|cl|http://purl.obolibrary.org/obo/cl.owl|go_0008015|biological_process
