label|rel_type|source|source_id|source_type|source_url|target_id|target_type
subclass_of|subclass|Cell Ontology|cl_0000540|cl|http://purl.obolibrary.org/obo/cl.owl|cl_0002319|cl
subclass_of|subclass|Cell Ontology|cl_0000540|cl|http://purl.obolibrary.org/obo/cl.owl|cl_0000404|cl
subclass_of|subclass|Cell Ontology|cl_0000540|cl|http://purl.obolibrary.org/obo/cl.owl|cl_0000393|cl
subclass_of|subclass|Cell Ontology|cl_0000101|cl|http://purl.obolibrary.org/obo/cl.owl|cl_0000526|cl
subclass_of|subclass|Cell Ontology|cl_0000393|cl|http://purl.obolibrary.org/obo/cl.owl|cl_0000211|cl
subclass_of|subclass|Cell Ontology|cl_0000404|cl|http://purl.obolibrary.org/obo/cl.owl|cl_0000211|cl
subclass_of|subclass|Cell Ontology|cl_0002319|cl|http://purl.obolibrary.org/obo/cl.owl|cl_0000255|cl
subclass_of|subclass|Cell Ontology|cl_0000526|cl|http://purl.obolibrary.org/obo/cl.owl|cl_0000540|cl
subclass_of|subclass|Cell Ontology|cl_0000001|cl|http://purl.obolibrary.org/obo/cl.owl|cl_0000010|cl
subclass_of|subclass|Cell Ontology|cl_0000010|cl|http://purl.obolibrary.org/obo/cl.owl|cl_0000578|cl
subclass_of|subclass|Cell Ontology|cl_0000578|cl|http://purl.obolibrary.org/obo/cl.owl|cl_0001034|cl
subclass_of|subclass|Cell Ontology|cl_0000005|cl|http://purl.obolibrary.org/obo/cl.owl|cl_0000057|cl
subclass_of|subclass|Cell Ontology|cl_0000333|cl|http://purl.obolibrary.org/obo/cl.owl|cl_0011026|cl
subclass_of|subclass|Cell Ontology|cl_0000333|cl|http://purl.obolibrary.org/obo/cl.owl|cl_0000219|cl
subclass_of|subclass|Cell Ontology|cl_0000333|cl|http://purl.obolibrary.org/obo/cl.owl|cl_0011012|cl
subclass_of|subclass|Cell Ontology|cl_0000057|cl|http://purl.obolibrary.org/obo/cl.owl|cl_0000499|cl
subclass_of|subclass|Cell Ontology|cl_0000008|cl|http://purl.obolibrary.org/obo/cl.owl|cl_0000333|cl
subclass_of|subclass|Cell Ontology|cl_0000219|cl|http://purl.obolibrary.org/obo/cl.owl|cl_0000000|cl
subclass_of|subclass|Cell Ontology|cl_0011012|cl|http://purl.obolibrary.org/obo/cl.owl|cl_0002321|cl
subclass_of|subclass|Cell Ontology|cl_0011012|cl|http://purl.obolibrary.org/obo/cl.owl|cl_0000048|cl
subclass_of|subclass|Cell Ontology|cl_0011026|cl|http://purl.obolibrary.org/obo/cl.owl|cl_0000255|cl
subclass_of|subclass|Cell Ontology|cl_0011026|cl|http://purl.obolibrary.org/obo/cl.owl|cl_0011115|cl
subclass_of|subclass|Cell Ontology|cl_0007004|cl|http://purl.obolibrary.org/obo/cl.owl|cl_0011012|cl
subclass_of|subclass|Cell Ontology|cl_0000499|cl|http://purl.obolibrary.org/obo/cl.owl|cl_0002320|cl
subclass_of|subclass|Cell Ontology|cl_0000006|cl|http://purl.obolibrary.org/obo/cl.owl|cl_0000101|cl
subclass_of|subclass|Cell Ontology|cl_0000006|cl|http://purl.obolibrary.org/obo/cl.owl|cl_0000197|cl
subclass_of|subclass|Cell Ontology|cl_0000197|cl|http://purl.obolibrary.org/obo/cl.owl|cl_0000255|cl
subclass_of|subclass|Cell Ontology|cl_0000255|cl|http://purl.obolibrary.org/obo/cl.owl|cl_0000000|cl
subclass_of|subclass|Cell Ontology|cl_0000007|cl|http://purl.obolibrary.org/obo/cl.owl|cl_0002321|cl
subclass_of|subclass|Cell Ontology|cl_0002321|cl|http://purl.obolibrary.org/obo/cl.owl|cl_0000000|cl
subclass_of|subclass|Cell Ontology|cl_0001034|cl|http://purl.obolibrary.org/obo/cl.owl|cl_0000000|cl
subclass_of|subclass|Cell Ontology|cl_0000011|cl|http://purl.obolibrary.org/obo/cl.owl|cl_0000333|cl
subclass_of|subclass|Cell Ontology|cl_0000014|cl|http://purl.obolibrary.org/obo/cl.owl|cl_0000034|cl
subclass_of|subclass|Cell Ontology|cl_0000014|cl|http://purl.obolibrary.org/obo/cl.owl|cl_0000039|cl
subclass_of|subclass|Cell Ontology|cl_0000039|cl|http://purl.obolibrary.org/obo/cl.owl|cl_0000000|cl
subclass_of|subclass|Cell Ontology|cl_0000034|cl|http://purl.obolibrary.org/obo/cl.owl|cl_0000255|cl
subclass_of|subclass|Cell Ontology|cl_0000034|cl|http://purl.obolibrary.org/obo/cl.owl|cl_0011115|cl
subclass_of|subclass|Cell Ontology|cl_0011115|cl|http://purl.obolibrary.org/obo/cl.owl|cl_0000000|cl
subclass_of|subclass|Cell Ontology|cl_0000015|cl|http://purl.obolibrary.org/obo/cl.owl|cl_0000586|cl
subclass_of|subclass|Cell Ontology|cl_0000586|cl|http://purl.obolibrary.org/obo/cl.owl|cl_0000039|cl
subclass_of|subclass|Cell Ontology|cl_0000016|cl|http://purl.obolibrary.org/obo/cl.owl|cl_0000014|cl
subclass_of|subclass|Cell Ontology|cl_0000016|cl|http://purl.obolibrary.org/obo/cl.owl|cl_0000015|cl
subclass_of|subclass|Cell Ontology|cl_0000017|cl|http://purl.obolibrary.org/obo/cl.owl|cl_0000015|cl
subclass_of|subclass|Cell Ontology|cl_0000020|cl|http://purl.obolibrary.org/obo/cl.owl|cl_0000015|cl
subclass_of|subclass|Cell Ontology|cl_0000018|cl|http://purl.obolibrary.org/obo/cl.owl|cl_0000015|cl
subclass_of|subclass|Cell Ontology|cl_0000018|cl|http://purl.obolibrary.org/obo/cl.owl|cl_0000255|cl
subclass_of|subclass|Cell Ontology|cl_0000018|cl|http://purl.obolibrary.org/obo/cl.owl|cl_0000413|cl
subclass_of|subclass|Cell Ontology|cl_0000413|cl|http://purl.obolibrary.org/obo/cl.owl|cl_0000000|cl
subclass_of|subclass|Cell Ontology|cl_0000657|cl|http://purl.obolibrary.org/obo/cl.owl|cl_0000255|cl
subclass_of|subclass|Cell Ontology|cl_0000657|cl|http://purl.obolibrary.org/obo/cl.owl|cl_0000413|cl
subclass_of|subclass|Cell Ontology|cl_0000657|cl|http://purl.obolibrary.org/obo/cl.owl|cl_0000017|cl
subclass_of|subclass|Cell Ontology|cl_0000019|cl|http://purl.obolibrary.org/obo/cl.owl|cl_0000408|cl
subclass_of|subclass|Cell Ontology|cl_0000019|cl|http://purl.obolibrary.org/obo/cl.owl|cl_0000255|cl
subclass_of|subclass|Cell Ontology|cl_0000520|cl|http://purl.obolibrary.org/obo/cl.owl|cl_0000000|cl
subclass_of|subclass|Cell Ontology|cl_0000656|cl|http://purl.obolibrary.org/obo/cl.owl|cl_0000255|cl
subclass_of|subclass|Cell Ontology|cl_0000656|cl|http://purl.obolibrary.org/obo/cl.owl|cl_0000017|cl
subclass_of|subclass|Cell Ontology|cl_0000408|cl|http://purl.obolibrary.org/obo/cl.owl|cl_0000300|cl
subclass_of|subclass|Cell Ontology|cl_0000408|cl|http://purl.obolibrary.org/obo/cl.owl|cl_0000015|cl
subclass_of|subclass|Cell Ontology|cl_0000300|cl|http://purl.obolibrary.org/obo/cl.owl|cl_0000413|cl
subclass_of|subclass|Cell Ontology|cl_0000300|cl|http://purl.obolibrary.org/obo/cl.owl|cl_0000586|cl
subclass_of|subclass|Cell Ontology|cl_0000021|cl|http://purl.obolibrary.org/obo/cl.owl|cl_0000255|cl
subclass_of|subclass|Cell Ontology|cl_0000021|cl|http://purl.obolibrary.org/obo/cl.owl|cl_0000586|cl
subclass_of|subclass|Cell Ontology|cl_0000025|cl|http://purl.obolibrary.org/obo/cl.owl|cl_0000675|cl
subclass_of|subclass|Cell Ontology|cl_0000022|cl|http://purl.obolibrary.org/obo/cl.owl|cl_0000014|cl
subclass_of|subclass|Cell Ontology|cl_0000022|cl|http://purl.obolibrary.org/obo/cl.owl|cl_0000021|cl
subclass_of|subclass|Cell Ontology|cl_0000023|cl|http://purl.obolibrary.org/obo/cl.owl|cl_0000021|cl
subclass_of|subclass|Cell Ontology|cl_0000024|cl|http://purl.obolibrary.org/obo/cl.owl|cl_0000021|cl
subclass_of|subclass|Cell Ontology|cl_0000670|cl|http://purl.obolibrary.org/obo/cl.owl|cl_0000219|cl
subclass_of|subclass|Cell Ontology|cl_0000670|cl|http://purl.obolibrary.org/obo/cl.owl|cl_0000039|cl
subclass_of|subclass|Cell Ontology|cl_0000675|cl|http://purl.obolibrary.org/obo/cl.owl|cl_0000300|cl
subclass_of|subclass|Cell Ontology|cl_0000675|cl|http://purl.obolibrary.org/obo/cl.owl|cl_0000021|cl
subclass_of|subclass|Cell Ontology|cl_0000026|cl|http://purl.obolibrary.org/obo/cl.owl|cl_0000412|cl
subclass_of|subclass|Cell Ontology|cl_0000026|cl|http://purl.obolibrary.org/obo/cl.owl|cl_0000255|cl
subclass_of|subclass|Cell Ontology|cl_0000026|cl|http://purl.obolibrary.org/obo/cl.owl|cl_4029002|cl
subclass_of|subclass|Cell Ontology|cl_0000412|cl|http://purl.obolibrary.org/obo/cl.owl|cl_0000000|cl
subclass_of|subclass|Cell Ontology|cl_4029002|cl|http://purl.obolibrary.org/obo/cl.owl|cl_4029001|cl
subclass_of|subclass|Cell Ontology|cl_4029002|cl|http://purl.obolibrary.org/obo/cl.owl|cl_0000039|cl
subclass_of|subclass|Cell Ontology|cl_0000722|cl|http://purl.obolibrary.org/obo/cl.owl|cl_0000255|cl
subclass_of|subclass|Cell Ontology|cl_0000722|cl|http://purl.obolibrary.org/obo/cl.owl|cl_0000586|cl
subclass_of|subclass|Cell Ontology|cl_4029001|cl|http://purl.obolibrary.org/obo/cl.owl|cl_0000000|cl
subclass_of|subclass|Cell Ontology|cl_0000027|cl|http://purl.obolibrary.org/obo/cl.owl|cl_0000192|cl
subclass_of|subclass|Cell Ontology|cl_0000192|cl|http://purl.obolibrary.org/obo/cl.owl|cl_0008007|cl
subclass_of|subclass|Cell Ontology|cl_0000192|cl|http://purl.obolibrary.org/obo/cl.owl|cl_0008000|cl
subclass_of|subclass|Cell Ontology|cl_0008000|cl|http://purl.obolibrary.org/obo/cl.owl|cl_0000187|cl
subclass_of|subclass|Cell Ontology|cl_0008007|cl|http://purl.obolibrary.org/obo/cl.owl|cl_0000187|cl
subclass_of|subclass|Cell Ontology|cl_0000514|cl|http://purl.obolibrary.org/obo/cl.owl|cl_0000056|cl
subclass_of|subclass|Cell Ontology|cl_0000028|cl|http://purl.obolibrary.org/obo/cl.owl|cl_2000029|cl
