label|rel_type|source|source_id|source_type|source_url|target_id|target_type
subclass_of|subclass|Experimental Factor Ontology|uberon_0001892|efo|http://www.ebi.ac.uk/efo/efo.owl|efo_0003331|efo
subclass_of|subclass|Experimental Factor Ontology|bfo_0000023|efo|http://www.ebi.ac.uk/efo/efo.owl|bfo_0000020|efo
subclass_of|subclass|Experimental Factor Ontology|bfo_0000019|efo|http://www.ebi.ac.uk/efo/efo.owl|bfo_0000020|efo
subclass_of|subclass|Experimental Factor Ontology|bfo_0000015|efo|http://www.ebi.ac.uk/efo/efo.owl|efo_0000001|efo
subclass_of|subclass|Experimental Factor Ontology|efo_0000001|efo|http://www.ebi.ac.uk/efo/efo.owl|owl.thing|efo
subclass_of|subclass|Experimental Factor Ontology|bfo_0000040|efo|http://www.ebi.ac.uk/efo/efo.owl|efo_0000001|efo
subclass_of|subclass|Experimental Factor Ontology|efo_0000408|efo|http://www.ebi.ac.uk/efo/efo.owl|bfo_0000016|efo
subclass_of|subclass|Experimental Factor Ontology|efo_0000635|efo|http://www.ebi.ac.uk/efo/efo.owl|bfo_0000040|efo
subclass_of|subclass|Experimental Factor Ontology|uo_0000000|efo|http://www.ebi.ac.uk/efo/efo.owl|iao_0000030|efo
subclass_of|subclass|Experimental Factor Ontology|china|efo|http://www.ebi.ac.uk/efo/efo.owl|ncit_c25464|efo
subclass_of|subclass|Experimental Factor Ontology|ncit_c25464|efo|http://www.ebi.ac.uk/efo/efo.owl|obi_0000245|efo
subclass_of|subclass|Experimental Factor Ontology|india|efo|http://www.ebi.ac.uk/efo/efo.owl|ncit_c25464|efo
subclass_of|subclass|Experimental Factor Ontology|iran|efo|http://www.ebi.ac.uk/efo/efo.owl|ncit_c25464|efo
subclass_of|subclass|Experimental Factor Ontology|japan|efo|http://www.ebi.ac.uk/efo/efo.owl|ncit_c25464|efo
subclass_of|subclass|Experimental Factor Ontology|north_korea|efo|http://www.ebi.ac.uk/efo/efo.owl|ncit_c25464|efo
subclass_of|subclass|Experimental Factor Ontology|philippines|efo|http://www.ebi.ac.uk/efo/efo.owl|ncit_c25464|efo
subclass_of|subclass|Experimental Factor Ontology|republic_of_ireland|efo|http://www.ebi.ac.uk/efo/efo.owl|ncit_c25464|efo
subclass_of|subclass|Experimental Factor Ontology|south_korea|efo|http://www.ebi.ac.uk/efo/efo.owl|ncit_c25464|efo
subclass_of|subclass|Experimental Factor Ontology|united_kingdom|efo|http://www.ebi.ac.uk/efo/efo.owl|ncit_c25464|efo
subclass_of|subclass|Experimental Factor Ontology|united_states|efo|http://www.ebi.ac.uk/efo/efo.owl|ncit_c25464|efo
subclass_of|subclass|Experimental Factor Ontology|bfo_0000016|efo|http://www.ebi.ac.uk/efo/efo.owl|bfo_0000020|efo
subclass_of|subclass|Experimental Factor Ontology|bfo_0000020|efo|http://www.ebi.ac.uk/efo/efo.owl|efo_0000001|efo
subclass_of|subclass|Experimental Factor Ontology|bfo_0000029|efo|http://www.ebi.ac.uk/efo/efo.owl|efo_0000001|efo
subclass_of|subclass|Experimental Factor Ontology|bfo_0000034|efo|http://www.ebi.ac.uk/efo/efo.owl|bfo_0000020|efo
subclass_of|subclass|Experimental Factor Ontology|bto_0000007|efo|http://www.ebi.ac.uk/efo/efo.owl|owl.thing|efo
subclass_of|subclass|Experimental Factor Ontology|bto_0000018|efo|http://www.ebi.ac.uk/efo/efo.owl|owl.thing|efo
subclass_of|subclass|Experimental Factor Ontology|bto_0000133|efo|http://www.ebi.ac.uk/efo/efo.owl|efo_0001941|efo
subclass_of|subclass|Experimental Factor Ontology|efo_0001941|efo|http://www.ebi.ac.uk/efo/efo.owl|uberon_0002390|efo
subclass_of|subclass|Experimental Factor Ontology|uberon_0001969|efo|http://www.ebi.ac.uk/efo/efo.owl|uberon_0006314|efo
subclass_of|subclass|Experimental Factor Ontology|uberon_0001969|efo|http://www.ebi.ac.uk/efo/efo.owl|efo_0001941|efo
subclass_of|subclass|Experimental Factor Ontology|bto_0000152|efo|http://www.ebi.ac.uk/efo/efo.owl|efo_0000324|efo
subclass_of|subclass|Experimental Factor Ontology|efo_0000324|efo|http://www.ebi.ac.uk/efo/efo.owl|bfo_0000040|efo
subclass_of|subclass|Experimental Factor Ontology|bto_0000155|efo|http://www.ebi.ac.uk/efo/efo.owl|obi_0600044|efo
subclass_of|subclass|Experimental Factor Ontology|obi_0600044|efo|http://www.ebi.ac.uk/efo/efo.owl|obi_0600005|efo
subclass_of|subclass|Experimental Factor Ontology|bto_0000164|efo|http://www.ebi.ac.uk/efo/efo.owl|efo_0002937|efo
subclass_of|subclass|Experimental Factor Ontology|efo_0000309|efo|http://www.ebi.ac.uk/efo/efo.owl|mondo_0017343|efo
subclass_of|subclass|Experimental Factor Ontology|efo_0000309|efo|http://www.ebi.ac.uk/efo/efo.owl|mondo_0017595|efo
subclass_of|subclass|Experimental Factor Ontology|efo_0000309|efo|http://www.ebi.ac.uk/efo/efo.owl|efo_0000096|efo
subclass_of|subclass|Experimental Factor Ontology|cl_0000010|efo|http://www.ebi.ac.uk/efo/efo.owl|cl_0000000|efo
subclass_of|subclass|Experimental Factor Ontology|efo_0002937|efo|http://www.ebi.ac.uk/efo/efo.owl|efo_0001639|efo
subclass_of|subclass|Experimental Factor Ontology|obi_0100026|efo|http://www.ebi.ac.uk/efo/efo.owl|bfo_0000040|efo
subclass_of|subclass|Experimental Factor Ontology|bto_0000214|efo|http://www.ebi.ac.uk/efo/efo.owl|bfo_0000040|efo
subclass_of|subclass|Experimental Factor Ontology|bto_0000221|efo|http://www.ebi.ac.uk/efo/efo.owl|bto_0000214|efo
subclass_of|subclass|Experimental Factor Ontology|bto_0000221|efo|http://www.ebi.ac.uk/efo/efo.owl|efo_0000523|efo
subclass_of|subclass|Experimental Factor Ontology|efo_0000523|efo|http://www.ebi.ac.uk/efo/efo.owl|chebi_24432|efo
subclass_of|subclass|Experimental Factor Ontology|bto_0000238|efo|http://www.ebi.ac.uk/efo/efo.owl|cl_0000115|efo
subclass_of|subclass|Experimental Factor Ontology|cl_0000115|efo|http://www.ebi.ac.uk/efo/efo.owl|cl_0000000|efo
subclass_of|subclass|Experimental Factor Ontology|cl_0000115|efo|http://www.ebi.ac.uk/efo/efo.owl|efo_0000324|efo
subclass_of|subclass|Experimental Factor Ontology|bto_0000256|efo|http://www.ebi.ac.uk/efo/efo.owl|cl_0000010|efo
subclass_of|subclass|Experimental Factor Ontology|cl_0000056|efo|http://www.ebi.ac.uk/efo/efo.owl|cl_0000055|efo
subclass_of|subclass|Experimental Factor Ontology|cl_0000056|efo|http://www.ebi.ac.uk/efo/efo.owl|cl_0002321|efo
subclass_of|subclass|Experimental Factor Ontology|bto_0000281|efo|http://www.ebi.ac.uk/efo/efo.owl|efo_0000788|efo
subclass_of|subclass|Experimental Factor Ontology|efo_0000788|efo|http://www.ebi.ac.uk/efo/efo.owl|efo_0000786|efo
subclass_of|subclass|Experimental Factor Ontology|bto_0000305|efo|http://www.ebi.ac.uk/efo/efo.owl|uberon_0000061|efo
subclass_of|subclass|Experimental Factor Ontology|uberon_0000061|efo|http://www.ebi.ac.uk/efo/efo.owl|uberon_0001062|efo
subclass_of|subclass|Experimental Factor Ontology|uberon_0000061|efo|http://www.ebi.ac.uk/efo/efo.owl|efo_0000786|efo
subclass_of|subclass|Experimental Factor Ontology|bto_0000332|efo|http://www.ebi.ac.uk/efo/efo.owl|efo_0000523|efo
subclass_of|subclass|Experimental Factor Ontology|efo_0007589|efo|http://www.ebi.ac.uk/efo/efo.owl|efo_0000523|efo
subclass_of|subclass|Experimental Factor Ontology|bto_0000377|efo|http://www.ebi.ac.uk/efo/efo.owl|uberon_0000061|efo
subclass_of|subclass|Experimental Factor Ontology|bto_0000381|efo|http://www.ebi.ac.uk/efo/efo.owl|uberon_0000061|efo
subclass_of|subclass|Experimental Factor Ontology|bto_0000383|efo|http://www.ebi.ac.uk/efo/efo.owl|efo_0001639|efo
subclass_of|subclass|Experimental Factor Ontology|efo_0001639|efo|http://www.ebi.ac.uk/efo/efo.owl|cl_0000010|efo
subclass_of|subclass|Experimental Factor Ontology|bto_0000407|efo|http://www.ebi.ac.uk/efo/efo.owl|efo_0001639|efo
subclass_of|subclass|Experimental Factor Ontology|efo_0000637|efo|http://www.ebi.ac.uk/efo/efo.owl|efo_0000691|efo
subclass_of|subclass|Experimental Factor Ontology|efo_0000637|efo|http://www.ebi.ac.uk/efo/efo.owl|efo_1000350|efo
subclass_of|subclass|Experimental Factor Ontology|bto_0000426|efo|http://www.ebi.ac.uk/efo/efo.owl|efo_0005934|efo
subclass_of|subclass|Experimental Factor Ontology|efo_0005934|efo|http://www.ebi.ac.uk/efo/efo.owl|efo_0000324|efo
subclass_of|subclass|Experimental Factor Ontology|bto_0000488|efo|http://www.ebi.ac.uk/efo/efo.owl|uberon_0000061|efo
subclass_of|subclass|Experimental Factor Ontology|bto_0000515|efo|http://www.ebi.ac.uk/efo/efo.owl|efo_0000788|efo
subclass_of|subclass|Experimental Factor Ontology|bto_0000551|efo|http://www.ebi.ac.uk/efo/efo.owl|efo_0000324|efo
subclass_of|subclass|Experimental Factor Ontology|uberon_0002048|efo|http://www.ebi.ac.uk/efo/efo.owl|uberon_0002075|efo
subclass_of|subclass|Experimental Factor Ontology|bto_0000583|efo|http://www.ebi.ac.uk/efo/efo.owl|cl_0000988|efo
subclass_of|subclass|Experimental Factor Ontology|bto_0000583|efo|http://www.ebi.ac.uk/efo/efo.owl|efo_0005934|efo
subclass_of|subclass|Experimental Factor Ontology|cl_0000988|efo|http://www.ebi.ac.uk/efo/efo.owl|cl_0000000|efo
subclass_of|subclass|Experimental Factor Ontology|cl_0000988|efo|http://www.ebi.ac.uk/efo/efo.owl|efo_0000324|efo
subclass_of|subclass|Experimental Factor Ontology|uberon_0002390|efo|http://www.ebi.ac.uk/efo/efo.owl|uberon_0000467|efo
subclass_of|subclass|Experimental Factor Ontology|bto_0000664|efo|http://www.ebi.ac.uk/efo/efo.owl|owl.thing|efo
subclass_of|subclass|Experimental Factor Ontology|bto_0000690|efo|http://www.ebi.ac.uk/efo/efo.owl|efo_0001639|efo
subclass_of|subclass|Experimental Factor Ontology|mondo_0004992|efo|http://www.ebi.ac.uk/efo/efo.owl|efo_0000616|efo
subclass_of|subclass|Experimental Factor Ontology|bto_0000740|efo|http://www.ebi.ac.uk/efo/efo.owl|efo_0002937|efo
subclass_of|subclass|Experimental Factor Ontology|efo_0000565|efo|http://www.ebi.ac.uk/efo/efo.owl|mondo_0044881|efo
subclass_of|subclass|Experimental Factor Ontology|bto_0000797|efo|http://www.ebi.ac.uk/efo/efo.owl|efo_0001639|efo
subclass_of|subclass|Experimental Factor Ontology|efo_0004288|efo|http://www.ebi.ac.uk/efo/efo.owl|mondo_0003409|efo
subclass_of|subclass|Experimental Factor Ontology|efo_0004288|efo|http://www.ebi.ac.uk/efo/efo.owl|efo_0004142|efo
subclass_of|subclass|Experimental Factor Ontology|bto_0000849|efo|http://www.ebi.ac.uk/efo/efo.owl|efo_0001639|efo
subclass_of|subclass|Experimental Factor Ontology|efo_0000756|efo|http://www.ebi.ac.uk/efo/efo.owl|mondo_0021143|efo
subclass_of|subclass|Experimental Factor Ontology|bto_0001030|efo|http://www.ebi.ac.uk/efo/efo.owl|bto_0002279|efo
subclass_of|subclass|Experimental Factor Ontology|bto_0002279|efo|http://www.ebi.ac.uk/efo/efo.owl|efo_0002887|efo
subclass_of|subclass|Experimental Factor Ontology|bto_0001033|efo|http://www.ebi.ac.uk/efo/efo.owl|efo_0001639|efo
subclass_of|subclass|Experimental Factor Ontology|mondo_0008315|efo|http://www.ebi.ac.uk/efo/efo.owl|mondo_0021259|efo
subclass_of|subclass|Experimental Factor Ontology|mondo_0008315|efo|http://www.ebi.ac.uk/efo/efo.owl|efo_0007355|efo
subclass_of|subclass|Experimental Factor Ontology|bto_0001038|efo|http://www.ebi.ac.uk/efo/efo.owl|uberon_0000061|efo
subclass_of|subclass|Experimental Factor Ontology|uberon_0001045|efo|http://www.ebi.ac.uk/efo/efo.owl|uberon_0000061|efo
subclass_of|subclass|Experimental Factor Ontology|bto_0001093|efo|http://www.ebi.ac.uk/efo/efo.owl|efo_0002887|efo
subclass_of|subclass|Experimental Factor Ontology|efo_0002887|efo|http://www.ebi.ac.uk/efo/efo.owl|cl_0000010|efo
subclass_of|subclass|Experimental Factor Ontology|efo_0000399|efo|http://www.ebi.ac.uk/efo/efo.owl|bfo_0000015|efo
subclass_of|subclass|Experimental Factor Ontology|ncbitaxon_10088|efo|http://www.ebi.ac.uk/efo/efo.owl|ncbitaxon_2759|efo
subclass_of|subclass|Experimental Factor Ontology|bto_0001130|efo|http://www.ebi.ac.uk/efo/efo.owl|efo_0005934|efo
subclass_of|subclass|Experimental Factor Ontology|efo_0001663|efo|http://www.ebi.ac.uk/efo/efo.owl|mondo_0008315|efo
subclass_of|subclass|Experimental Factor Ontology|efo_0001663|efo|http://www.ebi.ac.uk/efo/efo.owl|efo_0000313|efo
subclass_of|subclass|Experimental Factor Ontology|bto_0001205|efo|http://www.ebi.ac.uk/efo/efo.owl|owl.thing|efo
