db_reference|evidence|label|qualifier|source|source_id|source_type|source_url|target_id|target_type
"[""GO_REF:0000043""]"|IEA|enables|"[""enables""]"|GO|a0a024rbg1|protein|http://geneontology.org/gene-associations/goa_human.gaf.gz|go_0003723|molecular_function
"[""GO_REF:0000043""]"|IEA|enables|"[""enables""]"|GO|a0a024rbg1|protein|http://geneontology.org/gene-associations/goa_human.gaf.gz|go_0046872|molecular_function
"[""PMID:21081917""]"|IPI|enables|"[""enables""]"|GO|a0a087wt01|protein|http://geneontology.org/gene-associations/goa_human.gaf.gz|go_0005515|molecular_function
"[""PMID:35044719""]"|IPI|enables|"[""enables""]"|GO|a0a087wul8|protein|http://geneontology.org/gene-associations/goa_human.gaf.gz|go_0005515|molecular_function
"[""GO_REF:0000043""]"|IEA|enables|"[""enables""]"|GO|a0a087wuv0|protein|http://geneontology.org/gene-associations/goa_human.gaf.gz|go_0046872|molecular_function
"[""GO_REF:0000002""]"|IEA|enables|"[""enables""]"|GO|a0a087x1c5|protein|http://geneontology.org/gene-associations/goa_human.gaf.gz|go_0005506|molecular_function
"[""PMID:15051713""]"|IDA|enables|"[""enables""]"|GO|a0a087x1c5|protein|http://geneontology.org/gene-associations/goa_human.gaf.gz|go_0070330|molecular_function
"[""GO_REF:0000002""]"|IEA|enables|"[""enables""]"|GO|a0a096lnw5|protein|http://geneontology.org/gene-associations/goa_human.gaf.gz|go_0005509|molecular_function
"[""GO_REF:0000002""]"|IEA|enables|"[""enables""]"|GO|a0a096lp49|protein|http://geneontology.org/gene-associations/goa_human.gaf.gz|go_0008017|molecular_function
"[""GO_REF:0000043""]"|IEA|enables|"[""enables""]"|GO|a0a096lpk9|protein|http://geneontology.org/gene-associations/goa_human.gaf.gz|go_0004930|molecular_function
"[""GO_REF:0000002""]"|IEA|enables|"[""enables""]"|GO|a0a096lpk9|protein|http://geneontology.org/gene-associations/goa_human.gaf.gz|go_0004984|molecular_function
"[""PMID:6440030""]"|NAS|enables|"[""enables""]"|GO|a0a0a6yyk7|protein|http://geneontology.org/gene-associations/goa_human.gaf.gz|go_0042287|molecular_function
