id|alternative_ids|label|source|source_url|synonyms|term_name
go_0006560||biological_process|Gene Ontology|http://purl.obolibrary.org/obo/go.owl|"[""proline metabolism""]"|proline metabolic process
go_0000394||biological_process|Gene Ontology|http://purl.obolibrary.org/obo/go.owl||RNA splicing, via endonucleolytic cleavage and ligation
go_0048170||biological_process|Gene Ontology|http://purl.obolibrary.org/obo/go.owl|"[""up regulation of long-term neuronal synaptic plasticity"", ""up-regulation of long-term neuronal synaptic plasticity"", ""upregulation of long-term neuronal synaptic plasticity""]"|positive regulation of long-term neuronal synaptic plasticity
go_0009845||biological_process|Gene Ontology|http://purl.obolibrary.org/obo/go.owl||seed germination
go_0034488||biological_process|Gene Ontology|http://purl.obolibrary.org/obo/go.owl||basic amino acid transmembrane export from vacuole
go_0009452||biological_process|Gene Ontology|http://purl.obolibrary.org/obo/go.owl|"[""m(7)G RNA capping""]"|7-methylguanosine RNA capping
go_0021532||biological_process|Gene Ontology|http://purl.obolibrary.org/obo/go.owl||neural tube patterning
go_0019583||biological_process|Gene Ontology|http://purl.obolibrary.org/obo/go.owl|"[""galactonate metabolism""]"|galactonate metabolic process
go_0099593||biological_process|Gene Ontology|http://purl.obolibrary.org/obo/go.owl||endocytosed synaptic vesicle to endosome fusion
go_0046320||biological_process|Gene Ontology|http://purl.obolibrary.org/obo/go.owl||regulation of fatty acid oxidation
go_0009222||biological_process|Gene Ontology|http://purl.obolibrary.org/obo/go.owl|"[""pyrimidine ribonucleotide breakdown"", ""pyrimidine ribonucleotide catabolism"", ""pyrimidine ribonucleotide degradation""]"|pyrimidine ribonucleotide catabolic process
go_0022008||biological_process|Gene Ontology|http://purl.obolibrary.org/obo/go.owl|"[""neural cell differentiation"", ""nervous system cell generation""]"|neurogenesis
go_1990668||biological_process|Gene Ontology|http://purl.obolibrary.org/obo/go.owl|"[""vesicle fusion with ER-Golgi intermediate compartment (ERGIC) membrane"", ""vesicle fusion with ER-Golgi intermediate compartment membrane"", ""vesicle fusion with ERGIC membrane"", ""vesicle fusion with endoplasmic reticulum-Golgi intermediate compartment membrane""]"|vesicle fusion with endoplasmic reticulum-Golgi intermediate compartment (ERGIC) membrane
go_0046340||biological_process|Gene Ontology|http://purl.obolibrary.org/obo/go.owl|"[""diacylglycerol breakdown"", ""diacylglycerol catabolism"", ""diacylglycerol degradation"", ""diglyceride catabolism""]"|diacylglycerol catabolic process
go_0009183||biological_process|Gene Ontology|http://purl.obolibrary.org/obo/go.owl|"[""purine deoxyribonucleoside diphosphate anabolism"", ""purine deoxyribonucleoside diphosphate biosynthesis"", ""purine deoxyribonucleoside diphosphate formation"", ""purine deoxyribonucleoside diphosphate synthesis""]"|purine deoxyribonucleoside diphosphate biosynthetic process
go_0046898||biological_process|Gene Ontology|http://purl.obolibrary.org/obo/go.owl|"[""response to actidione""]"|response to cycloheximide
go_0035342||biological_process|Gene Ontology|http://purl.obolibrary.org/obo/go.owl|"[""positive regulation of hypoxanthine riboside transport""]"|positive regulation of inosine transport
go_0035227||biological_process|Gene Ontology|http://purl.obolibrary.org/obo/go.owl||regulation of glutamate-cysteine ligase activity
