id|alternative_ids|label|source|source_url|synonyms|term_name
go_0071153||cellular_component|Gene Ontology|http://purl.obolibrary.org/obo/go.owl||G-protein alpha(o)-synembrin complex
go_0097255||cellular_component|Gene Ontology|http://purl.obolibrary.org/obo/go.owl||R2TP complex
go_1990907||cellular_component|Gene Ontology|http://purl.obolibrary.org/obo/go.owl|"[""beta-catenin/T-cell factor complex"", ""beta-catenin/lymphoid enhancer binding factor complex""]"|beta-catenin-TCF complex
go_1990005||cellular_component|Gene Ontology|http://purl.obolibrary.org/obo/go.owl||granular vesicle
go_0005633||cellular_component|Gene Ontology|http://purl.obolibrary.org/obo/go.owl|"[""ascus lipid particle""]"|ascus lipid droplet
go_0160130||cellular_component|Gene Ontology|http://purl.obolibrary.org/obo/go.owl||mRNA cap methyltransferase RNMT:RAMAC complex
go_0036157||cellular_component|Gene Ontology|http://purl.obolibrary.org/obo/go.owl|"[""outer dynein arm complex""]"|outer dynein arm
go_0062136||cellular_component|Gene Ontology|http://purl.obolibrary.org/obo/go.owl|"[""LDL receptor complex"", ""LDLR complex"", ""low-density lipoprotein particle receptor complex""]"|low-density lipoprotein receptor complex
go_0098584||cellular_component|Gene Ontology|http://purl.obolibrary.org/obo/go.owl||host cell synaptic vesicle
go_0098540||cellular_component|Gene Ontology|http://purl.obolibrary.org/obo/go.owl|"[""internal side of trans-Golgi network transport vesicle membrane""]"|lumenal side of trans-Golgi network transport vesicle membrane
go_0035796||cellular_component|Gene Ontology|http://purl.obolibrary.org/obo/go.owl|"[""ATP-binding cassette (ABC) transporter complex, ECF-type"", ""energy coupling factor (ECF)-type ABC transporter"", ""energy-coupling factor transporter""]"|ATP-binding cassette (ABC) transporter complex, transmembrane substrate-binding subunit-containing
go_0009288||cellular_component|Gene Ontology|http://purl.obolibrary.org/obo/go.owl|"[""flagellin-based flagellum""]"|bacterial-type flagellum
go_0120135||cellular_component|Gene Ontology|http://purl.obolibrary.org/obo/go.owl|"[""distal part of axoneme""]"|distal portion of axoneme
go_0031256||cellular_component|Gene Ontology|http://purl.obolibrary.org/obo/go.owl||leading edge membrane
go_0034704||cellular_component|Gene Ontology|http://purl.obolibrary.org/obo/go.owl||calcium channel complex
go_0045323||cellular_component|Gene Ontology|http://purl.obolibrary.org/obo/go.owl|"[""IL-1 receptor complex""]"|interleukin-1 receptor complex
go_0120327||cellular_component|Gene Ontology|http://purl.obolibrary.org/obo/go.owl||telopode
