id|alternative_ids|label|source|source_url|synonyms|term_name
go_0048529||molecular_function|Gene Ontology|http://purl.obolibrary.org/obo/go.owl|"[""Mg-protoporphyrin IX monomethyl ester (oxidative) cyclase activity"", ""Mg-protoporphyrin IX monomethyl ester oxidative cyclase activity"", ""magnesium-protoporphyrin-IX 13-monomethyl ester,NADPH:oxygen oxidoreductase (hydroxylating)""]"|magnesium-protoporphyrin IX monomethyl ester (oxidative) cyclase activity
go_0034062||molecular_function|Gene Ontology|http://purl.obolibrary.org/obo/go.owl|"[""C RNA formation factors"", ""C ribonucleic acid formation factors"", ""RNA nucleotidyltransferase activity"", ""RNA transcriptase activity"", ""ribonucleate nucleotidyltransferase activity"", ""ribonucleate polymerase activity"", ""ribonucleic acid polymerase activity"", ""ribonucleic acid transcriptase activity"", ""ribonucleic polymerase activity"", ""ribonucleic transcriptase activity""]"|5-3 RNA polymerase activity
go_0016316|"[""GO:0004440""]"|molecular_function|Gene Ontology|http://purl.obolibrary.org/obo/go.owl|"[""1-phosphatidyl-1D-myo-inositol-3,4-bisphosphate 4-phosphohydrolase activity"", ""inositol polyphosphate 4-phosphatase type II activity""]"|phosphatidylinositol-3,4-bisphosphate 4-phosphatase activity
go_0050128||molecular_function|Gene Ontology|http://purl.obolibrary.org/obo/go.owl|"[""N-feruloylglycine amidohydrolase activity"", ""N-feruloylglycine hydrolase activity""]"|N-feruloylglycine deacylase activity
go_0042577||molecular_function|Gene Ontology|http://purl.obolibrary.org/obo/go.owl||lipid phosphatase activity
go_0016798||molecular_function|Gene Ontology|http://purl.obolibrary.org/obo/go.owl|"[""glycosidase activity""]"|hydrolase activity, acting on glycosyl bonds
go_0070034||molecular_function|Gene Ontology|http://purl.obolibrary.org/obo/go.owl|"[""TERC binding""]"|telomerase RNA binding
go_0141058||molecular_function|Gene Ontology|http://purl.obolibrary.org/obo/go.owl||histone H4 demethylase activity
go_0001223|"[""GO:0001225""]"|molecular_function|Gene Ontology|http://purl.obolibrary.org/obo/go.owl|"[""RNA polymerase II transcription coactivator binding""]"|transcription coactivator binding
go_0031834||molecular_function|Gene Ontology|http://purl.obolibrary.org/obo/go.owl||neurokinin receptor binding
go_0004598||molecular_function|Gene Ontology|http://purl.obolibrary.org/obo/go.owl|"[""HGAD"", ""PAL"", ""PGL"", ""alpha-hydroxyglycine amidating dealkylase activity"", ""peptidyl-alpha-hydroxyglycine alpha-amidating lyase activity"", ""peptidylamidoglycolate peptidylamide-lyase (glyoxylate-forming)"", ""peptidylamidoglycolate peptidylamide-lyase activity""]"|peptidylamidoglycolate lyase activity
go_0008504|"[""GO:0015201""]"|molecular_function|Gene Ontology|http://purl.obolibrary.org/obo/go.owl||monoamine transmembrane transporter activity
