id|alternative_ids|label|source|source_url|synonyms|term_name
hp_0033954||hpo|Human Phenotype Ontology|http://purl.obolibrary.org/obo/hp.owl|"[""Endoarterial hypercellularity within interlobular artery""]"|Cortical radial artery hypercellularity
hp_0100372||hpo|Human Phenotype Ontology|http://purl.obolibrary.org/obo/hp.owl|"[""Absent/small middle 3rd toe bone"", ""Absent/underdeveloped middle 3rd toe bone""]"|Aplasia/Hypoplasia of the middle phalanx of the 3rd toe
hp_0005172||hpo|Human Phenotype Ontology|http://purl.obolibrary.org/obo/hp.owl|"[""Left posterior hemiblock""]"|Left posterior fascicular block
hp_0030854||hpo|Human Phenotype Ontology|http://purl.obolibrary.org/obo/hp.owl|"[""Staphyloma""]"|Scleral staphyloma
hp_0031426||hpo|Human Phenotype Ontology|http://purl.obolibrary.org/obo/hp.owl|"[""Decreased circulating beta-C-terminal telopeptide level"", ""Decreased circulating beta-CTx level"", ""Decreased circulating beta-CrossLaps level""]"|Decreased circulating beta-C-terminal telopeptide concentration
hp_0000041||hpo|Human Phenotype Ontology|http://purl.obolibrary.org/obo/hp.owl||Chordee
hp_0034320||hpo|Human Phenotype Ontology|http://purl.obolibrary.org/obo/hp.owl|"[""Intracytoplasmic myofiber reducing inclusion bodies""]"|Muscle fiber intracytoplasmic reducing inclusion bodies
hp_0025372||hpo|Human Phenotype Ontology|http://purl.obolibrary.org/obo/hp.owl|"[""Has loud snoring"", ""Have loud snoring"", ""Heavy snoring"", ""Snores loudly""]"|Loud snoring
hp_0031907||hpo|Human Phenotype Ontology|http://purl.obolibrary.org/obo/hp.owl|"[""AMA-M2 positive""]"|Anti-mitochondrial M2 antibody positivity
hp_0032152|"[""HP:0040180""]"|hpo|Human Phenotype Ontology|http://purl.obolibrary.org/obo/hp.owl|"[""Carpet tack sign"", ""Chicken skin"", ""Follicular keratosis"", ""Follicular keratotic plug"", ""Follicular plugging"", ""Hyperkeratosis pilaris"", ""Lichen pilaris""]"|Keratosis pilaris
hp_6001151||hpo|Human Phenotype Ontology|http://purl.obolibrary.org/obo/hp.owl|"[""Piece of pie sign of lunate bone""]"|Triangular lunate bone
