id|label|pathway_name|source|source_url
r-hsa-164843|pathway|2-LTR circle formation|REACTOME|https://reactome.org
r-hsa-73843|pathway|5-Phosphoribose 1-diphosphate biosynthesis|REACTOME|https://reactome.org
r-hsa-1971475|pathway|A tetrasaccharide linker sequence is required for GAG synthesis|REACTOME|https://reactome.org
r-hsa-5619084|pathway|ABC transporter disorders|REACTOME|https://reactome.org
r-hsa-1369062|pathway|ABC transporters in lipid homeostasis|REACTOME|https://reactome.org
r-hsa-382556|pathway|ABC-family proteins mediated transport|REACTOME|https://reactome.org
r-hsa-9033807|pathway|ABO blood group biosynthesis|REACTOME|https://reactome.org
r-hsa-9660821|pathway|ADORA2B mediated anti-inflammatory cytokines production|REACTOME|https://reactome.org
r-hsa-418592|pathway|ADP signalling through P2Y purinoceptor 1|REACTOME|https://reactome.org
r-hsa-392170|pathway|ADP signalling through P2Y purinoceptor 12|REACTOME|https://reactome.org
r-hsa-198323|pathway|AKT phosphorylates targets in the cytosol|REACTOME|https://reactome.org
r-hsa-198693|pathway|AKT phosphorylates targets in the nucleus|REACTOME|https://reactome.org
r-hsa-211163|pathway|AKT-mediated inactivation of FOXO1A|REACTOME|https://reactome.org
r-hsa-9700645|pathway|ALK mutants bind TKIs|REACTOME|https://reactome.org
r-hsa-112122|pathway|ALKBH2 mediated reversal of alkylation damage|REACTOME|https://reactome.org
r-hsa-112126|pathway|ALKBH3 mediated reversal of alkylation damage|REACTOME|https://reactome.org
r-hsa-163680|pathway|AMPK inhibits chREBP transcriptional activation activity|REACTOME|https://reactome.org
r-hsa-5467333|pathway|APC truncation mutants are not K63 polyubiquitinated|REACTOME|https://reactome.org
r-hsa-5467337|pathway|APC truncation mutants have impaired AXIN binding|REACTOME|https://reactome.org
r-hsa-179409|pathway|APC-Cdc20 mediated degradation of Nek2A|REACTOME|https://reactome.org
r-hsa-174143|pathway|APC/C-mediated degradation of cell cycle proteins|REACTOME|https://reactome.org
r-hsa-174048|pathway|APC/C:Cdc20 mediated degradation of Cyclin B|REACTOME|https://reactome.org
r-hsa-174154|pathway|APC/C:Cdc20 mediated degradation of Securin|REACTOME|https://reactome.org
r-hsa-176409|pathway|APC/C:Cdc20 mediated degradation of mitotic proteins|REACTOME|https://reactome.org
r-hsa-174178|pathway|APC/C:Cdh1 mediated degradation of Cdc20 and other APC/C:Cdh1 targeted proteins in late mitosis/early G1|REACTOME|https://reactome.org
r-hsa-179419|pathway|APC:Cdc20 mediated degradation of cell cycle proteins prior to satisfation of the cell cycle checkpoint|REACTOME|https://reactome.org
r-hsa-5649702|pathway|APEX1-Independent Resolution of AP Sites via the Single Nucleotide Replacement Pathway|REACTOME|https://reactome.org
r-hsa-180689|pathway|APOBEC3G mediated resistance to HIV-1 infection|REACTOME|https://reactome.org
r-hsa-5624958|pathway|ARL13B-mediated ciliary trafficking of INPP5E|REACTOME|https://reactome.org
r-hsa-170984|pathway|ARMS-mediated activation|REACTOME|https://reactome.org
r-hsa-9717264|pathway|ASP-3026-resistant ALK mutants|REACTOME|https://reactome.org
r-hsa-380994|pathway|ATF4 activates genes in response to endoplasmic reticulum  stress|REACTOME|https://reactome.org
r-hsa-381183|pathway|ATF6 (ATF6-alpha) activates chaperone genes|REACTOME|https://reactome.org
r-hsa-381033|pathway|ATF6 (ATF6-alpha) activates chaperones|REACTOME|https://reactome.org
r-hsa-8874177|pathway|ATF6B (ATF6-beta) activates chaperones|REACTOME|https://reactome.org
r-hsa-1296025|pathway|ATP sensitive Potassium channels|REACTOME|https://reactome.org
r-hsa-450408|pathway|AUF1 (hnRNP D0) binds and destabilizes mRNA|REACTOME|https://reactome.org
r-hsa-8854518|pathway|AURKA Activation by TPX2|REACTOME|https://reactome.org
r-hsa-5467340|pathway|AXIN missense mutants destabilize the destruction complex|REACTOME|https://reactome.org
r-hsa-2161522|pathway|Abacavir ADME|REACTOME|https://reactome.org
r-hsa-2161541|pathway|Abacavir metabolism|REACTOME|https://reactome.org
r-hsa-2161517|pathway|Abacavir transmembrane transport|REACTOME|https://reactome.org
r-hsa-73930|pathway|Abasic sugar-phosphate removal via the single-nucleotide replacement pathway|REACTOME|https://reactome.org
r-hsa-9659787|pathway|Aberrant regulation of mitotic G1/S transition in cancer due to RB1 defects|REACTOME|https://reactome.org
r-hsa-9687139|pathway|Aberrant regulation of mitotic cell cycle due to RB1 defects|REACTOME|https://reactome.org
r-hsa-9687136|pathway|Aberrant regulation of mitotic exit in cancer due to RB1 defects|REACTOME|https://reactome.org
r-hsa-2978092|pathway|Abnormal conversion of 2-oxoglutarate to 2-hydroxyglutarate|REACTOME|https://reactome.org
r-hsa-167242|pathway|Abortive elongation of HIV-1 transcript in the absence of Tat|REACTOME|https://reactome.org
r-hsa-156582|pathway|Acetylation|REACTOME|https://reactome.org
r-hsa-264642|pathway|Acetylcholine Neurotransmitter Release Cycle|REACTOME|https://reactome.org
r-hsa-181431|pathway|Acetylcholine binding and downstream events|REACTOME|https://reactome.org
r-hsa-9667769|pathway|Acetylcholine inhibits contraction of outer hair cells|REACTOME|https://reactome.org
r-hsa-399997|pathway|Acetylcholine regulates insulin secretion|REACTOME|https://reactome.org
r-hsa-1300645|pathway|Acrosome Reaction and Sperm:Oocyte Membrane Binding|REACTOME|https://reactome.org
r-hsa-2122948|pathway|Activated NOTCH1 Transmits Signal to the Nucleus|REACTOME|https://reactome.org
r-hsa-9032845|pathway|Activated NTRK2 signals through CDK5|REACTOME|https://reactome.org
