id|alternative_ids|label|source|source_url|synonyms|term_name
pr_p16070||uberon|UBERON|http://purl.obolibrary.org/obo/uberon.owl|"[""CD44"", ""LHR"", ""MDU2"", ""MDU3"", ""MIC4"", ""CDw44 (human)"", ""ECMR-III (human)"", ""GP90 lymphocyte homing/adhesion receptor (human)"", ""HUTCH-I (human)"", ""PGP-1 (human)"", ""epican (human)"", ""extracellular matrix receptor III (human)"", ""hCD44"", ""heparan sulfate proteoglycan (human)"", ""hermes antigen (human)"", ""hyaluronate receptor (human)"", ""phagocytic glycoprotein 1 (human)"", ""phagocytic glycoprotein I (human)""]"|CD44 antigen (human)
chebi_16761|"[""CHEBI:13222"", ""CHEBI:22244"", ""CHEBI:2342"", ""CHEBI:40553""]"|uberon|UBERON|http://purl.obolibrary.org/obo/uberon.owl|"[""5-adenylphosphoric acid"", ""ADENOSINE-5-DIPHOSPHATE"", ""Adenosine 5-diphosphate"", ""H3adp"", ""ADP"", ""adenosine 5-(trihydrogen diphosphate)""]"|ADP
uberon_0006631||uberon|UBERON|http://purl.obolibrary.org/obo/uberon.owl|"[""heart right atrial appendage"", ""right atrial appendage"", ""right atrium appendage"", ""right auricular appendage"", ""auricula dextra"", ""right auricle"", ""right auricula"", ""right auriculur appendix""]"|right atrium auricular region
uberon_0001859||uberon|UBERON|http://purl.obolibrary.org/obo/uberon.owl|"[""external semicircular duct""]"|lateral semicircular duct
ncbitaxon_37572||uberon|UBERON|http://purl.obolibrary.org/obo/uberon.owl|"[""butterflies"", ""butterflies""]"|Papilionoidea
uberon_2001525||uberon|UBERON|http://purl.obolibrary.org/obo/uberon.owl||hypobranchial 2 cartilage
uberon_8480035||uberon|UBERON|http://purl.obolibrary.org/obo/uberon.owl||cervical transformation zone epithelium
uberon_3000523||uberon|UBERON|http://purl.obolibrary.org/obo/uberon.owl||pterygoid process of palatoquadrate
ro_0002488||uberon|UBERON|http://purl.obolibrary.org/obo/uberon.owl||existence starts during
go_0021532||uberon|UBERON|http://purl.obolibrary.org/obo/uberon.owl||neural tube patterning
go_0022008||uberon|UBERON|http://purl.obolibrary.org/obo/uberon.owl|"[""neural cell differentiation"", ""nervous system cell generation""]"|neurogenesis
uberon_0005426||uberon|UBERON|http://purl.obolibrary.org/obo/uberon.owl|"[""immature lens"", ""lens mass"", ""presumptive lens""]"|lens vesicle
uberon_0011946||uberon|UBERON|http://purl.obolibrary.org/obo/uberon.owl||subluminal layer of epithelium
uberon_2000508||uberon|UBERON|http://purl.obolibrary.org/obo/uberon.owl|"[""pelvic actinost"", ""pelvic radial""]"|pelvic fin radial bone
uberon_3010166||uberon|UBERON|http://purl.obolibrary.org/obo/uberon.owl||fringe on postaxial edge of toe V
uberon_4200129||uberon|UBERON|http://purl.obolibrary.org/obo/uberon.owl||synarcual region
uberon_0009611||uberon|UBERON|http://purl.obolibrary.org/obo/uberon.owl||midbrain neural plate
uberon_0026246||uberon|UBERON|http://purl.obolibrary.org/obo/uberon.owl|"[""sacral spinal cord white matter""]"|sacral spinal cord white matter
