label|rel_type|source|source_id|source_type|source_url|target_id|target_type
subclass_of|subclass|Cell Ontology|CL_0000001|cl|http://purl.obolibrary.org/obo/cl.owl|CL_0000010|cl
subclass_of|subclass|Cell Ontology|CL_0000005|cl|http://purl.obolibrary.org/obo/cl.owl|CL_0000057|cl
subclass_of|subclass|Cell Ontology|CL_0000006|cl|http://purl.obolibrary.org/obo/cl.owl|CL_0000197|cl
subclass_of|subclass|Cell Ontology|CL_0000006|cl|http://purl.obolibrary.org/obo/cl.owl|CL_0000101|cl
subclass_of|subclass|Cell Ontology|CL_0000007|cl|http://purl.obolibrary.org/obo/cl.owl|CL_0002321|cl
subclass_of|subclass|Cell Ontology|CL_0000008|cl|http://purl.obolibrary.org/obo/cl.owl|CL_0000333|cl
subclass_of|subclass|Cell Ontology|CL_0000010|cl|http://purl.obolibrary.org/obo/cl.owl|CL_0000578|cl
subclass_of|subclass|Cell Ontology|CL_0000011|cl|http://purl.obolibrary.org/obo/cl.owl|CL_0000333|cl
subclass_of|subclass|Cell Ontology|CL_0000014|cl|http://purl.obolibrary.org/obo/cl.owl|CL_0000039|cl
subclass_of|subclass|Cell Ontology|CL_0000014|cl|http://purl.obolibrary.org/obo/cl.owl|CL_0000034|cl
subclass_of|subclass|Cell Ontology|CL_0000015|cl|http://purl.obolibrary.org/obo/cl.owl|CL_0000586|cl
subclass_of|subclass|Cell Ontology|CL_0000016|cl|http://purl.obolibrary.org/obo/cl.owl|CL_0000015|cl
subclass_of|subclass|Cell Ontology|CL_0000016|cl|http://purl.obolibrary.org/obo/cl.owl|CL_0000014|cl
subclass_of|subclass|Cell Ontology|CL_0000017|cl|http://purl.obolibrary.org/obo/cl.owl|CL_0000015|cl
subclass_of|subclass|Cell Ontology|CL_0000018|cl|http://purl.obolibrary.org/obo/cl.owl|CL_0000015|cl
subclass_of|subclass|Cell Ontology|CL_0000018|cl|http://purl.obolibrary.org/obo/cl.owl|CL_0000255|cl
subclass_of|subclass|Cell Ontology|CL_0000018|cl|http://purl.obolibrary.org/obo/cl.owl|CL_0000413|cl
subclass_of|subclass|Cell Ontology|CL_0000019|cl|http://purl.obolibrary.org/obo/cl.owl|CL_0000255|cl
subclass_of|subclass|Cell Ontology|CL_0000019|cl|http://purl.obolibrary.org/obo/cl.owl|CL_0000408|cl
subclass_of|subclass|Cell Ontology|CL_0000020|cl|http://purl.obolibrary.org/obo/cl.owl|CL_0000015|cl
subclass_of|subclass|Cell Ontology|CL_0000021|cl|http://purl.obolibrary.org/obo/cl.owl|CL_0000586|cl
subclass_of|subclass|Cell Ontology|CL_0000021|cl|http://purl.obolibrary.org/obo/cl.owl|CL_0000255|cl
subclass_of|subclass|Cell Ontology|CL_0000022|cl|http://purl.obolibrary.org/obo/cl.owl|CL_0000021|cl
subclass_of|subclass|Cell Ontology|CL_0000022|cl|http://purl.obolibrary.org/obo/cl.owl|CL_0000014|cl
subclass_of|subclass|Cell Ontology|CL_0000023|cl|http://purl.obolibrary.org/obo/cl.owl|CL_0000021|cl
subclass_of|subclass|Cell Ontology|CL_0000024|cl|http://purl.obolibrary.org/obo/cl.owl|CL_0000021|cl
subclass_of|subclass|Cell Ontology|CL_0000025|cl|http://purl.obolibrary.org/obo/cl.owl|CL_0000675|cl
subclass_of|subclass|Cell Ontology|CL_0000026|cl|http://purl.obolibrary.org/obo/cl.owl|CL_0000412|cl
subclass_of|subclass|Cell Ontology|CL_0000026|cl|http://purl.obolibrary.org/obo/cl.owl|CL_4029002|cl
subclass_of|subclass|Cell Ontology|CL_0000026|cl|http://purl.obolibrary.org/obo/cl.owl|CL_0000255|cl
subclass_of|subclass|Cell Ontology|CL_0000027|cl|http://purl.obolibrary.org/obo/cl.owl|CL_0000192|cl
subclass_of|subclass|Cell Ontology|CL_0000028|cl|http://purl.obolibrary.org/obo/cl.owl|CL_2000029|cl
subclass_of|subclass|Cell Ontology|CL_0000029|cl|http://purl.obolibrary.org/obo/cl.owl|CL_0000540|cl
subclass_of|subclass|Cell Ontology|CL_0000030|cl|http://purl.obolibrary.org/obo/cl.owl|CL_0011026|cl
subclass_of|subclass|Cell Ontology|CL_0000031|cl|http://purl.obolibrary.org/obo/cl.owl|CL_0011026|cl
subclass_of|subclass|Cell Ontology|CL_0000032|cl|http://purl.obolibrary.org/obo/cl.owl|CL_0002321|cl
subclass_of|subclass|Cell Ontology|CL_0000032|cl|http://purl.obolibrary.org/obo/cl.owl|CL_0000255|cl
subclass_of|subclass|Cell Ontology|CL_0000033|cl|http://purl.obolibrary.org/obo/cl.owl|CL_0000152|cl
subclass_of|subclass|Cell Ontology|CL_0000034|cl|http://purl.obolibrary.org/obo/cl.owl|CL_0000255|cl
subclass_of|subclass|Cell Ontology|CL_0000034|cl|http://purl.obolibrary.org/obo/cl.owl|CL_0011115|cl
subclass_of|subclass|Cell Ontology|CL_0000035|cl|http://purl.obolibrary.org/obo/cl.owl|CL_0000723|cl
subclass_of|subclass|Cell Ontology|CL_0000036|cl|http://purl.obolibrary.org/obo/cl.owl|CL_0000723|cl
