id|source|source_url|synonyms|term_name
CL_0000000|Cell Ontology|http://purl.obolibrary.org/obo/cl.owl||cell
CL_0000001|Cell Ontology|http://purl.obolibrary.org/obo/cl.owl|"[""primary cell line cell"", ""primary cell culture cell"", ""unpassaged cultured cell""]"|primary cultured cell
CL_0000005|Cell Ontology|http://purl.obolibrary.org/obo/cl.owl|"[""fibroblast neural crest derived""]"|neural crest derived fibroblast
CL_0000006|Cell Ontology|http://purl.obolibrary.org/obo/cl.owl|"[""neuronal receptor cell (sensu Animalia)""]"|neuronal receptor cell
CL_0000007|Cell Ontology|http://purl.obolibrary.org/obo/cl.owl||early embryonic cell (metazoa)
CL_0000008|Cell Ontology|http://purl.obolibrary.org/obo/cl.owl||migratory cranial neural crest cell
CL_0000010|Cell Ontology|http://purl.obolibrary.org/obo/cl.owl||cultured cell
CL_0000011|Cell Ontology|http://purl.obolibrary.org/obo/cl.owl||migratory trunk neural crest cell
CL_0000014|Cell Ontology|http://purl.obolibrary.org/obo/cl.owl|"[""germline stem cell""]"|germ line stem cell
CL_0000015|Cell Ontology|http://purl.obolibrary.org/obo/cl.owl||male germ cell
CL_0000016|Cell Ontology|http://purl.obolibrary.org/obo/cl.owl||male germ line stem cell
CL_0000017|Cell Ontology|http://purl.obolibrary.org/obo/cl.owl||spermatocyte
CL_0000018|Cell Ontology|http://purl.obolibrary.org/obo/cl.owl|"[""nematoblast""]"|spermatid
CL_0000019|Cell Ontology|http://purl.obolibrary.org/obo/cl.owl|"[""sperm cell"", ""spermatozoid"", ""spermatozoon""]"|sperm
CL_0000020|Cell Ontology|http://purl.obolibrary.org/obo/cl.owl|"[""spermatogonial cell""]"|spermatogonium
CL_0000021|Cell Ontology|http://purl.obolibrary.org/obo/cl.owl||female germ cell
CL_0000022|Cell Ontology|http://purl.obolibrary.org/obo/cl.owl||female germ line stem cell
CL_0000023|Cell Ontology|http://purl.obolibrary.org/obo/cl.owl|"[""oogonium""]"|oocyte
CL_0000024|Cell Ontology|http://purl.obolibrary.org/obo/cl.owl||oogonial cell
CL_0000025|Cell Ontology|http://purl.obolibrary.org/obo/cl.owl|"[""mature oocyte"", ""ovum""]"|egg cell
CL_0000026|Cell Ontology|http://purl.obolibrary.org/obo/cl.owl|"[""nurse cell""]"|invertebrate nurse cell
CL_0000027|Cell Ontology|http://purl.obolibrary.org/obo/cl.owl||smooth muscle cell neural crest derived
CL_0000028|Cell Ontology|http://purl.obolibrary.org/obo/cl.owl||CNS neuron (sensu Nematoda and Protostomia)
CL_0000029|Cell Ontology|http://purl.obolibrary.org/obo/cl.owl|"[""neuron neural crest derived""]"|neural crest derived neuron
