id|source|source_url|synonyms|term_name
EFO_0021023|Experimental Factor Ontology|http://www.ebi.ac.uk/efo/efo.owl||isobutyrylcarnitine measurement
EFO_0022263|Experimental Factor Ontology|http://www.ebi.ac.uk/efo/efo.owl||free cholesterol in chylomicrons and extremely large VLDL measurement 
EFO_0801312|Experimental Factor Ontology|http://www.ebi.ac.uk/efo/efo.owl|"[""phosphatidylcholine O-42:5""]"|phosphatidylcholine acyl-alkyl C42:5 measurement
EFO_0803492|Experimental Factor Ontology|http://www.ebi.ac.uk/efo/efo.owl||dehydroshikimate measurement
EFO_0001018|Experimental Factor Ontology|http://www.ebi.ac.uk/efo/efo.owl|"[""shoot meristem - lateral""]"|lateral shoot meristem
EFO_0030081|Experimental Factor Ontology|http://www.ebi.ac.uk/efo/efo.owl|"[""HLA typing using NGS"", ""HLA typing using Next Generation Sequencing""]"|HLA typing by NGS
EFO_0022570|Experimental Factor Ontology|http://www.ebi.ac.uk/efo/efo.owl||AG02603
EFO_1001388|Experimental Factor Ontology|http://www.ebi.ac.uk/efo/efo.owl|"[""PID, pelvic inflammatory disease"", ""disease (PID), pelvic inflammatory"", ""inflammatory disease (PID), pelvic"", ""pelvic infection"", ""pelvic inflammatory disease, (PID)"", ""PID"", ""pelvic inflammatory disease""]"|Pelvic Inflammatory Disease
EFO_0022187|Experimental Factor Ontology|http://www.ebi.ac.uk/efo/efo.owl||monounsaturated fatty acids  16:1, 18:1 measurement
EFO_0007766|Experimental Factor Ontology|http://www.ebi.ac.uk/efo/efo.owl||response to beta blocker
EFO_0001194|Experimental Factor Ontology|http://www.ebi.ac.uk/efo/efo.owl||IB3-1
EFO_0802620|Experimental Factor Ontology|http://www.ebi.ac.uk/efo/efo.owl||immunoglobulin J chain measurement
EFO_0004269|Experimental Factor Ontology|http://www.ebi.ac.uk/efo/efo.owl|"[""arrhythmia"", ""arrhythmias, cardiac"", ""arrythmia"", ""cardiac arrhythmias""]"|cardiac arrhythmia
EFO_0007005|Experimental Factor Ontology|http://www.ebi.ac.uk/efo/efo.owl||free androgen index
EFO_0800887|Experimental Factor Ontology|http://www.ebi.ac.uk/efo/efo.owl||X-24473 measurement
EFO_0021695|Experimental Factor Ontology|http://www.ebi.ac.uk/efo/efo.owl||3-Indolepropionic acid to 3,3,5-Triiodo-L-thyronine ratio
EFO_0008162|Experimental Factor Ontology|http://www.ebi.ac.uk/efo/efo.owl||integrin alpha-I: beta-1 complex measurement
EFO_0030063|Experimental Factor Ontology|http://www.ebi.ac.uk/efo/efo.owl|"[""copy number variation analysis"", ""genomic copy number assessment""]"|copy number assessment
EFO_0006922|Experimental Factor Ontology|http://www.ebi.ac.uk/efo/efo.owl||delivery measurement
EFO_0002673|Experimental Factor Ontology|http://www.ebi.ac.uk/efo/efo.owl|"[""Org 31710""]"|antiprogestin
EFO_0010775|Experimental Factor Ontology|http://www.ebi.ac.uk/efo/efo.owl|"[""CSF1""]"|colony stimulating factor 1 measurement
EFO_0802197|Experimental Factor Ontology|http://www.ebi.ac.uk/efo/efo.owl||uncharacterized protein KIAA2013 measurement
EFO_0005547|Experimental Factor Ontology|http://www.ebi.ac.uk/efo/efo.owl|"[""Philippine hemorrhagic fever"", ""Singapore hemorrhagic fever"", ""Thai hemorrhagic fever"", ""classical dengue"", ""hemorrhagic dengue"", ""DENV infection"", ""DF"", ""Dengue"", ""Dengue Fever"", ""Dengue fever"", ""Dengue virus caused disease or disorder"", ""Dengue virus disease or disorder"", ""Dengue virus infection"", ""Dengue virus infectious disease"", ""break bone fever"", ""breakbone fever"", ""classic dengue"", ""dengue disease""]"|dengue disease
EFO_0006637|Experimental Factor Ontology|http://www.ebi.ac.uk/efo/efo.owl||LN-229
EFO_0002571|Experimental Factor Ontology|http://www.ebi.ac.uk/efo/efo.owl|"[""Intervention"", ""Intervention Strategies"", ""Intervention or Procedure"", ""Interventional"", ""Procedure"", ""SURGICAL AND MEDICAL PROCEDURES"", ""interventionDescription""]"|medical procedure
EFO_0009115|Experimental Factor Ontology|http://www.ebi.ac.uk/efo/efo.owl||tobacco smoke exposure measurement
EFO_0004972|Experimental Factor Ontology|http://www.ebi.ac.uk/efo/efo.owl||somatic genotype
EFO_0010369|Experimental Factor Ontology|http://www.ebi.ac.uk/efo/efo.owl|"[""LPE 18:2""]"|lysophosphatidylethanolamine 18:2 measurement
EFO_0801208|Experimental Factor Ontology|http://www.ebi.ac.uk/efo/efo.owl||oleoyl leucine measurement
EFO_0002357|Experimental Factor Ontology|http://www.ebi.ac.uk/efo/efo.owl|"[""DHL-6"", ""DHL6"", ""SU-DHL-6""]"|SUDHL6
EFO_0006595|Experimental Factor Ontology|http://www.ebi.ac.uk/efo/efo.owl||Hs 940.T
EFO_0020586|Experimental Factor Ontology|http://www.ebi.ac.uk/efo/efo.owl||n-acetylglucosamine-6-sulfatase measurement
EFO_0002164|Experimental Factor Ontology|http://www.ebi.ac.uk/efo/efo.owl||DMS273
EFO_1001138|Experimental Factor Ontology|http://www.ebi.ac.uk/efo/efo.owl|"[""Pulmonary Valve Stenosis"", ""pulmonary valve stenosis""]"|pulmonary valve stenosis
EFO_0010540|Experimental Factor Ontology|http://www.ebi.ac.uk/efo/efo.owl||thiamine measurement
EFO_0002609|Experimental Factor Ontology|http://www.ebi.ac.uk/efo/efo.owl|"[""juvenile chronic arthritis"", ""juvenile chronic polyarthritis"", ""rheumatoid arthritis, systemic juvenile"", ""Arthritis (juvenile idiopathic)"", ""Arthritis, Juvenile Rheumatoid"", ""JIA"", ""Juvenile Rheumatoid Arthritis"", ""Juvenile chronic arthritis (disorder)"", ""Juvenile idiopathic arthritis"", ""Juvenile idiopathic arthritis (disorder)"", ""Juvenile rheumatoid a."", ""Juvenile rheumatoid arthritis (disorder)"", ""Juvenile rheumatoid arthritis NOS (disorder)"", ""Juvenile rheumatoid arthritis, NOS"", ""Juvenile seropositive polyarthritis"", ""arthritis, juvenile rheumatoid"", ""breast myoepithelial carcinoma"", ""chronic childhood arthritis"", ""juvenile arthritis"", ""juvenile idiopathic arthritis"", ""juvenile rheumatoid arthritis"", ""rheumatoid arthritis, systemic juvenile, susceptibility to""]"|juvenile idiopathic arthritis
EFO_0010381|Experimental Factor Ontology|http://www.ebi.ac.uk/efo/efo.owl|"[""PC 36:3""]"|phosphatidylcholine 36:3 measurement
EFO_0001451|Experimental Factor Ontology|http://www.ebi.ac.uk/efo/efo.owl||instrument design
EFO_0005433|Experimental Factor Ontology|http://www.ebi.ac.uk/efo/efo.owl||array control biosequence
EFO_0800542|Experimental Factor Ontology|http://www.ebi.ac.uk/efo/efo.owl||cerotoylcarnitine (C26) measurement
EFO_0001168|Experimental Factor Ontology|http://www.ebi.ac.uk/efo/efo.owl|"[""HCC-1007""]"|HCC1007
EFO_0020462|Experimental Factor Ontology|http://www.ebi.ac.uk/efo/efo.owl||immunoglobulin alpha fc receptor measurement
EFO_0009176|Experimental Factor Ontology|http://www.ebi.ac.uk/efo/efo.owl||adrenal suppression measurement
