db_reference|evidence|label|qualifier|source|source_id|source_type|source_url|target_id|target_type
"[""GO_REF:0000043""]"|IEA|involved_in|"[""involved_in""]"|GOA|A0A075B6H7|protein|http://geneontology.org/gene-associations/goa_human.gaf.gz|GO_0002250|biological_process
"[""GO_REF:0000043""]"|IEA|involved_in|"[""involved_in""]"|GOA|A0A075B6H8|protein|http://geneontology.org/gene-associations/goa_human.gaf.gz|GO_0002250|biological_process
"[""GO_REF:0000043""]"|IEA|involved_in|"[""involved_in""]"|GOA|A0A075B6H9|protein|http://geneontology.org/gene-associations/goa_human.gaf.gz|GO_0002250|biological_process
"[""GO_REF:0000043""]"|IEA|involved_in|"[""involved_in""]"|GOA|A0A075B6I0|protein|http://geneontology.org/gene-associations/goa_human.gaf.gz|GO_0002250|biological_process
"[""GO_REF:0000043""]"|IEA|involved_in|"[""involved_in""]"|GOA|A0A075B6I1|protein|http://geneontology.org/gene-associations/goa_human.gaf.gz|GO_0002250|biological_process
"[""GO_REF:0000043""]"|IEA|involved_in|"[""involved_in""]"|GOA|A0A075B6I3|protein|http://geneontology.org/gene-associations/goa_human.gaf.gz|GO_0002250|biological_process
"[""GO_REF:0000043""]"|IEA|involved_in|"[""involved_in""]"|GOA|A0A075B6I4|protein|http://geneontology.org/gene-associations/goa_human.gaf.gz|GO_0002250|biological_process
"[""GO_REF:0000043""]"|IEA|involved_in|"[""involved_in""]"|GOA|A0A075B6I6|protein|http://geneontology.org/gene-associations/goa_human.gaf.gz|GO_0002250|biological_process
"[""GO_REF:0000043""]"|IEA|involved_in|"[""involved_in""]"|GOA|A0A075B6I7|protein|http://geneontology.org/gene-associations/goa_human.gaf.gz|GO_0002250|biological_process
"[""GO_REF:0000043""]"|IEA|involved_in|"[""involved_in""]"|GOA|A0A075B6I9|protein|http://geneontology.org/gene-associations/goa_human.gaf.gz|GO_0002250|biological_process
"[""GO_REF:0000043""]"|IEA|involved_in|"[""involved_in""]"|GOA|A0A075B6J1|protein|http://geneontology.org/gene-associations/goa_human.gaf.gz|GO_0002250|biological_process
"[""GO_REF:0000043""]"|IEA|involved_in|"[""involved_in""]"|GOA|A0A075B6J2|protein|http://geneontology.org/gene-associations/goa_human.gaf.gz|GO_0002250|biological_process
"[""GO_REF:0000043""]"|IEA|involved_in|"[""involved_in""]"|GOA|A0A075B6J6|protein|http://geneontology.org/gene-associations/goa_human.gaf.gz|GO_0002250|biological_process
"[""GO_REF:0000043""]"|IEA|involved_in|"[""involved_in""]"|GOA|A0A075B6J9|protein|http://geneontology.org/gene-associations/goa_human.gaf.gz|GO_0002250|biological_process
"[""GO_REF:0000043""]"|IEA|involved_in|"[""involved_in""]"|GOA|A0A075B6K0|protein|http://geneontology.org/gene-associations/goa_human.gaf.gz|GO_0002250|biological_process
"[""GO_REF:0000043""]"|IEA|involved_in|"[""involved_in""]"|GOA|A0A075B6K2|protein|http://geneontology.org/gene-associations/goa_human.gaf.gz|GO_0002250|biological_process
"[""GO_REF:0000043""]"|IEA|involved_in|"[""involved_in""]"|GOA|A0A075B6K4|protein|http://geneontology.org/gene-associations/goa_human.gaf.gz|GO_0002250|biological_process
"[""GO_REF:0000043""]"|IEA|involved_in|"[""involved_in""]"|GOA|A0A075B6K5|protein|http://geneontology.org/gene-associations/goa_human.gaf.gz|GO_0002250|biological_process
"[""GO_REF:0000043""]"|IEA|involved_in|"[""involved_in""]"|GOA|A0A075B6K6|protein|http://geneontology.org/gene-associations/goa_human.gaf.gz|GO_0002250|biological_process
"[""GO_REF:0000043""]"|IEA|involved_in|"[""involved_in""]"|GOA|A0A075B6L2|protein|http://geneontology.org/gene-associations/goa_human.gaf.gz|GO_0002250|biological_process
"[""GO_REF:0000043""]"|IEA|involved_in|"[""involved_in""]"|GOA|A0A075B6L6|protein|http://geneontology.org/gene-associations/goa_human.gaf.gz|GO_0002250|biological_process
"[""GO_REF:0000043""]"|IEA|involved_in|"[""involved_in""]"|GOA|A0A075B6N1|protein|http://geneontology.org/gene-associations/goa_human.gaf.gz|GO_0002250|biological_process
"[""GO_REF:0000043""]"|IEA|involved_in|"[""involved_in""]"|GOA|A0A075B6N2|protein|http://geneontology.org/gene-associations/goa_human.gaf.gz|GO_0002250|biological_process
"[""GO_REF:0000043""]"|IEA|involved_in|"[""involved_in""]"|GOA|A0A075B6N3|protein|http://geneontology.org/gene-associations/goa_human.gaf.gz|GO_0002250|biological_process
"[""GO_REF:0000043""]"|IEA|involved_in|"[""involved_in""]"|GOA|A0A075B6N4|protein|http://geneontology.org/gene-associations/goa_human.gaf.gz|GO_0002250|biological_process
"[""GO_REF:0000043""]"|IEA|involved_in|"[""involved_in""]"|GOA|A0A075B6P5|protein|http://geneontology.org/gene-associations/goa_human.gaf.gz|GO_0002250|biological_process
"[""GO_REF:0000043""]"|IEA|involved_in|"[""involved_in""]"|GOA|A0A075B6Q5|protein|http://geneontology.org/gene-associations/goa_human.gaf.gz|GO_0002250|biological_process
"[""GO_REF:0000043""]"|IEA|involved_in|"[""involved_in""]"|GOA|A0A075B6R0|protein|http://geneontology.org/gene-associations/goa_human.gaf.gz|GO_0002250|biological_process
"[""GO_REF:0000043""]"|IEA|involved_in|"[""involved_in""]"|GOA|A0A075B6R0|protein|http://geneontology.org/gene-associations/goa_human.gaf.gz|GO_0045087|biological_process
"[""GO_REF:0000043""]"|IEA|involved_in|"[""involved_in""]"|GOA|A0A075B6R2|protein|http://geneontology.org/gene-associations/goa_human.gaf.gz|GO_0002250|biological_process
"[""GO_REF:0000043""]"|IEA|involved_in|"[""involved_in""]"|GOA|A0A075B6R9|protein|http://geneontology.org/gene-associations/goa_human.gaf.gz|GO_0002250|biological_process
"[""GO_REF:0000043""]"|IEA|involved_in|"[""involved_in""]"|GOA|A0A075B6S0|protein|http://geneontology.org/gene-associations/goa_human.gaf.gz|GO_0002250|biological_process
"[""GO_REF:0000043""]"|IEA|involved_in|"[""involved_in""]"|GOA|A0A075B6S2|protein|http://geneontology.org/gene-associations/goa_human.gaf.gz|GO_0002250|biological_process
"[""GO_REF:0000043""]"|IEA|involved_in|"[""involved_in""]"|GOA|A0A075B6S4|protein|http://geneontology.org/gene-associations/goa_human.gaf.gz|GO_0002250|biological_process
