db_reference|evidence|label|qualifier|source|source_id|source_type|source_url|target_id|target_type
"[""GO_REF:0000043""]"|IEA|enables|"[""enables""]"|GOA|A0A024RBG1|protein|http://geneontology.org/gene-associations/goa_human.gaf.gz|GO_0003723|molecular_function
"[""GO_REF:0000043""]"|IEA|enables|"[""enables""]"|GOA|A0A024RBG1|protein|http://geneontology.org/gene-associations/goa_human.gaf.gz|GO_0046872|molecular_function
"[""PMID:21081917""]"|IPI|enables|"[""enables""]"|GOA|A0A087WT01|protein|http://geneontology.org/gene-associations/goa_human.gaf.gz|GO_0005515|molecular_function
"[""PMID:35044719""]"|IPI|enables|"[""enables""]"|GOA|A0A087WUL8|protein|http://geneontology.org/gene-associations/goa_human.gaf.gz|GO_0005515|molecular_function
"[""GO_REF:0000043""]"|IEA|enables|"[""enables""]"|GOA|A0A087WUV0|protein|http://geneontology.org/gene-associations/goa_human.gaf.gz|GO_0046872|molecular_function
"[""GO_REF:0000002""]"|IEA|enables|"[""enables""]"|GOA|A0A087X1C5|protein|http://geneontology.org/gene-associations/goa_human.gaf.gz|GO_0005506|molecular_function
"[""PMID:15051713""]"|IDA|enables|"[""enables""]"|GOA|A0A087X1C5|protein|http://geneontology.org/gene-associations/goa_human.gaf.gz|GO_0070330|molecular_function
"[""GO_REF:0000002""]"|IEA|enables|"[""enables""]"|GOA|A0A096LNW5|protein|http://geneontology.org/gene-associations/goa_human.gaf.gz|GO_0005509|molecular_function
"[""GO_REF:0000002""]"|IEA|enables|"[""enables""]"|GOA|A0A096LP49|protein|http://geneontology.org/gene-associations/goa_human.gaf.gz|GO_0008017|molecular_function
"[""GO_REF:0000043""]"|IEA|enables|"[""enables""]"|GOA|A0A096LPK9|protein|http://geneontology.org/gene-associations/goa_human.gaf.gz|GO_0004930|molecular_function
"[""GO_REF:0000002""]"|IEA|enables|"[""enables""]"|GOA|A0A096LPK9|protein|http://geneontology.org/gene-associations/goa_human.gaf.gz|GO_0004984|molecular_function
"[""PMID:6440030""]"|NAS|enables|"[""enables""]"|GOA|A0A0A6YYK7|protein|http://geneontology.org/gene-associations/goa_human.gaf.gz|GO_0042287|molecular_function
"[""PMID:6440030""]"|NAS|enables|"[""enables""]"|GOA|A0A0A6YYK7|protein|http://geneontology.org/gene-associations/goa_human.gaf.gz|GO_0042605|molecular_function
"[""GO_REF:0000002""]"|IEA|enables|"[""enables""]"|GOA|A0A0B4J1T7|protein|http://geneontology.org/gene-associations/goa_human.gaf.gz|GO_0004675|molecular_function
"[""PMID:32296183""]"|IPI|enables|"[""enables""]"|GOA|A0A0B4J2D5|protein|http://geneontology.org/gene-associations/goa_human.gaf.gz|GO_0005515|molecular_function
