alternative_ids|id|source|source_url|synonyms|term_name
"[""GO:0000945""]"|GO_0017069|Gene Ontology|http://purl.obolibrary.org/obo/go.owl|"[""small nuclear RNA binding""]"|snRNA binding
|GO_0090447|Gene Ontology|http://purl.obolibrary.org/obo/go.owl||glycerol-3-phosphate 2-O-acyltransferase activity
|GO_0008826|Gene Ontology|http://purl.obolibrary.org/obo/go.owl|"[""cysteine sulphinate desulphinase activity""]"|cysteine sulfinate desulfinase activity
|GO_0047346|Gene Ontology|http://purl.obolibrary.org/obo/go.owl|"[""ADP sugar phosphorylase activity"", ""ADP-aldose phosphorylase activity"", ""ADP:alpha-D-aldose-1-phosphate adenylyltransferase activity"", ""ADPaldose phosphorylase activity"", ""adenosine diphosphate glucose:orthophosphate adenylyltransferase activity"", ""adenosine diphosphosugar phosphorylase activity"", ""ADP:aldose-1-phosphate adenylyltransferase activity""]"|aldose-1-phosphate adenylyltransferase activity
|GO_0110153|Gene Ontology|http://purl.obolibrary.org/obo/go.owl||RNA NAD-cap (NMN-forming) hydrolase activity
|GO_1904599|Gene Ontology|http://purl.obolibrary.org/obo/go.owl||advanced glycation end-product binding
|GO_0032143|Gene Ontology|http://purl.obolibrary.org/obo/go.owl||single thymine insertion binding
|GO_0008194|Gene Ontology|http://purl.obolibrary.org/obo/go.owl||UDP-glycosyltransferase activity
|GO_0106141|Gene Ontology|http://purl.obolibrary.org/obo/go.owl||flavin prenyltransferase activity
|GO_0015462|Gene Ontology|http://purl.obolibrary.org/obo/go.owl|"[""ATPase-coupled protein transmembrane transporter activity"", ""protein-transmembrane transporting ATPase activity"", ""ABC-type protein transmembrane transporter activity"", ""protein ABC transporter""]"|ABC-type protein transporter activity
|GO_0098769|Gene Ontology|http://purl.obolibrary.org/obo/go.owl||TIMP family protein binding
|GO_0050005|Gene Ontology|http://purl.obolibrary.org/obo/go.owl|"[""3-hydroxy-3-(4-methylpent-3-en-1-yl)glutaryl-CoA hydro-lyase [3-(4-methylpent-3-en-1-yl)pent-2-enedioyl-CoA-forming]"", ""3-hydroxy-3-(4-methylpent-3-en-1-yl)glutaryl-CoA hydro-lyase activity"", ""3-hydroxy-3-isohexenylglutaryl-CoA-hydrolase activity"", ""beta-isohexenylglutaconyl-CoA-hydratase activity"", ""isohexenylglutaconyl coenzyme A hydratase activity""]"|isohexenylglutaconyl-CoA hydratase activity
|GO_0018479|Gene Ontology|http://purl.obolibrary.org/obo/go.owl|"[""benzaldehyde (NAD) dehydrogenase activity"", ""benzaldehyde:NAD+ oxidoreductase activity""]"|benzaldehyde dehydrogenase (NAD+) activity
|GO_0102396|Gene Ontology|http://purl.obolibrary.org/obo/go.owl||9-cis-10-apo-beta-carotenal cleavage oxygenase activity
|GO_0015179|Gene Ontology|http://purl.obolibrary.org/obo/go.owl||L-amino acid transmembrane transporter activity
|GO_0051035|Gene Ontology|http://purl.obolibrary.org/obo/go.owl||DNA transmembrane transporter activity
|GO_0042625|Gene Ontology|http://purl.obolibrary.org/obo/go.owl|"[""ATP-dependent ion transmembrane transporter activity"", ""ATPase activity, coupled to transmembrane movement of ions"", ""ATPase coupled ion transmembrane transporter activity""]"|ATPase-coupled ion transmembrane transporter activity
|GO_0018624|Gene Ontology|http://purl.obolibrary.org/obo/go.owl|"[""toluene 1,2-dioxygenase activity"", ""toluene 2,3-dioxygenase activity"", ""toluene,NADH:oxygen oxidoreductase (1,2-hydroxylating)""]"|toluene dioxygenase activity
|GO_0046523|Gene Ontology|http://purl.obolibrary.org/obo/go.owl|"[""1-PMTR isomerase activity"", ""1-phospho-5-S-methylthioribose isomerase activity"", ""5-methylthio-5-deoxy-D-ribose-1-phosphate ketol-isomerase activity"", ""MTR-1-P isomerase activity"", ""S-methyl-5-thio-5-deoxy-D-ribose-1-phosphate aldose-ketose-isomerase activity"", ""S-methyl-5-thio-5-deoxy-D-ribose-1-phosphate ketol-isomerase activity"", ""S-methyl-5-thio-D-ribose-1-phosphate aldose-ketose-isomerase activity"", ""S-methyl-5-thio-alpha-D-ribose-1-phosphate aldose-ketose-isomerase activity"", ""methylthioribose 1-phosphate isomerase activity"", ""5-methylthioribose-1-phosphate isomerase activity""]"|S-methyl-5-thioribose-1-phosphate isomerase activity
|GO_0140012|Gene Ontology|http://purl.obolibrary.org/obo/go.owl||histone H4K5ac reader activity
|GO_0031836|Gene Ontology|http://purl.obolibrary.org/obo/go.owl|"[""neurokinin-B receptor binding""]"|neuromedin K receptor binding
|GO_0071553|Gene Ontology|http://purl.obolibrary.org/obo/go.owl|"[""G protein coupled pyrimidinergic nucleotide receptor activity"", ""G-protein coupled pyrimidinergic nucleotide receptor activity"", ""pyrimidinergic nucleotide receptor activity, G protein coupled"", ""pyrimidinergic nucleotide receptor activity, G-protein coupled""]"|G protein-coupled pyrimidinergic nucleotide receptor activity
|GO_0106250|Gene Ontology|http://purl.obolibrary.org/obo/go.owl||DNA-binding transcription repressor activity, RNA polymerase III-specific
|GO_0015141|Gene Ontology|http://purl.obolibrary.org/obo/go.owl|"[""dicarboxylate (succinate/fumarate/malate) antiporter activity""]"|succinate transmembrane transporter activity
|GO_0047367|Gene Ontology|http://purl.obolibrary.org/obo/go.owl|"[""3-phosphoadenylyl-sulfate:quercetin-3,3-bissulfate 7-sulfotransferase activity"", ""7-sulfotransferase activity"", ""PAPS:flavonol 3,3/3,4-disulfate 7-sulfotransferase activity"", ""flavonol 7-sulfotransferase activity"", ""quercetin-3,3-bissulphate 7-sulphotransferase activity""]"|quercetin-3,3-bissulfate 7-sulfotransferase activity
"[""GO:0004041"", ""GO:0008122""]"|GO_0008131|Gene Ontology|http://purl.obolibrary.org/obo/go.owl|"[""primary amine oxidase activity"", ""primary-amine:oxygen oxidoreductase (deaminating) activity""]"|primary methylamine oxidase activity
|GO_0047124|Gene Ontology|http://purl.obolibrary.org/obo/go.owl|"[""L-3,5-diaminohexanoate dehydrogenase activity"", ""L-erythro-3,5-diaminohexanoate:NAD+ oxidoreductase (deaminating)""]"|L-erythro-3,5-diaminohexanoate dehydrogenase activity
|GO_0033840|Gene Ontology|http://purl.obolibrary.org/obo/go.owl|"[""GBSS"", ""GBSSI"", ""GBSSII"", ""NDP-glucose:1,4-alpha-D-glucan 4-alpha-D-glucosyltransferase activity"", ""NDPglucose-starch glucosyltransferase activity"", ""granule-bound starch synthase I activity"", ""granule-bound starch synthase II activity"", ""granule-bound starch synthase activity"", ""starch granule-bound nucleoside diphosphate glucose-starch glucosyltransferase activity"", ""starch synthase II activity"", ""waxy protein""]"|alpha-1,4-glucan glucosyltransferase (NDP-glucose donor) activity
|GO_0050809|Gene Ontology|http://purl.obolibrary.org/obo/go.owl|"[""diazepam binding inhibitor activity"", ""Valium binding""]"|diazepam binding
|GO_0047640|Gene Ontology|http://purl.obolibrary.org/obo/go.owl|"[""D-aldose:NAD+ 1-oxidoreductase activity"", ""aldose dehydrogenase activity"", ""dehydrogenase, D-aldohexose""]"|aldose 1-dehydrogenase activity
|GO_0032558|Gene Ontology|http://purl.obolibrary.org/obo/go.owl||adenyl deoxyribonucleotide binding
"[""GO:0102604"", ""GO:0102668""]"|GO_0033770|Gene Ontology|http://purl.obolibrary.org/obo/go.owl||2-hydroxyisoflavanone synthase activity
|GO_0015489|Gene Ontology|http://purl.obolibrary.org/obo/go.owl||putrescine transmembrane transporter activity
|GO_0047047|Gene Ontology|http://purl.obolibrary.org/obo/go.owl|"[""D-glycerate:NAD(P)+ oxidoreductase (carboxylating)""]"|oxaloglycolate reductase (decarboxylating) activity
|GO_0005169|Gene Ontology|http://purl.obolibrary.org/obo/go.owl||neurotrophin TRKB receptor binding
|GO_0050249|Gene Ontology|http://purl.obolibrary.org/obo/go.owl|"[""3-phosphoadenylyl-sulfate:Renilla luciferin sulfotransferase activity"", ""luciferin sulfokinase (3-phosphoadenylyl sulfate:luciferin sulfotransferase)"", ""luciferin sulfokinase activity"", ""Renilla-luciferin sulphotransferase activity""]"|Renilla-luciferin sulfotransferase activity
|GO_0018626|Gene Ontology|http://purl.obolibrary.org/obo/go.owl|"[""2-chlorobenzoate,NADH:oxygen oxidoreductase (1,2-hydroxylating, dechlorinating, decarboxylating)""]"|2-halobenzoate 1,2-dioxygenase activity
|GO_0005092|Gene Ontology|http://purl.obolibrary.org/obo/go.owl|"[""GDI""]"|GDP-dissociation inhibitor activity
|GO_0004917|Gene Ontology|http://purl.obolibrary.org/obo/go.owl|"[""IL-7 receptor activity"", ""IL-7R""]"|interleukin-7 receptor activity
|GO_0102172|Gene Ontology|http://purl.obolibrary.org/obo/go.owl||4alpha-hydroxymethyl,4beta,14alpha-dimethyl-9beta,19-cyclo-5alpha-ergost-24(241)-en-3beta-ol-4alpha-methyl oxidase activity
|GO_0047093|Gene Ontology|http://purl.obolibrary.org/obo/go.owl|"[""1-H-4-oxoquinoline 3-monooxygenase activity"", ""quinolin-4(1H)-one 3-monooxygenase activity"", ""quinolin-4(1H)-one,NADH:oxygen oxidoreductase (3-oxygenating)""]"|4-hydroxyquinoline 3-monooxygenase activity
|GO_0106277|Gene Ontology|http://purl.obolibrary.org/obo/go.owl|"[""biliverdin reductase (NADP+) activity""]"|biliverdin reductase (NADPH) activity
|GO_0031868|Gene Ontology|http://purl.obolibrary.org/obo/go.owl|"[""prostanoid FP receptor binding""]"|prostaglandin F2-alpha receptor binding
|GO_0050549|Gene Ontology|http://purl.obolibrary.org/obo/go.owl|"[""N-cyclohexylformamide hydro-lyase (cyclohexyl-isocyanide-forming)"", ""N-cyclohexylformamide hydro-lyase activity"", ""isonitrile hydratase activity""]"|cyclohexyl-isocyanide hydratase activity
|GO_0071855|Gene Ontology|http://purl.obolibrary.org/obo/go.owl||neuropeptide receptor binding
|GO_0016521|Gene Ontology|http://purl.obolibrary.org/obo/go.owl|"[""pituitary adenylyl cyclase activating polypeptide activity""]"|pituitary adenylate cyclase activating polypeptide activity
"[""GO:0022820""]"|GO_0015379|Gene Ontology|http://purl.obolibrary.org/obo/go.owl||potassium:chloride symporter activity
|GO_0016871|Gene Ontology|http://purl.obolibrary.org/obo/go.owl|"[""(S)-2,3-epoxysqualene mutase (cyclizing, cycloartenol-forming)"", ""2,3-epoxysqualene cycloartenol-cyclase activity"", ""2,3-epoxysqualene--cycloartenol cyclase activity"", ""2,3-oxidosqualene-cycloartenol cyclase activity"", ""squalene-2,3-epoxide-cycloartenol cyclase activity"", ""oxidosqualene:cycloartenol cyclase activity""]"|cycloartenol synthase activity
|GO_0051192|Gene Ontology|http://purl.obolibrary.org/obo/go.owl||prosthetic group binding
|GO_0030331|Gene Ontology|http://purl.obolibrary.org/obo/go.owl||nuclear estrogen receptor binding
|GO_0032452|Gene Ontology|http://purl.obolibrary.org/obo/go.owl||histone demethylase activity
|GO_0140926|Gene Ontology|http://purl.obolibrary.org/obo/go.owl||L-kynurenine transmembrane transporter activity
|GO_0050412|Gene Ontology|http://purl.obolibrary.org/obo/go.owl|"[""UDP-glucose:trans-cinnamate beta-D-glucosyltransferase activity"", ""UDPG:t-cinnamate glucosyltransferase activity"", ""UDPglucose:trans-cinnamate beta-D-glucosyltransferase activity"", ""uridine diphosphoglucose-cinnamate glucosyltransferase activity"", ""cinnamate b-D-glucosyltransferase activity"", ""cinnamate glucosyltransferase activity""]"|cinnamate beta-D-glucosyltransferase activity
|GO_0015124|Gene Ontology|http://purl.obolibrary.org/obo/go.owl||allantoate transmembrane transporter activity
|GO_0010385|Gene Ontology|http://purl.obolibrary.org/obo/go.owl||double-stranded methylated DNA binding
"[""GO:0003736"", ""GO:0003737"", ""GO:0003738"", ""GO:0003739"", ""GO:0003740"", ""GO:0003741"", ""GO:0003742""]"|GO_0003735|Gene Ontology|http://purl.obolibrary.org/obo/go.owl|"[""ribosomal RNA""]"|structural constituent of ribosome
|GO_0047392|Gene Ontology|http://purl.obolibrary.org/obo/go.owl|"[""CMP-N-acetylneuraminate hydrolase activity"", ""CMP-N-acylneuraminate N-acylneuraminohydrolase activity"", ""CMP-N-acylneuraminic acid hydrolase activity"", ""CMP-sialate hydrolase activity"", ""CMP-sialic acid hydrolase activity"", ""cytidine monophosphate-N-acetylneuraminic acid hydrolase activity"", ""cytidine monophosphosialate hydrolase activity"", ""cytidine monophosphosialic hydrolase activity""]"|CMP-N-acylneuraminate phosphodiesterase activity
|GO_0015227|Gene Ontology|http://purl.obolibrary.org/obo/go.owl||O-acyl-L-carnitine transmembrane transporter activity
|GO_0030629|Gene Ontology|http://purl.obolibrary.org/obo/go.owl|"[""U6 snRNA 3 end binding""]"|U6 snRNA 3-end binding
|GO_0047678|Gene Ontology|http://purl.obolibrary.org/obo/go.owl|"[""L-arginine:oxygen 2-oxidoreductase (decarboxylating)"", ""arginine decarboxy-oxidase activity"", ""arginine monooxygenase activity"", ""arginine oxygenase (decarboxylating) activity""]"|arginine 2-monooxygenase activity
|GO_0005030|Gene Ontology|http://purl.obolibrary.org/obo/go.owl||neurotrophin receptor activity
|GO_0031489|Gene Ontology|http://purl.obolibrary.org/obo/go.owl||myosin V binding
|GO_0004068|Gene Ontology|http://purl.obolibrary.org/obo/go.owl|"[""L-aspartate 1-carboxy-lyase (beta-alanine-forming)"", ""L-aspartate 1-carboxy-lyase activity"", ""L-aspartate alpha-decarboxylase activity"", ""aspartate alpha-decarboxylase activity""]"|aspartate 1-decarboxylase activity
|GO_0015228|Gene Ontology|http://purl.obolibrary.org/obo/go.owl||coenzyme A transmembrane transporter activity
|GO_0005009|Gene Ontology|http://purl.obolibrary.org/obo/go.owl|"[""insulin-activated receptor activity""]"|insulin receptor activity
|GO_0140807|Gene Ontology|http://purl.obolibrary.org/obo/go.owl||NAD+-protein-glutamate ADP-ribosyltransferase activity
|GO_0047943|Gene Ontology|http://purl.obolibrary.org/obo/go.owl|"[""L-glutamate:methylamine ligase (ADP-forming)"", ""gamma-glutamylmethylamide synthetase activity""]"|glutamate-methylamine ligase activity
|GO_0106439|Gene Ontology|http://purl.obolibrary.org/obo/go.owl||L-lysine:L-arginine antiporter activity
|GO_0015183|Gene Ontology|http://purl.obolibrary.org/obo/go.owl||L-aspartate transmembrane transporter activity
"[""GO:0047607""]"|GO_0050079|Gene Ontology|http://purl.obolibrary.org/obo/go.owl|"[""3-oxopropanoate hydro-lyase (propynoate-forming)"", ""3-oxopropanoate hydro-lyase activity"", ""acetylenemonocarboxylate hydrase activity"", ""acetylmonocarboxylic acid hydrase activity"", ""malonate-semialdehyde dehydratase activity""]"|acetylenecarboxylate hydratase activity
"[""GO:0000944""]"|GO_0019843|Gene Ontology|http://purl.obolibrary.org/obo/go.owl||rRNA binding
|GO_0062076|Gene Ontology|http://purl.obolibrary.org/obo/go.owl|"[""acyl-CoA D5-desaturase activity"", ""acyl-CoA delta(5)-desaturase activity"", ""acyl-CoA delta5-desaturase activity""]"|acyl-CoA (8-3)-desaturase activity
|GO_0016285|Gene Ontology|http://purl.obolibrary.org/obo/go.owl|"[""soluble alanyl aminopeptidase activity"", ""thiol-activated aminopeptidase activity"", ""cytosol alanyl aminopeptidase activity""]"|alanyl aminopeptidase activity
|GO_0030554|Gene Ontology|http://purl.obolibrary.org/obo/go.owl||adenyl nucleotide binding
|GO_0008307|Gene Ontology|http://purl.obolibrary.org/obo/go.owl||structural constituent of muscle
|GO_0005528|Gene Ontology|http://purl.obolibrary.org/obo/go.owl|"[""FK506-sensitive peptidyl-prolyl cis-trans isomerase""]"|FK506 binding
|GO_0140586|Gene Ontology|http://purl.obolibrary.org/obo/go.owl|"[""terminator-promoter loop anchoring activity""]"|promoter-terminator loop anchoring activity
|GO_0050417|Gene Ontology|http://purl.obolibrary.org/obo/go.owl|"[""L-ASNase/L-GLNase activity"", ""L-asparagine/L-glutamine amidohydrolase activity"", ""L-glutamine(L-asparagine) amidohydrolase activity"", ""glutaminase-asparaginase activity"", ""glutaminase-(asparagin-)ase activity""]"|glutamin-(asparagin-)ase activity
|GO_1901375|Gene Ontology|http://purl.obolibrary.org/obo/go.owl||acetate ester transmembrane transporter activity
|GO_0140481|Gene Ontology|http://purl.obolibrary.org/obo/go.owl|"[""ATPase-coupled iron-sulfur cluster transmembrane transporter activity"", ""ATPase-coupled Fe-S cluster transmembrane transporter activity""]"|ABC-type iron-sulfur cluster transporter activity
|GO_0070026|Gene Ontology|http://purl.obolibrary.org/obo/go.owl|"[""NO binding"", ""nitrogen monoxide binding"", ""nitrosyl binding""]"|nitric oxide binding
|GO_0140929|Gene Ontology|http://purl.obolibrary.org/obo/go.owl||mannose:sodium symporter activity
"[""GO:0008522""]"|GO_0005415|Gene Ontology|http://purl.obolibrary.org/obo/go.owl||nucleoside:sodium symporter activity
|GO_0008467|Gene Ontology|http://purl.obolibrary.org/obo/go.owl|"[""3-phosphoadenylyl-sulfate:heparin-glucosamine 3-O-sulfotransferase activity"", ""3-OST activity"", ""glucosaminyl 3-O-sulfotransferase activity"", ""heparan sulfate D-glucosaminyl 3-O-sulfotransferase activity"", ""heparin-glucosamine 3-O-sulfotransferase activity"", ""heparin-glucosamine 3-O-sulphotransferase activity""]"|[heparan sulfate]-glucosamine 3-sulfotransferase activity
|GO_0047205|Gene Ontology|http://purl.obolibrary.org/obo/go.owl|"[""feruloyl-CoA:quinate O-(hydroxycinnamoyl)transferase activity"", ""hydroxycinnamoyl coenzyme A-quinate transferase activity""]"|quinate O-hydroxycinnamoyltransferase activity
|GO_0062182|Gene Ontology|http://purl.obolibrary.org/obo/go.owl||all-trans retinoic acid 4-hydrolase activity
|GO_0016857|Gene Ontology|http://purl.obolibrary.org/obo/go.owl||racemase and epimerase activity, acting on carbohydrates and derivatives
|GO_0052755|Gene Ontology|http://purl.obolibrary.org/obo/go.owl|"[""F420H2-dependent quinone oxidoreductase activity"", ""F420H2:2,3-dimethyl-1,4-naphthoquinone oxidoreductase activity"", ""F420H2:quinone oxidoreductase activity"", ""reduced coenzyme F420:quinone oxidoreductase activity""]"|coenzyme F420H2:quinone oxidoreductase activity
|GO_0015090|Gene Ontology|http://purl.obolibrary.org/obo/go.owl|"[""low affinity iron ion transmembrane transporter activity"", ""low affinity iron transporter activity""]"|low-affinity ferric iron ion transmembrane transporter activity
|GO_0047334|Gene Ontology|http://purl.obolibrary.org/obo/go.owl|"[""6-phosphofructokinase (diphosphate) activity"", ""6-phosphofructokinase (pyrophosphate) activity"", ""diphosphate-dependent 6-phosphofructose-1-kinase activity"", ""diphosphate:D-fructose-6-phosphate 1-phosphotransferase activity"", ""inorganic pyrophosphate-dependent phosphofructokinase activity"", ""inorganic pyrophosphate-phosphofructokinase activity"", ""pyrophosphate--fructose 6-phosphate 1-phosphotransferase activity"", ""pyrophosphate-dependent 6-phosphofructose-1-kinase activity"", ""pyrophosphate-dependent phosphofructo-1-kinase activity"", ""pyrophosphate-fructose 6-phosphate phosphotransferase activity""]"|diphosphate-fructose-6-phosphate 1-phosphotransferase activity
|GO_0047759|Gene Ontology|http://purl.obolibrary.org/obo/go.owl|"[""butanal:NAD(P)+ oxidoreductase (CoA-acylating)"", ""butanal dehydrogenase activity""]"|butanal dehydrogenase [NAD(P)+] activity
|GO_0038021|Gene Ontology|http://purl.obolibrary.org/obo/go.owl||leptin receptor activity
|GO_0008873|Gene Ontology|http://purl.obolibrary.org/obo/go.owl|"[""2-keto-D-gluconate reductase activity"", ""2-ketogluconate reductase activity""]"|gluconate 2-dehydrogenase activity
"[""GO:0008561""]"|GO_0008551|Gene Ontology|http://purl.obolibrary.org/obo/go.owl|"[""Cd(2+)-exporting ATPase activity"", ""Cd2+-exporting ATPase activity"", ""cadmium transmembrane transporter activity, phosphorylative mechanism"", ""cadmium exporting ATPase activity"", ""cadmium-translocating P-type ATPase activity""]"|P-type cadmium transporter activity
|GO_0140750|Gene Ontology|http://purl.obolibrary.org/obo/go.owl|"[""nucleosome array spacing activity""]"|nucleosome array spacer activity
|GO_0004621|Gene Ontology|http://purl.obolibrary.org/obo/go.owl|"[""GPI-PLD activity"", ""glycoprotein-phosphatidylinositol phosphatidohydrolase activity"", ""phosphatidylinositol phospholipase D activity"", ""phosphatidylinositol-glycan-specific phospholipase D activity"", ""phosphatidylinositol-specific phospholipase D activity"", ""glycoprotein phospholipase D activity""]"|glycosylphosphatidylinositol phospholipase D activity
|GO_0035237|Gene Ontology|http://purl.obolibrary.org/obo/go.owl||corazonin receptor activity
|GO_0018730|Gene Ontology|http://purl.obolibrary.org/obo/go.owl|"[""acetyl-CoA:(E)-glutaconate CoA-transferase activity""]"|glutaconate CoA-transferase activity
|GO_0009008|Gene Ontology|http://purl.obolibrary.org/obo/go.owl|"[""Type II DNA methylase"", ""deoxyribonucleic acid modification methylase activity"", ""DNA methyltransferase activity"", ""DNA transmethylase activity"", ""deoxyribonucleate methylase activity"", ""deoxyribonucleate methyltransferase activity"", ""deoxyribonucleic acid methylase activity"", ""deoxyribonucleic acid methyltransferase activity""]"|DNA-methyltransferase activity
