alternative_ids|id|source|source_url|synonyms|term_name
|HP_6000403|Human Phenotype Ontology|http://purl.obolibrary.org/obo/hp.owl||Elevated circulating lysophosphatidylcholine concentration
|HP_0004557|Human Phenotype Ontology|http://purl.obolibrary.org/obo/hp.owl||Anterior vertebral fusion
|HP_0032807|Human Phenotype Ontology|http://purl.obolibrary.org/obo/hp.owl||Neonatal seizure
|HP_0034868|Human Phenotype Ontology|http://purl.obolibrary.org/obo/hp.owl||Entamoeba histolytica antibody positive in stool
|HP_0033823|Human Phenotype Ontology|http://purl.obolibrary.org/obo/hp.owl||Mediastinal mass
"[""HP:0008860"", ""HP:0008917""]"|HP_0001530|Human Phenotype Ontology|http://purl.obolibrary.org/obo/hp.owl|"[""Mild growth deficiency"", ""Postnatal onset of mild growth retardation""]"|Mild postnatal growth retardation
|HP_0033993|Human Phenotype Ontology|http://purl.obolibrary.org/obo/hp.owl||Viral encephalitis
"[""HP:0020063""]"|HP_0001900|Human Phenotype Ontology|http://purl.obolibrary.org/obo/hp.owl|"[""Increased Hb"", ""Increased Hb concentration"", ""Increased haemoglobin"", ""Increased haemoglobin concentration"", ""Increased hemoglobin"", ""Increased hemoglobin concentration""]"|Increased circulating hemoglobin concentration
|HP_0040113|Human Phenotype Ontology|http://purl.obolibrary.org/obo/hp.owl|"[""Presbycusis""]"|Old-aged sensorineural hearing impairment
|HP_0009512|Human Phenotype Ontology|http://purl.obolibrary.org/obo/hp.owl|"[""Triangular end part of the outermost bone of the index finger""]"|Triangular epiphysis of the distal phalanx of the 2nd finger
"[""HP:0005693""]"|HP_0004570|Human Phenotype Ontology|http://purl.obolibrary.org/obo/hp.owl|"[""Tall vertebral bodies""]"|Increased vertebral height
|HP_0011771|Human Phenotype Ontology|http://purl.obolibrary.org/obo/hp.owl||Autoimmune hypoparathyroidism
|HP_6000976|Human Phenotype Ontology|http://purl.obolibrary.org/obo/hp.owl||Intrahepatic inclusion bodies
|HP_0012207|Human Phenotype Ontology|http://purl.obolibrary.org/obo/hp.owl|"[""Asthenospermia"", ""Asthenozoospermia"", ""Reduced sperm motility""]"|Reduced sperm motility
|HP_6001187|Human Phenotype Ontology|http://purl.obolibrary.org/obo/hp.owl||Reduced circulating progranulin concentration
|HP_6001207|Human Phenotype Ontology|http://purl.obolibrary.org/obo/hp.owl||Lunotriquetral ligament tear
|HP_0004664|Human Phenotype Ontology|http://purl.obolibrary.org/obo/hp.owl||Facial midline hemangioma
|HP_0003274|Human Phenotype Ontology|http://purl.obolibrary.org/obo/hp.owl|"[""Acetabular hypoplasia"", ""Hypoplastic acetabula""]"|Hypoplastic acetabulae
"[""HP:0025767"", ""HP:0025768""]"|HP_0031844|Human Phenotype Ontology|http://purl.obolibrary.org/obo/hp.owl|"[""Abnormally elevated mood"", ""Elevated positive affect"", ""Enhanced pleasure response"", ""Excessive joyfulness"", ""Inappropriately happy"", ""Pathological cheerfulness"", ""Pathological emotional elevation"", ""Euphoric mood"", ""Extreme elation"", ""Inappropriate elation""]"|Euphoria
|HP_5200009|Human Phenotype Ontology|http://purl.obolibrary.org/obo/hp.owl||Midline hand movements
|HP_0030930|Human Phenotype Ontology|http://purl.obolibrary.org/obo/hp.owl||1-minute APGAR score of 3
|HP_0007199|Human Phenotype Ontology|http://purl.obolibrary.org/obo/hp.owl||Progressive spastic paraparesis
|HP_0025423|Human Phenotype Ontology|http://purl.obolibrary.org/obo/hp.owl||Abnormal larynx morphology
|HP_0000925|Human Phenotype Ontology|http://purl.obolibrary.org/obo/hp.owl|"[""Abnormality of the backbone"", ""Abnormal spine"", ""Abnormal vertebral column"", ""Abnormality of the spine"", ""Abnormality of the vertebral column""]"|Abnormality of the vertebral column
|HP_0031777|Human Phenotype Ontology|http://purl.obolibrary.org/obo/hp.owl||Cyclophoria
|HP_0034839|Human Phenotype Ontology|http://purl.obolibrary.org/obo/hp.owl||Lymphoid hyperplasia
|HP_0030767|Human Phenotype Ontology|http://purl.obolibrary.org/obo/hp.owl|"[""Palatine teratoma""]"|Epignathus
