go_term_id|label|pathway_name|source|source_id|source_type|source_url|subontology|target_id|target_type
GO:0006015|pathway_to_biological_process|5-Phosphoribose 1-diphosphate biosynthesis|REACTOME|R-HSA-73843|pathway|https://reactome.org|biological_process|GO_0006015|biological_process
GO:0006869|pathway_to_biological_process|ABC transporters in lipid homeostasis|REACTOME|R-HSA-1369062|pathway|https://reactome.org|biological_process|GO_0006869|biological_process
GO:0055085|pathway_to_biological_process|ABC-family proteins mediated transport|REACTOME|R-HSA-382556|pathway|https://reactome.org|biological_process|GO_0055085|biological_process
GO:0002862|pathway_to_biological_process|ADORA2B mediated anti-inflammatory cytokines production|REACTOME|R-HSA-9660821|pathway|https://reactome.org|biological_process|GO_0002862|biological_process
GO:0030168|pathway_to_biological_process|ADP signalling through P2Y purinoceptor 1|REACTOME|R-HSA-418592|pathway|https://reactome.org|biological_process|GO_0030168|biological_process
GO:0030168|pathway_to_biological_process|ADP signalling through P2Y purinoceptor 12|REACTOME|R-HSA-392170|pathway|https://reactome.org|biological_process|GO_0030168|biological_process
GO:0043491|pathway_to_biological_process|AKT phosphorylates targets in the cytosol|REACTOME|R-HSA-198323|pathway|https://reactome.org|biological_process|GO_0043491|biological_process
GO:0043491|pathway_to_biological_process|AKT phosphorylates targets in the nucleus|REACTOME|R-HSA-198693|pathway|https://reactome.org|biological_process|GO_0043491|biological_process
GO:2000074|pathway_to_biological_process|AKT-mediated inactivation of FOXO1A|REACTOME|R-HSA-211163|pathway|https://reactome.org|biological_process|GO_2000074|biological_process
GO:0042304|pathway_to_biological_process|AMPK inhibits chREBP transcriptional activation activity|REACTOME|R-HSA-163680|pathway|https://reactome.org|biological_process|GO_0042304|biological_process
GO:0031145|pathway_to_biological_process|APC/C-mediated degradation of cell cycle proteins|REACTOME|R-HSA-174143|pathway|https://reactome.org|biological_process|GO_0031145|biological_process
GO:0031145|pathway_to_biological_process|APC/C:Cdc20 mediated degradation of Cyclin B|REACTOME|R-HSA-174048|pathway|https://reactome.org|biological_process|GO_0031145|biological_process
GO:0031145|pathway_to_biological_process|APC/C:Cdc20 mediated degradation of Securin|REACTOME|R-HSA-174154|pathway|https://reactome.org|biological_process|GO_0031145|biological_process
GO:0007096|pathway_to_biological_process|APC/C:Cdc20 mediated degradation of mitotic proteins|REACTOME|R-HSA-176409|pathway|https://reactome.org|biological_process|GO_0007096|biological_process
GO:0036500|pathway_to_biological_process|ATF6 (ATF6-alpha) activates chaperones|REACTOME|R-HSA-381033|pathway|https://reactome.org|biological_process|GO_0036500|biological_process
GO:0010389|pathway_to_biological_process|AURKA Activation by TPX2|REACTOME|R-HSA-8854518|pathway|https://reactome.org|biological_process|GO_0010389|biological_process
GO:0006805|pathway_to_biological_process|Abacavir metabolism|REACTOME|R-HSA-2161541|pathway|https://reactome.org|biological_process|GO_0006805|biological_process
GO:0072530|pathway_to_biological_process|Abacavir transmembrane transport|REACTOME|R-HSA-2161517|pathway|https://reactome.org|biological_process|GO_0072530|biological_process
GO:0006284|pathway_to_biological_process|Abasic sugar-phosphate removal via the single-nucleotide replacement pathway|REACTOME|R-HSA-73930|pathway|https://reactome.org|biological_process|GO_0006284|biological_process
GO:0006103|pathway_to_biological_process|Abnormal conversion of 2-oxoglutarate to 2-hydroxyglutarate|REACTOME|R-HSA-2978092|pathway|https://reactome.org|biological_process|GO_0006103|biological_process
GO:0006836|pathway_to_biological_process|Acetylcholine Neurotransmitter Release Cycle|REACTOME|R-HSA-264642|pathway|https://reactome.org|biological_process|GO_0006836|biological_process
GO:0032024|pathway_to_biological_process|Acetylcholine regulates insulin secretion|REACTOME|R-HSA-399997|pathway|https://reactome.org|biological_process|GO_0032024|biological_process
