id|pathway_name|source|source_url
R-HSA-164843|2-LTR circle formation|REACTOME|https://reactome.org
R-HSA-73843|5-Phosphoribose 1-diphosphate biosynthesis|REACTOME|https://reactome.org
R-HSA-1971475|A tetrasaccharide linker sequence is required for GAG synthesis|REACTOME|https://reactome.org
R-HSA-5619084|ABC transporter disorders|REACTOME|https://reactome.org
R-HSA-1369062|ABC transporters in lipid homeostasis|REACTOME|https://reactome.org
R-HSA-382556|ABC-family proteins mediated transport|REACTOME|https://reactome.org
R-HSA-9033807|ABO blood group biosynthesis|REACTOME|https://reactome.org
R-HSA-9660821|ADORA2B mediated anti-inflammatory cytokines production|REACTOME|https://reactome.org
R-HSA-418592|ADP signalling through P2Y purinoceptor 1|REACTOME|https://reactome.org
R-HSA-392170|ADP signalling through P2Y purinoceptor 12|REACTOME|https://reactome.org
R-HSA-198323|AKT phosphorylates targets in the cytosol|REACTOME|https://reactome.org
R-HSA-198693|AKT phosphorylates targets in the nucleus|REACTOME|https://reactome.org
R-HSA-211163|AKT-mediated inactivation of FOXO1A|REACTOME|https://reactome.org
R-HSA-9700645|ALK mutants bind TKIs|REACTOME|https://reactome.org
R-HSA-112122|ALKBH2 mediated reversal of alkylation damage|REACTOME|https://reactome.org
R-HSA-112126|ALKBH3 mediated reversal of alkylation damage|REACTOME|https://reactome.org
R-HSA-163680|AMPK inhibits chREBP transcriptional activation activity|REACTOME|https://reactome.org
R-HSA-5467333|APC truncation mutants are not K63 polyubiquitinated|REACTOME|https://reactome.org
R-HSA-5467337|APC truncation mutants have impaired AXIN binding|REACTOME|https://reactome.org
R-HSA-179409|APC-Cdc20 mediated degradation of Nek2A|REACTOME|https://reactome.org
R-HSA-174143|APC/C-mediated degradation of cell cycle proteins|REACTOME|https://reactome.org
R-HSA-174048|APC/C:Cdc20 mediated degradation of Cyclin B|REACTOME|https://reactome.org
R-HSA-174154|APC/C:Cdc20 mediated degradation of Securin|REACTOME|https://reactome.org
R-HSA-176409|APC/C:Cdc20 mediated degradation of mitotic proteins|REACTOME|https://reactome.org
R-HSA-174178|APC/C:Cdh1 mediated degradation of Cdc20 and other APC/C:Cdh1 targeted proteins in late mitosis/early G1|REACTOME|https://reactome.org
R-HSA-179419|APC:Cdc20 mediated degradation of cell cycle proteins prior to satisfation of the cell cycle checkpoint|REACTOME|https://reactome.org
R-HSA-5649702|APEX1-Independent Resolution of AP Sites via the Single Nucleotide Replacement Pathway|REACTOME|https://reactome.org
R-HSA-180689|APOBEC3G mediated resistance to HIV-1 infection|REACTOME|https://reactome.org
R-HSA-5624958|ARL13B-mediated ciliary trafficking of INPP5E|REACTOME|https://reactome.org
R-HSA-170984|ARMS-mediated activation|REACTOME|https://reactome.org
R-HSA-9717264|ASP-3026-resistant ALK mutants|REACTOME|https://reactome.org
R-HSA-380994|ATF4 activates genes in response to endoplasmic reticulum  stress|REACTOME|https://reactome.org
R-HSA-381183|ATF6 (ATF6-alpha) activates chaperone genes|REACTOME|https://reactome.org
R-HSA-381033|ATF6 (ATF6-alpha) activates chaperones|REACTOME|https://reactome.org
R-HSA-8874177|ATF6B (ATF6-beta) activates chaperones|REACTOME|https://reactome.org
R-HSA-1296025|ATP sensitive Potassium channels|REACTOME|https://reactome.org
R-HSA-450408|AUF1 (hnRNP D0) binds and destabilizes mRNA|REACTOME|https://reactome.org
R-HSA-8854518|AURKA Activation by TPX2|REACTOME|https://reactome.org
R-HSA-5467340|AXIN missense mutants destabilize the destruction complex|REACTOME|https://reactome.org
R-HSA-2161522|Abacavir ADME|REACTOME|https://reactome.org
R-HSA-2161541|Abacavir metabolism|REACTOME|https://reactome.org
R-HSA-2161517|Abacavir transmembrane transport|REACTOME|https://reactome.org
R-HSA-73930|Abasic sugar-phosphate removal via the single-nucleotide replacement pathway|REACTOME|https://reactome.org
R-HSA-9659787|Aberrant regulation of mitotic G1/S transition in cancer due to RB1 defects|REACTOME|https://reactome.org
R-HSA-9687139|Aberrant regulation of mitotic cell cycle due to RB1 defects|REACTOME|https://reactome.org
R-HSA-9687136|Aberrant regulation of mitotic exit in cancer due to RB1 defects|REACTOME|https://reactome.org
R-HSA-2978092|Abnormal conversion of 2-oxoglutarate to 2-hydroxyglutarate|REACTOME|https://reactome.org
R-HSA-167242|Abortive elongation of HIV-1 transcript in the absence of Tat|REACTOME|https://reactome.org
R-HSA-156582|Acetylation|REACTOME|https://reactome.org
R-HSA-264642|Acetylcholine Neurotransmitter Release Cycle|REACTOME|https://reactome.org
R-HSA-181431|Acetylcholine binding and downstream events|REACTOME|https://reactome.org
R-HSA-9667769|Acetylcholine inhibits contraction of outer hair cells|REACTOME|https://reactome.org
R-HSA-399997|Acetylcholine regulates insulin secretion|REACTOME|https://reactome.org
