label|score|source|source_id|source_type|source_url|target_id|target_type
interacts_with|0.173|STRING|P84085|protein|https://string-db.org/|Q86X27|protein
interacts_with|0.154|STRING|P84085|protein|https://string-db.org/|Q9C0D6|protein
interacts_with|0.151|STRING|P84085|protein|https://string-db.org/|P36543|protein
interacts_with|0.471|STRING|P84085|protein|https://string-db.org/|Q99418|protein
interacts_with|0.201|STRING|P84085|protein|https://string-db.org/|Q9NYI0|protein
interacts_with|0.18|STRING|P84085|protein|https://string-db.org/|Q8N5M4|protein
interacts_with|0.181|STRING|P84085|protein|https://string-db.org/|P14672|protein
interacts_with|0.594|STRING|P84085|protein|https://string-db.org/|Q9UJY5|protein
interacts_with|0.154|STRING|P84085|protein|https://string-db.org/|Q96I51|protein
interacts_with|0.161|STRING|P84085|protein|https://string-db.org/|P62987|protein
interacts_with|0.303|STRING|P84085|protein|https://string-db.org/|O14653|protein
interacts_with|0.168|STRING|P84085|protein|https://string-db.org/|P54762|protein
interacts_with|0.217|STRING|P84085|protein|https://string-db.org/|Q9H8Y8|protein
interacts_with|0.155|STRING|P84085|protein|https://string-db.org/|Q96QD9|protein
interacts_with|0.347|STRING|P84085|protein|https://string-db.org/|P08581|protein
interacts_with|0.197|STRING|P84085|protein|https://string-db.org/|Q9H853|protein
interacts_with|0.513|STRING|P84085|protein|https://string-db.org/|Q7Z4S6|protein
interacts_with|0.322|STRING|P84085|protein|https://string-db.org/|Q00610|protein
interacts_with|0.206|STRING|P84085|protein|https://string-db.org/|P31689|protein
interacts_with|0.227|STRING|P84085|protein|https://string-db.org/|Q68CZ1|protein
interacts_with|0.153|STRING|P84085|protein|https://string-db.org/|Q02045|protein
interacts_with|0.16|STRING|P84085|protein|https://string-db.org/|P49770|protein
interacts_with|0.164|STRING|P84085|protein|https://string-db.org/|P56192|protein
interacts_with|0.163|STRING|P84085|protein|https://string-db.org/|Q92733|protein
interacts_with|0.174|STRING|P84085|protein|https://string-db.org/|P43405|protein
interacts_with|0.201|STRING|P84085|protein|https://string-db.org/|P63151|protein
interacts_with|0.648|STRING|P84085|protein|https://string-db.org/|Q9H0U4|protein
interacts_with|0.154|STRING|P84085|protein|https://string-db.org/|O75865|protein
interacts_with|0.206|STRING|P84085|protein|https://string-db.org/|P20290|protein
interacts_with|0.501|STRING|P84085|protein|https://string-db.org/|Q9BXF6|protein
interacts_with|0.286|STRING|P84085|protein|https://string-db.org/|P30044|protein
interacts_with|0.325|STRING|P84085|protein|https://string-db.org/|Q14161|protein
interacts_with|0.166|STRING|P84085|protein|https://string-db.org/|Q99666|protein
interacts_with|0.164|STRING|P84085|protein|https://string-db.org/|P62834|protein
interacts_with|0.533|STRING|P84085|protein|https://string-db.org/|Q96FN5|protein
interacts_with|0.201|STRING|P84085|protein|https://string-db.org/|P07737|protein
interacts_with|0.17|STRING|P84085|protein|https://string-db.org/|O95782|protein
interacts_with|0.21|STRING|P84085|protein|https://string-db.org/|Q96QF0|protein
interacts_with|0.204|STRING|P84085|protein|https://string-db.org/|P62258|protein
interacts_with|0.15|STRING|P84085|protein|https://string-db.org/|A0A0B4J2F2|protein
interacts_with|0.224|STRING|P84085|protein|https://string-db.org/|P54219|protein
interacts_with|0.178|STRING|P84085|protein|https://string-db.org/|P63267|protein
interacts_with|0.172|STRING|P84085|protein|https://string-db.org/|Q8TEY5|protein
interacts_with|0.217|STRING|P84085|protein|https://string-db.org/|Q3SXY8|protein
interacts_with|0.322|STRING|P84085|protein|https://string-db.org/|Q9BYB0|protein
interacts_with|0.233|STRING|P84085|protein|https://string-db.org/|P15880|protein
interacts_with|0.271|STRING|P84085|protein|https://string-db.org/|Q8IWJ2|protein
interacts_with|0.162|STRING|P84085|protein|https://string-db.org/|Q14296|protein
