alternative_ids|id|source|source_url|synonyms|term_name
|UBERON_0007801|UBERON|http://purl.obolibrary.org/obo/uberon.owl||pygostyle
|UBERON_0028395|UBERON|http://purl.obolibrary.org/obo/uberon.owl|"[""calcarine sulcus (dorsal)""]"|calcarine sulcus (dorsal)
"[""UBERON:0007824""]"|UBERON_0007823|UBERON|http://purl.obolibrary.org/obo/uberon.owl|"[""fin girdle"", ""fin girdle region"", ""limb girdle"", ""limb girdle region""]"|appendage girdle region
|UBERON_0015766|UBERON|http://purl.obolibrary.org/obo/uberon.owl|"[""epithelium of salivary duct"", ""salivary duct epithelium"", ""salivary ductal epithelium""]"|epithelium of duct of salivary gland
"[""UBERON:0015242""]"|UBERON_0003974|UBERON|http://purl.obolibrary.org/obo/uberon.owl|"[""upper third of vagina"", ""upper vagina"", ""cranial vagina"", ""pelvic part of vagina"", ""vagina upper part""]"|upper part of vagina
|UBERON_0005902|UBERON|http://purl.obolibrary.org/obo/uberon.owl|"[""back of head"", ""basicranial region"", ""occipital part of head"", ""occipital region of head""]"|occipital region
|UBERON_0000933|UBERON|http://purl.obolibrary.org/obo/uberon.owl|"[""branchial muscles"", ""musculi pharyngis"", ""musculus pharyngis"", ""tunica muscularis pharyngis"", ""branchial muscle"", ""muscle of pharynx"", ""muscle organ of pharynx"", ""pharyngeal muscle"", ""pharynx muscle"", ""pharynx muscle organ""]"|chordate pharyngeal muscle
|UBERON_0011309|UBERON|http://purl.obolibrary.org/obo/uberon.owl|"[""body of the mandible"", ""corpus mandibulae"", ""mandibular body""]"|body of mandible
|UBERON_0004319|UBERON|http://purl.obolibrary.org/obo/uberon.owl|"[""5th toe distal phalanx"", ""distal phalanx of 5th toe"", ""distal phalanx of fifth digit of foot"", ""distal phalanx of fifth toe"", ""distal phalanx of foot digit 5"", ""distal phalanx of little toe"", ""distal phalanx of pedal digit V"", ""distal phalanx of the 5th toe"", ""fifth distal phalanx of foot"", ""foot digit 5 distal phalanx""]"|distal phalanx of pedal digit 5
|UBERON_0002341|UBERON|http://purl.obolibrary.org/obo/uberon.owl|"[""epithelial tissue of segmental bronchus"", ""epithelial tissue of tertiary bronchus"", ""epithelium of tertiary bronchus"", ""segmental bronchial epithelium"", ""segmental bronchus epithelial tissue"", ""segmental bronchus epithelium"", ""tertiary bronchus epithelial tissue"", ""tertiary bronchus epithelium""]"|epithelium of segmental bronchus
|UBERON_2001312|UBERON|http://purl.obolibrary.org/obo/uberon.owl|"[""anterodorsal lateral line ganglion""]"|dorsal anterior lateral line ganglion
|UBERON_0001643|UBERON|http://purl.obolibrary.org/obo/uberon.owl|"[""CN-III"", ""cranial nerve III"", ""nerve III"", ""occulomotor"", ""oculomotor nerve or its root"", ""nervus oculomotorius"", ""nervus oculomotorius [III]"", ""oculomotor III"", ""oculomotor III nerve"", ""oculomotor nerve [III]"", ""oculomotor nerve tree"", ""third cranial nerve""]"|oculomotor nerve
|UBERON_2001806|UBERON|http://purl.obolibrary.org/obo/uberon.owl||intracranial diverticulum of swimbladder
|UBERON_0000019|UBERON|http://purl.obolibrary.org/obo/uberon.owl|"[""camera-type eye plus associated structures"", ""eyes"", ""orbital part of face"", ""orbital region"", ""regio orbitalis""]"|camera-type eye
|UBERON_4200044|UBERON|http://purl.obolibrary.org/obo/uberon.owl||articular surface for the calcaneum on the astragalus
|UBERON_0008432|UBERON|http://purl.obolibrary.org/obo/uberon.owl||thoracic vertebral foramen
|UBERON_3000784|UBERON|http://purl.obolibrary.org/obo/uberon.owl|"[""medial condyle""]"|ulnar condyle
|UBERON_0037534|UBERON|http://purl.obolibrary.org/obo/uberon.owl|"[""lateral common iliac node""]"|lateral common iliac lymph node
|UBERON_0005200|UBERON|http://purl.obolibrary.org/obo/uberon.owl|"[""anterior mammary gland"", ""breast mammary gland""]"|thoracic mammary gland
|UBERON_0018143|UBERON|http://purl.obolibrary.org/obo/uberon.owl||transverse process of cervical vertebra
|UBERON_0014398|UBERON|http://purl.obolibrary.org/obo/uberon.owl||respiratory muscle
|UBERON_0003260|UBERON|http://purl.obolibrary.org/obo/uberon.owl|"[""hindgut endoderm""]"|endoderm of hindgut
|UBERON_0001635|UBERON|http://purl.obolibrary.org/obo/uberon.owl|"[""arteria superior cerebelli""]"|superior cerebellar artery
|UBERON_3010163|UBERON|http://purl.obolibrary.org/obo/uberon.owl||metacarpal fold
|UBERON_0010577|UBERON|http://purl.obolibrary.org/obo/uberon.owl|"[""fore limb digit 3 phalanx pre-cartilage condensation"", ""manual digit III phalanx pre-cartilage condensation""]"|manual digit 3 phalanx pre-cartilage condensation
|UBERON_0015085|UBERON|http://purl.obolibrary.org/obo/uberon.owl||distal carpal bone 1 cartilage
|UBERON_0014735|UBERON|http://purl.obolibrary.org/obo/uberon.owl|"[""paleocortex"", ""paleocortex (Zilles)"", ""palaeocortex"", ""paleocortex (semicortex)""]"|paleocortex
|UBERON_0022776|UBERON|http://purl.obolibrary.org/obo/uberon.owl|"[""composite part spanning multiple base regional parts of brain""]"|composite part spanning multiple base regional parts of brain
|UBERON_2002043|UBERON|http://purl.obolibrary.org/obo/uberon.owl|"[""posterior branch of parapophysis 4"", ""posterior wing of parapophysis 4""]"|posterior limb of parapophysis 4
|UBERON_0018562|UBERON|http://purl.obolibrary.org/obo/uberon.owl|"[""c"", ""permanent lower canine tooth"", ""lower permanent canine tooth"", ""mandibular secondary canine tooth""]"|lower secondary canine tooth
|UBERON_0034972|UBERON|http://purl.obolibrary.org/obo/uberon.owl|"[""glomus jugulare"", ""glomus tympanicum"", ""jugulotympanic body"", ""tympanic body""]"|jugular body
|UBERON_2000264|UBERON|http://purl.obolibrary.org/obo/uberon.owl|"[""preopercles"", ""preoperculum""]"|preopercle
|UBERON_0011948|UBERON|http://purl.obolibrary.org/obo/uberon.owl||ureter subluminal urothelium
|UBERON_0001092|UBERON|http://purl.obolibrary.org/obo/uberon.owl|"[""C1 vertebra"", ""atlas"", ""atlas (CI)"", ""atlas [C I]"", ""atlas vertebra"", ""cervical atlas"", ""cervical vertebra 1"", ""first cervical vertebra"", ""vertebra 1""]"|vertebral bone 1
|UBERON_0034841|UBERON|http://purl.obolibrary.org/obo/uberon.owl|"[""CA3Rsp""]"|stratum pyramidale of rostral CA3
|UBERON_0015043|UBERON|http://purl.obolibrary.org/obo/uberon.owl|"[""manual digit 1 metacarpus element"", ""manual digit I metacarpus endochondral element""]"|manual digit 1 metacarpus endochondral element
|UBERON_0006071|UBERON|http://purl.obolibrary.org/obo/uberon.owl|"[""post-anal caudal region"", ""post-anal tail region"", ""postsacral region"", ""tail region""]"|caudal region
|UBERON_0008284|UBERON|http://purl.obolibrary.org/obo/uberon.owl|"[""columella muscle""]"|columnella muscle
|UBERON_2005073|UBERON|http://purl.obolibrary.org/obo/uberon.owl|"[""AV ring""]"|atrioventricular ring
|UBERON_0004912|UBERON|http://purl.obolibrary.org/obo/uberon.owl|"[""hepatic diverticulum""]"|biliary bud
|UBERON_0018113|UBERON|http://purl.obolibrary.org/obo/uberon.owl|"[""left renal stroma"", ""stroma of left kidney""]"|left kidney interstitium
|UBERON_0008799|UBERON|http://purl.obolibrary.org/obo/uberon.owl|"[""set of transverse palatine folds"", ""hard palate palatal rugae"", ""hard palate ruga"", ""impressiones rugales"", ""palatal rugae"", ""palatine fold"", ""palatine rugae"", ""plica palatina transversa"", ""plicae palatinae transversae"", ""ruga of palate"", ""ruga palatina"", ""rugae of palate"", ""rugae palatinae"", ""transverse palatine folds"", ""transverse palatine folds set"", ""transverse palatine ridge""]"|transverse palatine fold
|UBERON_8440062|UBERON|http://purl.obolibrary.org/obo/uberon.owl|"[""PS (sensu Mustela putorius furo)""]"|posterior suprasylvian visual cortical area (sensu Mustela putorius furo)
|UBERON_6004788|UBERON|http://purl.obolibrary.org/obo/uberon.owl||insect adult external abdomen
|UBERON_2001286|UBERON|http://purl.obolibrary.org/obo/uberon.owl||caudal vein plexus
|UBERON_0035146|UBERON|http://purl.obolibrary.org/obo/uberon.owl||tractus sacci vasculosi
|UBERON_0014534|UBERON|http://purl.obolibrary.org/obo/uberon.owl|"[""external medullary lamina of the thalamus"", ""external medullary lamina"", ""lamella medullaris externa"", ""lamina medullaris externa"", ""lamina medullaris externa thalami"", ""lamina medullaris lateralis thalami"", ""lamina medullaris thalami externa""]"|external medullary lamina of thalamus
|UBERON_2002038|UBERON|http://purl.obolibrary.org/obo/uberon.owl||basioccipital-exoccipital joint
