label|source_id|source_type|target_id|target_type
translation_of|q9nu02|protein|enst00000378380|transcript
translation_of|q9nu02|protein|enst00000378392|transcript
translation_of|q9y2f9-2|protein|enst00000254977|transcript
translation_of|q9y2f9-1|protein|enst00000378226|transcript
translation_of|q9y2f9-2|protein|enst00000399006|transcript
translation_of|q9y2f9-1|protein|enst00000405977|transcript
translation_of|q9y2f9-2|protein|enst00000618296|transcript
translation_of|q9y2f9-2|protein|enst00000618918|transcript
translation_of|p55212-1|protein|enst00000265164|transcript
translation_of|p55212-2|protein|enst00000352981|transcript
translation_of|p06307|protein|enst00000334681|transcript
translation_of|p06307|protein|enst00000396169|transcript
translation_of|p06307|protein|enst00000434608|transcript
translation_of|q8n2m8|protein|enst00000391952|transcript
translation_of|q8n2m8|protein|enst00000391953|transcript
translation_of|q8ni60-1|protein|enst00000366777|transcript
translation_of|q8ni60-3|protein|enst00000366778|transcript
translation_of|p78504-1|protein|enst00000254958|transcript
translation_of|p13473-1|protein|enst00000200639|transcript
translation_of|p13473-2|protein|enst00000371335|transcript
translation_of|p13473-3|protein|enst00000434600|transcript
translation_of|q9npj1|protein|enst00000347364|transcript
translation_of|q9npj1|protein|enst00000399054|transcript
translation_of|q9npj1|protein|enst00000651692|transcript
translation_of|q9p286|protein|enst00000353224|transcript
translation_of|q9p286|protein|enst00000378423|transcript
translation_of|q9p286|protein|enst00000378429|transcript
translation_of|p07237|protein|enst00000331483|transcript
translation_of|o75400-5|protein|enst00000354363|transcript
translation_of|o75400-1|protein|enst00000696381|transcript
translation_of|q9y371-1|protein|enst00000370558|transcript
translation_of|q9y371-2|protein|enst00000482504|transcript
translation_of|q9y371-3|protein|enst00000535010|transcript
translation_of|p60880-1|protein|enst00000254976|transcript
translation_of|p60880-2|protein|enst00000304886|transcript
translation_of|p60880-1|protein|enst00000685131|transcript
translation_of|p60880-1|protein|enst00000687785|transcript
translation_of|p60880-1|protein|enst00000689757|transcript
translation_of|p60880-1|protein|enst00000689858|transcript
translation_of|p60880-1|protein|enst00000690812|transcript
translation_of|p60880-1|protein|enst00000691161|transcript
translation_of|p60880-1|protein|enst00000691353|transcript
translation_of|p60880-1|protein|enst00000691665|transcript
translation_of|p60880-1|protein|enst00000692411|transcript
translation_of|p60880-1|protein|enst00000693325|transcript
