Identifier	Name	GO_Term
R-HSA-1008248	Adenylate Kinase 3 is a GTP-AMP phosphotransferase	GO:0046899
R-HSA-1013012	Binding of Gbeta/gamma to GIRK/Kir3 channels	GO:0004965
R-HSA-1013013	Association of GABA B receptor with G protein beta-gamma subunits	GO:0004965
R-HSA-1013020	Activation of GIRK/Kir3 Channels	GO:0015467
R-HSA-1022129	ST3GAL4 transfers Neu5Ac to terminal Gal of N-glycans	GO:0003836
R-HSA-1022133	ST8SIA2,3,6 transfer Neu5Ac to terminal Gal of N-glycans	GO:0003828
R-HSA-1028788	FUT8 transfers fucosyl group from GDP-Fuc to GlcNAc of NGP	GO:0008424
R-HSA-109278	NT5E:Zn2+ hydrolyses AMP,dAMP,GMP, IMP	GO:0008253
R-HSA-109291	CMP or TMP or UMP + H2O => cytidine, thymidine, or uridine + orthophosphate [NT5E]	GO:0008253
R-HSA-109338	Isomerization of cis,cis-3,6-Dodecadienoyl-CoA to form trans,cis-Lauro-2,6-dienoyl-CoA	GO:0004165
R-HSA-109341	dehydrogenation of 4-cis-decenoyl-CoA to form 2-trans-4-cis-decadienoyl-CoA	GO:0003995
R-HSA-109343	Reduction of 2-trans-4-cis-decadienoyl-CoA to form 3-trans-decenoyl-CoA	GO:0016651
R-HSA-109380	(d)CMP, TMP, or (d)UMP + H2O => (deoxy)cytidine, thymidine, or (deoxy)uridine + orthophosphate (NT5C1A)	GO:0008253
R-HSA-109387	(2'-deoxy)purine nucleoside 5'-monophosphate + H2O => (2'-deoxy)purine nucleoside + orthophosphate [NT5C1A]	GO:0008253
R-HSA-109415	AMP + H2O => adenosine + orthophosphate [NT5C1B]	GO:0008253
R-HSA-109449	(d)CMP, TMP, or (d)UMP + H2O => (deoxy)cytidine, thymidine, or (deoxy)uridine + orthophosphate (NT5C3)	GO:0008253
R-HSA-109470	(d)GMP or (d)IMP + H2O => (d)G or (d)I + orthophosphate (NT5C)	GO:0008253
R-HSA-109480	TMP, uridine 2', 3', or 5' monophosphates, or deoxyuridine 3' or 5' monophosphates + H2O => thymidine or (deoxy)uridine + orthophosphate [NT5C]	GO:0008253
R-HSA-109514	TMP, (d)UMP, uridine 2' monophosphate, or uridine 3'-monophosphate + H2O => thymidine, deoxyuridine, or uridine + orthophosphate [NT5M]	GO:0008253
R-HSA-109527	Equilibrative transport (import) of nucleosides and free bases by solute carrier family 29 (nucleoside transporters), member 2	GO:0005337
R-HSA-109529	Equilibrative transport (export) of nucleosides and free bases by solute carrier family 29 (nucleoside transporters), member 2	GO:0005337
R-HSA-109530	Concentrative transport (import) of a nucleoside and a sodium ions by solute carrier family 28 (sodium-coupled nucleoside transporter), member 1	GO:0005415
R-HSA-109534	Equilibrative transport (export) of nucleosides and free bases by solute carrier family 29 (nucleoside transporters), member 1	GO:0005337
R-HSA-109536	Equilibrative transport (import) of nucleosides and free bases by solute carrier family 29 (nucleoside transporters), member 1	GO:0005337
R-HSA-109538	Concentrative transport (import) of a nucleoside and two sodium ions by solute carrier family 28 (sodium-coupled nucleoside transporter), member 3	GO:0005415
R-HSA-109539	Concentrative transport (import) of nucleosides plus sodium ions by solute carrier family 28 (sodium-coupled nucleoside transporter), member 2	GO:0005415
