# Interactor 1 uniprot id	Interactor 1 Ensembl gene id	Interactor 1 Entrez Gene id	Interactor 2 uniprot id	Interactor 2 Ensembl gene id	Interactor 2 Entrez Gene id	Interaction type	Interaction context	Pubmed references
uniprotkb:P10984	ENSEMBL:T04C12.5.1|ENSEMBL:T04C12.5.1|ENSEMBL:WBGene00000064	-	uniprotkb:P10984	ENSEMBL:T04C12.5.1|ENSEMBL:T04C12.5.1|ENSEMBL:WBGene00000064	-	physical association	reactome:R-CEL-9913263	24243840
uniprotkb:P10984	ENSEMBL:T04C12.5.1|ENSEMBL:T04C12.5.1|ENSEMBL:WBGene00000064	-	ChEBI:30616	-	-	physical association	reactome:R-CEL-9913263	24243840
uniprotkb:O45815	ENSEMBL:T25C8.2.1|ENSEMBL:T25C8.2.1|ENSEMBL:WBGene00000067	-	uniprotkb:P10984	ENSEMBL:T04C12.5.1|ENSEMBL:T04C12.5.1|ENSEMBL:WBGene00000064	-	physical association	reactome:R-CEL-9913263	24243840
uniprotkb:P10984	ENSEMBL:T04C12.5.1|ENSEMBL:T04C12.5.1|ENSEMBL:WBGene00000064	-	ChEBI:30616	-	-	physical association	reactome:R-CEL-201877	24243840
uniprotkb:P10984	ENSEMBL:T04C12.5.1|ENSEMBL:T04C12.5.1|ENSEMBL:WBGene00000064	-	uniprotkb:P10984	ENSEMBL:T04C12.5.1|ENSEMBL:T04C12.5.1|ENSEMBL:WBGene00000064	-	physical association	reactome:R-CEL-201877	24243840
uniprotkb:P10984	ENSEMBL:T04C12.5.1|ENSEMBL:T04C12.5.1|ENSEMBL:WBGene00000064	-	ChEBI:30616	-	-	physical association	reactome:R-CEL-202986	24243840
uniprotkb:P10984	ENSEMBL:T04C12.5.1|ENSEMBL:T04C12.5.1|ENSEMBL:WBGene00000064	-	uniprotkb:P10984	ENSEMBL:T04C12.5.1|ENSEMBL:T04C12.5.1|ENSEMBL:WBGene00000064	-	physical association	reactome:R-CEL-202986	24243840
uniprotkb:Q95Y97	ENSEMBL:M04F3.1.1|ENSEMBL:M04F3.1.1|ENSEMBL:WBGene00019767	-	uniprotkb:O02115	ENSEMBL:W03D2.4.1|ENSEMBL:W03D2.4.1|ENSEMBL:WBGene00003955	-	physical association	reactome:R-CEL-6790530	24243840
uniprotkb:Q95Y97	ENSEMBL:M04F3.1.1|ENSEMBL:M04F3.1.1|ENSEMBL:WBGene00019767	-	uniprotkb:O02115	ENSEMBL:W03D2.4.1|ENSEMBL:W03D2.4.1|ENSEMBL:WBGene00003955	-	physical association	reactome:R-CEL-6790530	24243840
reactome:R-CEL-68461	-	-	uniprotkb:O02115	ENSEMBL:W03D2.4.1|ENSEMBL:W03D2.4.1|ENSEMBL:WBGene00003955	-	physical association	reactome:R-CEL-6790530	24243840
reactome:R-CEL-68459	-	-	uniprotkb:O02115	ENSEMBL:W03D2.4.1|ENSEMBL:W03D2.4.1|ENSEMBL:WBGene00003955	-	physical association	reactome:R-CEL-6790530	24243840
reactome:R-CEL-68459	-	-	uniprotkb:O02115	ENSEMBL:W03D2.4.1|ENSEMBL:W03D2.4.1|ENSEMBL:WBGene00003955	-	physical association	reactome:R-CEL-6790530	24243840
reactome:R-CEL-68461	-	-	uniprotkb:O02115	ENSEMBL:W03D2.4.1|ENSEMBL:W03D2.4.1|ENSEMBL:WBGene00003955	-	physical association	reactome:R-CEL-6790530	24243840
reactome:R-ALL-109961	-	-	uniprotkb:O02115	ENSEMBL:W03D2.4.1|ENSEMBL:W03D2.4.1|ENSEMBL:WBGene00003955	-	physical association	reactome:R-CEL-5690478	24243840
reactome:R-ALL-109961	-	-	uniprotkb:O02115	ENSEMBL:W03D2.4.1|ENSEMBL:W03D2.4.1|ENSEMBL:WBGene00003955	-	physical association	reactome:R-CEL-5690478	24243840
reactome:R-CEL-110340	-	-	uniprotkb:O02115	ENSEMBL:W03D2.4.1|ENSEMBL:W03D2.4.1|ENSEMBL:WBGene00003955	-	physical association	reactome:R-CEL-5690470	24243840
reactome:R-CEL-110340	-	-	uniprotkb:O02115	ENSEMBL:W03D2.4.1|ENSEMBL:W03D2.4.1|ENSEMBL:WBGene00003955	-	physical association	reactome:R-CEL-5690470	24243840
uniprotkb:Q20938	ENSEMBL:F57B9.10a.1|ENSEMBL:F57B9.10a.1|ENSEMBL:WBGene00004462	-	uniprotkb:Q22253	ENSEMBL:T06D8.8.1|ENSEMBL:T06D8.8.1|ENSEMBL:WBGene00004465	-	physical association	reactome:R-CEL-9907993	24243840
uniprotkb:Q20938	ENSEMBL:F57B9.10a.1|ENSEMBL:F57B9.10a.1|ENSEMBL:WBGene00004462	-	uniprotkb:O61792	ENSEMBL:R12E2.3.1|ENSEMBL:R12E2.3.1|ENSEMBL:WBGene00004464	-	physical association	reactome:R-CEL-9907993	24243840
uniprotkb:Q20938	ENSEMBL:F57B9.10a.1|ENSEMBL:F57B9.10a.1|ENSEMBL:WBGene00004462	-	uniprotkb:Q19324	ENSEMBL:F10G7.8.1|ENSEMBL:F10G7.8.2|ENSEMBL:F10G7.8.1|ENSEMBL:F10G7.8.2|ENSEMBL:WBGene00004461	-	physical association	reactome:R-CEL-9907993	24243840
uniprotkb:Q20938	ENSEMBL:F57B9.10a.1|ENSEMBL:F57B9.10a.1|ENSEMBL:WBGene00004462	-	uniprotkb:O76577	ENSEMBL:K07D4.3.1|ENSEMBL:K07D4.3.2|ENSEMBL:K07D4.3.2|ENSEMBL:K07D4.3.1|ENSEMBL:WBGene00004467	-	physical association	reactome:R-CEL-9907993	24243840
uniprotkb:Q20938	ENSEMBL:F57B9.10a.1|ENSEMBL:F57B9.10a.1|ENSEMBL:WBGene00004462	-	uniprotkb:O61792	ENSEMBL:R12E2.3.1|ENSEMBL:R12E2.3.1|ENSEMBL:WBGene00004464	-	physical association	reactome:R-CEL-9918360	24243840
uniprotkb:Q20938	ENSEMBL:F57B9.10a.1|ENSEMBL:F57B9.10a.1|ENSEMBL:WBGene00004462	-	uniprotkb:O76577	ENSEMBL:K07D4.3.1|ENSEMBL:K07D4.3.2|ENSEMBL:K07D4.3.2|ENSEMBL:K07D4.3.1|ENSEMBL:WBGene00004467	-	physical association	reactome:R-CEL-9918360	24243840
uniprotkb:Q20938	ENSEMBL:F57B9.10a.1|ENSEMBL:F57B9.10a.1|ENSEMBL:WBGene00004462	-	uniprotkb:Q22253	ENSEMBL:T06D8.8.1|ENSEMBL:T06D8.8.1|ENSEMBL:WBGene00004465	-	physical association	reactome:R-CEL-9918360	24243840
