Cell type	closest Cell Ontology term(s)	Cell Ontology ID
Fibroblast (General)	fibroblast	CL:0000057
Fibroblast (Epithelial)	skin fibroblast	CL:0002620
Fibroblast (Gastrointestinal)	fibroblast	CL:0000057
Adipocyte	fat cell	CL:0000136
Mesothelial Cell	mesothelial cell	CL:0000077
Fibroblast (Peripheral Nerve)	fibroblast	CL:0000057
Fibroblast (Sk Muscle Associated)	skeletal muscle fibroblast	CL:0011027
Satellite Cell	skeletal muscle satellite cell	CL:0000594
Fibroblast (Liver Adrenal)	fibroblast	CL:0000057
Thyroid Follicular Cell	thyroid follicular cell	CL:0002258
Pancreatic Acinar Cell	pancreatic acinar cell	CL:0002064
T Lymphocyte 1 (CD8+)	CD8-positive, alpha-beta T cell	CL:0000625
T lymphocyte 2 (CD4+)	CD4-positive, alpha-beta T cell	CL:0000624
Natural Killer T Cell	mature NK T cell	CL:0000814
Naive T cell	naive t cell	CL:0000898
Cardiac Pericyte 1	pericyte cell	CL:0000669
Pericyte (General) 1	pericyte cell	CL:0000669
Pericyte (General) 2	pericyte cell	CL:0000669
Pericyte (General) 3	pericyte cell	CL:0000669
Cardiac Pericyte 2	pericyte cell	CL:0000669
Pericyte (Esophageal Muscularis)	pericyte cell	CL:0000669
Pericyte (General) 4	pericyte cell	CL:0000669
Cardiac Pericyte 3	pericyte cell	CL:0000669
Cardiac Pericyte 4	pericyte cell	CL:0000669
Esophageal Epithelial Cell	non keratinizing barrier epithelial cell	CL:0000238
Pancreatic Beta Cell 1	type B pancreatic cell	CL:0000169
Pancreatic Alpha Cell 1	pancreatic A cell	CL:0000171
Pancreatic Beta Cell 2	type B pancreatic cell	CL:0000169
Pancreatic Delta,Gamma cell	pancreatic D cell, pancreatic PP cell	CL:0000173,CL:0002275
Pancreatic Alpha Cell 2	pancreatic A cell	CL:0000171
Gastric Neuroendocrine Cell	stomach neuroendocrine cell	CL:1000222
Alveolar Type 2 (AT2) Cell	type II pneumocyte	CL:0002063
Alveolar Type 1 (AT1) Cell	type I pneumocyte	CL:0002062
Alverolar Type 2,Immune	type II pneumocyte	CL:0002063
Club Cell	club cell	CL:0000158
Cilliated Cell	ciliated cell	CL:0000064
Mammary Luminal Epithelial Cell 1	luminal epithelial cell of mammary gland	CL:0002326
Basal Epithelial (Mammary)	basal cell	CL:0000646
Granular Epidermal (Skin)	granular cell of epidermis	CL:0002189
Mammary Luminal Epithelial Cell 2	luminal epithelial cell of mammary gland	CL:0002326
Eccrine Epidermal (Skin)	eccrine cell	CL:0000434
Airway Goblet Cell	respiratory goblet cell	CL:0002370
Basal Epidermal (Skin)	basal cell of epidermis	CL:0002187
Chief Cell	peptic cell	CL:0000155
Parietal Cell	parietal cell	CL:0000162
Foveolar Cell	foveolar cell of stomach	CL:0002179
Schwann Cell (General)	schwann cell	CL:0002573
Melanocyte	melanocyte	CL:0000148
Macrophage (General)	macrophage	CL:0000235
Macrophage (General,Alveolar)	alveolar macrophage	CL:0000583
Microglia	microglial cell	CL:0000129
Glutamatergic Neuron 1	glutamatergic neuron	CL:0000679
Glutamatergic Neuron 2	glutamatergic neuron	CL:0000679
GABAergic Neuron 1	gabaergic neuron	CL:0000617
GABAergic Neuron 2	gabaergic neuron	CL:0000617
CNS,Enteric Neuron	enteric neuron	CL:0007011
Keratinocyte 1	keratinocyte	CL:0000312
Keratinocyte 2	keratinocyte	CL:0000312
Transitional Zone Cortical Cell	cortical cell of adrenal gland	CL:0002097
Zona Fasciculata Cortical Cell	type II cell of adrenal cortex	CL:0002136
Zona Glomerulosa Cortical Cell	type I cell of adrenal cortex	CL:0002099
Cortical Epithelial-like	cortical cell of adrenal gland	CL:0002097
Mammary Epithelial	mammary gland epithelial cell	CL:0002327
Myoepithelial (Skin)	myoepithelial cell	CL:0000185
Luteal Cell (Ovarian)	luteal cell	CL:0000175
Plasma Cell	plasma cell	CL:0000786
Memory B Cell	memory b cell	CL:0000787
Hepatocyte	hepatocyte	CL:0000182
Oligodendrocyte Precursor	oligodendrocyte precursor cell	CL:0002453
Astrocyte 1	astrocyte	CL:0000127
Astrocyte 2	astrocyte	CL:0000127
Ductal Cell (Pancreatic)	pancreatic ductal cell	CL:0002079
Mast Cell	mast cell	CL:0000097
Ventricular Cardiomyocyte	ventricular cardiac muscle cell	CL:2000046
Atrial Cardiomyocyte	regular atrial cardiac myocyte	CL:0002129
Oligodendrocyte	oligodendrocyte	CL:0000128
Endothelial Cell (General) 1	endothelial cell	CL:0000115
Endothelial Cell (Myocardial)	cardiac endothelial cell	CL:0010008
Lymphatic Endothelial Cell	endothelial cell of lymphatic vessel	CL:0002138
Endothelial Cell (General) 2	endothelial cell	CL:0000115
Alveolar Capillary Endothelial Cell	endothelial cell	CL:0000115
Endothelial Cell (General) 3	endothelial cell	CL:0000115
Endocardial Cell	endocardial cell	CL:0002350
Endothelial (Exocrine Tissues)	endothelial cell	CL:0000115
Blood Brain Barrier Endothelial Cell	endothelial cell	CL:0000115
Smooth Muscle (Esophageal Muscularis) 1	smooth muscle cell of the esophagus	CL:0002599
Smooth Muscle (Vaginal)	smooth muscle cell	CL:0000192
Smooth Muscle (Esophageal Mucosal)	smooth muscle cell	CL:0000192
Smooth Muscle (Colon) 1	enteric smooth muscle cell	CL:0002504
Smooth Muscle (Esophageal Muscularis) 2	smooth muscle cell of the esophagus	CL:0002599
Smooth Muscle (Uterine)	uterine smooth muscle cell	CL:0002601
Smooth Muscle (General)	smooth muscle cell	CL:0000192
Smooth Muscle (GE Junction)	smooth muscle cell	CL:0000192
Smooth Muscle (Colon) 2	enteric smooth muscle cell	CL:0002504
Smooth Muscle (Esophageal Muscularis) 3	smooth muscle cell	CL:0000192
Smooth Muscle (General Gastrointestinal)	smooth muscle cell	CL:0000192
Type I Skeletal Myocyte	type I muscle cell	CL:0002211
Type II Skeletal Myocyte	type II muscle cell	CL:0002212
Vascular Smooth Muscle 1	blood vessel smooth muscle cell	CL:0019018
Vascular Smooth Muscle 2	blood vessel smooth muscle cell	CL:0019018
Cardiac Fibroblasts	fibroblast of cardiac tissue	CL:0002548
Peripheral Nerve Stromal	stromal cell	CL:0000499
Colon Epithelial Cell 1	colon epithelial cell	CL:0011108
Small Intestinal Enterocyte	enterocyte of epithelium of small intestine	CL:1000334
Colonic Goblet Cell	colon goblet cell	CL:0009039
Small Intestinal Goblet Cell	small intestine goblet cell	CL:1000495
Colon Epithelial Cell 2	colon epithelial cell	CL:0011108
Colon Epithelial Cell 3	colon epithelial cell	CL:0011108
Enterochromaffin Cell	enterochromaffin-like cell	CL:0000504
Tuft Cell	intestinal tuft cell	CL:0019032
Paneth Cell	paneth cell	CL:0000510
Fetal Adrenal Cortical Cell	cortical cell of adrenal gland	CL:0002097
Fetal Adrenal Neuron	peripheral neuron	CL:0000111
Fetal Erythroblast 2	erythroblast	CL:0000765
Fetal Excitatory Neuron 3	excitatory neuron	CL:0008030
Fetal Excitatory Neuron 4	excitatory neuron	CL:0008030
Fetal Excitatory Neuron 5	excitatory neuron	CL:0008030
Fetal Excitatory Neuron 6	excitatory neuron	CL:0008030
Fetal Excitatory Neuron 7	excitatory neuron	CL:0008030
Fetal Excitatory Neuron 8	excitatory neuron	CL:0008030
Fetal Endothelial (General) 1	endothelial cell	CL:0000115
Fetal Hepatic Endothelial 1	endothelial cell of hepatic sinusoid	CL:1000398
Fetal Endothelial (General) 2	endothelial cell	CL:0000115
Fetal Endocardial Cell	endocardial cell	CL:0002350
Fetal Alveolar Endothelial Cell	endothelial cell	CL:0000115
Fetal Hepatic Endothelial 2	endothelial cell of hepatic sinusoid	CL:1000398
Fetal Lymphatic Endothelial Cell	endothelial cell of lymphatic vessel	CL:0002138
Fetal Placental Endothelial Cell	placental villus capillary endothelial cell	CL:2000062
Fetal Endothelial (General) 3	endothelial cell	CL:0000115
Fetal Erythroblast 3	erythroblast	CL:0000765
Fetal Thymocyte	fetal thymocyte	CL:0002404
Fetal Placental Macrophage	macrophage	CL:0000235
Fetal Hepatic Macrophage 1	macrophage	CL:0000235
Fetal Macrophage (General) 1	macrophage	CL:0000235
Fetal Macrophage(General) 2	macrophage	CL:0000235
Fetal Macrophage (General) 3	macrophage	CL:0000235
Fetal Hepatic Macrophage 2	macrophage	CL:0000235
Fetal Hepatic Macrophage 3	macrophage	CL:0000235
Fetal Macrophage (General) 4	macrophage	CL:0000235
Fetal Enterocyte 1	enterocyte	CL:0000584
Fetal Enterocyte 2	enterocyte	CL:0000584
Fetal Enterocyte 3	enterocyte	CL:0000584
Fetal Goblet Cell	goblet cell	CL:0000160
Fetal Enteroendocrine	enteroendocrine cell	CL:0000164
Fetal Retinal Progenitors and Muller glia 1	Muller cell	CL:0011107
Fetal Retinal Progenitors and Muller glia 2	Muller cell	CL:0011107
Fetal Adrenal Sympathoblasts	sympathetic neuron	CL:0011103
Fetal Retinal Pigment Cell	retinal pigment epithelial cell	CL:0002586
Fetal Adrenal Chromaffin Cell	chromaffin cell of adrenal gland	CL:1000426
Fetal Retinal Neuron	retinal bipolar neuron	CL:0000748
Fetal Enteric Neuron	enteric neuron	CL:0007011
Fetal Photoreceptor Cell	photoreceptor cell	CL:0000210
Fetal Placental Neuron	neuron	CL:0000540
Fetal Enteric Glia	glial cell	CL:0000125
Fetal Schwann Cell	schwann cell	CL:0002573
Fetal T Lymphocyte 1 (CD4+)	T cell	CL:0000084
Fetal B Lymphocyte 1 (SPIB+)	B cell	CL:0000236
Fetal T Lymphocyte 2 (Cytotoxic)	T cell	CL:0000084
