ncbi_gene_id	gene_symbol	association_type	disease_id	source
NCBIGene:51099	ABHD5	MENDELIAN	OMIM:275630	ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen
NCBIGene:3190	HNRNPK	MENDELIAN	OMIM:616580	ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen
NCBIGene:51360	MBTPS2	MENDELIAN	OMIM:308205	ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen
NCBIGene:50943	FOXP3	MENDELIAN	OMIM:304790	ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen
NCBIGene:10383	TUBB4B	MENDELIAN	OMIM:617879	ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen
NCBIGene:672	BRCA1	MENDELIAN	OMIM:617883	ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen
NCBIGene:5080	PAX6	MENDELIAN	OMIM:136520	ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen
NCBIGene:1938	EEF2	MENDELIAN	OMIM:609306	ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen
NCBIGene:50484	RRM2B	MENDELIAN	OMIM:268315	ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen
NCBIGene:58508	KMT2C	MENDELIAN	OMIM:617768	ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen
NCBIGene:6647	SOD1	MENDELIAN	OMIM:105400	ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen
NCBIGene:51360	MBTPS2	MENDELIAN	OMIM:300918	ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen
NCBIGene:1654	DDX3X	MENDELIAN	OMIM:300958	ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen
