Identifier	Name	GO_Term
R-HSA-110144	ADP + ADP <=> AMP + ATP [AK2]	GO:0004017
R-HSA-110145	AMP + ATP <=> ADP + ADP [AK2]	GO:0004017
R-HSA-110308	REV1 inserts dCMP opposite to AP sites in DNA	GO:0017125
R-HSA-110311	POLZ extends translesion synthesis	GO:0003887
R-HSA-110317	Insertion of correct bases opposite the lesion by POLH	GO:0003887
R-HSA-110319	Elongation by POLH	GO:0003887
R-HSA-110363	FEN1 bound to PCNA and APEX1 cleaves flap ssDNA	GO:0017108
R-HSA-110368	POLD,POLE-mediated DNA strand displacement synthesis	GO:0003887
R-HSA-111264	Addition of nucleotides between position +11 and +30	GO:0003899
R-HSA-111524	IMP + L-Aspartate + GTP => Adenylosuccinate + GDP + Pi [ADSS]	GO:0004019
R-HSA-111742	RNR (M1M2) reduces nucleotide diphosphates to deoxynucleotide diphosphates (glutaredoxin)	GO:0036175
R-HSA-111751	RNR (M1M2) reduces nucleotide diphosphates to deoxynucleotide diphosphates (thioredoxin)	GO:0004748
R-HSA-111804	RNR (M1M2B) reduces nucleotide diphosphates to deoxynucleotide diphosphates (thioredoxin)	GO:0004748
R-HSA-112381	Hyperphosphorylation (Ser2) of RNA Pol II CTD by P-TEFb complex	GO:0004674
R-HSA-112383	Hypophosphorylation of RNA Pol II CTD by FCP1P protein	GO:0004721
R-HSA-1168640	Ubiquitinated IkB is degraded	GO:0004175
R-HSA-1169406	ISGylation of host proteins	GO:0061662
R-HSA-1169421	Trans-autophosphorylation of activated ligand-responsive EGFR mutant dimers	GO:0004713
R-HSA-1176059	Translocation of Influenza A virus nonstructural protein 1 (NS1A) into the nucleus	GO:0017056
R-HSA-1214188	PRDM9 trimethylates histone H3	GO:0042800
R-HSA-1225951	SOS-mediated nucleotide exchange of RAS (mediated by GRB2:SOS1 in complex with ligand-responsive p-6Y-EGFR mutants)	GO:0005085
R-HSA-1225952	Phosphorylation of SHC1 by ligand-responsive p-6Y-EGFR mutants	GO:0004713
