# Interactor 1 uniprot id	Interactor 1 Ensembl gene id	Interactor 1 Entrez Gene id	Interactor 2 uniprot id	Interactor 2 Ensembl gene id	Interactor 2 Entrez Gene id	Interaction type	Interaction context	Pubmed references
uniprotkb:P68032	ENSEMBL:ENSG00000159251|ENSEMBL:ENSP00000518911|ENSEMBL:ENSP00000518905|ENSEMBL:ENSP00000290378|ENSEMBL:ENST00000290378|ENSEMBL:ENST00000713615|ENSEMBL:ENST00000713610	-	uniprotkb:P60709	ENSEMBL:ENSG00000075624|ENSEMBL:ENST00000493945|ENSEMBL:ENST00000646664|ENSEMBL:ENST00000674681|ENSEMBL:ENST00000675515|ENSEMBL:ENST00000642480|ENSEMBL:ENSP00000494750|ENSEMBL:ENSP00000501862|ENSEMBL:ENSP00000502821|ENSEMBL:ENSP00000495995|ENSEMBL:ENSP00000494269	-	physical association	reactome:R-HSA-9913263	24243840
uniprotkb:P60709	ENSEMBL:ENSG00000075624|ENSEMBL:ENST00000493945|ENSEMBL:ENST00000646664|ENSEMBL:ENST00000674681|ENSEMBL:ENST00000675515|ENSEMBL:ENST00000642480|ENSEMBL:ENSP00000494750|ENSEMBL:ENSP00000501862|ENSEMBL:ENSP00000502821|ENSEMBL:ENSP00000495995|ENSEMBL:ENSP00000494269	-	uniprotkb:P62736	ENSEMBL:ENSG00000107796|ENSEMBL:ENST00000713599|ENSEMBL:ENST00000415557|ENSEMBL:ENST00000713602|ENSEMBL:ENST00000224784|ENSEMBL:ENST00000713597|ENSEMBL:ENST00000458159|ENSEMBL:ENSP00000398239|ENSEMBL:ENSP00000224784|ENSEMBL:ENSP00000518893|ENSEMBL:ENSP00000518895|ENSEMBL:ENSP00000396730|ENSEMBL:ENSP00000518898	-	physical association	reactome:R-HSA-9913263	24243840
uniprotkb:P60709	ENSEMBL:ENSG00000075624|ENSEMBL:ENST00000493945|ENSEMBL:ENST00000646664|ENSEMBL:ENST00000674681|ENSEMBL:ENST00000675515|ENSEMBL:ENST00000642480|ENSEMBL:ENSP00000494750|ENSEMBL:ENSP00000501862|ENSEMBL:ENSP00000502821|ENSEMBL:ENSP00000495995|ENSEMBL:ENSP00000494269	-	uniprotkb:P60709	ENSEMBL:ENSG00000075624|ENSEMBL:ENST00000493945|ENSEMBL:ENST00000646664|ENSEMBL:ENST00000674681|ENSEMBL:ENST00000675515|ENSEMBL:ENST00000642480|ENSEMBL:ENSP00000494750|ENSEMBL:ENSP00000501862|ENSEMBL:ENSP00000502821|ENSEMBL:ENSP00000495995|ENSEMBL:ENSP00000494269	-	physical association	reactome:R-HSA-9913263	24243840
uniprotkb:P60709	ENSEMBL:ENSG00000075624|ENSEMBL:ENST00000493945|ENSEMBL:ENST00000646664|ENSEMBL:ENST00000674681|ENSEMBL:ENST00000675515|ENSEMBL:ENST00000642480|ENSEMBL:ENSP00000494750|ENSEMBL:ENSP00000501862|ENSEMBL:ENSP00000502821|ENSEMBL:ENSP00000495995|ENSEMBL:ENSP00000494269	-	uniprotkb:P63267	ENSEMBL:ENST00000409624|ENSEMBL:ENST00000409731|ENSEMBL:ENST00000345517|ENSEMBL:ENSP00000386929|ENSEMBL:ENSP00000386857|ENSEMBL:ENSP00000295137|ENSEMBL:ENSG00000163017	-	physical association	reactome:R-HSA-9913263	24243840
uniprotkb:P60709	ENSEMBL:ENSG00000075624|ENSEMBL:ENST00000493945|ENSEMBL:ENST00000646664|ENSEMBL:ENST00000674681|ENSEMBL:ENST00000675515|ENSEMBL:ENST00000642480|ENSEMBL:ENSP00000494750|ENSEMBL:ENSP00000501862|ENSEMBL:ENSP00000502821|ENSEMBL:ENSP00000495995|ENSEMBL:ENSP00000494269	-	ChEBI:30616	-	-	physical association	reactome:R-HSA-9913263	24243840
uniprotkb:P63261	ENSEMBL:ENSP00000459124|ENSEMBL:ENST00000707489|ENSEMBL:ENST00000707473|ENSEMBL:ENST00000576544|ENSEMBL:ENST00000707482|ENSEMBL:ENST00000680227|ENSEMBL:ENST00000707471|ENSEMBL:ENST00000681052|ENSEMBL:ENST00000707472|ENSEMBL:ENST00000575994|ENSEMBL:ENST00000707479|ENSEMBL:ENST00000570382|ENSEMBL:ENST00000680727|ENSEMBL:ENST00000615544|ENSEMBL:ENST00000575659|ENSEMBL:ENST00000707467|ENSEMBL:ENST00000707485|ENSEMBL:ENST00000575842|ENSEMBL:ENST00000707466|ENSEMBL:ENST00000571721|ENSEMBL:ENST00000707487|ENSEMBL:ENST00000707470|ENSEMBL:ENST00000679480|ENSEMBL:ENST00000573283|ENSEMBL:ENST00000707468|ENSEMBL:ENST00000681842|ENSEMBL:ENST00000575087|ENSEMBL:ENST00000707469|ENSEMBL:ENST00000707490|ENSEMBL:ENST00000679778|ENSEMBL:ENST00000707474|ENSEMBL:ENSP00000506253|ENSEMBL:ENSP00000516869|ENSEMBL:ENSP00000477968|ENSEMBL:ENSG00000291420|ENSEMBL:ENSG00000184009|ENSEMBL:ENSP00000458435|ENSEMBL:ENSP00000516879|ENSEMBL:ENSP00000516873|ENSEMBL:ENSP00000516875|ENSEMBL:ENSP00000516886|ENSEMBL:ENSP00000516887|ENSEMBL:ENSP00000459119|ENSEMBL:ENSP00000516872|ENSEMBL:ENSP00000516877|ENSEMBL:ENSP00000516874|ENSEMBL:ENSP00000516881|ENSEMBL:ENSP00000505060|ENSEMBL:ENSP00000506201|ENSEMBL:ENSP00000516882|ENSEMBL:ENSP00000516876|ENSEMBL:ENSP00000516884|ENSEMBL:ENSP00000505193|ENSEMBL:ENSP00000505235|ENSEMBL:ENSP00000516871|ENSEMBL:ENSP00000460660|ENSEMBL:ENSP00000466346|ENSEMBL:ENSP00000458162|ENSEMBL:ENSP00000460464|ENSEMBL:ENSP00000461672|ENSEMBL:ENSP00000516870|ENSEMBL:ENSP00000506126	-	uniprotkb:P60709	ENSEMBL:ENSG00000075624|ENSEMBL:ENST00000493945|ENSEMBL:ENST00000646664|ENSEMBL:ENST00000674681|ENSEMBL:ENST00000675515|ENSEMBL:ENST00000642480|ENSEMBL:ENSP00000494750|ENSEMBL:ENSP00000501862|ENSEMBL:ENSP00000502821|ENSEMBL:ENSP00000495995|ENSEMBL:ENSP00000494269	-	physical association	reactome:R-HSA-9913263	24243840
uniprotkb:P68133	ENSEMBL:ENST00000366684|ENSEMBL:ENSP00000355645|ENSEMBL:ENSG00000143632	-	uniprotkb:P60709	ENSEMBL:ENSG00000075624|ENSEMBL:ENST00000493945|ENSEMBL:ENST00000646664|ENSEMBL:ENST00000674681|ENSEMBL:ENST00000675515|ENSEMBL:ENST00000642480|ENSEMBL:ENSP00000494750|ENSEMBL:ENSP00000501862|ENSEMBL:ENSP00000502821|ENSEMBL:ENSP00000495995|ENSEMBL:ENSP00000494269	-	physical association	reactome:R-HSA-9913263	24243840
uniprotkb:P60709	ENSEMBL:ENSG00000075624|ENSEMBL:ENST00000493945|ENSEMBL:ENST00000646664|ENSEMBL:ENST00000674681|ENSEMBL:ENST00000675515|ENSEMBL:ENST00000642480|ENSEMBL:ENSP00000494750|ENSEMBL:ENSP00000501862|ENSEMBL:ENSP00000502821|ENSEMBL:ENSP00000495995|ENSEMBL:ENSP00000494269	-	ChEBI:30616	-	-	physical association	reactome:R-HSA-201877	12082080|10207622
uniprotkb:P63261	ENSEMBL:ENSP00000459124|ENSEMBL:ENST00000707489|ENSEMBL:ENST00000707473|ENSEMBL:ENST00000576544|ENSEMBL:ENST00000707482|ENSEMBL:ENST00000680227|ENSEMBL:ENST00000707471|ENSEMBL:ENST00000681052|ENSEMBL:ENST00000707472|ENSEMBL:ENST00000575994|ENSEMBL:ENST00000707479|ENSEMBL:ENST00000570382|ENSEMBL:ENST00000680727|ENSEMBL:ENST00000615544|ENSEMBL:ENST00000575659|ENSEMBL:ENST00000707467|ENSEMBL:ENST00000707485|ENSEMBL:ENST00000575842|ENSEMBL:ENST00000707466|ENSEMBL:ENST00000571721|ENSEMBL:ENST00000707487|ENSEMBL:ENST00000707470|ENSEMBL:ENST00000679480|ENSEMBL:ENST00000573283|ENSEMBL:ENST00000707468|ENSEMBL:ENST00000681842|ENSEMBL:ENST00000575087|ENSEMBL:ENST00000707469|ENSEMBL:ENST00000707490|ENSEMBL:ENST00000679778|ENSEMBL:ENST00000707474|ENSEMBL:ENSP00000506253|ENSEMBL:ENSP00000516869|ENSEMBL:ENSP00000477968|ENSEMBL:ENSG00000291420|ENSEMBL:ENSG00000184009|ENSEMBL:ENSP00000458435|ENSEMBL:ENSP00000516879|ENSEMBL:ENSP00000516873|ENSEMBL:ENSP00000516875|ENSEMBL:ENSP00000516886|ENSEMBL:ENSP00000516887|ENSEMBL:ENSP00000459119|ENSEMBL:ENSP00000516872|ENSEMBL:ENSP00000516877|ENSEMBL:ENSP00000516874|ENSEMBL:ENSP00000516881|ENSEMBL:ENSP00000505060|ENSEMBL:ENSP00000506201|ENSEMBL:ENSP00000516882|ENSEMBL:ENSP00000516876|ENSEMBL:ENSP00000516884|ENSEMBL:ENSP00000505193|ENSEMBL:ENSP00000505235|ENSEMBL:ENSP00000516871|ENSEMBL:ENSP00000460660|ENSEMBL:ENSP00000466346|ENSEMBL:ENSP00000458162|ENSEMBL:ENSP00000460464|ENSEMBL:ENSP00000461672|ENSEMBL:ENSP00000516870|ENSEMBL:ENSP00000506126	-	uniprotkb:P60709	ENSEMBL:ENSG00000075624|ENSEMBL:ENST00000493945|ENSEMBL:ENST00000646664|ENSEMBL:ENST00000674681|ENSEMBL:ENST00000675515|ENSEMBL:ENST00000642480|ENSEMBL:ENSP00000494750|ENSEMBL:ENSP00000501862|ENSEMBL:ENSP00000502821|ENSEMBL:ENSP00000495995|ENSEMBL:ENSP00000494269	-	physical association	reactome:R-HSA-201877	12082080|10207622
uniprotkb:P60709	ENSEMBL:ENSG00000075624|ENSEMBL:ENST00000493945|ENSEMBL:ENST00000646664|ENSEMBL:ENST00000674681|ENSEMBL:ENST00000675515|ENSEMBL:ENST00000642480|ENSEMBL:ENSP00000494750|ENSEMBL:ENSP00000501862|ENSEMBL:ENSP00000502821|ENSEMBL:ENSP00000495995|ENSEMBL:ENSP00000494269	-	uniprotkb:P60709	ENSEMBL:ENSG00000075624|ENSEMBL:ENST00000493945|ENSEMBL:ENST00000646664|ENSEMBL:ENST00000674681|ENSEMBL:ENST00000675515|ENSEMBL:ENST00000642480|ENSEMBL:ENSP00000494750|ENSEMBL:ENSP00000501862|ENSEMBL:ENSP00000502821|ENSEMBL:ENSP00000495995|ENSEMBL:ENSP00000494269	-	physical association	reactome:R-HSA-201877	12082080|10207622
uniprotkb:P11142	ENSEMBL:ENSG00000109971|ENSEMBL:ENST00000534624|ENSEMBL:ENST00000532636|ENSEMBL:ENST00000227378|ENSEMBL:ENST00000453788|ENSEMBL:ENSP00000404372|ENSEMBL:ENSP00000432083|ENSEMBL:ENSP00000437125|ENSEMBL:ENSP00000227378	-	uniprotkb:P07900	ENSEMBL:ENSG00000080824|ENSEMBL:ENST00000216281|ENSEMBL:ENST00000334701|ENSEMBL:ENSP00000335153|ENSEMBL:ENSP00000216281	-	physical association	reactome:R-HSA-9626247	18644871
