# Interactor 1 uniprot id	Interactor 1 Ensembl gene id	Interactor 1 Entrez Gene id	Interactor 2 uniprot id	Interactor 2 Ensembl gene id	Interactor 2 Entrez Gene id	Interaction type	Interaction context	Pubmed references
uniprotkb:P60710	ENSEMBL:ENSMUST00000100497|ENSEMBL:ENSMUSP00000098066|ENSEMBL:ENSMUSG00000029580	-	uniprotkb:P60710	ENSEMBL:ENSMUST00000100497|ENSEMBL:ENSMUSP00000098066|ENSEMBL:ENSMUSG00000029580	-	physical association	reactome:R-MMU-9913263	24243840
uniprotkb:P60710	ENSEMBL:ENSMUST00000100497|ENSEMBL:ENSMUSP00000098066|ENSEMBL:ENSMUSG00000029580	-	uniprotkb:P63260	ENSEMBL:ENSMUST00000071555|ENSEMBL:ENSMUST00000106215|ENSEMBL:ENSMUSP00000101822|ENSEMBL:ENSMUSP00000071486|ENSEMBL:ENSMUSG00000062825	-	physical association	reactome:R-MMU-9913263	24243840
uniprotkb:P62737	ENSEMBL:ENSMUST00000039631|ENSEMBL:ENSMUSP00000048218|ENSEMBL:ENSMUSG00000035783	-	uniprotkb:P60710	ENSEMBL:ENSMUST00000100497|ENSEMBL:ENSMUSP00000098066|ENSEMBL:ENSMUSG00000029580	-	physical association	reactome:R-MMU-9913263	24243840
uniprotkb:P63268	ENSEMBL:ENSMUST00000121731|ENSEMBL:ENSMUST00000075161|ENSEMBL:ENSMUSP00000074658|ENSEMBL:ENSMUSP00000113552|ENSEMBL:ENSMUSG00000059430	-	uniprotkb:P60710	ENSEMBL:ENSMUST00000100497|ENSEMBL:ENSMUSP00000098066|ENSEMBL:ENSMUSG00000029580	-	physical association	reactome:R-MMU-9913263	24243840
uniprotkb:P60710	ENSEMBL:ENSMUST00000100497|ENSEMBL:ENSMUSP00000098066|ENSEMBL:ENSMUSG00000029580	-	uniprotkb:P68134	ENSEMBL:ENSMUST00000034453|ENSEMBL:ENSMUSP00000034453|ENSEMBL:ENSMUSG00000031972	-	physical association	reactome:R-MMU-9913263	24243840
uniprotkb:P60710	ENSEMBL:ENSMUST00000100497|ENSEMBL:ENSMUSP00000098066|ENSEMBL:ENSMUSG00000029580	-	ChEBI:30616	-	-	physical association	reactome:R-MMU-9913263	24243840
uniprotkb:P60710	ENSEMBL:ENSMUST00000100497|ENSEMBL:ENSMUSP00000098066|ENSEMBL:ENSMUSG00000029580	-	uniprotkb:P68033	ENSEMBL:ENSMUST00000090269|ENSEMBL:ENSMUSP00000087736|ENSEMBL:ENSMUSG00000068614	-	physical association	reactome:R-MMU-9913263	24243840
uniprotkb:P60710	ENSEMBL:ENSMUST00000100497|ENSEMBL:ENSMUSP00000098066|ENSEMBL:ENSMUSG00000029580	-	ChEBI:30616	-	-	physical association	reactome:R-MMU-201877	24243840
uniprotkb:P60710	ENSEMBL:ENSMUST00000100497|ENSEMBL:ENSMUSP00000098066|ENSEMBL:ENSMUSG00000029580	-	uniprotkb:P60710	ENSEMBL:ENSMUST00000100497|ENSEMBL:ENSMUSP00000098066|ENSEMBL:ENSMUSG00000029580	-	physical association	reactome:R-MMU-201877	24243840
uniprotkb:P60710	ENSEMBL:ENSMUST00000100497|ENSEMBL:ENSMUSP00000098066|ENSEMBL:ENSMUSG00000029580	-	uniprotkb:P63260	ENSEMBL:ENSMUST00000071555|ENSEMBL:ENSMUST00000106215|ENSEMBL:ENSMUSP00000101822|ENSEMBL:ENSMUSP00000071486|ENSEMBL:ENSMUSG00000062825	-	physical association	reactome:R-MMU-201877	24243840
