# Interactor 1 uniprot id	Interactor 1 Ensembl gene id	Interactor 1 Entrez Gene id	Interactor 2 uniprot id	Interactor 2 Ensembl gene id	Interactor 2 Entrez Gene id	Interaction type	Interaction context	Pubmed references
uniprotkb:P60711	ENSEMBL:ENSRNOT00000105242|ENSEMBL:ENSRNOP00000088195|ENSEMBL:ENSRNOG00000034254	-	uniprotkb:P63259	ENSEMBL:ENSRNOT00000108494|ENSEMBL:ENSRNOP00000096150|ENSEMBL:ENSRNOG00000036701	-	physical association	reactome:R-RNO-9913263	24243840
uniprotkb:P60711	ENSEMBL:ENSRNOT00000105242|ENSEMBL:ENSRNOP00000088195|ENSEMBL:ENSRNOG00000034254	-	ChEBI:30616	-	-	physical association	reactome:R-RNO-9913263	24243840
uniprotkb:P60711	ENSEMBL:ENSRNOT00000105242|ENSEMBL:ENSRNOP00000088195|ENSEMBL:ENSRNOG00000034254	-	uniprotkb:P60711	ENSEMBL:ENSRNOT00000105242|ENSEMBL:ENSRNOP00000088195|ENSEMBL:ENSRNOG00000034254	-	physical association	reactome:R-RNO-9913263	24243840
uniprotkb:P60711	ENSEMBL:ENSRNOT00000105242|ENSEMBL:ENSRNOP00000088195|ENSEMBL:ENSRNOG00000034254	-	uniprotkb:P63269	ENSEMBL:ENSRNOT00000042699|ENSEMBL:ENSRNOP00000050322|ENSEMBL:ENSRNOG00000029401	-	physical association	reactome:R-RNO-9913263	24243840
uniprotkb:P60711	ENSEMBL:ENSRNOT00000105242|ENSEMBL:ENSRNOP00000088195|ENSEMBL:ENSRNOG00000034254	-	uniprotkb:P68035	ENSEMBL:ENSRNOT00000011773|ENSEMBL:ENSRNOP00000011773|ENSEMBL:ENSRNOG00000008536	-	physical association	reactome:R-RNO-9913263	24243840
uniprotkb:P60711	ENSEMBL:ENSRNOT00000105242|ENSEMBL:ENSRNOP00000088195|ENSEMBL:ENSRNOG00000034254	-	uniprotkb:P68136	ENSEMBL:ENSRNOT00000024084|ENSEMBL:ENSRNOP00000024084|ENSEMBL:ENSRNOG00000017786	-	physical association	reactome:R-RNO-9913263	24243840
uniprotkb:P60711	ENSEMBL:ENSRNOT00000105242|ENSEMBL:ENSRNOP00000088195|ENSEMBL:ENSRNOG00000034254	-	uniprotkb:P62738	ENSEMBL:ENSRNOT00000083468|ENSEMBL:ENSRNOP00000073101|ENSEMBL:ENSRNOG00000058039	-	physical association	reactome:R-RNO-9913263	24243840
uniprotkb:P60711	ENSEMBL:ENSRNOT00000105242|ENSEMBL:ENSRNOP00000088195|ENSEMBL:ENSRNOG00000034254	-	uniprotkb:P60711	ENSEMBL:ENSRNOT00000105242|ENSEMBL:ENSRNOP00000088195|ENSEMBL:ENSRNOG00000034254	-	physical association	reactome:R-RNO-201877	24243840
uniprotkb:P60711	ENSEMBL:ENSRNOT00000105242|ENSEMBL:ENSRNOP00000088195|ENSEMBL:ENSRNOG00000034254	-	uniprotkb:P63259	ENSEMBL:ENSRNOT00000108494|ENSEMBL:ENSRNOP00000096150|ENSEMBL:ENSRNOG00000036701	-	physical association	reactome:R-RNO-201877	24243840
uniprotkb:P60711	ENSEMBL:ENSRNOT00000105242|ENSEMBL:ENSRNOP00000088195|ENSEMBL:ENSRNOG00000034254	-	ChEBI:30616	-	-	physical association	reactome:R-RNO-201877	24243840
uniprotkb:P60711	ENSEMBL:ENSRNOT00000105242|ENSEMBL:ENSRNOP00000088195|ENSEMBL:ENSRNOG00000034254	-	uniprotkb:P60711	ENSEMBL:ENSRNOT00000105242|ENSEMBL:ENSRNOP00000088195|ENSEMBL:ENSRNOG00000034254	-	physical association	reactome:R-RNO-443624	24243840
uniprotkb:P60711	ENSEMBL:ENSRNOT00000105242|ENSEMBL:ENSRNOP00000088195|ENSEMBL:ENSRNOG00000034254	-	ChEBI:30616	-	-	physical association	reactome:R-RNO-443624	24243840
uniprotkb:P17046	ENSEMBL:ENSRNOT00000000177|ENSEMBL:ENSRNOP00000000177|ENSEMBL:ENSRNOG00000000164	-	uniprotkb:P82995	ENSEMBL:ENSRNOT00000086310|ENSEMBL:ENSRNOP00000075715|ENSEMBL:ENSRNOG00000059714	-	physical association	reactome:R-RNO-9626248	18644871
uniprotkb:P17046	ENSEMBL:ENSRNOT00000000177|ENSEMBL:ENSRNOP00000000177|ENSEMBL:ENSRNOG00000000164	-	uniprotkb:P17046	ENSEMBL:ENSRNOT00000000177|ENSEMBL:ENSRNOP00000000177|ENSEMBL:ENSRNOG00000000164	-	physical association	reactome:R-RNO-9626248	18644871
uniprotkb:P17046	ENSEMBL:ENSRNOT00000000177|ENSEMBL:ENSRNOP00000000177|ENSEMBL:ENSRNOG00000000164	-	uniprotkb:P34058	-	-	physical association	reactome:R-RNO-9626248	18644871
uniprotkb:P63018	ENSEMBL:ENSRNOT00000044608|ENSEMBL:ENSRNOP00000042159|ENSEMBL:ENSRNOG00000034066	-	uniprotkb:P63018	ENSEMBL:ENSRNOT00000044608|ENSEMBL:ENSRNOP00000042159|ENSEMBL:ENSRNOG00000034066	-	physical association	reactome:R-RNO-9626248	18644871
uniprotkb:P63018	ENSEMBL:ENSRNOT00000044608|ENSEMBL:ENSRNOP00000042159|ENSEMBL:ENSRNOG00000034066	-	uniprotkb:P17046	ENSEMBL:ENSRNOT00000000177|ENSEMBL:ENSRNOP00000000177|ENSEMBL:ENSRNOG00000000164	-	physical association	reactome:R-RNO-9626248	18644871
