id|chr|end|label|source|source_url|start
chr1_9917_10247_grch38|chr1|10247|tfbs|ENCODE|https://hgdownload.soe.ucsc.edu/goldenpath/hg38/database/encRegTfbsClustered.txt.gz|9917
chr1_10040_10642_grch38|chr1|10642|tfbs|ENCODE|https://hgdownload.soe.ucsc.edu/goldenpath/hg38/database/encRegTfbsClustered.txt.gz|10040
chr1_10041_10242_grch38|chr1|10242|tfbs|ENCODE|https://hgdownload.soe.ucsc.edu/goldenpath/hg38/database/encRegTfbsClustered.txt.gz|10041
chr1_10041_10230_grch38|chr1|10230|tfbs|ENCODE|https://hgdownload.soe.ucsc.edu/goldenpath/hg38/database/encRegTfbsClustered.txt.gz|10041
chr1_10044_10168_grch38|chr1|10168|tfbs|ENCODE|https://hgdownload.soe.ucsc.edu/goldenpath/hg38/database/encRegTfbsClustered.txt.gz|10044
chr1_10045_10234_grch38|chr1|10234|tfbs|ENCODE|https://hgdownload.soe.ucsc.edu/goldenpath/hg38/database/encRegTfbsClustered.txt.gz|10045
chr1_10048_10215_grch38|chr1|10215|tfbs|ENCODE|https://hgdownload.soe.ucsc.edu/goldenpath/hg38/database/encRegTfbsClustered.txt.gz|10048
chr1_10049_10148_grch38|chr1|10148|tfbs|ENCODE|https://hgdownload.soe.ucsc.edu/goldenpath/hg38/database/encRegTfbsClustered.txt.gz|10049
chr1_10057_10427_grch38|chr1|10427|tfbs|ENCODE|https://hgdownload.soe.ucsc.edu/goldenpath/hg38/database/encRegTfbsClustered.txt.gz|10057
chr1_10188_10323_grch38|chr1|10323|tfbs|ENCODE|https://hgdownload.soe.ucsc.edu/goldenpath/hg38/database/encRegTfbsClustered.txt.gz|10188
chr1_17341_17558_grch38|chr1|17558|tfbs|ENCODE|https://hgdownload.soe.ucsc.edu/goldenpath/hg38/database/encRegTfbsClustered.txt.gz|17341
chr1_17391_17598_grch38|chr1|17598|tfbs|ENCODE|https://hgdownload.soe.ucsc.edu/goldenpath/hg38/database/encRegTfbsClustered.txt.gz|17391
chr1_30600_31150_grch38|chr1|31150|tfbs|ENCODE|https://hgdownload.soe.ucsc.edu/goldenpath/hg38/database/encRegTfbsClustered.txt.gz|30600
chr1_30640_31110_grch38|chr1|31110|tfbs|ENCODE|https://hgdownload.soe.ucsc.edu/goldenpath/hg38/database/encRegTfbsClustered.txt.gz|30640
chr1_30726_30946_grch38|chr1|30946|tfbs|ENCODE|https://hgdownload.soe.ucsc.edu/goldenpath/hg38/database/encRegTfbsClustered.txt.gz|30726
chr1_30745_30939_grch38|chr1|30939|tfbs|ENCODE|https://hgdownload.soe.ucsc.edu/goldenpath/hg38/database/encRegTfbsClustered.txt.gz|30745
chr1_30775_30884_grch38|chr1|30884|tfbs|ENCODE|https://hgdownload.soe.ucsc.edu/goldenpath/hg38/database/encRegTfbsClustered.txt.gz|30775
chr1_52086_52230_grch38|chr1|52230|tfbs|ENCODE|https://hgdownload.soe.ucsc.edu/goldenpath/hg38/database/encRegTfbsClustered.txt.gz|52086
chr1_83732_84112_grch38|chr1|84112|tfbs|ENCODE|https://hgdownload.soe.ucsc.edu/goldenpath/hg38/database/encRegTfbsClustered.txt.gz|83732
chr1_83802_84252_grch38|chr1|84252|tfbs|ENCODE|https://hgdownload.soe.ucsc.edu/goldenpath/hg38/database/encRegTfbsClustered.txt.gz|83802
chr1_90880_91781_grch38|chr1|91781|tfbs|ENCODE|https://hgdownload.soe.ucsc.edu/goldenpath/hg38/database/encRegTfbsClustered.txt.gz|90880
chr1_90966_91346_grch38|chr1|91346|tfbs|ENCODE|https://hgdownload.soe.ucsc.edu/goldenpath/hg38/database/encRegTfbsClustered.txt.gz|90966
chr1_91001_91316_grch38|chr1|91316|tfbs|ENCODE|https://hgdownload.soe.ucsc.edu/goldenpath/hg38/database/encRegTfbsClustered.txt.gz|91001
chr1_91343_91662_grch38|chr1|91662|tfbs|ENCODE|https://hgdownload.soe.ucsc.edu/goldenpath/hg38/database/encRegTfbsClustered.txt.gz|91343
chr1_91367_91641_grch38|chr1|91641|tfbs|ENCODE|https://hgdownload.soe.ucsc.edu/goldenpath/hg38/database/encRegTfbsClustered.txt.gz|91367
chr1_104816_105126_grch38|chr1|105126|tfbs|ENCODE|https://hgdownload.soe.ucsc.edu/goldenpath/hg38/database/encRegTfbsClustered.txt.gz|104816
chr1_109110_109239_grch38|chr1|109239|tfbs|ENCODE|https://hgdownload.soe.ucsc.edu/goldenpath/hg38/database/encRegTfbsClustered.txt.gz|109110
chr1_115465_115975_grch38|chr1|115975|tfbs|ENCODE|https://hgdownload.soe.ucsc.edu/goldenpath/hg38/database/encRegTfbsClustered.txt.gz|115465
chr1_115508_115952_grch38|chr1|115952|tfbs|ENCODE|https://hgdownload.soe.ucsc.edu/goldenpath/hg38/database/encRegTfbsClustered.txt.gz|115508
chr1_115555_115935_grch38|chr1|115935|tfbs|ENCODE|https://hgdownload.soe.ucsc.edu/goldenpath/hg38/database/encRegTfbsClustered.txt.gz|115555
chr1_115564_115904_grch38|chr1|115904|tfbs|ENCODE|https://hgdownload.soe.ucsc.edu/goldenpath/hg38/database/encRegTfbsClustered.txt.gz|115564
chr1_115565_115905_grch38|chr1|115905|tfbs|ENCODE|https://hgdownload.soe.ucsc.edu/goldenpath/hg38/database/encRegTfbsClustered.txt.gz|115565
chr1_115578_115894_grch38|chr1|115894|tfbs|ENCODE|https://hgdownload.soe.ucsc.edu/goldenpath/hg38/database/encRegTfbsClustered.txt.gz|115578
chr1_115598_115865_grch38|chr1|115865|tfbs|ENCODE|https://hgdownload.soe.ucsc.edu/goldenpath/hg38/database/encRegTfbsClustered.txt.gz|115598
chr1_115601_115871_grch38|chr1|115871|tfbs|ENCODE|https://hgdownload.soe.ucsc.edu/goldenpath/hg38/database/encRegTfbsClustered.txt.gz|115601
chr1_115635_115792_grch38|chr1|115792|tfbs|ENCODE|https://hgdownload.soe.ucsc.edu/goldenpath/hg38/database/encRegTfbsClustered.txt.gz|115635
chr1_115644_115807_grch38|chr1|115807|tfbs|ENCODE|https://hgdownload.soe.ucsc.edu/goldenpath/hg38/database/encRegTfbsClustered.txt.gz|115644
chr1_115662_115801_grch38|chr1|115801|tfbs|ENCODE|https://hgdownload.soe.ucsc.edu/goldenpath/hg38/database/encRegTfbsClustered.txt.gz|115662
chr1_115685_115800_grch38|chr1|115800|tfbs|ENCODE|https://hgdownload.soe.ucsc.edu/goldenpath/hg38/database/encRegTfbsClustered.txt.gz|115685
chr1_118550_118721_grch38|chr1|118721|tfbs|ENCODE|https://hgdownload.soe.ucsc.edu/goldenpath/hg38/database/encRegTfbsClustered.txt.gz|118550
chr1_118567_118761_grch38|chr1|118761|tfbs|ENCODE|https://hgdownload.soe.ucsc.edu/goldenpath/hg38/database/encRegTfbsClustered.txt.gz|118567
