accession|chr|end|id|source|source_url|start
EH38E2776539|chr1|778920|0000167:CHR1_778571_778920|ENCODE|https://screen.wenglab.org/downloads|778571
EH38E3951314|chr1|779183|0000167:CHR1_779024_779183|ENCODE|https://screen.wenglab.org/downloads|779024
EH38E1310166|chr1|817404|0000167:CHR1_817081_817404|ENCODE|https://screen.wenglab.org/downloads|817081
EH38E2776553|chr1|826888|0000167:CHR1_826735_826888|ENCODE|https://screen.wenglab.org/downloads|826735
EH38E2776554|chr1|827163|0000167:CHR1_826895_827163|ENCODE|https://screen.wenglab.org/downloads|826895
EH38E2776555|chr1|827768|0000167:CHR1_827418_827768|ENCODE|https://screen.wenglab.org/downloads|827418
EH38E1310196|chr1|870449|0000167:CHR1_870121_870449|ENCODE|https://screen.wenglab.org/downloads|870121
EH38E2776597|chr1|904919|0000167:CHR1_904579_904919|ENCODE|https://screen.wenglab.org/downloads|904579
EH38E2776611|chr1|911460|0000167:CHR1_911150_911460|ENCODE|https://screen.wenglab.org/downloads|911150
EH38E2776617|chr1|914306|0000167:CHR1_914076_914306|ENCODE|https://screen.wenglab.org/downloads|914076
EH38E2776629|chr1|919725|0000167:CHR1_919379_919725|ENCODE|https://screen.wenglab.org/downloads|919379
EH38E2776639|chr1|924070|0000167:CHR1_923720_924070|ENCODE|https://screen.wenglab.org/downloads|923720
EH38E2776644|chr1|925851|0000167:CHR1_925513_925851|ENCODE|https://screen.wenglab.org/downloads|925513
EH38E2776701|chr1|959499|0000167:CHR1_959150_959499|ENCODE|https://screen.wenglab.org/downloads|959150
EH38E2776705|chr1|960710|0000167:CHR1_960416_960710|ENCODE|https://screen.wenglab.org/downloads|960416
EH38E2776721|chr1|966615|0000167:CHR1_966271_966615|ENCODE|https://screen.wenglab.org/downloads|966271
EH38E3951359|chr1|982092|0000167:CHR1_981879_982092|ENCODE|https://screen.wenglab.org/downloads|981879
EH38E2776757|chr1|982477|0000167:CHR1_982127_982477|ENCODE|https://screen.wenglab.org/downloads|982127
EH38E3951372|chr1|998068|0000167:CHR1_997823_998068|ENCODE|https://screen.wenglab.org/downloads|997823
EH38E3951379|chr1|1000048|0000167:CHR1_999854_1000048|ENCODE|https://screen.wenglab.org/downloads|999854
EH38E1310345|chr1|1000410|0000167:CHR1_1000069_1000410|ENCODE|https://screen.wenglab.org/downloads|1000069
EH38E2776783|chr1|1001299|0000167:CHR1_1001094_1001299|ENCODE|https://screen.wenglab.org/downloads|1001094
EH38E2776801|chr1|1008477|0000167:CHR1_1008285_1008477|ENCODE|https://screen.wenglab.org/downloads|1008285
EH38E2776806|chr1|1013631|0000167:CHR1_1013283_1013631|ENCODE|https://screen.wenglab.org/downloads|1013283
EH38E2776823|chr1|1020171|0000167:CHR1_1019823_1020171|ENCODE|https://screen.wenglab.org/downloads|1019823
EH38E3951388|chr1|1020364|0000167:CHR1_1020194_1020364|ENCODE|https://screen.wenglab.org/downloads|1020194
EH38E2776892|chr1|1059824|0000167:CHR1_1059476_1059824|ENCODE|https://screen.wenglab.org/downloads|1059476
EH38E3951410|chr1|1063134|0000167:CHR1_1062935_1063134|ENCODE|https://screen.wenglab.org/downloads|1062935
EH38E2776898|chr1|1063375|0000167:CHR1_1063148_1063375|ENCODE|https://screen.wenglab.org/downloads|1063148
EH38E2776921|chr1|1074398|0000167:CHR1_1074048_1074398|ENCODE|https://screen.wenglab.org/downloads|1074048
EH38E2776953|chr1|1092419|0000167:CHR1_1092079_1092419|ENCODE|https://screen.wenglab.org/downloads|1092079
