label|score|source|source_id|source_type|source_url|target_id|target_type
binds_to|0.68|ENCODE|ensg00000083635|gene|https://hgdownload.soe.ucsc.edu/goldenpath/hg38/database/encRegTfbsClustered.txt.gz|chr1_9917_10247_grch38|tfbs
binds_to|1.0|ENCODE|ensg00000104320|gene|https://hgdownload.soe.ucsc.edu/goldenpath/hg38/database/encRegTfbsClustered.txt.gz|chr1_10040_10642_grch38|tfbs
binds_to|1.0|ENCODE|ensg00000170322|gene|https://hgdownload.soe.ucsc.edu/goldenpath/hg38/database/encRegTfbsClustered.txt.gz|chr1_10041_10242_grch38|tfbs
binds_to|0.144|ENCODE|ensg00000184677|gene|https://hgdownload.soe.ucsc.edu/goldenpath/hg38/database/encRegTfbsClustered.txt.gz|chr1_10041_10230_grch38|tfbs
binds_to|0.028|ENCODE|ensg00000170325|gene|https://hgdownload.soe.ucsc.edu/goldenpath/hg38/database/encRegTfbsClustered.txt.gz|chr1_10044_10168_grch38|tfbs
binds_to|0.695|ENCODE|ensg00000133884|gene|https://hgdownload.soe.ucsc.edu/goldenpath/hg38/database/encRegTfbsClustered.txt.gz|chr1_10045_10234_grch38|tfbs
binds_to|0.262|ENCODE|ensg00000104856|gene|https://hgdownload.soe.ucsc.edu/goldenpath/hg38/database/encRegTfbsClustered.txt.gz|chr1_10048_10215_grch38|tfbs
binds_to|0.156|ENCODE|ensg00000140262|gene|https://hgdownload.soe.ucsc.edu/goldenpath/hg38/database/encRegTfbsClustered.txt.gz|chr1_10049_10148_grch38|tfbs
binds_to|1.0|ENCODE|ensg00000178691|gene|https://hgdownload.soe.ucsc.edu/goldenpath/hg38/database/encRegTfbsClustered.txt.gz|chr1_10057_10427_grch38|tfbs
binds_to|0.269|ENCODE|ensg00000147421|gene|https://hgdownload.soe.ucsc.edu/goldenpath/hg38/database/encRegTfbsClustered.txt.gz|chr1_10188_10323_grch38|tfbs
binds_to|0.092|ENCODE|ensg00000181222|gene|https://hgdownload.soe.ucsc.edu/goldenpath/hg38/database/encRegTfbsClustered.txt.gz|chr1_17341_17558_grch38|tfbs
binds_to|0.084|ENCODE|ensg00000168002|gene|https://hgdownload.soe.ucsc.edu/goldenpath/hg38/database/encRegTfbsClustered.txt.gz|chr1_17391_17598_grch38|tfbs
binds_to|0.101|ENCODE|ensg00000170653|gene|https://hgdownload.soe.ucsc.edu/goldenpath/hg38/database/encRegTfbsClustered.txt.gz|chr1_30600_31150_grch38|tfbs
binds_to|0.211|ENCODE|ensg00000169554|gene|https://hgdownload.soe.ucsc.edu/goldenpath/hg38/database/encRegTfbsClustered.txt.gz|chr1_30640_31110_grch38|tfbs
binds_to|0.135|ENCODE|ensg00000162772|gene|https://hgdownload.soe.ucsc.edu/goldenpath/hg38/database/encRegTfbsClustered.txt.gz|chr1_30726_30946_grch38|tfbs
binds_to|0.131|ENCODE|ensg00000115966|gene|https://hgdownload.soe.ucsc.edu/goldenpath/hg38/database/encRegTfbsClustered.txt.gz|chr1_30745_30939_grch38|tfbs
binds_to|0.16|ENCODE|ensg00000110693|gene|https://hgdownload.soe.ucsc.edu/goldenpath/hg38/database/encRegTfbsClustered.txt.gz|chr1_30775_30884_grch38|tfbs
