db_reference|evidence|label|qualifier|source|source_id|source_type|source_url|target_id|target_type
"[""GO_REF:0000052""]"|IDA|located_in|"[""located_in""]"|GO|a0a024rbg1|protein|http://geneontology.org/gene-associations/goa_human.gaf.gz|go_0005829|cellular_component
"[""GO_REF:0000044""]"|IEA|located_in|"[""located_in""]"|GO|a0a075b6h7|protein|http://geneontology.org/gene-associations/goa_human.gaf.gz|go_0005886|cellular_component
"[""GO_REF:0000044""]"|IEA|located_in|"[""located_in""]"|GO|a0a075b6h8|protein|http://geneontology.org/gene-associations/goa_human.gaf.gz|go_0005886|cellular_component
"[""GO_REF:0000044""]"|IEA|located_in|"[""located_in""]"|GO|a0a075b6h9|protein|http://geneontology.org/gene-associations/goa_human.gaf.gz|go_0005886|cellular_component
"[""GO_REF:0000044""]"|IEA|located_in|"[""located_in""]"|GO|a0a075b6i0|protein|http://geneontology.org/gene-associations/goa_human.gaf.gz|go_0005886|cellular_component
"[""GO_REF:0000044""]"|IEA|located_in|"[""located_in""]"|GO|a0a075b6i1|protein|http://geneontology.org/gene-associations/goa_human.gaf.gz|go_0005886|cellular_component
"[""GO_REF:0000044""]"|IEA|located_in|"[""located_in""]"|GO|a0a075b6i3|protein|http://geneontology.org/gene-associations/goa_human.gaf.gz|go_0005886|cellular_component
"[""GO_REF:0000044""]"|IEA|located_in|"[""located_in""]"|GO|a0a075b6i4|protein|http://geneontology.org/gene-associations/goa_human.gaf.gz|go_0005886|cellular_component
"[""GO_REF:0000044""]"|IEA|located_in|"[""located_in""]"|GO|a0a075b6i6|protein|http://geneontology.org/gene-associations/goa_human.gaf.gz|go_0005886|cellular_component
"[""GO_REF:0000044""]"|IEA|located_in|"[""located_in""]"|GO|a0a075b6i7|protein|http://geneontology.org/gene-associations/goa_human.gaf.gz|go_0005886|cellular_component
"[""GO_REF:0000044""]"|IEA|located_in|"[""located_in""]"|GO|a0a075b6i9|protein|http://geneontology.org/gene-associations/goa_human.gaf.gz|go_0005886|cellular_component
"[""GO_REF:0000044""]"|IEA|located_in|"[""located_in""]"|GO|a0a075b6j1|protein|http://geneontology.org/gene-associations/goa_human.gaf.gz|go_0005886|cellular_component
"[""GO_REF:0000044""]"|IEA|located_in|"[""located_in""]"|GO|a0a075b6j2|protein|http://geneontology.org/gene-associations/goa_human.gaf.gz|go_0005886|cellular_component
"[""GO_REF:0000044""]"|IEA|located_in|"[""located_in""]"|GO|a0a075b6j6|protein|http://geneontology.org/gene-associations/goa_human.gaf.gz|go_0005886|cellular_component
"[""GO_REF:0000044""]"|IEA|located_in|"[""located_in""]"|GO|a0a075b6j9|protein|http://geneontology.org/gene-associations/goa_human.gaf.gz|go_0005886|cellular_component
"[""GO_REF:0000044""]"|IEA|located_in|"[""located_in""]"|GO|a0a075b6k0|protein|http://geneontology.org/gene-associations/goa_human.gaf.gz|go_0005886|cellular_component
"[""GO_REF:0000044""]"|IEA|located_in|"[""located_in""]"|GO|a0a075b6k2|protein|http://geneontology.org/gene-associations/goa_human.gaf.gz|go_0005886|cellular_component
"[""GO_REF:0000044""]"|IEA|located_in|"[""located_in""]"|GO|a0a075b6k4|protein|http://geneontology.org/gene-associations/goa_human.gaf.gz|go_0005886|cellular_component
"[""GO_REF:0000044""]"|IEA|located_in|"[""located_in""]"|GO|a0a075b6k5|protein|http://geneontology.org/gene-associations/goa_human.gaf.gz|go_0005886|cellular_component
"[""GO_REF:0000044""]"|IEA|located_in|"[""located_in""]"|GO|a0a075b6k6|protein|http://geneontology.org/gene-associations/goa_human.gaf.gz|go_0005886|cellular_component
"[""Reactome:R-HSA-166753""]"|TAS|located_in|"[""located_in""]"|GO|a0a075b6p5|protein|http://geneontology.org/gene-associations/goa_human.gaf.gz|go_0005576|cellular_component
"[""Reactome:R-HSA-1112666""]"|TAS|located_in|"[""located_in""]"|GO|a0a075b6p5|protein|http://geneontology.org/gene-associations/goa_human.gaf.gz|go_0005886|cellular_component
"[""GO_REF:0000044""]"|IEA|located_in|"[""located_in""]"|GO|a0a075b6q5|protein|http://geneontology.org/gene-associations/goa_human.gaf.gz|go_0005576|cellular_component
"[""GO_REF:0000044""]"|IEA|located_in|"[""located_in""]"|GO|a0a075b6r2|protein|http://geneontology.org/gene-associations/goa_human.gaf.gz|go_0005576|cellular_component
"[""GO_REF:0000044""]"|IEA|located_in|"[""located_in""]"|GO|a0a075b6r9|protein|http://geneontology.org/gene-associations/goa_human.gaf.gz|go_0005886|cellular_component
"[""GO_REF:0000044""]"|IEA|located_in|"[""located_in""]"|GO|a0a075b6s2|protein|http://geneontology.org/gene-associations/goa_human.gaf.gz|go_0005886|cellular_component
"[""GO_REF:0000044""]"|IEA|located_in|"[""located_in""]"|GO|a0a075b6s4|protein|http://geneontology.org/gene-associations/goa_human.gaf.gz|go_0005886|cellular_component
"[""GO_REF:0000044""]"|IEA|located_in|"[""located_in""]"|GO|a0a075b6s5|protein|http://geneontology.org/gene-associations/goa_human.gaf.gz|go_0005886|cellular_component
"[""Reactome:R-HSA-166753""]"|TAS|located_in|"[""located_in""]"|GO|a0a075b6s6|protein|http://geneontology.org/gene-associations/goa_human.gaf.gz|go_0005576|cellular_component
"[""Reactome:R-HSA-1112666""]"|TAS|located_in|"[""located_in""]"|GO|a0a075b6s6|protein|http://geneontology.org/gene-associations/goa_human.gaf.gz|go_0005886|cellular_component
"[""GO_REF:0000044""]"|IEA|located_in|"[""located_in""]"|GO|a0a075b6s9|protein|http://geneontology.org/gene-associations/goa_human.gaf.gz|go_0005886|cellular_component
"[""GO_REF:0000044""]"|IEA|located_in|"[""located_in""]"|GO|a0a075b6y9|protein|http://geneontology.org/gene-associations/goa_human.gaf.gz|go_0005886|cellular_component
"[""GO_REF:0000044""]"|IEA|located_in|"[""located_in""]"|GO|a0a075b700|protein|http://geneontology.org/gene-associations/goa_human.gaf.gz|go_0005886|cellular_component
"[""GO_REF:0000044""]"|IEA|located_in|"[""located_in""]"|GO|a0a087wsx0|protein|http://geneontology.org/gene-associations/goa_human.gaf.gz|go_0005886|cellular_component
"[""GO_REF:0000044""]"|IEA|located_in|"[""located_in""]"|GO|a0a087wsy4|protein|http://geneontology.org/gene-associations/goa_human.gaf.gz|go_0005576|cellular_component
"[""GO_REF:0000044""]"|IEA|located_in|"[""located_in""]"|GO|a0a087wsy6|protein|http://geneontology.org/gene-associations/goa_human.gaf.gz|go_0005886|cellular_component
"[""GO_REF:0000044""]"|IEA|located_in|"[""located_in""]"|GO|a0a087wsz0|protein|http://geneontology.org/gene-associations/goa_human.gaf.gz|go_0005886|cellular_component
"[""GO_REF:0000044""]"|IEA|located_in|"[""located_in""]"|GO|a0a087wth1|protein|http://geneontology.org/gene-associations/goa_human.gaf.gz|go_0016020|cellular_component
"[""GO_REF:0000044""]"|IEA|located_in|"[""located_in""]"|GO|a0a087wth5|protein|http://geneontology.org/gene-associations/goa_human.gaf.gz|go_0016020|cellular_component
"[""GO_REF:0000044""]"|IEA|located_in|"[""located_in""]"|GO|a0a087wul8|protein|http://geneontology.org/gene-associations/goa_human.gaf.gz|go_0005737|cellular_component
"[""GO_REF:0000044""]"|IEA|located_in|"[""located_in""]"|GO|a0a087wuv0|protein|http://geneontology.org/gene-associations/goa_human.gaf.gz|go_0005634|cellular_component
"[""GO_REF:0000044""]"|IEA|located_in|"[""located_in""]"|GO|a0a087wvf3|protein|http://geneontology.org/gene-associations/goa_human.gaf.gz|go_0005886|cellular_component
"[""GO_REF:0000044""]"|IEA|located_in|"[""located_in""]"|GO|a0a087ww87|protein|http://geneontology.org/gene-associations/goa_human.gaf.gz|go_0005886|cellular_component
"[""GO_REF:0000024""]"|ISS|located_in|"[""located_in""]"|GO|a0a087wxm9|protein|http://geneontology.org/gene-associations/goa_human.gaf.gz|go_0000776|cellular_component
"[""GO_REF:0000024""]"|ISS|located_in|"[""located_in""]"|GO|a0a087wxm9|protein|http://geneontology.org/gene-associations/goa_human.gaf.gz|go_0000779|cellular_component
"[""GO_REF:0000044""]"|IEA|located_in|"[""located_in""]"|GO|a0a087wxs9|protein|http://geneontology.org/gene-associations/goa_human.gaf.gz|go_0005886|cellular_component
"[""GO_REF:0000044""]"|IEA|located_in|"[""located_in""]"|GO|a0a087x179|protein|http://geneontology.org/gene-associations/goa_human.gaf.gz|go_0005886|cellular_component
"[""GO_REF:0000044""]"|IEA|located_in|"[""located_in""]"|GO|a0a087x1c1|protein|http://geneontology.org/gene-associations/goa_human.gaf.gz|go_0005856|cellular_component
"[""PMID:15051713""]"|IDA|located_in|"[""located_in""]"|GO|a0a087x1c5|protein|http://geneontology.org/gene-associations/goa_human.gaf.gz|go_0005737|cellular_component
"[""PMID:18838503""]"|IDA|located_in|"[""located_in""]"|GO|a0a087x1c5|protein|http://geneontology.org/gene-associations/goa_human.gaf.gz|go_0005739|cellular_component
"[""GO_REF:0000044""]"|IEA|located_in|"[""located_in""]"|GO|a0a087x1c5|protein|http://geneontology.org/gene-associations/goa_human.gaf.gz|go_0016020|cellular_component
"[""GO_REF:0000044""]"|IEA|located_in|"[""located_in""]"|GO|a0a087x1g2|protein|http://geneontology.org/gene-associations/goa_human.gaf.gz|go_0005886|cellular_component
"[""GO_REF:0000044""]"|IEA|located_in|"[""located_in""]"|GO|a0a096lp01|protein|http://geneontology.org/gene-associations/goa_human.gaf.gz|go_0016020|cellular_component
"[""GO_REF:0000002""]"|IEA|located_in|"[""located_in""]"|GO|a0a096lp49|protein|http://geneontology.org/gene-associations/goa_human.gaf.gz|go_0005813|cellular_component
"[""GO_REF:0000044""]"|IEA|located_in|"[""located_in""]"|GO|a0a096lpk9|protein|http://geneontology.org/gene-associations/goa_human.gaf.gz|go_0016020|cellular_component
"[""GO_REF:0000044""]"|IEA|located_in|"[""located_in""]"|GO|a0a0a0mrz7|protein|http://geneontology.org/gene-associations/goa_human.gaf.gz|go_0005886|cellular_component
"[""GO_REF:0000044""]"|IEA|located_in|"[""located_in""]"|GO|a0a0a0mrz8|protein|http://geneontology.org/gene-associations/goa_human.gaf.gz|go_0005886|cellular_component
"[""GO_REF:0000044""]"|IEA|located_in|"[""located_in""]"|GO|a0a0a0mrz9|protein|http://geneontology.org/gene-associations/goa_human.gaf.gz|go_0005886|cellular_component
