chr|end|id|source|source_url|start
chr1|8388800|0000235_CHR1_8388344_8388800_GRCH38|ENCODE|https://genome.ucsc.edu/cgi-bin/hgTables|8388344
chr1|16777306|0000235_CHR1_16776930_16777306_GRCH38|ENCODE|https://genome.ucsc.edu/cgi-bin/hgTables|16776930
chr1|58720395|0000235_CHR1_58719516_58720395_GRCH38|ENCODE|https://genome.ucsc.edu/cgi-bin/hgTables|58719516
chr1|176160980|0000235_CHR1_176160080_176160980_GRCH38|ENCODE|https://genome.ucsc.edu/cgi-bin/hgTables|176160080
chr1|226492478|0000235_CHR1_226492034_226492478_GRCH38|ENCODE|https://genome.ucsc.edu/cgi-bin/hgTables|226492034
chr1|226492599|0000235_CHR1_226492155_226492599_GRCH38|ENCODE|https://genome.ucsc.edu/cgi-bin/hgTables|226492155
chr1|243270033|0000235_CHR1_243268846_243270033_GRCH38|ENCODE|https://genome.ucsc.edu/cgi-bin/hgTables|243268846
chr1|243270040|0000235_CHR1_243269299_243270040_GRCH38|ENCODE|https://genome.ucsc.edu/cgi-bin/hgTables|243269299
chr1|243269887|0000235_CHR1_243269303_243269887_GRCH38|ENCODE|https://genome.ucsc.edu/cgi-bin/hgTables|243269303
chr1|243269892|0000235_CHR1_243269356_243269892_GRCH38|ENCODE|https://genome.ucsc.edu/cgi-bin/hgTables|243269356
chr1|243269924|0000235_CHR1_243269360_243269924_GRCH38|ENCODE|https://genome.ucsc.edu/cgi-bin/hgTables|243269360
chr1|243269985|0000235_CHR1_243269409_243269985_GRCH38|ENCODE|https://genome.ucsc.edu/cgi-bin/hgTables|243269409
chr1|243269814|0000235_CHR1_243269418_243269814_GRCH38|ENCODE|https://genome.ucsc.edu/cgi-bin/hgTables|243269418
chr1|243269807|0000235_CHR1_243269427_243269807_GRCH38|ENCODE|https://genome.ucsc.edu/cgi-bin/hgTables|243269427
chr1|243269742|0000235_CHR1_243269432_243269742_GRCH38|ENCODE|https://genome.ucsc.edu/cgi-bin/hgTables|243269432
chr1|243270102|0000235_CHR1_243269502_243270102_GRCH38|ENCODE|https://genome.ucsc.edu/cgi-bin/hgTables|243269502
chr1|243269913|0000235_CHR1_243269563_243269913_GRCH38|ENCODE|https://genome.ucsc.edu/cgi-bin/hgTables|243269563
chr1|243270026|0000235_CHR1_243269606_243270026_GRCH38|ENCODE|https://genome.ucsc.edu/cgi-bin/hgTables|243269606
chr1|6291629|0000235_CHR1_6290107_6291629_GRCH38|ENCODE|https://genome.ucsc.edu/cgi-bin/hgTables|6290107
chr1|6291508|0000235_CHR1_6290988_6291508_GRCH38|ENCODE|https://genome.ucsc.edu/cgi-bin/hgTables|6290988
chr1|6291658|0000235_CHR1_6291057_6291658_GRCH38|ENCODE|https://genome.ucsc.edu/cgi-bin/hgTables|6291057
chr1|6291546|0000235_CHR1_6291122_6291546_GRCH38|ENCODE|https://genome.ucsc.edu/cgi-bin/hgTables|6291122
chr1|6291744|0000235_CHR1_6291183_6291744_GRCH38|ENCODE|https://genome.ucsc.edu/cgi-bin/hgTables|6291183
chr1|6291736|0000235_CHR1_6291229_6291736_GRCH38|ENCODE|https://genome.ucsc.edu/cgi-bin/hgTables|6291229
chr1|6291513|0000235_CHR1_6291239_6291513_GRCH38|ENCODE|https://genome.ucsc.edu/cgi-bin/hgTables|6291239
chr1|6291533|0000235_CHR1_6291263_6291533_GRCH38|ENCODE|https://genome.ucsc.edu/cgi-bin/hgTables|6291263
chr1|6291490|0000235_CHR1_6291274_6291490_GRCH38|ENCODE|https://genome.ucsc.edu/cgi-bin/hgTables|6291274
chr1|6291754|0000235_CHR1_6291310_6291754_GRCH38|ENCODE|https://genome.ucsc.edu/cgi-bin/hgTables|6291310
chr1|6291805|0000235_CHR1_6291389_6291805_GRCH38|ENCODE|https://genome.ucsc.edu/cgi-bin/hgTables|6291389
chr1|9437665|0000235_CHR1_9436849_9437665_GRCH38|ENCODE|https://genome.ucsc.edu/cgi-bin/hgTables|9436849
chr1|10486065|0000235_CHR1_10485703_10486065_GRCH38|ENCODE|https://genome.ucsc.edu/cgi-bin/hgTables|10485703
chr1|12583257|0000235_CHR1_12582625_12583257_GRCH38|ENCODE|https://genome.ucsc.edu/cgi-bin/hgTables|12582625
chr1|12583189|0000235_CHR1_12582626_12583189_GRCH38|ENCODE|https://genome.ucsc.edu/cgi-bin/hgTables|12582626
chr1|12583177|0000235_CHR1_12582647_12583177_GRCH38|ENCODE|https://genome.ucsc.edu/cgi-bin/hgTables|12582647
chr1|12583115|0000235_CHR1_12582671_12583115_GRCH38|ENCODE|https://genome.ucsc.edu/cgi-bin/hgTables|12582671
chr1|12583064|0000235_CHR1_12582684_12583064_GRCH38|ENCODE|https://genome.ucsc.edu/cgi-bin/hgTables|12582684
chr1|12583135|0000235_CHR1_12582739_12583135_GRCH38|ENCODE|https://genome.ucsc.edu/cgi-bin/hgTables|12582739
chr1|12583144|0000235_CHR1_12582760_12583144_GRCH38|ENCODE|https://genome.ucsc.edu/cgi-bin/hgTables|12582760
chr1|12583140|0000235_CHR1_12582780_12583140_GRCH38|ENCODE|https://genome.ucsc.edu/cgi-bin/hgTables|12582780
chr1|12583222|0000235_CHR1_12582806_12583222_GRCH38|ENCODE|https://genome.ucsc.edu/cgi-bin/hgTables|12582806
chr1|12583277|0000235_CHR1_12582813_12583277_GRCH38|ENCODE|https://genome.ucsc.edu/cgi-bin/hgTables|12582813
chr1|12583381|0000235_CHR1_12582814_12583381_GRCH38|ENCODE|https://genome.ucsc.edu/cgi-bin/hgTables|12582814
chr1|12583218|0000235_CHR1_12582848_12583218_GRCH38|ENCODE|https://genome.ucsc.edu/cgi-bin/hgTables|12582848
chr1|12583194|0000235_CHR1_12582854_12583194_GRCH38|ENCODE|https://genome.ucsc.edu/cgi-bin/hgTables|12582854
chr1|12583175|0000235_CHR1_12582855_12583175_GRCH38|ENCODE|https://genome.ucsc.edu/cgi-bin/hgTables|12582855
chr1|15728784|0000235_CHR1_15727424_15728784_GRCH38|ENCODE|https://genome.ucsc.edu/cgi-bin/hgTables|15727424
chr1|17826472|0000235_CHR1_17825515_17826472_GRCH38|ENCODE|https://genome.ucsc.edu/cgi-bin/hgTables|17825515
chr1|18874479|0000235_CHR1_18874015_18874479_GRCH38|ENCODE|https://genome.ucsc.edu/cgi-bin/hgTables|18874015
chr1|18874498|0000235_CHR1_18874068_18874498_GRCH38|ENCODE|https://genome.ucsc.edu/cgi-bin/hgTables|18874068
chr1|18874449|0000235_CHR1_18874073_18874449_GRCH38|ENCODE|https://genome.ucsc.edu/cgi-bin/hgTables|18874073
chr1|18874373|0000235_CHR1_18874131_18874373_GRCH38|ENCODE|https://genome.ucsc.edu/cgi-bin/hgTables|18874131
chr1|30409434|0000235_CHR1_30408392_30409434_GRCH38|ENCODE|https://genome.ucsc.edu/cgi-bin/hgTables|30408392
chr1|30408801|0000235_CHR1_30408405_30408801_GRCH38|ENCODE|https://genome.ucsc.edu/cgi-bin/hgTables|30408405
chr1|30409038|0000235_CHR1_30408594_30409038_GRCH38|ENCODE|https://genome.ucsc.edu/cgi-bin/hgTables|30408594
chr1|30409058|0000235_CHR1_30408638_30409058_GRCH38|ENCODE|https://genome.ucsc.edu/cgi-bin/hgTables|30408638
chr1|32505889|0000235_CHR1_32505413_32505889_GRCH38|ENCODE|https://genome.ucsc.edu/cgi-bin/hgTables|32505413
chr1|36700362|0000235_CHR1_36699878_36700362_GRCH38|ENCODE|https://genome.ucsc.edu/cgi-bin/hgTables|36699878
chr1|36700271|0000235_CHR1_36699940_36700271_GRCH38|ENCODE|https://genome.ucsc.edu/cgi-bin/hgTables|36699940
chr1|36700226|0000235_CHR1_36699986_36700226_GRCH38|ENCODE|https://genome.ucsc.edu/cgi-bin/hgTables|36699986
chr1|37748933|0000235_CHR1_37748517_37748933_GRCH38|ENCODE|https://genome.ucsc.edu/cgi-bin/hgTables|37748517
chr1|37748943|0000235_CHR1_37748519_37748943_GRCH38|ENCODE|https://genome.ucsc.edu/cgi-bin/hgTables|37748519
chr1|37748952|0000235_CHR1_37748592_37748952_GRCH38|ENCODE|https://genome.ucsc.edu/cgi-bin/hgTables|37748592
chr1|37748859|0000235_CHR1_37748658_37748859_GRCH38|ENCODE|https://genome.ucsc.edu/cgi-bin/hgTables|37748658
chr1|39846085|0000235_CHR1_39845178_39846085_GRCH38|ENCODE|https://genome.ucsc.edu/cgi-bin/hgTables|39845178
chr1|39846211|0000235_CHR1_39845338_39846211_GRCH38|ENCODE|https://genome.ucsc.edu/cgi-bin/hgTables|39845338
chr1|39846000|0000235_CHR1_39845460_39846000_GRCH38|ENCODE|https://genome.ucsc.edu/cgi-bin/hgTables|39845460
chr1|39846065|0000235_CHR1_39845475_39846065_GRCH38|ENCODE|https://genome.ucsc.edu/cgi-bin/hgTables|39845475
chr1|39846083|0000235_CHR1_39845487_39846083_GRCH38|ENCODE|https://genome.ucsc.edu/cgi-bin/hgTables|39845487
chr1|39846087|0000235_CHR1_39845487_39846087_GRCH38|ENCODE|https://genome.ucsc.edu/cgi-bin/hgTables|39845487
chr1|39846329|0000235_CHR1_39845494_39846329_GRCH38|ENCODE|https://genome.ucsc.edu/cgi-bin/hgTables|39845494
chr1|39846015|0000235_CHR1_39845499_39846015_GRCH38|ENCODE|https://genome.ucsc.edu/cgi-bin/hgTables|39845499
chr1|39846328|0000235_CHR1_39845500_39846328_GRCH38|ENCODE|https://genome.ucsc.edu/cgi-bin/hgTables|39845500
chr1|39846003|0000235_CHR1_39845513_39846003_GRCH38|ENCODE|https://genome.ucsc.edu/cgi-bin/hgTables|39845513
chr1|39846502|0000235_CHR1_39845522_39846502_GRCH38|ENCODE|https://genome.ucsc.edu/cgi-bin/hgTables|39845522
chr1|39845972|0000235_CHR1_39845536_39845972_GRCH38|ENCODE|https://genome.ucsc.edu/cgi-bin/hgTables|39845536
chr1|39846140|0000235_CHR1_39845543_39846140_GRCH38|ENCODE|https://genome.ucsc.edu/cgi-bin/hgTables|39845543
chr1|39846054|0000235_CHR1_39845550_39846054_GRCH38|ENCODE|https://genome.ucsc.edu/cgi-bin/hgTables|39845550
chr1|39845934|0000235_CHR1_39845554_39845934_GRCH38|ENCODE|https://genome.ucsc.edu/cgi-bin/hgTables|39845554
chr1|39845927|0000235_CHR1_39845557_39845927_GRCH38|ENCODE|https://genome.ucsc.edu/cgi-bin/hgTables|39845557
chr1|39845954|0000235_CHR1_39845558_39845954_GRCH38|ENCODE|https://genome.ucsc.edu/cgi-bin/hgTables|39845558
chr1|39845930|0000235_CHR1_39845566_39845930_GRCH38|ENCODE|https://genome.ucsc.edu/cgi-bin/hgTables|39845566
chr1|39846151|0000235_CHR1_39845567_39846151_GRCH38|ENCODE|https://genome.ucsc.edu/cgi-bin/hgTables|39845567
chr1|39845990|0000235_CHR1_39845569_39845990_GRCH38|ENCODE|https://genome.ucsc.edu/cgi-bin/hgTables|39845569
chr1|39846495|0000235_CHR1_39845571_39846495_GRCH38|ENCODE|https://genome.ucsc.edu/cgi-bin/hgTables|39845571
chr1|39845981|0000235_CHR1_39845581_39845981_GRCH38|ENCODE|https://genome.ucsc.edu/cgi-bin/hgTables|39845581
chr1|39846068|0000235_CHR1_39845588_39846068_GRCH38|ENCODE|https://genome.ucsc.edu/cgi-bin/hgTables|39845588
chr1|39846077|0000235_CHR1_39845597_39846077_GRCH38|ENCODE|https://genome.ucsc.edu/cgi-bin/hgTables|39845597
chr1|39845959|0000235_CHR1_39845599_39845959_GRCH38|ENCODE|https://genome.ucsc.edu/cgi-bin/hgTables|39845599
chr1|39845938|0000235_CHR1_39845601_39845938_GRCH38|ENCODE|https://genome.ucsc.edu/cgi-bin/hgTables|39845601
chr1|39846064|0000235_CHR1_39845602_39846064_GRCH38|ENCODE|https://genome.ucsc.edu/cgi-bin/hgTables|39845602
chr1|39846089|0000235_CHR1_39845605_39846089_GRCH38|ENCODE|https://genome.ucsc.edu/cgi-bin/hgTables|39845605
chr1|39845971|0000235_CHR1_39845615_39845971_GRCH38|ENCODE|https://genome.ucsc.edu/cgi-bin/hgTables|39845615
chr1|39846014|0000235_CHR1_39845634_39846014_GRCH38|ENCODE|https://genome.ucsc.edu/cgi-bin/hgTables|39845634
chr1|39845895|0000235_CHR1_39845639_39845895_GRCH38|ENCODE|https://genome.ucsc.edu/cgi-bin/hgTables|39845639
chr1|39846126|0000235_CHR1_39845646_39846126_GRCH38|ENCODE|https://genome.ucsc.edu/cgi-bin/hgTables|39845646
chr1|39846449|0000235_CHR1_39845649_39846449_GRCH38|ENCODE|https://genome.ucsc.edu/cgi-bin/hgTables|39845649
chr1|39846082|0000235_CHR1_39845686_39846082_GRCH38|ENCODE|https://genome.ucsc.edu/cgi-bin/hgTables|39845686
chr1|39845931|0000235_CHR1_39845691_39845931_GRCH38|ENCODE|https://genome.ucsc.edu/cgi-bin/hgTables|39845691
chr1|39845969|0000235_CHR1_39845693_39845969_GRCH38|ENCODE|https://genome.ucsc.edu/cgi-bin/hgTables|39845693
chr1|39845979|0000235_CHR1_39845695_39845979_GRCH38|ENCODE|https://genome.ucsc.edu/cgi-bin/hgTables|39845695
chr1|39846120|0000235_CHR1_39845756_39846120_GRCH38|ENCODE|https://genome.ucsc.edu/cgi-bin/hgTables|39845756
chr1|39846009|0000235_CHR1_39845769_39846009_GRCH38|ENCODE|https://genome.ucsc.edu/cgi-bin/hgTables|39845769
chr1|49283155|0000235_CHR1_49282755_49283155_GRCH38|ENCODE|https://genome.ucsc.edu/cgi-bin/hgTables|49282755
chr1|65012160|0000235_CHR1_65011690_65012160_GRCH38|ENCODE|https://genome.ucsc.edu/cgi-bin/hgTables|65011690
chr1|70254804|0000235_CHR1_70254354_70254804_GRCH38|ENCODE|https://genome.ucsc.edu/cgi-bin/hgTables|70254354
chr1|70254866|0000235_CHR1_70254366_70254866_GRCH38|ENCODE|https://genome.ucsc.edu/cgi-bin/hgTables|70254366
