id|chr|end|label|source|source_url|start
chr1_959246_959305_grch38|chr1|959305|promoter|EPD|https://epd.expasy.org/ftp/epdnew/H_sapiens/|959246
chr1_960584_960643_grch38|chr1|960643|promoter|EPD|https://epd.expasy.org/ftp/epdnew/H_sapiens/|960584
chr1_966433_966492_grch38|chr1|966492|promoter|EPD|https://epd.expasy.org/ftp/epdnew/H_sapiens/|966433
chr1_976671_976730_grch38|chr1|976730|promoter|EPD|https://epd.expasy.org/ftp/epdnew/H_sapiens/|976671
chr1_1000087_1000146_grch38|chr1|1000146|promoter|EPD|https://epd.expasy.org/ftp/epdnew/H_sapiens/|1000087
chr1_1000462_1000521_grch38|chr1|1000521|promoter|EPD|https://epd.expasy.org/ftp/epdnew/H_sapiens/|1000462
chr1_1013448_1013507_grch38|chr1|1013507|promoter|EPD|https://epd.expasy.org/ftp/epdnew/H_sapiens/|1013448
chr1_1020071_1020130_grch38|chr1|1020130|promoter|EPD|https://epd.expasy.org/ftp/epdnew/H_sapiens/|1020071
chr1_1173849_1173908_grch38|chr1|1173908|promoter|EPD|https://epd.expasy.org/ftp/epdnew/H_sapiens/|1173849
chr1_1179639_1179698_grch38|chr1|1179698|promoter|EPD|https://epd.expasy.org/ftp/epdnew/H_sapiens/|1179639
chr1_1205580_1205639_grch38|chr1|1205639|promoter|EPD|https://epd.expasy.org/ftp/epdnew/H_sapiens/|1205580
chr1_1206571_1206630_grch38|chr1|1206630|promoter|EPD|https://epd.expasy.org/ftp/epdnew/H_sapiens/|1206571
chr1_1206699_1206758_grch38|chr1|1206758|promoter|EPD|https://epd.expasy.org/ftp/epdnew/H_sapiens/|1206699
chr1_1214143_1214202_grch38|chr1|1214202|promoter|EPD|https://epd.expasy.org/ftp/epdnew/H_sapiens/|1214143
chr1_1231991_1232050_grch38|chr1|1232050|promoter|EPD|https://epd.expasy.org/ftp/epdnew/H_sapiens/|1231991
chr1_1240908_1240967_grch38|chr1|1240967|promoter|EPD|https://epd.expasy.org/ftp/epdnew/H_sapiens/|1240908
chr1_1273823_1273882_grch38|chr1|1273882|promoter|EPD|https://epd.expasy.org/ftp/epdnew/H_sapiens/|1273823
chr1_1305929_1305988_grch38|chr1|1305988|promoter|EPD|https://epd.expasy.org/ftp/epdnew/H_sapiens/|1305929
chr1_1307920_1307979_grch38|chr1|1307979|promoter|EPD|https://epd.expasy.org/ftp/epdnew/H_sapiens/|1307920
chr1_1308139_1308198_grch38|chr1|1308198|promoter|EPD|https://epd.expasy.org/ftp/epdnew/H_sapiens/|1308139
chr1_1308548_1308607_grch38|chr1|1308607|promoter|EPD|https://epd.expasy.org/ftp/epdnew/H_sapiens/|1308548
chr1_1309820_1309879_grch38|chr1|1309879|promoter|EPD|https://epd.expasy.org/ftp/epdnew/H_sapiens/|1309820
chr1_1312714_1312773_grch38|chr1|1312773|promoter|EPD|https://epd.expasy.org/ftp/epdnew/H_sapiens/|1312714
chr1_1324650_1324709_grch38|chr1|1324709|promoter|EPD|https://epd.expasy.org/ftp/epdnew/H_sapiens/|1324650
chr1_1349119_1349178_grch38|chr1|1349178|promoter|EPD|https://epd.expasy.org/ftp/epdnew/H_sapiens/|1349119
chr1_1358533_1358592_grch38|chr1|1358592|promoter|EPD|https://epd.expasy.org/ftp/epdnew/H_sapiens/|1358533
chr1_1375172_1375231_grch38|chr1|1375231|promoter|EPD|https://epd.expasy.org/ftp/epdnew/H_sapiens/|1375172
chr1_1375489_1375548_grch38|chr1|1375548|promoter|EPD|https://epd.expasy.org/ftp/epdnew/H_sapiens/|1375489
chr1_1399304_1399363_grch38|chr1|1399363|promoter|EPD|https://epd.expasy.org/ftp/epdnew/H_sapiens/|1399304
chr1_1407283_1407342_grch38|chr1|1407342|promoter|EPD|https://epd.expasy.org/ftp/epdnew/H_sapiens/|1407283
chr1_1421335_1421394_grch38|chr1|1421394|promoter|EPD|https://epd.expasy.org/ftp/epdnew/H_sapiens/|1421335
chr1_1435641_1435700_grch38|chr1|1435700|promoter|EPD|https://epd.expasy.org/ftp/epdnew/H_sapiens/|1435641
chr1_1462420_1462479_grch38|chr1|1462479|promoter|EPD|https://epd.expasy.org/ftp/epdnew/H_sapiens/|1462420
chr1_1471732_1471791_grch38|chr1|1471791|promoter|EPD|https://epd.expasy.org/ftp/epdnew/H_sapiens/|1471732
chr1_1512113_1512172_grch38|chr1|1512172|promoter|EPD|https://epd.expasy.org/ftp/epdnew/H_sapiens/|1512113
chr1_1574594_1574653_grch38|chr1|1574653|promoter|EPD|https://epd.expasy.org/ftp/epdnew/H_sapiens/|1574594
chr1_1574853_1574912_grch38|chr1|1574912|promoter|EPD|https://epd.expasy.org/ftp/epdnew/H_sapiens/|1574853
chr1_1615467_1615526_grch38|chr1|1615526|promoter|EPD|https://epd.expasy.org/ftp/epdnew/H_sapiens/|1615467
