gene_name|id|source|source_url|transcript_id|transcript_name|transcript_type
PAK5|ENST00000353224|GENCODE|https://www.gencodegenes.org/human/|ENSEMBL:ENST00000353224.10|PAK5-201|protein_coding
PAK5|ENST00000378423|GENCODE|https://www.gencodegenes.org/human/|ENSEMBL:ENST00000378423.5|PAK5-202|protein_coding
PAK5|ENST00000378429|GENCODE|https://www.gencodegenes.org/human/|ENSEMBL:ENST00000378429.3|PAK5-203|protein_coding
unknown|ENST00000657954|GENCODE|https://www.gencodegenes.org/human/|ENSEMBL:ENST00000657954.1|ENST00000657954|lncRNA
unknown|ENST00000428769|GENCODE|https://www.gencodegenes.org/human/|ENSEMBL:ENST00000428769.1|ENST00000428769|lncRNA
unknown|ENST00000656748|GENCODE|https://www.gencodegenes.org/human/|ENSEMBL:ENST00000656748.1|ENST00000656748|lncRNA
PARAL1|ENST00000449270|GENCODE|https://www.gencodegenes.org/human/|ENSEMBL:ENST00000449270.1|PARAL1-201|lncRNA
ANKEF1|ENST00000437504|GENCODE|https://www.gencodegenes.org/human/|ENSEMBL:ENST00000437504.1|ANKEF1-203|protein_coding_CDS_not_defined
ANKEF1|ENST00000378392|GENCODE|https://www.gencodegenes.org/human/|ENSEMBL:ENST00000378392.6|ANKEF1-202|protein_coding
ANKEF1|ENST00000378380|GENCODE|https://www.gencodegenes.org/human/|ENSEMBL:ENST00000378380.4|ANKEF1-201|protein_coding
ANKEF1|ENST00000488991|GENCODE|https://www.gencodegenes.org/human/|ENSEMBL:ENST00000488991.1|ANKEF1-204|protein_coding_CDS_not_defined
SNAP25-AS1|ENST00000655841|GENCODE|https://www.gencodegenes.org/human/|ENSEMBL:ENST00000655841.1|SNAP25-AS1-210|lncRNA
SNAP25-AS1|ENST00000658520|GENCODE|https://www.gencodegenes.org/human/|ENSEMBL:ENST00000658520.1|SNAP25-AS1-213|lncRNA
SNAP25-AS1|ENST00000603245|GENCODE|https://www.gencodegenes.org/human/|ENSEMBL:ENST00000603245.2|SNAP25-AS1-206|lncRNA
SNAP25-AS1|ENST00000661614|GENCODE|https://www.gencodegenes.org/human/|ENSEMBL:ENST00000661614.1|SNAP25-AS1-216|lncRNA
SNAP25-AS1|ENST00000663466|GENCODE|https://www.gencodegenes.org/human/|ENSEMBL:ENST00000663466.1|SNAP25-AS1-218|lncRNA
SNAP25-AS1|ENST00000670580|GENCODE|https://www.gencodegenes.org/human/|ENSEMBL:ENST00000670580.1|SNAP25-AS1-222|lncRNA
SNAP25-AS1|ENST00000664172|GENCODE|https://www.gencodegenes.org/human/|ENSEMBL:ENST00000664172.1|SNAP25-AS1-219|lncRNA
SNAP25-AS1|ENST00000658443|GENCODE|https://www.gencodegenes.org/human/|ENSEMBL:ENST00000658443.1|SNAP25-AS1-212|lncRNA
SNAP25-AS1|ENST00000666905|GENCODE|https://www.gencodegenes.org/human/|ENSEMBL:ENST00000666905.1|SNAP25-AS1-220|lncRNA
SNAP25-AS1|ENST00000603542|GENCODE|https://www.gencodegenes.org/human/|ENSEMBL:ENST00000603542.6|SNAP25-AS1-207|lncRNA
