chr|end|id|source|source_url|start
chr1|959305|CHR1_959246_959305_GRCH38|EPD|https://epd.expasy.org/ftp/epdnew/H_sapiens/|959246
chr1|960643|CHR1_960584_960643_GRCH38|EPD|https://epd.expasy.org/ftp/epdnew/H_sapiens/|960584
chr1|966492|CHR1_966433_966492_GRCH38|EPD|https://epd.expasy.org/ftp/epdnew/H_sapiens/|966433
chr1|976730|CHR1_976671_976730_GRCH38|EPD|https://epd.expasy.org/ftp/epdnew/H_sapiens/|976671
chr1|1000146|CHR1_1000087_1000146_GRCH38|EPD|https://epd.expasy.org/ftp/epdnew/H_sapiens/|1000087
chr1|1000521|CHR1_1000462_1000521_GRCH38|EPD|https://epd.expasy.org/ftp/epdnew/H_sapiens/|1000462
chr1|1013507|CHR1_1013448_1013507_GRCH38|EPD|https://epd.expasy.org/ftp/epdnew/H_sapiens/|1013448
chr1|1020130|CHR1_1020071_1020130_GRCH38|EPD|https://epd.expasy.org/ftp/epdnew/H_sapiens/|1020071
chr1|1173908|CHR1_1173849_1173908_GRCH38|EPD|https://epd.expasy.org/ftp/epdnew/H_sapiens/|1173849
chr1|1179698|CHR1_1179639_1179698_GRCH38|EPD|https://epd.expasy.org/ftp/epdnew/H_sapiens/|1179639
chr1|1205639|CHR1_1205580_1205639_GRCH38|EPD|https://epd.expasy.org/ftp/epdnew/H_sapiens/|1205580
chr1|1206630|CHR1_1206571_1206630_GRCH38|EPD|https://epd.expasy.org/ftp/epdnew/H_sapiens/|1206571
chr1|1206758|CHR1_1206699_1206758_GRCH38|EPD|https://epd.expasy.org/ftp/epdnew/H_sapiens/|1206699
chr1|1214202|CHR1_1214143_1214202_GRCH38|EPD|https://epd.expasy.org/ftp/epdnew/H_sapiens/|1214143
chr1|1232050|CHR1_1231991_1232050_GRCH38|EPD|https://epd.expasy.org/ftp/epdnew/H_sapiens/|1231991
chr1|1240967|CHR1_1240908_1240967_GRCH38|EPD|https://epd.expasy.org/ftp/epdnew/H_sapiens/|1240908
