distance|label|source|source_id|source_type|source_url|target_id|target_type
1618|associated_with|ENCODE cCRE|000165:CHR1_10034_10251|enhancer|https://screen.wenglab.org/downloads|ENSG00000223972|gene
1155|associated_with|ENCODE cCRE|000165:CHR1_10386_10714|enhancer|https://screen.wenglab.org/downloads|ENSG00000223972|gene
953|associated_with|ENCODE cCRE|000165:CHR1_138918_139113|enhancer|https://screen.wenglab.org/downloads|ENSG00000269981|gene
1399|associated_with|ENCODE cCRE|000165:CHR1_184095_184267|enhancer|https://screen.wenglab.org/downloads|ENSG00000279928|gene
387|associated_with|ENCODE cCRE|000165:CHR1_588016_588168|enhancer|https://screen.wenglab.org/downloads|ENSG00000235146|gene
495|associated_with|ENCODE cCRE|000165:CHR1_777838_778131|enhancer|https://screen.wenglab.org/downloads|ENSG00000228327|gene
251|associated_with|ENCODE cCRE|000165:CHR1_779223_779433|enhancer|https://screen.wenglab.org/downloads|ENSG00000237491|gene
744|associated_with|ENCODE cCRE|000165:CHR1_779716_780048|enhancer|https://screen.wenglab.org/downloads|ENSG00000237491|gene
848|associated_with|ENCODE cCRE|000165:CHR1_804782_805062|enhancer|https://screen.wenglab.org/downloads|ENSG00000237491|gene
262|associated_with|ENCODE cCRE|000165:CHR1_817974_818324|enhancer|https://screen.wenglab.org/downloads|ENSG00000230092|gene
618|associated_with|ENCODE cCRE|000165:CHR1_818330_818574|enhancer|https://screen.wenglab.org/downloads|ENSG00000230092|gene
1002|associated_with|ENCODE cCRE|000165:CHR1_818714_818883|enhancer|https://screen.wenglab.org/downloads|ENSG00000230092|gene
1173|associated_with|ENCODE cCRE|000165:CHR1_818885_819184|enhancer|https://screen.wenglab.org/downloads|ENSG00000230092|gene
763|associated_with|ENCODE cCRE|000165:CHR1_825847_826069|enhancer|https://screen.wenglab.org/downloads|ENSG00000228794|gene
1093|associated_with|ENCODE cCRE|000165:CHR1_828889_829043|enhancer|https://screen.wenglab.org/downloads|ENSG00000230021|gene
1709|associated_with|ENCODE cCRE|000165:CHR1_858326_858517|enhancer|https://screen.wenglab.org/downloads|ENSG00000288531|gene
1197|associated_with|ENCODE cCRE|000165:CHR1_858684_859029|enhancer|https://screen.wenglab.org/downloads|ENSG00000288531|gene
652|associated_with|ENCODE cCRE|000165:CHR1_860879_861088|enhancer|https://screen.wenglab.org/downloads|ENSG00000288531|gene
952|associated_with|ENCODE cCRE|000165:CHR1_875730_875951|enhancer|https://screen.wenglab.org/downloads|ENSG00000230368|gene
139|associated_with|ENCODE cCRE|000165:CHR1_876437_876764|enhancer|https://screen.wenglab.org/downloads|ENSG00000230368|gene
