id|chr|end|gene_name|gene_type|label|source|source_url|start|synonyms
ensg00000101349|chr20|9839076|PAK5|protein_coding|gene|GENCODE|https://www.gencodegenes.org/human/|9537370|"[""protein kinase PAK5"", ""HGNC:15916"", ""p21CDKN1A-activated kinase 7"", ""PAK7"", ""p21-activated kinase 7"", ""serine/threonine-protein kinase PAK 7"", ""serine/threonine-protein kinase PAK7"", ""p21 (RAC1) activated kinase 5"", ""p21(CDKN1A)-activated kinase 7"", ""PAK-7"", ""p21-activated kinase 5"", ""serine/threonine-protein kinase PAK 5"", ""p21 (RAC1) activated kinase 7"", ""PAK5"", ""p21 protein (Cdc42/Rac)-activated kinase 7"", ""PAK-5""]"
ensg00000286740|chr20|9571257|unknown|lncRNA|gene|GENCODE|https://www.gencodegenes.org/human/|9562941|
ensg00000232738|chr20|9577689|unknown|lncRNA|gene|GENCODE|https://www.gencodegenes.org/human/|9575608|
ensg00000286470|chr20|9873900|unknown|lncRNA|gene|GENCODE|https://www.gencodegenes.org/human/|9835556|
ensg00000243961|chr20|10007116|PARAL1|lncRNA|gene|GENCODE|https://www.gencodegenes.org/human/|9986088|"[""PPARgamma-activator RBM14-associated lncRNA"", ""PARAL1"", ""PPARG activating RBM14 associated lncRNA 1"", ""HGNC:53772""]"
ensg00000132623|chr20|10058303|ANKEF1|protein_coding|gene|GENCODE|https://www.gencodegenes.org/human/|9986126|"[""ankyrin repeat and EF-hand domain-containing protein 1"", ""ankyrin repeat and EF-hand domain containing 1"", ""ankyrin repeat domain-containing protein 5"", ""ANKEF1"", ""ANKRD5"", ""HGNC:15803""]"
ensg00000227906|chr20|10368831|SNAP25-AS1|lncRNA|gene|GENCODE|https://www.gencodegenes.org/human/|10006381|"[""SNAP25 antisense RNA 1"", ""SNAP25-AS1"", ""HGNC:44312"", ""SNAP25 antisense RNA 1 (non-protein coding)""]"
ensg00000276525|chr20|10026168|unknown|misc_RNA|gene|GENCODE|https://www.gencodegenes.org/human/|10025917|
ensg00000132639|chr20|10308258|SNAP25|protein_coding|gene|GENCODE|https://www.gencodegenes.org/human/|10172395|"[""dJ1068F16.2"", ""synaptosome associated protein 25"", ""resistance to inhibitors of cholinesterase 4 homolog"", ""RIC4"", ""synaptosomal-associated protein, 25kDa"", ""synaptosome associated protein 25kDa"", ""SNAP-25"", ""RIC-4"", ""SNAP25"", ""SNAP"", ""CMS18"", ""SEC9"", ""synaptosomal-associated protein 25"", ""bA416N4.2"", ""SUP"", ""HGNC:11132""]"
ensg00000230506|chr20|10200824|unknown|lncRNA|gene|GENCODE|https://www.gencodegenes.org/human/|10172522|
ensg00000232448|chr20|10186740|unknown|lncRNA|gene|GENCODE|https://www.gencodegenes.org/human/|10172701|
ensg00000289505|chr20|10309905|unknown|lncRNA|gene|GENCODE|https://www.gencodegenes.org/human/|10308422|
ensg00000286936|chr20|10318753|unknown|lncRNA|gene|GENCODE|https://www.gencodegenes.org/human/|10317889|
ensg00000237005|chr20|10334698|HIGD1AP15|processed_pseudogene|gene|GENCODE|https://www.gencodegenes.org/human/|10334419|"[""HIGD1AP15"", ""HGNC:43010"", ""HIG1 hypoxia inducible domain family member 1A pseudogene 15""]"
ensg00000214835|chr20|10349628|RPL23AP6|processed_pseudogene|gene|GENCODE|https://www.gencodegenes.org/human/|10349157|"[""RPL23AP6"", ""ribosomal protein L23a pseudogene 6"", ""RPL23A_36_1683"", ""HGNC:16555"", ""dJ1068F16.1""]"
ensg00000230750|chr20|10387806|SDAD1P2|processed_pseudogene|gene|GENCODE|https://www.gencodegenes.org/human/|10385779|"[""SDAD1P2"", ""HGNC:31404"", ""SDA1 domain containing 1 pseudogene 2""]"
ensg00000125863|chr20|10434222|MKKS|protein_coding|gene|GENCODE|https://www.gencodegenes.org/human/|10401009|"[""HGNC:7108"", ""alternative protein MKKS"", ""BBS6"", ""KMS"", ""molecular chaperone MKKS"", ""Bardet-Biedl syndrome 6 protein"", ""MKKS centrosomal shuttling protein"", ""MKKS"", ""McKusick-Kaufman/Bardet-Biedl syndromes putative chaperonin"", ""HMCS"", ""MKS""]"
ensg00000285508|chr20|10431922|MKKS|protein_coding|gene|GENCODE|https://www.gencodegenes.org/human/|10413520|"[""LOC128706666"", ""uncharacterized LOC128706666""]"
ensg00000285723|chr20|10420737|MKKS|protein_coding|gene|GENCODE|https://www.gencodegenes.org/human/|10420546|"[""uncharacterized LOC128706665"", ""LOC128706665""]"
ensg00000149346|chr20|10636829|SLX4IP|protein_coding|gene|GENCODE|https://www.gencodegenes.org/human/|10435305|"[""SLX4IP"", ""bA204H22.1"", ""C20orf94"", ""SLX4 interacting protein"", ""protein SLX4IP"", ""dJ1099D15.3"", ""HGNC:16225"", ""bA254M13.1""]"
ensg00000235036|chr20|10614229|DNAJC9P1|processed_pseudogene|gene|GENCODE|https://www.gencodegenes.org/human/|10612861|
