distance|label|source|source_id|source_type|source_url|target_id|target_type
91917|associated_with|ENCODE|0000167:CHR1_778571_778920|promoter|https://screen.wenglab.org/downloads|ENSG00000284662|gene
92370|associated_with|ENCODE|0000167:CHR1_779024_779183|promoter|https://screen.wenglab.org/downloads|ENSG00000284662|gene
106519|associated_with|ENCODE|0000167:CHR1_817081_817404|promoter|https://screen.wenglab.org/downloads|ENSG00000187634|gene
97035|associated_with|ENCODE|0000167:CHR1_826735_826888|promoter|https://screen.wenglab.org/downloads|ENSG00000187634|gene
96760|associated_with|ENCODE|0000167:CHR1_826895_827163|promoter|https://screen.wenglab.org/downloads|ENSG00000187634|gene
96155|associated_with|ENCODE|0000167:CHR1_827418_827768|promoter|https://screen.wenglab.org/downloads|ENSG00000187634|gene
53474|associated_with|ENCODE|0000167:CHR1_870121_870449|promoter|https://screen.wenglab.org/downloads|ENSG00000187634|gene
19004|associated_with|ENCODE|0000167:CHR1_904579_904919|promoter|https://screen.wenglab.org/downloads|ENSG00000187634|gene
12463|associated_with|ENCODE|0000167:CHR1_911150_911460|promoter|https://screen.wenglab.org/downloads|ENSG00000187634|gene
9617|associated_with|ENCODE|0000167:CHR1_914076_914306|promoter|https://screen.wenglab.org/downloads|ENSG00000187634|gene
4198|associated_with|ENCODE|0000167:CHR1_919379_919725|promoter|https://screen.wenglab.org/downloads|ENSG00000187634|gene
0|associated_with|ENCODE|0000167:CHR1_923720_924070|promoter|https://screen.wenglab.org/downloads|ENSG00000187634|gene
0|associated_with|ENCODE|0000167:CHR1_925513_925851|promoter|https://screen.wenglab.org/downloads|ENSG00000187634|gene
0|associated_with|ENCODE|0000167:CHR1_959150_959499|promoter|https://screen.wenglab.org/downloads|ENSG00000188976|gene
0|associated_with|ENCODE|0000167:CHR1_960416_960710|promoter|https://screen.wenglab.org/downloads|ENSG00000187961|gene
0|associated_with|ENCODE|0000167:CHR1_966271_966615|promoter|https://screen.wenglab.org/downloads|ENSG00000187583|gene
1|associated_with|ENCODE|0000167:CHR1_981879_982092|promoter|https://screen.wenglab.org/downloads|ENSG00000187642|gene
10|associated_with|ENCODE|0000167:CHR1_982127_982477|promoter|https://screen.wenglab.org/downloads|ENSG00000187642|gene
1913|associated_with|ENCODE|0000167:CHR1_997823_998068|promoter|https://screen.wenglab.org/downloads|ENSG00000188290|gene
0|associated_with|ENCODE|0000167:CHR1_999854_1000048|promoter|https://screen.wenglab.org/downloads|ENSG00000188290|gene
0|associated_with|ENCODE|0000167:CHR1_1000069_1000410|promoter|https://screen.wenglab.org/downloads|ENSG00000188290|gene
0|associated_with|ENCODE|0000167:CHR1_1001094_1001299|promoter|https://screen.wenglab.org/downloads|ENSG00000187608|gene
5020|associated_with|ENCODE|0000167:CHR1_1008285_1008477|promoter|https://screen.wenglab.org/downloads|ENSG00000187608|gene
0|associated_with|ENCODE|0000167:CHR1_1013283_1013631|promoter|https://screen.wenglab.org/downloads|ENSG00000187608|gene
0|associated_with|ENCODE|0000167:CHR1_1019823_1020171|promoter|https://screen.wenglab.org/downloads|ENSG00000188157|gene
71|associated_with|ENCODE|0000167:CHR1_1020194_1020364|promoter|https://screen.wenglab.org/downloads|ENSG00000188157|gene
14482|associated_with|ENCODE|0000167:CHR1_1059476_1059824|promoter|https://screen.wenglab.org/downloads|ENSG00000237330|gene
11172|associated_with|ENCODE|0000167:CHR1_1062935_1063134|promoter|https://screen.wenglab.org/downloads|ENSG00000237330|gene
10931|associated_with|ENCODE|0000167:CHR1_1063148_1063375|promoter|https://screen.wenglab.org/downloads|ENSG00000237330|gene
0|associated_with|ENCODE|0000167:CHR1_1074048_1074398|promoter|https://screen.wenglab.org/downloads|ENSG00000237330|gene
0|associated_with|ENCODE|0000167:CHR1_1092079_1092419|promoter|https://screen.wenglab.org/downloads|ENSG00000131591|gene
