chr|end|id|source|source_url|start|taxon_id
chr2L|7516|CHR2L_7457_7516_GRCH38|EPD|https://epd.expasy.org/ftp/epdnew/D_melanogaster/|7457|7227
chr2L|18677|CHR2L_18618_18677_GRCH38|EPD|https://epd.expasy.org/ftp/epdnew/D_melanogaster/|18618|7227
chr2L|25227|CHR2L_25168_25227_GRCH38|EPD|https://epd.expasy.org/ftp/epdnew/D_melanogaster/|25168|7227
chr2L|59291|CHR2L_59232_59291_GRCH38|EPD|https://epd.expasy.org/ftp/epdnew/D_melanogaster/|59232|7227
chr2L|66505|CHR2L_66446_66505_GRCH38|EPD|https://epd.expasy.org/ftp/epdnew/D_melanogaster/|66446|7227
chr2L|67054|CHR2L_66995_67054_GRCH38|EPD|https://epd.expasy.org/ftp/epdnew/D_melanogaster/|66995|7227
chr2L|71751|CHR2L_71692_71751_GRCH38|EPD|https://epd.expasy.org/ftp/epdnew/D_melanogaster/|71692|7227
chr2L|72398|CHR2L_72339_72398_GRCH38|EPD|https://epd.expasy.org/ftp/epdnew/D_melanogaster/|72339|7227
chr2L|73451|CHR2L_73392_73451_GRCH38|EPD|https://epd.expasy.org/ftp/epdnew/D_melanogaster/|73392|7227
chr2L|74125|CHR2L_74066_74125_GRCH38|EPD|https://epd.expasy.org/ftp/epdnew/D_melanogaster/|74066|7227
chr2L|76373|CHR2L_76314_76373_GRCH38|EPD|https://epd.expasy.org/ftp/epdnew/D_melanogaster/|76314|7227
chr2L|87431|CHR2L_87372_87431_GRCH38|EPD|https://epd.expasy.org/ftp/epdnew/D_melanogaster/|87372|7227
chr2L|94752|CHR2L_94693_94752_GRCH38|EPD|https://epd.expasy.org/ftp/epdnew/D_melanogaster/|94693|7227
chr2L|102396|CHR2L_102337_102396_GRCH38|EPD|https://epd.expasy.org/ftp/epdnew/D_melanogaster/|102337|7227
chr2L|106778|CHR2L_106719_106778_GRCH38|EPD|https://epd.expasy.org/ftp/epdnew/D_melanogaster/|106719|7227
chr2L|106897|CHR2L_106838_106897_GRCH38|EPD|https://epd.expasy.org/ftp/epdnew/D_melanogaster/|106838|7227
chr2L|107771|CHR2L_107712_107771_GRCH38|EPD|https://epd.expasy.org/ftp/epdnew/D_melanogaster/|107712|7227
chr2L|107944|CHR2L_107885_107944_GRCH38|EPD|https://epd.expasy.org/ftp/epdnew/D_melanogaster/|107885|7227
chr2L|108143|CHR2L_108084_108143_GRCH38|EPD|https://epd.expasy.org/ftp/epdnew/D_melanogaster/|108084|7227
chr2L|109575|CHR2L_109516_109575_GRCH38|EPD|https://epd.expasy.org/ftp/epdnew/D_melanogaster/|109516|7227
chr2L|114667|CHR2L_114608_114667_GRCH38|EPD|https://epd.expasy.org/ftp/epdnew/D_melanogaster/|114608|7227
chr2L|116231|CHR2L_116172_116231_GRCH38|EPD|https://epd.expasy.org/ftp/epdnew/D_melanogaster/|116172|7227
chr2L|116531|CHR2L_116472_116531_GRCH38|EPD|https://epd.expasy.org/ftp/epdnew/D_melanogaster/|116472|7227
chr2L|120680|CHR2L_120621_120680_GRCH38|EPD|https://epd.expasy.org/ftp/epdnew/D_melanogaster/|120621|7227
chr2L|121800|CHR2L_121741_121800_GRCH38|EPD|https://epd.expasy.org/ftp/epdnew/D_melanogaster/|121741|7227
chr2L|129290|CHR2L_129231_129290_GRCH38|EPD|https://epd.expasy.org/ftp/epdnew/D_melanogaster/|129231|7227
chr2L|130844|CHR2L_130785_130844_GRCH38|EPD|https://epd.expasy.org/ftp/epdnew/D_melanogaster/|130785|7227
chr2L|132090|CHR2L_132031_132090_GRCH38|EPD|https://epd.expasy.org/ftp/epdnew/D_melanogaster/|132031|7227
chr2L|139637|CHR2L_139578_139637_GRCH38|EPD|https://epd.expasy.org/ftp/epdnew/D_melanogaster/|139578|7227
chr2L|141041|CHR2L_140982_141041_GRCH38|EPD|https://epd.expasy.org/ftp/epdnew/D_melanogaster/|140982|7227
chr2L|142577|CHR2L_142518_142577_GRCH38|EPD|https://epd.expasy.org/ftp/epdnew/D_melanogaster/|142518|7227
chr2L|143173|CHR2L_143114_143173_GRCH38|EPD|https://epd.expasy.org/ftp/epdnew/D_melanogaster/|143114|7227
chr2L|143362|CHR2L_143303_143362_GRCH38|EPD|https://epd.expasy.org/ftp/epdnew/D_melanogaster/|143303|7227
chr2L|153352|CHR2L_153293_153352_GRCH38|EPD|https://epd.expasy.org/ftp/epdnew/D_melanogaster/|153293|7227
chr2L|155093|CHR2L_155034_155093_GRCH38|EPD|https://epd.expasy.org/ftp/epdnew/D_melanogaster/|155034|7227
chr2L|155324|CHR2L_155265_155324_GRCH38|EPD|https://epd.expasy.org/ftp/epdnew/D_melanogaster/|155265|7227
chr2L|155373|CHR2L_155314_155373_GRCH38|EPD|https://epd.expasy.org/ftp/epdnew/D_melanogaster/|155314|7227
chr2L|156176|CHR2L_156117_156176_GRCH38|EPD|https://epd.expasy.org/ftp/epdnew/D_melanogaster/|156117|7227
chr2L|158726|CHR2L_158667_158726_GRCH38|EPD|https://epd.expasy.org/ftp/epdnew/D_melanogaster/|158667|7227
chr2L|159045|CHR2L_158986_159045_GRCH38|EPD|https://epd.expasy.org/ftp/epdnew/D_melanogaster/|158986|7227
chr2L|182856|CHR2L_182797_182856_GRCH38|EPD|https://epd.expasy.org/ftp/epdnew/D_melanogaster/|182797|7227
chr2L|203810|CHR2L_203751_203810_GRCH38|EPD|https://epd.expasy.org/ftp/epdnew/D_melanogaster/|203751|7227
chr2L|206845|CHR2L_206786_206845_GRCH38|EPD|https://epd.expasy.org/ftp/epdnew/D_melanogaster/|206786|7227
chr2L|207346|CHR2L_207287_207346_GRCH38|EPD|https://epd.expasy.org/ftp/epdnew/D_melanogaster/|207287|7227
chr2L|207417|CHR2L_207358_207417_GRCH38|EPD|https://epd.expasy.org/ftp/epdnew/D_melanogaster/|207358|7227
chr2L|222011|CHR2L_221952_222011_GRCH38|EPD|https://epd.expasy.org/ftp/epdnew/D_melanogaster/|221952|7227
chr2L|232490|CHR2L_232431_232490_GRCH38|EPD|https://epd.expasy.org/ftp/epdnew/D_melanogaster/|232431|7227
chr2L|250874|CHR2L_250815_250874_GRCH38|EPD|https://epd.expasy.org/ftp/epdnew/D_melanogaster/|250815|7227
chr2L|252420|CHR2L_252361_252420_GRCH38|EPD|https://epd.expasy.org/ftp/epdnew/D_melanogaster/|252361|7227
chr2L|254839|CHR2L_254780_254839_GRCH38|EPD|https://epd.expasy.org/ftp/epdnew/D_melanogaster/|254780|7227
chr2L|267554|CHR2L_267495_267554_GRCH38|EPD|https://epd.expasy.org/ftp/epdnew/D_melanogaster/|267495|7227
chr2L|269128|CHR2L_269069_269128_GRCH38|EPD|https://epd.expasy.org/ftp/epdnew/D_melanogaster/|269069|7227
chr2L|271773|CHR2L_271714_271773_GRCH38|EPD|https://epd.expasy.org/ftp/epdnew/D_melanogaster/|271714|7227
chr2L|273741|CHR2L_273682_273741_GRCH38|EPD|https://epd.expasy.org/ftp/epdnew/D_melanogaster/|273682|7227
chr2L|273972|CHR2L_273913_273972_GRCH38|EPD|https://epd.expasy.org/ftp/epdnew/D_melanogaster/|273913|7227
chr2L|277312|CHR2L_277253_277312_GRCH38|EPD|https://epd.expasy.org/ftp/epdnew/D_melanogaster/|277253|7227
chr2L|277595|CHR2L_277536_277595_GRCH38|EPD|https://epd.expasy.org/ftp/epdnew/D_melanogaster/|277536|7227
