label|source|source_id|source_type|source_url|target_id|target_type
translates_to|Uniprot|enst00000378380|transcript|https://www.uniprot.org/|q9nu02|protein
translates_to|Uniprot|enst00000378392|transcript|https://www.uniprot.org/|q9nu02|protein
translates_to|Uniprot|enst00000254977|transcript|https://www.uniprot.org/|q9y2f9|protein
translates_to|Uniprot|enst00000378226|transcript|https://www.uniprot.org/|q9y2f9|protein
translates_to|Uniprot|enst00000399006|transcript|https://www.uniprot.org/|q9y2f9|protein
translates_to|Uniprot|enst00000405977|transcript|https://www.uniprot.org/|q9y2f9|protein
translates_to|Uniprot|enst00000618296|transcript|https://www.uniprot.org/|q9y2f9|protein
translates_to|Uniprot|enst00000618918|transcript|https://www.uniprot.org/|q9y2f9|protein
translates_to|Uniprot|enst00000265164|transcript|https://www.uniprot.org/|p55212|protein
translates_to|Uniprot|enst00000352981|transcript|https://www.uniprot.org/|p55212|protein
translates_to|Uniprot|enst00000334681|transcript|https://www.uniprot.org/|p06307|protein
translates_to|Uniprot|enst00000396169|transcript|https://www.uniprot.org/|p06307|protein
translates_to|Uniprot|enst00000434608|transcript|https://www.uniprot.org/|p06307|protein
translates_to|Uniprot|enst00000391952|transcript|https://www.uniprot.org/|q8n2m8|protein
translates_to|Uniprot|enst00000391953|transcript|https://www.uniprot.org/|q8n2m8|protein
translates_to|Uniprot|enst00000366777|transcript|https://www.uniprot.org/|q8ni60|protein
translates_to|Uniprot|enst00000366778|transcript|https://www.uniprot.org/|q8ni60|protein
translates_to|Uniprot|enst00000254958|transcript|https://www.uniprot.org/|p78504|protein
translates_to|Uniprot|enst00000200639|transcript|https://www.uniprot.org/|p13473|protein
translates_to|Uniprot|enst00000371335|transcript|https://www.uniprot.org/|p13473|protein
translates_to|Uniprot|enst00000434600|transcript|https://www.uniprot.org/|p13473|protein
translates_to|Uniprot|enst00000347364|transcript|https://www.uniprot.org/|q9npj1|protein
translates_to|Uniprot|enst00000399054|transcript|https://www.uniprot.org/|q9npj1|protein
translates_to|Uniprot|enst00000651692|transcript|https://www.uniprot.org/|q9npj1|protein
translates_to|Uniprot|enst00000353224|transcript|https://www.uniprot.org/|q9p286|protein
translates_to|Uniprot|enst00000378423|transcript|https://www.uniprot.org/|q9p286|protein
translates_to|Uniprot|enst00000378429|transcript|https://www.uniprot.org/|q9p286|protein
translates_to|Uniprot|enst00000331483|transcript|https://www.uniprot.org/|p07237|protein
translates_to|Uniprot|enst00000354363|transcript|https://www.uniprot.org/|o75400|protein
translates_to|Uniprot|enst00000696381|transcript|https://www.uniprot.org/|o75400|protein
translates_to|Uniprot|enst00000370558|transcript|https://www.uniprot.org/|q9y371|protein
translates_to|Uniprot|enst00000482504|transcript|https://www.uniprot.org/|q9y371|protein
translates_to|Uniprot|enst00000535010|transcript|https://www.uniprot.org/|q9y371|protein
translates_to|Uniprot|enst00000254976|transcript|https://www.uniprot.org/|p60880|protein
translates_to|Uniprot|enst00000304886|transcript|https://www.uniprot.org/|p60880|protein
translates_to|Uniprot|enst00000685131|transcript|https://www.uniprot.org/|p60880|protein
translates_to|Uniprot|enst00000687785|transcript|https://www.uniprot.org/|p60880|protein
translates_to|Uniprot|enst00000689757|transcript|https://www.uniprot.org/|p60880|protein
translates_to|Uniprot|enst00000689858|transcript|https://www.uniprot.org/|p60880|protein
translates_to|Uniprot|enst00000690812|transcript|https://www.uniprot.org/|p60880|protein
translates_to|Uniprot|enst00000691161|transcript|https://www.uniprot.org/|p60880|protein
translates_to|Uniprot|enst00000691353|transcript|https://www.uniprot.org/|p60880|protein
translates_to|Uniprot|enst00000691665|transcript|https://www.uniprot.org/|p60880|protein
translates_to|Uniprot|enst00000692411|transcript|https://www.uniprot.org/|p60880|protein
translates_to|Uniprot|enst00000693325|transcript|https://www.uniprot.org/|p60880|protein
