distance|label|source|source_id|source_type|source_url|target_id|target_type
13886|associated_with|ENCODE cCRE|SO_000165:chr1_79305_79546|enhancer|https://screen.wenglab.org/downloads|ensg00000186092|gene
125391|associated_with|ENCODE cCRE|SO_000165:chr1_190810_191059|enhancer|https://screen.wenglab.org/downloads|ensg00000186092|gene
125876|associated_with|ENCODE cCRE|SO_000165:chr1_191295_191645|enhancer|https://screen.wenglab.org/downloads|ensg00000186092|gene
126341|associated_with|ENCODE cCRE|SO_000165:chr1_191760_191936|enhancer|https://screen.wenglab.org/downloads|ensg00000186092|gene
180209|associated_with|ENCODE cCRE|SO_000165:chr1_271227_271469|enhancer|https://screen.wenglab.org/downloads|ensg00000284733|gene
177196|associated_with|ENCODE cCRE|SO_000165:chr1_274330_274482|enhancer|https://screen.wenglab.org/downloads|ensg00000284733|gene
170899|associated_with|ENCODE cCRE|SO_000165:chr1_280517_280779|enhancer|https://screen.wenglab.org/downloads|ensg00000284733|gene
80985|associated_with|ENCODE cCRE|SO_000165:chr1_605331_605669|enhancer|https://screen.wenglab.org/downloads|ensg00000284662|gene
40468|associated_with|ENCODE cCRE|SO_000165:chr1_727122_727351|enhancer|https://screen.wenglab.org/downloads|ensg00000284662|gene
47118|associated_with|ENCODE cCRE|SO_000165:chr1_733772_734007|enhancer|https://screen.wenglab.org/downloads|ensg00000284662|gene
108232|associated_with|ENCODE cCRE|SO_000165:chr1_794886_795156|enhancer|https://screen.wenglab.org/downloads|ensg00000284662|gene
116006|associated_with|ENCODE cCRE|SO_000165:chr1_807737_807917|enhancer|https://screen.wenglab.org/downloads|ensg00000187634|gene
116006|associated_with|ENCODE cCRE|SO_000165:chr1_807737_807917|enhancer|https://screen.wenglab.org/downloads|ensg00000187634|gene
108995|associated_with|ENCODE cCRE|SO_000165:chr1_814727_814928|enhancer|https://screen.wenglab.org/downloads|ensg00000187634|gene
108995|associated_with|ENCODE cCRE|SO_000165:chr1_814727_814928|enhancer|https://screen.wenglab.org/downloads|ensg00000187634|gene
103695|associated_with|ENCODE cCRE|SO_000165:chr1_819894_820228|enhancer|https://screen.wenglab.org/downloads|ensg00000187634|gene
103695|associated_with|ENCODE cCRE|SO_000165:chr1_819894_820228|enhancer|https://screen.wenglab.org/downloads|ensg00000187634|gene
102654|associated_with|ENCODE cCRE|SO_000165:chr1_821040_821269|enhancer|https://screen.wenglab.org/downloads|ensg00000187634|gene
102654|associated_with|ENCODE cCRE|SO_000165:chr1_821040_821269|enhancer|https://screen.wenglab.org/downloads|ensg00000187634|gene
102191|associated_with|ENCODE cCRE|SO_000165:chr1_821469_821732|enhancer|https://screen.wenglab.org/downloads|ensg00000187634|gene
102191|associated_with|ENCODE cCRE|SO_000165:chr1_821469_821732|enhancer|https://screen.wenglab.org/downloads|ensg00000187634|gene
93547|associated_with|ENCODE cCRE|SO_000165:chr1_830133_830376|enhancer|https://screen.wenglab.org/downloads|ensg00000187634|gene
93547|associated_with|ENCODE cCRE|SO_000165:chr1_830133_830376|enhancer|https://screen.wenglab.org/downloads|ensg00000187634|gene
93327|associated_with|ENCODE cCRE|SO_000165:chr1_830438_830596|enhancer|https://screen.wenglab.org/downloads|ensg00000187634|gene
93327|associated_with|ENCODE cCRE|SO_000165:chr1_830438_830596|enhancer|https://screen.wenglab.org/downloads|ensg00000187634|gene
92907|associated_with|ENCODE cCRE|SO_000165:chr1_830842_831016|enhancer|https://screen.wenglab.org/downloads|ensg00000187634|gene
92907|associated_with|ENCODE cCRE|SO_000165:chr1_830842_831016|enhancer|https://screen.wenglab.org/downloads|ensg00000187634|gene
92391|associated_with|ENCODE cCRE|SO_000165:chr1_831333_831532|enhancer|https://screen.wenglab.org/downloads|ensg00000187634|gene
92391|associated_with|ENCODE cCRE|SO_000165:chr1_831333_831532|enhancer|https://screen.wenglab.org/downloads|ensg00000187634|gene
91944|associated_with|ENCODE cCRE|SO_000165:chr1_831629_831979|enhancer|https://screen.wenglab.org/downloads|ensg00000187634|gene
91944|associated_with|ENCODE cCRE|SO_000165:chr1_831629_831979|enhancer|https://screen.wenglab.org/downloads|ensg00000187634|gene
91425|associated_with|ENCODE cCRE|SO_000165:chr1_832182_832498|enhancer|https://screen.wenglab.org/downloads|ensg00000187634|gene
