==> reactome.homo_sapiens.interactions.tab-delimited.txt <==
# Interactor 1 uniprot id	Interactor 1 Ensembl gene id	Interactor 1 Entrez Gene id	Interactor 2 uniprot id	Interactor 2 Ensembl gene id	Interactor 2 Entrez Gene id	Interaction type	Interaction context	Pubmed references
uniprotkb:Q9Y287	ENSEMBL:ENST00000647800|ENSEMBL:ENST00000378549|ENSEMBL:ENSP00000367811|ENSEMBL:ENSP00000497221|ENSEMBL:ENSG00000136156	-	uniprotkb:Q9Y287	ENSEMBL:ENST00000647800|ENSEMBL:ENST00000378549|ENSEMBL:ENSP00000367811|ENSEMBL:ENSP00000497221|ENSEMBL:ENSG00000136156	-	physical association	reactome:R-HSA-976871	14690516|10391242
uniprotkb:P37840	ENSEMBL:ENSG00000145335|ENSEMBL:ENST00000618500|ENSEMBL:ENST00000394986|ENSEMBL:ENST00000505199|ENSEMBL:ENST00000420646|ENSEMBL:ENST00000673718|ENSEMBL:ENST00000394991|ENSEMBL:ENST00000508895|ENSEMBL:ENST00000394989|ENSEMBL:ENST00000506244|ENSEMBL:ENST00000345009|ENSEMBL:ENST00000336904|ENSEMBL:ENSP00000343683|ENSEMBL:ENSP00000378442|ENSEMBL:ENSP00000338345|ENSEMBL:ENSP00000422238|ENSEMBL:ENSP00000484044|ENSEMBL:ENSP00000426955|ENSEMBL:ENSP00000500990|ENSEMBL:ENSP00000396241|ENSEMBL:ENSP00000378437|ENSEMBL:ENSP00000378440|ENSEMBL:ENSP00000421485	-	uniprotkb:P37840	ENSEMBL:ENSG00000145335|ENSEMBL:ENST00000618500|ENSEMBL:ENST00000394986|ENSEMBL:ENST00000505199|ENSEMBL:ENST00000420646|ENSEMBL:ENST00000673718|ENSEMBL:ENST00000394991|ENSEMBL:ENST00000508895|ENSEMBL:ENST00000394989|ENSEMBL:ENST00000506244|ENSEMBL:ENST00000345009|ENSEMBL:ENST00000336904|ENSEMBL:ENSP00000343683|ENSEMBL:ENSP00000378442|ENSEMBL:ENSP00000338345|ENSEMBL:ENSP00000422238|ENSEMBL:ENSP00000484044|ENSEMBL:ENSP00000426955|ENSEMBL:ENSP00000500990|ENSEMBL:ENSP00000396241|ENSEMBL:ENSP00000378437|ENSEMBL:ENSP00000378440|ENSEMBL:ENSP00000421485	-	physical association	reactome:R-HSA-1247852	24243840
uniprotkb:P0DJI8	ENSEMBL:ENST00000672712|ENSEMBL:ENST00000532858|ENSEMBL:ENST00000672418|ENSEMBL:ENST00000672662|ENSEMBL:ENST00000356524|ENSEMBL:ENST00000405158|ENSEMBL:ENSP00000384906|ENSEMBL:ENSP00000436866|ENSEMBL:ENSP00000348918|ENSEMBL:ENSP00000500281|ENSEMBL:ENSP00000500630|ENSEMBL:ENSP00000500639|ENSEMBL:ENSG00000173432|ENSEMBL:ENSG00000288411	-	uniprotkb:P0DJI8	ENSEMBL:ENST00000672712|ENSEMBL:ENST00000532858|ENSEMBL:ENST00000672418|ENSEMBL:ENST00000672662|ENSEMBL:ENST00000356524|ENSEMBL:ENST00000405158|ENSEMBL:ENSP00000384906|ENSEMBL:ENSP00000436866|ENSEMBL:ENSP00000348918|ENSEMBL:ENSP00000500281|ENSEMBL:ENSP00000500630|ENSEMBL:ENSP00000500639|ENSEMBL:ENSG00000173432|ENSEMBL:ENSG00000288411	-	physical association	reactome:R-HSA-976898	19393650|103558
uniprotkb:P06727	ENSEMBL:ENST00000357780|ENSEMBL:ENSP00000350425|ENSEMBL:ENSG00000110244	-	uniprotkb:P06727	ENSEMBL:ENST00000357780|ENSEMBL:ENSP00000350425|ENSEMBL:ENSG00000110244	-	physical association	reactome:R-HSA-976889	15146166
uniprotkb:P01160	ENSEMBL:ENSG00000175206|ENSEMBL:ENSP00000365663|ENSEMBL:ENST00000376480	-	uniprotkb:P01160	ENSEMBL:ENSG00000175206|ENSEMBL:ENSP00000365663|ENSEMBL:ENST00000376480	-	physical association	reactome:R-HSA-976987	2142465|2945573
uniprotkb:P51572	ENSEMBL:ENSG00000185825|ENSEMBL:ENSP00000494052|ENSEMBL:ENSP00000392330|ENSEMBL:ENSP00000499882|ENSEMBL:ENSP00000343458|ENSEMBL:ENST00000672675|ENSEMBL:ENST00000458587|ENSEMBL:ENST00000647529|ENSEMBL:ENST00000345046	-	uniprotkb:P51572	ENSEMBL:ENSG00000185825|ENSEMBL:ENSP00000494052|ENSEMBL:ENSP00000392330|ENSEMBL:ENSP00000499882|ENSEMBL:ENSP00000343458|ENSEMBL:ENST00000672675|ENSEMBL:ENST00000458587|ENSEMBL:ENST00000647529|ENSEMBL:ENST00000345046	-	physical association	reactome:R-HSA-983323	19342655|14718384|17056546|11163199
uniprotkb:O95999	ENSEMBL:ENST00000648566|ENSEMBL:ENSP00000498104|ENSEMBL:ENSG00000142867	-	uniprotkb:O95999	ENSEMBL:ENST00000648566|ENSEMBL:ENSP00000498104|ENSEMBL:ENSG00000142867	-	physical association	reactome:R-HSA-2685702	24243840
uniprotkb:P05067	ENSEMBL:ENSG00000142192|ENSEMBL:ENST00000346798|ENSEMBL:ENST00000358918|ENSEMBL:ENST00000348990|ENSEMBL:ENST00000357903|ENSEMBL:ENST00000354192|ENSEMBL:ENST00000440126|ENSEMBL:ENSP00000387483|ENSEMBL:ENSP00000284981|ENSEMBL:ENSP00000346129|ENSEMBL:ENSP00000345463|ENSEMBL:ENSP00000351796|ENSEMBL:ENSP00000350578	-	uniprotkb:P05067	ENSEMBL:ENSG00000142192|ENSEMBL:ENST00000346798|ENSEMBL:ENST00000358918|ENSEMBL:ENST00000348990|ENSEMBL:ENST00000357903|ENSEMBL:ENST00000354192|ENSEMBL:ENST00000440126|ENSEMBL:ENSP00000387483|ENSEMBL:ENSP00000284981|ENSEMBL:ENSP00000346129|ENSEMBL:ENSP00000345463|ENSEMBL:ENSP00000351796|ENSEMBL:ENSP00000350578	-	physical association	reactome:R-HSA-976748	24243840
uniprotkb:P05067	ENSEMBL:ENSG00000142192|ENSEMBL:ENST00000346798|ENSEMBL:ENST00000358918|ENSEMBL:ENST00000348990|ENSEMBL:ENST00000357903|ENSEMBL:ENST00000354192|ENSEMBL:ENST00000440126|ENSEMBL:ENSP00000387483|ENSEMBL:ENSP00000284981|ENSEMBL:ENSP00000346129|ENSEMBL:ENSP00000345463|ENSEMBL:ENSP00000351796|ENSEMBL:ENSP00000350578	-	uniprotkb:P05067	ENSEMBL:ENSG00000142192|ENSEMBL:ENST00000346798|ENSEMBL:ENST00000358918|ENSEMBL:ENST00000348990|ENSEMBL:ENST00000357903|ENSEMBL:ENST00000354192|ENSEMBL:ENST00000440126|ENSEMBL:ENSP00000387483|ENSEMBL:ENSP00000284981|ENSEMBL:ENSP00000346129|ENSEMBL:ENSP00000345463|ENSEMBL:ENSP00000351796|ENSEMBL:ENSP00000350578	-	physical association	reactome:R-HSA-976748	24243840
uniprotkb:P05067	ENSEMBL:ENSG00000142192|ENSEMBL:ENST00000346798|ENSEMBL:ENST00000358918|ENSEMBL:ENST00000348990|ENSEMBL:ENST00000357903|ENSEMBL:ENST00000354192|ENSEMBL:ENST00000440126|ENSEMBL:ENSP00000387483|ENSEMBL:ENSP00000284981|ENSEMBL:ENSP00000346129|ENSEMBL:ENSP00000345463|ENSEMBL:ENSP00000351796|ENSEMBL:ENSP00000350578	-	uniprotkb:P05067	ENSEMBL:ENSG00000142192|ENSEMBL:ENST00000346798|ENSEMBL:ENST00000358918|ENSEMBL:ENST00000348990|ENSEMBL:ENST00000357903|ENSEMBL:ENST00000354192|ENSEMBL:ENST00000440126|ENSEMBL:ENSP00000387483|ENSEMBL:ENSP00000284981|ENSEMBL:ENSP00000346129|ENSEMBL:ENSP00000345463|ENSEMBL:ENSP00000351796|ENSEMBL:ENSP00000350578	-	physical association	reactome:R-HSA-976748	24243840
uniprotkb:P61769	ENSEMBL:ENSG00000166710|ENSEMBL:ENST00000559916|ENSEMBL:ENST00000648006|ENSEMBL:ENST00000631728|ENSEMBL:ENST00000561424|ENSEMBL:ENST00000631573|ENSEMBL:ENST00000617605|ENSEMBL:ENSP00000497910|ENSEMBL:ENSP00000453350|ENSEMBL:ENSP00000453191|ENSEMBL:ENSP00000488548|ENSEMBL:ENSP00000488321|ENSEMBL:ENSP00000481426|ENSEMBL:ENSG00000273686	-	uniprotkb:P61769	ENSEMBL:ENSG00000166710|ENSEMBL:ENST00000559916|ENSEMBL:ENST00000648006|ENSEMBL:ENST00000631728|ENSEMBL:ENST00000561424|ENSEMBL:ENST00000631573|ENSEMBL:ENST00000617605|ENSEMBL:ENSP00000497910|ENSEMBL:ENSP00000453350|ENSEMBL:ENSP00000453191|ENSEMBL:ENSP00000488548|ENSEMBL:ENSP00000488321|ENSEMBL:ENSP00000481426|ENSEMBL:ENSG00000273686	-	physical association	reactome:R-HSA-976945	11943769|16213801
