chr|end|id|rna_type|source|source_url|start
chr1|10273|URS000035F234|piRNA|RNAcentral|https://rnacentral.org/downloads|10245
chr1|29331|URS0002033896|lncRNA|RNAcentral|https://rnacentral.org/downloads|14397
chr1|119856|URS0001A132AA|lncRNA|RNAcentral|https://rnacentral.org/downloads|14405
chr1|19100|URS00019A6210|lncRNA|RNAcentral|https://rnacentral.org/downloads|14405
chr1|19100|URS0001C016E6|lncRNA|RNAcentral|https://rnacentral.org/downloads|14405
chr1|29370|URS00009BAB0C|lncRNA|RNAcentral|https://rnacentral.org/downloads|14407
chr1|199841|URS0001E75698|lncRNA|RNAcentral|https://rnacentral.org/downloads|14456
chr1|14657|URS00003B2E18|piRNA|RNAcentral|https://rnacentral.org/downloads|14630
chr1|16668|URS00008C39CF|lncRNA|RNAcentral|https://rnacentral.org/downloads|14778
chr1|29370|URS00008C21B6|lncRNA|RNAcentral|https://rnacentral.org/downloads|15603
