label|source|source_id|source_type|source_url|target_id|target_type
associated_with|EPD|chr1_959246_959305_grch38|promoter|https://epd.expasy.org/ftp/epdnew/H_sapiens/|ensg00000188976|gene
associated_with|EPD|chr1_960584_960643_grch38|promoter|https://epd.expasy.org/ftp/epdnew/H_sapiens/|ensg00000187961|gene
associated_with|EPD|chr1_966433_966492_grch38|promoter|https://epd.expasy.org/ftp/epdnew/H_sapiens/|ensg00000187583|gene
associated_with|EPD|chr1_976671_976730_grch38|promoter|https://epd.expasy.org/ftp/epdnew/H_sapiens/|ensg00000187642|gene
associated_with|EPD|chr1_1000087_1000146_grch38|promoter|https://epd.expasy.org/ftp/epdnew/H_sapiens/|ensg00000188290|gene
associated_with|EPD|chr1_1000462_1000521_grch38|promoter|https://epd.expasy.org/ftp/epdnew/H_sapiens/|ensg00000187608|gene
associated_with|EPD|chr1_1013448_1013507_grch38|promoter|https://epd.expasy.org/ftp/epdnew/H_sapiens/|ensg00000187608|gene
associated_with|EPD|chr1_1020071_1020130_grch38|promoter|https://epd.expasy.org/ftp/epdnew/H_sapiens/|ensg00000188157|gene
associated_with|EPD|chr1_1173849_1173908_grch38|promoter|https://epd.expasy.org/ftp/epdnew/H_sapiens/|ensg00000162571|gene
associated_with|EPD|chr1_1179639_1179698_grch38|promoter|https://epd.expasy.org/ftp/epdnew/H_sapiens/|ensg00000162571|gene
associated_with|EPD|chr1_1205580_1205639_grch38|promoter|https://epd.expasy.org/ftp/epdnew/H_sapiens/|ensg00000186891|gene
associated_with|EPD|chr1_1206571_1206630_grch38|promoter|https://epd.expasy.org/ftp/epdnew/H_sapiens/|ensg00000186891|gene
associated_with|EPD|chr1_1206699_1206758_grch38|promoter|https://epd.expasy.org/ftp/epdnew/H_sapiens/|ensg00000186891|gene
associated_with|EPD|chr1_1214143_1214202_grch38|promoter|https://epd.expasy.org/ftp/epdnew/H_sapiens/|ensg00000186827|gene
associated_with|EPD|chr1_1231991_1232050_grch38|promoter|https://epd.expasy.org/ftp/epdnew/H_sapiens/|ensg00000078808|gene
associated_with|EPD|chr1_1240908_1240967_grch38|promoter|https://epd.expasy.org/ftp/epdnew/H_sapiens/|ensg00000078808|gene
associated_with|EPD|chr1_1273823_1273882_grch38|promoter|https://epd.expasy.org/ftp/epdnew/H_sapiens/|ensg00000160087|gene
associated_with|EPD|chr1_1305929_1305988_grch38|promoter|https://epd.expasy.org/ftp/epdnew/H_sapiens/|ensg00000131584|gene
associated_with|EPD|chr1_1307920_1307979_grch38|promoter|https://epd.expasy.org/ftp/epdnew/H_sapiens/|ensg00000131584|gene
associated_with|EPD|chr1_1308139_1308198_grch38|promoter|https://epd.expasy.org/ftp/epdnew/H_sapiens/|ensg00000169972|gene
associated_with|EPD|chr1_1308548_1308607_grch38|promoter|https://epd.expasy.org/ftp/epdnew/H_sapiens/|ensg00000169972|gene
associated_with|EPD|chr1_1309820_1309879_grch38|promoter|https://epd.expasy.org/ftp/epdnew/H_sapiens/|ensg00000131584|gene
associated_with|EPD|chr1_1312714_1312773_grch38|promoter|https://epd.expasy.org/ftp/epdnew/H_sapiens/|ensg00000127054|gene
associated_with|EPD|chr1_1324650_1324709_grch38|promoter|https://epd.expasy.org/ftp/epdnew/H_sapiens/|ensg00000127054|gene
associated_with|EPD|chr1_1349119_1349178_grch38|promoter|https://epd.expasy.org/ftp/epdnew/H_sapiens/|ensg00000107404|gene
associated_with|EPD|chr1_1358533_1358592_grch38|promoter|https://epd.expasy.org/ftp/epdnew/H_sapiens/|ensg00000162576|gene
associated_with|EPD|chr1_1375172_1375231_grch38|promoter|https://epd.expasy.org/ftp/epdnew/H_sapiens/|ensg00000175756|gene
associated_with|EPD|chr1_1375489_1375548_grch38|promoter|https://epd.expasy.org/ftp/epdnew/H_sapiens/|ensg00000175756|gene
associated_with|EPD|chr1_1399304_1399363_grch38|promoter|https://epd.expasy.org/ftp/epdnew/H_sapiens/|ensg00000221978|gene
associated_with|EPD|chr1_1407283_1407342_grch38|promoter|https://epd.expasy.org/ftp/epdnew/H_sapiens/|ensg00000242485|gene
associated_with|EPD|chr1_1421335_1421394_grch38|promoter|https://epd.expasy.org/ftp/epdnew/H_sapiens/|ensg00000235098|gene
associated_with|EPD|chr1_1435641_1435700_grch38|promoter|https://epd.expasy.org/ftp/epdnew/H_sapiens/|ensg00000179403|gene
associated_with|EPD|chr1_1462420_1462479_grch38|promoter|https://epd.expasy.org/ftp/epdnew/H_sapiens/|ensg00000215915|gene
associated_with|EPD|chr1_1471732_1471791_grch38|promoter|https://epd.expasy.org/ftp/epdnew/H_sapiens/|ensg00000160072|gene
associated_with|EPD|chr1_1512113_1512172_grch38|promoter|https://epd.expasy.org/ftp/epdnew/H_sapiens/|ensg00000197785|gene
associated_with|EPD|chr1_1574594_1574653_grch38|promoter|https://epd.expasy.org/ftp/epdnew/H_sapiens/|ensg00000160075|gene
associated_with|EPD|chr1_1574853_1574912_grch38|promoter|https://epd.expasy.org/ftp/epdnew/H_sapiens/|ensg00000160075|gene
associated_with|EPD|chr1_1615467_1615526_grch38|promoter|https://epd.expasy.org/ftp/epdnew/H_sapiens/|ensg00000197530|gene
associated_with|EPD|chr1_1632139_1632198_grch38|promoter|https://epd.expasy.org/ftp/epdnew/H_sapiens/|ensg00000189409|gene
