id|chr|end|exon_id|exon_number|gene_id|label|source|source_url|start|transcript_id
ense00001901152|chr20|9839076|ENSE00001901152|1|ENSG00000101349|exon|GENCODE|https://www.gencodegenes.org/human/|9838762|ENST00000353224
ense00001218547|chr20|9711435|ENSE00001218547|2|ENSG00000101349|exon|GENCODE|https://www.gencodegenes.org/human/|9711286|ENST00000353224
ense00001477549|chr20|9644339|ENSE00001477549|3|ENSG00000101349|exon|GENCODE|https://www.gencodegenes.org/human/|9644125|ENST00000353224
ense00000659009|chr20|9580930|ENSE00000659009|4|ENSG00000101349|exon|GENCODE|https://www.gencodegenes.org/human/|9580145|ENST00000353224
ense00000659008|chr20|9566384|ENSE00000659008|5|ENSG00000101349|exon|GENCODE|https://www.gencodegenes.org/human/|9565893|ENST00000353224
ense00001598137|chr20|9563024|ENSE00001598137|6|ENSG00000101349|exon|GENCODE|https://www.gencodegenes.org/human/|9562891|ENST00000353224
ense00000859083|chr20|9557734|ENSE00000859083|7|ENSG00000101349|exon|GENCODE|https://www.gencodegenes.org/human/|9557608|ENST00000353224
ense00001477490|chr20|9838831|ENSE00001477490|1|ENSG00000101349|exon|GENCODE|https://www.gencodegenes.org/human/|9838762|ENST00000378423
ense00001477489|chr20|9784506|ENSE00001477489|2|ENSG00000101349|exon|GENCODE|https://www.gencodegenes.org/human/|9784358|ENST00000378423
ense00001218547|chr20|9711435|ENSE00001218547|3|ENSG00000101349|exon|GENCODE|https://www.gencodegenes.org/human/|9711286|ENST00000378423
ense00001477549|chr20|9644339|ENSE00001477549|4|ENSG00000101349|exon|GENCODE|https://www.gencodegenes.org/human/|9644125|ENST00000378423
ense00000659009|chr20|9580930|ENSE00000659009|5|ENSG00000101349|exon|GENCODE|https://www.gencodegenes.org/human/|9580145|ENST00000378423
ense00000659008|chr20|9566384|ENSE00000659008|6|ENSG00000101349|exon|GENCODE|https://www.gencodegenes.org/human/|9565893|ENST00000378423
ense00001598137|chr20|9563024|ENSE00001598137|7|ENSG00000101349|exon|GENCODE|https://www.gencodegenes.org/human/|9562891|ENST00000378423
ense00000859083|chr20|9557734|ENSE00000859083|8|ENSG00000101349|exon|GENCODE|https://www.gencodegenes.org/human/|9557608|ENST00000378423
ense00001899879|chr20|9839041|ENSE00001899879|1|ENSG00000101349|exon|GENCODE|https://www.gencodegenes.org/human/|9838762|ENST00000378429
ense00001403884|chr20|9818785|ENSE00001403884|2|ENSG00000101349|exon|GENCODE|https://www.gencodegenes.org/human/|9818680|ENST00000378429
ense00001218547|chr20|9711435|ENSE00001218547|3|ENSG00000101349|exon|GENCODE|https://www.gencodegenes.org/human/|9711286|ENST00000378429
ense00001477549|chr20|9644339|ENSE00001477549|4|ENSG00000101349|exon|GENCODE|https://www.gencodegenes.org/human/|9644125|ENST00000378429
ense00000659009|chr20|9580930|ENSE00000659009|5|ENSG00000101349|exon|GENCODE|https://www.gencodegenes.org/human/|9580145|ENST00000378429
ense00000659008|chr20|9566384|ENSE00000659008|6|ENSG00000101349|exon|GENCODE|https://www.gencodegenes.org/human/|9565893|ENST00000378429
ense00001598137|chr20|9563024|ENSE00001598137|7|ENSG00000101349|exon|GENCODE|https://www.gencodegenes.org/human/|9562891|ENST00000378429
ense00000859083|chr20|9557734|ENSE00000859083|8|ENSG00000101349|exon|GENCODE|https://www.gencodegenes.org/human/|9557608|ENST00000378429
ense00003875467|chr20|9563101|ENSE00003875467|1|ENSG00000286740|exon|GENCODE|https://www.gencodegenes.org/human/|9562941|ENST00000657954
ense00003883630|chr20|9571257|ENSE00003883630|2|ENSG00000286740|exon|GENCODE|https://www.gencodegenes.org/human/|9570879|ENST00000657954
ense00001673273|chr20|9575742|ENSE00001673273|1|ENSG00000232738|exon|GENCODE|https://www.gencodegenes.org/human/|9575608|ENST00000428769
ense00001682897|chr20|9577689|ENSE00001682897|2|ENSG00000232738|exon|GENCODE|https://www.gencodegenes.org/human/|9577360|ENST00000428769
ense00003863098|chr20|9835634|ENSE00003863098|1|ENSG00000286470|exon|GENCODE|https://www.gencodegenes.org/human/|9835556|ENST00000656748
ense00003868250|chr20|9836041|ENSE00003868250|2|ENSG00000286470|exon|GENCODE|https://www.gencodegenes.org/human/|9835945|ENST00000656748
