label|source|source_id|source_type|source_url|target_id|target_type
associated_with|EPD|CHR1_959246_959305_GRCH38|promoter|https://epd.expasy.org/ftp/epdnew/H_sapiens/|ENSG00000188976|gene
associated_with|EPD|CHR1_960584_960643_GRCH38|promoter|https://epd.expasy.org/ftp/epdnew/H_sapiens/|ENSG00000187961|gene
associated_with|EPD|CHR1_966433_966492_GRCH38|promoter|https://epd.expasy.org/ftp/epdnew/H_sapiens/|ENSG00000187583|gene
associated_with|EPD|CHR1_976671_976730_GRCH38|promoter|https://epd.expasy.org/ftp/epdnew/H_sapiens/|ENSG00000187642|gene
associated_with|EPD|CHR1_1000087_1000146_GRCH38|promoter|https://epd.expasy.org/ftp/epdnew/H_sapiens/|ENSG00000188290|gene
associated_with|EPD|CHR1_1000462_1000521_GRCH38|promoter|https://epd.expasy.org/ftp/epdnew/H_sapiens/|ENSG00000187608|gene
associated_with|EPD|CHR1_1013448_1013507_GRCH38|promoter|https://epd.expasy.org/ftp/epdnew/H_sapiens/|ENSG00000187608|gene
associated_with|EPD|CHR1_1020071_1020130_GRCH38|promoter|https://epd.expasy.org/ftp/epdnew/H_sapiens/|ENSG00000188157|gene
associated_with|EPD|CHR1_1173849_1173908_GRCH38|promoter|https://epd.expasy.org/ftp/epdnew/H_sapiens/|ENSG00000162571|gene
associated_with|EPD|CHR1_1179639_1179698_GRCH38|promoter|https://epd.expasy.org/ftp/epdnew/H_sapiens/|ENSG00000162571|gene
associated_with|EPD|CHR1_1205580_1205639_GRCH38|promoter|https://epd.expasy.org/ftp/epdnew/H_sapiens/|ENSG00000186891|gene
associated_with|EPD|CHR1_1206571_1206630_GRCH38|promoter|https://epd.expasy.org/ftp/epdnew/H_sapiens/|ENSG00000186891|gene
associated_with|EPD|CHR1_1206699_1206758_GRCH38|promoter|https://epd.expasy.org/ftp/epdnew/H_sapiens/|ENSG00000186891|gene
associated_with|EPD|CHR1_1214143_1214202_GRCH38|promoter|https://epd.expasy.org/ftp/epdnew/H_sapiens/|ENSG00000186827|gene
associated_with|EPD|CHR1_1231991_1232050_GRCH38|promoter|https://epd.expasy.org/ftp/epdnew/H_sapiens/|ENSG00000078808|gene
associated_with|EPD|CHR1_1240908_1240967_GRCH38|promoter|https://epd.expasy.org/ftp/epdnew/H_sapiens/|ENSG00000078808|gene
associated_with|EPD|CHR1_1273823_1273882_GRCH38|promoter|https://epd.expasy.org/ftp/epdnew/H_sapiens/|ENSG00000160087|gene
associated_with|EPD|CHR1_1305929_1305988_GRCH38|promoter|https://epd.expasy.org/ftp/epdnew/H_sapiens/|ENSG00000131584|gene
associated_with|EPD|CHR1_1307920_1307979_GRCH38|promoter|https://epd.expasy.org/ftp/epdnew/H_sapiens/|ENSG00000131584|gene
associated_with|EPD|CHR1_1308139_1308198_GRCH38|promoter|https://epd.expasy.org/ftp/epdnew/H_sapiens/|ENSG00000169972|gene
associated_with|EPD|CHR1_1308548_1308607_GRCH38|promoter|https://epd.expasy.org/ftp/epdnew/H_sapiens/|ENSG00000169972|gene
associated_with|EPD|CHR1_1309820_1309879_GRCH38|promoter|https://epd.expasy.org/ftp/epdnew/H_sapiens/|ENSG00000131584|gene
associated_with|EPD|CHR1_1312714_1312773_GRCH38|promoter|https://epd.expasy.org/ftp/epdnew/H_sapiens/|ENSG00000127054|gene
associated_with|EPD|CHR1_1324650_1324709_GRCH38|promoter|https://epd.expasy.org/ftp/epdnew/H_sapiens/|ENSG00000127054|gene
associated_with|EPD|CHR1_1349119_1349178_GRCH38|promoter|https://epd.expasy.org/ftp/epdnew/H_sapiens/|ENSG00000107404|gene
associated_with|EPD|CHR1_1358533_1358592_GRCH38|promoter|https://epd.expasy.org/ftp/epdnew/H_sapiens/|ENSG00000162576|gene
associated_with|EPD|CHR1_1375172_1375231_GRCH38|promoter|https://epd.expasy.org/ftp/epdnew/H_sapiens/|ENSG00000175756|gene
associated_with|EPD|CHR1_1375489_1375548_GRCH38|promoter|https://epd.expasy.org/ftp/epdnew/H_sapiens/|ENSG00000175756|gene
associated_with|EPD|CHR1_1399304_1399363_GRCH38|promoter|https://epd.expasy.org/ftp/epdnew/H_sapiens/|ENSG00000221978|gene
associated_with|EPD|CHR1_1407283_1407342_GRCH38|promoter|https://epd.expasy.org/ftp/epdnew/H_sapiens/|ENSG00000242485|gene
associated_with|EPD|CHR1_1421335_1421394_GRCH38|promoter|https://epd.expasy.org/ftp/epdnew/H_sapiens/|ENSG00000235098|gene
associated_with|EPD|CHR1_1435641_1435700_GRCH38|promoter|https://epd.expasy.org/ftp/epdnew/H_sapiens/|ENSG00000179403|gene
associated_with|EPD|CHR1_1462420_1462479_GRCH38|promoter|https://epd.expasy.org/ftp/epdnew/H_sapiens/|ENSG00000215915|gene
associated_with|EPD|CHR1_1471732_1471791_GRCH38|promoter|https://epd.expasy.org/ftp/epdnew/H_sapiens/|ENSG00000160072|gene
associated_with|EPD|CHR1_1512113_1512172_GRCH38|promoter|https://epd.expasy.org/ftp/epdnew/H_sapiens/|ENSG00000197785|gene
associated_with|EPD|CHR1_1574594_1574653_GRCH38|promoter|https://epd.expasy.org/ftp/epdnew/H_sapiens/|ENSG00000160075|gene
