accession|chr|end|id|source|source_url|start
EH38E2776519|chr1|79546|SO_000165:chr1_79305_79546|ENCODE cCRE|https://screen.wenglab.org/downloads|79305
EH38E2776525|chr1|191059|SO_000165:chr1_190810_191059|ENCODE cCRE|https://screen.wenglab.org/downloads|190810
EH38E2776526|chr1|191645|SO_000165:chr1_191295_191645|ENCODE cCRE|https://screen.wenglab.org/downloads|191295
EH38E2776527|chr1|191936|SO_000165:chr1_191760_191936|ENCODE cCRE|https://screen.wenglab.org/downloads|191760
EH38E2776529|chr1|271469|SO_000165:chr1_271227_271469|ENCODE cCRE|https://screen.wenglab.org/downloads|271227
EH38E2776530|chr1|274482|SO_000165:chr1_274330_274482|ENCODE cCRE|https://screen.wenglab.org/downloads|274330
EH38E2776531|chr1|280779|SO_000165:chr1_280517_280779|ENCODE cCRE|https://screen.wenglab.org/downloads|280517
EH38E2776534|chr1|605669|SO_000165:chr1_605331_605669|ENCODE cCRE|https://screen.wenglab.org/downloads|605331
EH38E2776536|chr1|727351|SO_000165:chr1_727122_727351|ENCODE cCRE|https://screen.wenglab.org/downloads|727122
EH38E2776537|chr1|734007|SO_000165:chr1_733772_734007|ENCODE cCRE|https://screen.wenglab.org/downloads|733772
EH38E1310163|chr1|795156|SO_000165:chr1_794886_795156|ENCODE cCRE|https://screen.wenglab.org/downloads|794886
EH38E1310164|chr1|807917|SO_000165:chr1_807737_807917|ENCODE cCRE|https://screen.wenglab.org/downloads|807737
EH38E1310164|chr1|807917|SO_000165:chr1_807737_807917|ENCODE cCRE|https://screen.wenglab.org/downloads|807737
EH38E2776545|chr1|814928|SO_000165:chr1_814727_814928|ENCODE cCRE|https://screen.wenglab.org/downloads|814727
EH38E2776545|chr1|814928|SO_000165:chr1_814727_814928|ENCODE cCRE|https://screen.wenglab.org/downloads|814727
EH38E1310170|chr1|820228|SO_000165:chr1_819894_820228|ENCODE cCRE|https://screen.wenglab.org/downloads|819894
EH38E1310170|chr1|820228|SO_000165:chr1_819894_820228|ENCODE cCRE|https://screen.wenglab.org/downloads|819894
EH38E2776550|chr1|821269|SO_000165:chr1_821040_821269|ENCODE cCRE|https://screen.wenglab.org/downloads|821040
EH38E2776550|chr1|821269|SO_000165:chr1_821040_821269|ENCODE cCRE|https://screen.wenglab.org/downloads|821040
EH38E2776551|chr1|821732|SO_000165:chr1_821469_821732|ENCODE cCRE|https://screen.wenglab.org/downloads|821469
EH38E2776551|chr1|821732|SO_000165:chr1_821469_821732|ENCODE cCRE|https://screen.wenglab.org/downloads|821469
EH38E2776556|chr1|830376|SO_000165:chr1_830133_830376|ENCODE cCRE|https://screen.wenglab.org/downloads|830133
EH38E2776556|chr1|830376|SO_000165:chr1_830133_830376|ENCODE cCRE|https://screen.wenglab.org/downloads|830133
EH38E2776557|chr1|830596|SO_000165:chr1_830438_830596|ENCODE cCRE|https://screen.wenglab.org/downloads|830438
EH38E2776557|chr1|830596|SO_000165:chr1_830438_830596|ENCODE cCRE|https://screen.wenglab.org/downloads|830438
EH38E2776558|chr1|831016|SO_000165:chr1_830842_831016|ENCODE cCRE|https://screen.wenglab.org/downloads|830842
EH38E2776558|chr1|831016|SO_000165:chr1_830842_831016|ENCODE cCRE|https://screen.wenglab.org/downloads|830842
EH38E1310175|chr1|831532|SO_000165:chr1_831333_831532|ENCODE cCRE|https://screen.wenglab.org/downloads|831333
EH38E1310175|chr1|831532|SO_000165:chr1_831333_831532|ENCODE cCRE|https://screen.wenglab.org/downloads|831333
EH38E3951320|chr1|831979|SO_000165:chr1_831629_831979|ENCODE cCRE|https://screen.wenglab.org/downloads|831629
EH38E3951320|chr1|831979|SO_000165:chr1_831629_831979|ENCODE cCRE|https://screen.wenglab.org/downloads|831629
EH38E2776559|chr1|832498|SO_000165:chr1_832182_832498|ENCODE cCRE|https://screen.wenglab.org/downloads|832182
EH38E2776559|chr1|832498|SO_000165:chr1_832182_832498|ENCODE cCRE|https://screen.wenglab.org/downloads|832182
EH38E2776560|chr1|833042|SO_000165:chr1_832887_833042|ENCODE cCRE|https://screen.wenglab.org/downloads|832887
EH38E2776560|chr1|833042|SO_000165:chr1_832887_833042|ENCODE cCRE|https://screen.wenglab.org/downloads|832887
EH38E2776561|chr1|833521|SO_000165:chr1_833359_833521|ENCODE cCRE|https://screen.wenglab.org/downloads|833359
EH38E2776561|chr1|833521|SO_000165:chr1_833359_833521|ENCODE cCRE|https://screen.wenglab.org/downloads|833359
EH38E2776562|chr1|834580|SO_000165:chr1_834398_834580|ENCODE cCRE|https://screen.wenglab.org/downloads|834398
EH38E2776562|chr1|834580|SO_000165:chr1_834398_834580|ENCODE cCRE|https://screen.wenglab.org/downloads|834398
EH38E2776563|chr1|835832|SO_000165:chr1_835541_835832|ENCODE cCRE|https://screen.wenglab.org/downloads|835541
EH38E2776563|chr1|835832|SO_000165:chr1_835541_835832|ENCODE cCRE|https://screen.wenglab.org/downloads|835541
EH38E2776564|chr1|837967|SO_000165:chr1_837632_837967|ENCODE cCRE|https://screen.wenglab.org/downloads|837632
EH38E2776564|chr1|837967|SO_000165:chr1_837632_837967|ENCODE cCRE|https://screen.wenglab.org/downloads|837632
EH38E2776565|chr1|838679|SO_000165:chr1_838332_838679|ENCODE cCRE|https://screen.wenglab.org/downloads|838332
EH38E2776565|chr1|838679|SO_000165:chr1_838332_838679|ENCODE cCRE|https://screen.wenglab.org/downloads|838332
EH38E3951321|chr1|840857|SO_000165:chr1_840695_840857|ENCODE cCRE|https://screen.wenglab.org/downloads|840695
EH38E3951321|chr1|840857|SO_000165:chr1_840695_840857|ENCODE cCRE|https://screen.wenglab.org/downloads|840695
EH38E2776567|chr1|842012|SO_000165:chr1_841712_842012|ENCODE cCRE|https://screen.wenglab.org/downloads|841712
EH38E2776567|chr1|842012|SO_000165:chr1_841712_842012|ENCODE cCRE|https://screen.wenglab.org/downloads|841712
EH38E2776568|chr1|842388|SO_000165:chr1_842236_842388|ENCODE cCRE|https://screen.wenglab.org/downloads|842236
EH38E2776568|chr1|842388|SO_000165:chr1_842236_842388|ENCODE cCRE|https://screen.wenglab.org/downloads|842236
EH38E2776569|chr1|843117|SO_000165:chr1_842778_843117|ENCODE cCRE|https://screen.wenglab.org/downloads|842778
EH38E2776569|chr1|843117|SO_000165:chr1_842778_843117|ENCODE cCRE|https://screen.wenglab.org/downloads|842778
EH38E3951322|chr1|843572|SO_000165:chr1_843383_843572|ENCODE cCRE|https://screen.wenglab.org/downloads|843383
EH38E3951322|chr1|843572|SO_000165:chr1_843383_843572|ENCODE cCRE|https://screen.wenglab.org/downloads|843383
EH38E2776570|chr1|844283|SO_000165:chr1_843994_844283|ENCODE cCRE|https://screen.wenglab.org/downloads|843994
EH38E2776570|chr1|844283|SO_000165:chr1_843994_844283|ENCODE cCRE|https://screen.wenglab.org/downloads|843994
EH38E1310185|chr1|844837|SO_000165:chr1_844492_844837|ENCODE cCRE|https://screen.wenglab.org/downloads|844492
EH38E1310185|chr1|844837|SO_000165:chr1_844492_844837|ENCODE cCRE|https://screen.wenglab.org/downloads|844492
EH38E2776571|chr1|845976|SO_000165:chr1_845638_845976|ENCODE cCRE|https://screen.wenglab.org/downloads|845638
EH38E2776571|chr1|845976|SO_000165:chr1_845638_845976|ENCODE cCRE|https://screen.wenglab.org/downloads|845638
EH38E2776572|chr1|847929|SO_000165:chr1_847674_847929|ENCODE cCRE|https://screen.wenglab.org/downloads|847674
EH38E2776572|chr1|847929|SO_000165:chr1_847674_847929|ENCODE cCRE|https://screen.wenglab.org/downloads|847674
EH38E2776573|chr1|850624|SO_000165:chr1_850421_850624|ENCODE cCRE|https://screen.wenglab.org/downloads|850421
EH38E2776573|chr1|850624|SO_000165:chr1_850421_850624|ENCODE cCRE|https://screen.wenglab.org/downloads|850421
EH38E2776574|chr1|851775|SO_000165:chr1_851454_851775|ENCODE cCRE|https://screen.wenglab.org/downloads|851454
EH38E2776574|chr1|851775|SO_000165:chr1_851454_851775|ENCODE cCRE|https://screen.wenglab.org/downloads|851454
EH38E2776575|chr1|852089|SO_000165:chr1_851886_852089|ENCODE cCRE|https://screen.wenglab.org/downloads|851886
EH38E2776575|chr1|852089|SO_000165:chr1_851886_852089|ENCODE cCRE|https://screen.wenglab.org/downloads|851886
EH38E3951323|chr1|855485|SO_000165:chr1_855335_855485|ENCODE cCRE|https://screen.wenglab.org/downloads|855335
EH38E3951323|chr1|855485|SO_000165:chr1_855335_855485|ENCODE cCRE|https://screen.wenglab.org/downloads|855335
