chr|end|id|source|source_url|start
chr1|876520|SO_chr1_875311_876520_GRCh38|Enancer Atlas|http://enhanceratlas.org/downloadv2.php|875311
chr1|877510|SO_chr1_876691_877510_GRCh38|Enancer Atlas|http://enhanceratlas.org/downloadv2.php|876691
chr1|902080|SO_chr1_902001_902080_GRCh38|Enancer Atlas|http://enhanceratlas.org/downloadv2.php|902001
chr1|902820|SO_chr1_902181_902820_GRCh38|Enancer Atlas|http://enhanceratlas.org/downloadv2.php|902181
chr1|949360|SO_chr1_948961_949360_GRCh38|Enancer Atlas|http://enhanceratlas.org/downloadv2.php|948961
chr1|957230|SO_chr1_956301_957230_GRCh38|Enancer Atlas|http://enhanceratlas.org/downloadv2.php|956301
chr1|1283990|SO_chr1_1283041_1283990_GRCh38|Enancer Atlas|http://enhanceratlas.org/downloadv2.php|1283041
chr1|1310080|SO_chr1_1309831_1310080_GRCh38|Enancer Atlas|http://enhanceratlas.org/downloadv2.php|1309831
chr1|1310370|SO_chr1_1310171_1310370_GRCh38|Enancer Atlas|http://enhanceratlas.org/downloadv2.php|1310171
chr1|1342510|SO_chr1_1342401_1342510_GRCh38|Enancer Atlas|http://enhanceratlas.org/downloadv2.php|1342401
chr1|1623880|SO_chr1_1622861_1623880_GRCh38|Enancer Atlas|http://enhanceratlas.org/downloadv2.php|1622861
chr1|1677160|SO_chr1_1676781_1677160_GRCh38|Enancer Atlas|http://enhanceratlas.org/downloadv2.php|1676781
chr1|2066700|SO_chr1_2064241_2066700_GRCh38|Enancer Atlas|http://enhanceratlas.org/downloadv2.php|2064241
chr1|2068520|SO_chr1_2066791_2068520_GRCh38|Enancer Atlas|http://enhanceratlas.org/downloadv2.php|2066791
chr1|2120980|SO_chr1_2120661_2120980_GRCh38|Enancer Atlas|http://enhanceratlas.org/downloadv2.php|2120661
chr1|2121800|SO_chr1_2121221_2121800_GRCh38|Enancer Atlas|http://enhanceratlas.org/downloadv2.php|2121221
chr1|2167010|SO_chr1_2165301_2167010_GRCh38|Enancer Atlas|http://enhanceratlas.org/downloadv2.php|2165301
chr1|2223590|SO_chr1_2221061_2223590_GRCh38|Enancer Atlas|http://enhanceratlas.org/downloadv2.php|2221061
chr1|2343820|SO_chr1_2343381_2343820_GRCh38|Enancer Atlas|http://enhanceratlas.org/downloadv2.php|2343381
chr1|3358740|SO_chr1_3357431_3358740_GRCh38|Enancer Atlas|http://enhanceratlas.org/downloadv2.php|3357431
chr1|5978240|SO_chr1_5976431_5978240_GRCh38|Enancer Atlas|http://enhanceratlas.org/downloadv2.php|5976431
chr1|6077030|SO_chr1_6076211_6077030_GRCh38|Enancer Atlas|http://enhanceratlas.org/downloadv2.php|6076211
chr1|6097980|SO_chr1_6097221_6097980_GRCh38|Enancer Atlas|http://enhanceratlas.org/downloadv2.php|6097221
chr1|6218670|SO_chr1_6217141_6218670_GRCh38|Enancer Atlas|http://enhanceratlas.org/downloadv2.php|6217141
chr1|6259620|SO_chr1_6258941_6259620_GRCh38|Enancer Atlas|http://enhanceratlas.org/downloadv2.php|6258941
chr1|6402700|SO_chr1_6401891_6402700_GRCh38|Enancer Atlas|http://enhanceratlas.org/downloadv2.php|6401891
chr1|6418880|SO_chr1_6418081_6418880_GRCh38|Enancer Atlas|http://enhanceratlas.org/downloadv2.php|6418081
chr1|6445550|SO_chr1_6445101_6445550_GRCh38|Enancer Atlas|http://enhanceratlas.org/downloadv2.php|6445101
chr1|6507980|SO_chr1_6506001_6507980_GRCh38|Enancer Atlas|http://enhanceratlas.org/downloadv2.php|6506001
chr1|6930000|SO_chr1_6928501_6930000_GRCh38|Enancer Atlas|http://enhanceratlas.org/downloadv2.php|6928501
chr1|6931420|SO_chr1_6930071_6931420_GRCh38|Enancer Atlas|http://enhanceratlas.org/downloadv2.php|6930071
chr1|6942040|SO_chr1_6941141_6942040_GRCh38|Enancer Atlas|http://enhanceratlas.org/downloadv2.php|6941141
chr1|7021100|SO_chr1_7020281_7021100_GRCh38|Enancer Atlas|http://enhanceratlas.org/downloadv2.php|7020281
chr1|7325340|SO_chr1_7324791_7325340_GRCh38|Enancer Atlas|http://enhanceratlas.org/downloadv2.php|7324791
chr1|7327190|SO_chr1_7325721_7327190_GRCh38|Enancer Atlas|http://enhanceratlas.org/downloadv2.php|7325721
chr1|7359910|SO_chr1_7359321_7359910_GRCh38|Enancer Atlas|http://enhanceratlas.org/downloadv2.php|7359321
chr1|7373720|SO_chr1_7372151_7373720_GRCh38|Enancer Atlas|http://enhanceratlas.org/downloadv2.php|7372151
chr1|7462570|SO_chr1_7461821_7462570_GRCh38|Enancer Atlas|http://enhanceratlas.org/downloadv2.php|7461821
chr1|7530430|SO_chr1_7528861_7530430_GRCh38|Enancer Atlas|http://enhanceratlas.org/downloadv2.php|7528861
chr1|7533550|SO_chr1_7530491_7533550_GRCh38|Enancer Atlas|http://enhanceratlas.org/downloadv2.php|7530491
chr1|7611020|SO_chr1_7608911_7611020_GRCh38|Enancer Atlas|http://enhanceratlas.org/downloadv2.php|7608911
chr1|8022240|SO_chr1_8021851_8022240_GRCh38|Enancer Atlas|http://enhanceratlas.org/downloadv2.php|8021851
chr1|8065460|SO_chr1_8064751_8065460_GRCh38|Enancer Atlas|http://enhanceratlas.org/downloadv2.php|8064751
chr1|8080290|SO_chr1_8077581_8080290_GRCh38|Enancer Atlas|http://enhanceratlas.org/downloadv2.php|8077581
chr1|8108730|SO_chr1_8107601_8108730_GRCh38|Enancer Atlas|http://enhanceratlas.org/downloadv2.php|8107601
chr1|8139390|SO_chr1_8137191_8139390_GRCh38|Enancer Atlas|http://enhanceratlas.org/downloadv2.php|8137191
chr1|8152720|SO_chr1_8150261_8152720_GRCh38|Enancer Atlas|http://enhanceratlas.org/downloadv2.php|8150261
chr1|8178660|SO_chr1_8176351_8178660_GRCh38|Enancer Atlas|http://enhanceratlas.org/downloadv2.php|8176351
chr1|8183550|SO_chr1_8180381_8183550_GRCh38|Enancer Atlas|http://enhanceratlas.org/downloadv2.php|8180381
