label|source_id|source_type|target_id|target_type
|q9nu02|protein|enst00000378380|transcript
|q9nu02|protein|enst00000378392|transcript
|q9y2f9|protein|enst00000254977|transcript
|q9y2f9|protein|enst00000378226|transcript
|q9y2f9|protein|enst00000399006|transcript
|q9y2f9|protein|enst00000405977|transcript
|q9y2f9|protein|enst00000618296|transcript
|q9y2f9|protein|enst00000618918|transcript
|p55212|protein|enst00000265164|transcript
|p55212|protein|enst00000352981|transcript
|p06307|protein|enst00000334681|transcript
|p06307|protein|enst00000396169|transcript
|p06307|protein|enst00000434608|transcript
|q8n2m8|protein|enst00000391952|transcript
|q8n2m8|protein|enst00000391953|transcript
|q8ni60|protein|enst00000366777|transcript
|q8ni60|protein|enst00000366778|transcript
|p78504|protein|enst00000254958|transcript
|p13473|protein|enst00000200639|transcript
|p13473|protein|enst00000371335|transcript
|p13473|protein|enst00000434600|transcript
|q9npj1|protein|enst00000347364|transcript
|q9npj1|protein|enst00000399054|transcript
|q9npj1|protein|enst00000651692|transcript
|q9p286|protein|enst00000353224|transcript
|q9p286|protein|enst00000378423|transcript
|q9p286|protein|enst00000378429|transcript
|p07237|protein|enst00000331483|transcript
|o75400|protein|enst00000354363|transcript
|o75400|protein|enst00000696381|transcript
|q9y371|protein|enst00000370558|transcript
|q9y371|protein|enst00000482504|transcript
|q9y371|protein|enst00000535010|transcript
|p60880|protein|enst00000254976|transcript
|p60880|protein|enst00000304886|transcript
|p60880|protein|enst00000685131|transcript
|p60880|protein|enst00000687785|transcript
|p60880|protein|enst00000689757|transcript
|p60880|protein|enst00000689858|transcript
|p60880|protein|enst00000690812|transcript
|p60880|protein|enst00000691161|transcript
|p60880|protein|enst00000691353|transcript
|p60880|protein|enst00000691665|transcript
|p60880|protein|enst00000692411|transcript
|p60880|protein|enst00000693325|transcript
