interaction_type|label|reactome_pathway|source|source_id|source_type|source_url|target_id|target_type
physical association|interacts_with|R-HSA-976871|Reactome|Q9Y287|protein|https://reactome.org/|Q9Y287|protein
physical association|interacts_with|R-HSA-1247852|Reactome|P37840|protein|https://reactome.org/|P37840|protein
physical association|interacts_with|R-HSA-976898|Reactome|P0DJI8|protein|https://reactome.org/|P0DJI8|protein
physical association|interacts_with|R-HSA-976889|Reactome|P06727|protein|https://reactome.org/|P06727|protein
physical association|interacts_with|R-HSA-976987|Reactome|P01160|protein|https://reactome.org/|P01160|protein
physical association|interacts_with|R-HSA-983323|Reactome|P51572|protein|https://reactome.org/|P51572|protein
physical association|interacts_with|R-HSA-2685702|Reactome|O95999|protein|https://reactome.org/|O95999|protein
physical association|interacts_with|R-HSA-976748|Reactome|P05067|protein|https://reactome.org/|P05067|protein
physical association|interacts_with|R-HSA-976945|Reactome|P61769|protein|https://reactome.org/|P61769|protein
physical association|interacts_with|R-HSA-8876883|Reactome|Q13085|protein|https://reactome.org/|Q13085|protein
physical association|interacts_with|R-HSA-8867341|Reactome|O00763|protein|https://reactome.org/|O00763|protein
physical association|interacts_with|R-HSA-2855198|Reactome|P31415|protein|https://reactome.org/|P31415|protein
physical association|interacts_with|R-HSA-2855188|Reactome|O14958|protein|https://reactome.org/|O14958|protein
physical association|interacts_with|R-HSA-5340146|Reactome|P47710|protein|https://reactome.org/|P47710|protein
physical association|interacts_with|R-HSA-5340146|Reactome|P07498|protein|https://reactome.org/|P07498|protein
physical association|interacts_with|R-HSA-976978|Reactome|P01258|protein|https://reactome.org/|P01258|protein
physical association|interacts_with|R-HSA-2514799|Reactome|P15502|protein|https://reactome.org/|P15502|protein
physical association|interacts_with|R-HSA-2514812|Reactome|P35555|protein|https://reactome.org/|P35555|protein
physical association|interacts_with|R-HSA-2514779|Reactome|P35556|protein|https://reactome.org/|P35556|protein
physical association|interacts_with|R-HSA-2514789|Reactome|Q75N90|protein|https://reactome.org/|Q75N90|protein
physical association|interacts_with|R-HSA-3787944|Reactome|P02751|protein|https://reactome.org/|P02751|protein
physical association|interacts_with|R-HSA-2428940|Reactome|P02452|protein|https://reactome.org/|P02452|protein
physical association|interacts_with|R-HSA-2428940|Reactome|P08123|protein|https://reactome.org/|P08123|protein
physical association|interacts_with|R-HSA-2428940|Reactome|P08123|protein|https://reactome.org/|P02452|protein
physical association|interacts_with|R-HSA-350274|Reactome|O76075|protein|https://reactome.org/|O76075|protein
physical association|interacts_with|R-HSA-9028356|Reactome|Q15768|protein|https://reactome.org/|Q15768|protein
physical association|interacts_with|R-HSA-9028356|Reactome|Q15768|protein|https://reactome.org/|P98172|protein
physical association|interacts_with|R-HSA-9028356|Reactome|P98172|protein|https://reactome.org/|P98172|protein
physical association|interacts_with|R-HSA-9028356|Reactome|P52799|protein|https://reactome.org/|Q15768|protein
physical association|interacts_with|R-HSA-9028356|Reactome|P52799|protein|https://reactome.org/|P52799|protein
physical association|interacts_with|R-HSA-9028356|Reactome|P52799|protein|https://reactome.org/|P98172|protein
