chr|end|gene_name|gene_type|id|source|source_url|start|synonyms
chr20|9839076|PAK5|protein_coding|ENSG00000101349|GENCODE|https://www.gencodegenes.org/human/|9537370|"[""PAK7"", ""HGNC:15916"", ""protein kinase PAK5"", ""p21CDKN1A-activated kinase 7"", ""serine/threonine-protein kinase PAK 7"", ""PAK-7"", ""PAK5"", ""p21 protein (Cdc42/Rac)-activated kinase 7"", ""p21 (RAC1) activated kinase 5"", ""p21-activated kinase 7"", ""p21(CDKN1A)-activated kinase 7"", ""serine/threonine-protein kinase PAK 5"", ""serine/threonine-protein kinase PAK7"", ""PAK-5"", ""p21 (RAC1) activated kinase 7"", ""p21-activated kinase 5""]"
chr20|9571257|unknown|lncRNA|ENSG00000286740|GENCODE|https://www.gencodegenes.org/human/|9562941|
chr20|9577689|unknown|lncRNA|ENSG00000232738|GENCODE|https://www.gencodegenes.org/human/|9575608|
chr20|9873900|unknown|lncRNA|ENSG00000286470|GENCODE|https://www.gencodegenes.org/human/|9835556|
chr20|10007116|PARAL1|lncRNA|ENSG00000243961|GENCODE|https://www.gencodegenes.org/human/|9986088|
chr20|10058303|ANKEF1|protein_coding|ENSG00000132623|GENCODE|https://www.gencodegenes.org/human/|9986126|"[""ANKEF1"", ""ankyrin repeat and EF-hand domain containing 1"", ""HGNC:15803"", ""ankyrin repeat and EF-hand domain-containing protein 1"", ""ankyrin repeat domain-containing protein 5"", ""ANKRD5""]"
chr20|10368831|SNAP25-AS1|lncRNA|ENSG00000227906|GENCODE|https://www.gencodegenes.org/human/|10006381|"[""SNAP25 antisense RNA 1"", ""SNAP25 antisense RNA 1 (non-protein coding)"", ""SNAP25-AS1"", ""HGNC:44312""]"
chr20|10026168|unknown|misc_RNA|ENSG00000276525|GENCODE|https://www.gencodegenes.org/human/|10025917|
chr20|10308258|SNAP25|protein_coding|ENSG00000132639|GENCODE|https://www.gencodegenes.org/human/|10172395|"[""CMS18"", ""dJ1068F16.2"", ""synaptosome associated protein 25"", ""SUP"", ""synaptosome associated protein 25kDa"", ""HGNC:11132"", ""bA416N4.2"", ""SEC9"", ""synaptosomal-associated protein 25"", ""resistance to inhibitors of cholinesterase 4 homolog"", ""synaptosomal-associated protein, 25kDa"", ""RIC4"", ""SNAP25"", ""SNAP"", ""SNAP-25"", ""RIC-4""]"
chr20|10200824|unknown|lncRNA|ENSG00000230506|GENCODE|https://www.gencodegenes.org/human/|10172522|
chr20|10186740|unknown|lncRNA|ENSG00000232448|GENCODE|https://www.gencodegenes.org/human/|10172701|
chr20|10309905|unknown|lncRNA|ENSG00000289505|GENCODE|https://www.gencodegenes.org/human/|10308422|
chr20|10318753|unknown|lncRNA|ENSG00000286936|GENCODE|https://www.gencodegenes.org/human/|10317889|
chr20|10334698|HIGD1AP15|processed_pseudogene|ENSG00000237005|GENCODE|https://www.gencodegenes.org/human/|10334419|
chr20|10349628|RPL23AP6|processed_pseudogene|ENSG00000214835|GENCODE|https://www.gencodegenes.org/human/|10349157|"[""ribosomal protein L23a pseudogene 6"", ""dJ1068F16.1"", ""RPL23AP6"", ""HGNC:16555"", ""RPL23A_36_1683""]"
chr20|10387806|SDAD1P2|processed_pseudogene|ENSG00000230750|GENCODE|https://www.gencodegenes.org/human/|10385779|
chr20|10434222|MKKS|protein_coding|ENSG00000125863|GENCODE|https://www.gencodegenes.org/human/|10401009|"[""alternative protein MKKS"", ""HMCS"", ""molecular chaperone MKKS"", ""MKKS"", ""McKusick-Kaufman/Bardet-Biedl syndromes putative chaperonin"", ""Bardet-Biedl syndrome 6 protein"", ""MKS"", ""HGNC:7108"", ""KMS"", ""BBS6"", ""MKKS centrosomal shuttling protein""]"
chr20|10431922|MKKS|protein_coding|ENSG00000285508|GENCODE|https://www.gencodegenes.org/human/|10413520|"[""LOC128706666"", ""uncharacterized LOC128706666""]"
chr20|10420737|MKKS|protein_coding|ENSG00000285723|GENCODE|https://www.gencodegenes.org/human/|10420546|"[""LOC128706665"", ""uncharacterized LOC128706665""]"
chr20|10636829|SLX4IP|protein_coding|ENSG00000149346|GENCODE|https://www.gencodegenes.org/human/|10435305|"[""bA204H22.1"", ""HGNC:16225"", ""bA254M13.1"", ""protein SLX4IP"", ""SLX4IP"", ""SLX4 interacting protein"", ""dJ1099D15.3"", ""C20orf94""]"
chr20|10614229|DNAJC9P1|processed_pseudogene|ENSG00000235036|GENCODE|https://www.gencodegenes.org/human/|10612861|
chr20|10673999|JAG1|protein_coding|ENSG00000101384|GENCODE|https://www.gencodegenes.org/human/|10637684|"[""protein jagged-1"", ""CD339"", ""JAGL1"", ""jagged canonical Notch ligand 1"", ""HJ1"", ""HGNC:6188"", ""AWS"", ""JAG1"", ""DCHE"", ""CMT2HH"", ""AGS"", ""AHD"", ""AGS1""]"
chr20|10649695|MIR6870|miRNA|ENSG00000273745|GENCODE|https://www.gencodegenes.org/human/|10649636|"[""microRNA mir-6870"", ""hsa-mir-6870"", ""MIR6870"", ""HGNC:50184"", ""microRNA 6870""]"
chr20|10994924|unknown|lncRNA|ENSG00000270792|GENCODE|https://www.gencodegenes.org/human/|10672695|
chr20|10754033|LINC01752|lncRNA|ENSG00000224961|GENCODE|https://www.gencodegenes.org/human/|10696949|
chr20|10765286|unknown|lncRNA|ENSG00000234900|GENCODE|https://www.gencodegenes.org/human/|10753278|
chr20|10909279|unknown|lncRNA|ENSG00000232900|GENCODE|https://www.gencodegenes.org/human/|10875333|"[""LOC101929413""]"
chr20|10889088|FAT1P1|processed_pseudogene|ENSG00000217809|GENCODE|https://www.gencodegenes.org/human/|10888582|"[""FAT tumor suppressor homolog pseudogene 1"", ""FAT atypical cadherin 1 pseudogene 1"", ""dJ697P8.1"", ""FAT tumor suppressor homolog 1 pseudogene 1"", ""HGNC:16582"", ""FAT1P1""]"
chr20|11029455|LINC02871|lncRNA|ENSG00000125899|GENCODE|https://www.gencodegenes.org/human/|10996293|
chr20|11001763|unknown|lncRNA|ENSG00000270777|GENCODE|https://www.gencodegenes.org/human/|11001304|
chr20|11301525|unknown|lncRNA|ENSG00000230990|GENCODE|https://www.gencodegenes.org/human/|11234170|
chr20|11345855|RPS11P1|processed_pseudogene|ENSG00000235544|GENCODE|https://www.gencodegenes.org/human/|11345383|"[""ribosomal protein S11 pseudogene 1"", ""RPS11_3_1684"", ""dJ1060K6.1"", ""RPS11P1"", ""HGNC:16553""]"
chr20|11541647|unknown|lncRNA|ENSG00000282478|GENCODE|https://www.gencodegenes.org/human/|11536406|
chr20|11581335|unknown|lncRNA|ENSG00000287754|GENCODE|https://www.gencodegenes.org/human/|11566484|
chr20|11609048|LIN28AP3|processed_pseudogene|ENSG00000271397|GENCODE|https://www.gencodegenes.org/human/|11608436|
chr20|11621477|PGAM3P|processed_pseudogene|ENSG00000237256|GENCODE|https://www.gencodegenes.org/human/|11621051|"[""HGNC:16557"", ""dJ1128N12.1"", ""PGAM3P"", ""phosphoglycerate mutase 3, pseudogene""]"
chr20|11687323|unknown|lncRNA|ENSG00000261411|GENCODE|https://www.gencodegenes.org/human/|11685144|
chr20|11878429|LINC00687|lncRNA|ENSG00000228422|GENCODE|https://www.gencodegenes.org/human/|11800463|"[""C20orf61"", ""LINC00687"", ""dJ1012F16.1"", ""long intergenic non-protein coding RNA 687"", ""HGNC:16194""]"
chr20|11819091|RN7SKP111|misc_RNA|ENSG00000222281|GENCODE|https://www.gencodegenes.org/human/|11818821|"[""RNA, 7SK small nuclear pseudogene 111"", ""HGNC:45835"", ""RN7SK pseudogene 111"", ""RN7SKP111""]"
