chr|end|exon_id|exon_number|gene_id|id|source|source_url|start|transcript_id
chr20|9839076|ENSEMBL:ENSE00001901152|1|ENSEMBL:ENSG00000101349|ENSE00001901152|GENCODE|https://www.gencodegenes.org/human/|9838762|ENSEMBL:ENST00000353224
chr20|9711435|ENSEMBL:ENSE00001218547|2|ENSEMBL:ENSG00000101349|ENSE00001218547|GENCODE|https://www.gencodegenes.org/human/|9711286|ENSEMBL:ENST00000353224
chr20|9644339|ENSEMBL:ENSE00001477549|3|ENSEMBL:ENSG00000101349|ENSE00001477549|GENCODE|https://www.gencodegenes.org/human/|9644125|ENSEMBL:ENST00000353224
chr20|9580930|ENSEMBL:ENSE00000659009|4|ENSEMBL:ENSG00000101349|ENSE00000659009|GENCODE|https://www.gencodegenes.org/human/|9580145|ENSEMBL:ENST00000353224
chr20|9566384|ENSEMBL:ENSE00000659008|5|ENSEMBL:ENSG00000101349|ENSE00000659008|GENCODE|https://www.gencodegenes.org/human/|9565893|ENSEMBL:ENST00000353224
chr20|9563024|ENSEMBL:ENSE00001598137|6|ENSEMBL:ENSG00000101349|ENSE00001598137|GENCODE|https://www.gencodegenes.org/human/|9562891|ENSEMBL:ENST00000353224
chr20|9557734|ENSEMBL:ENSE00000859083|7|ENSEMBL:ENSG00000101349|ENSE00000859083|GENCODE|https://www.gencodegenes.org/human/|9557608|ENSEMBL:ENST00000353224
chr20|9838831|ENSEMBL:ENSE00001477490|1|ENSEMBL:ENSG00000101349|ENSE00001477490|GENCODE|https://www.gencodegenes.org/human/|9838762|ENSEMBL:ENST00000378423
chr20|9784506|ENSEMBL:ENSE00001477489|2|ENSEMBL:ENSG00000101349|ENSE00001477489|GENCODE|https://www.gencodegenes.org/human/|9784358|ENSEMBL:ENST00000378423
chr20|9711435|ENSEMBL:ENSE00001218547|3|ENSEMBL:ENSG00000101349|ENSE00001218547|GENCODE|https://www.gencodegenes.org/human/|9711286|ENSEMBL:ENST00000378423
chr20|9644339|ENSEMBL:ENSE00001477549|4|ENSEMBL:ENSG00000101349|ENSE00001477549|GENCODE|https://www.gencodegenes.org/human/|9644125|ENSEMBL:ENST00000378423
chr20|9580930|ENSEMBL:ENSE00000659009|5|ENSEMBL:ENSG00000101349|ENSE00000659009|GENCODE|https://www.gencodegenes.org/human/|9580145|ENSEMBL:ENST00000378423
chr20|9566384|ENSEMBL:ENSE00000659008|6|ENSEMBL:ENSG00000101349|ENSE00000659008|GENCODE|https://www.gencodegenes.org/human/|9565893|ENSEMBL:ENST00000378423
chr20|9563024|ENSEMBL:ENSE00001598137|7|ENSEMBL:ENSG00000101349|ENSE00001598137|GENCODE|https://www.gencodegenes.org/human/|9562891|ENSEMBL:ENST00000378423
chr20|9557734|ENSEMBL:ENSE00000859083|8|ENSEMBL:ENSG00000101349|ENSE00000859083|GENCODE|https://www.gencodegenes.org/human/|9557608|ENSEMBL:ENST00000378423
chr20|9839041|ENSEMBL:ENSE00001899879|1|ENSEMBL:ENSG00000101349|ENSE00001899879|GENCODE|https://www.gencodegenes.org/human/|9838762|ENSEMBL:ENST00000378429
chr20|9818785|ENSEMBL:ENSE00001403884|2|ENSEMBL:ENSG00000101349|ENSE00001403884|GENCODE|https://www.gencodegenes.org/human/|9818680|ENSEMBL:ENST00000378429
chr20|9711435|ENSEMBL:ENSE00001218547|3|ENSEMBL:ENSG00000101349|ENSE00001218547|GENCODE|https://www.gencodegenes.org/human/|9711286|ENSEMBL:ENST00000378429
chr20|9644339|ENSEMBL:ENSE00001477549|4|ENSEMBL:ENSG00000101349|ENSE00001477549|GENCODE|https://www.gencodegenes.org/human/|9644125|ENSEMBL:ENST00000378429
chr20|9580930|ENSEMBL:ENSE00000659009|5|ENSEMBL:ENSG00000101349|ENSE00000659009|GENCODE|https://www.gencodegenes.org/human/|9580145|ENSEMBL:ENST00000378429
