distance|label|source|source_id|source_type|source_url|target_id|target_type
55168|associated_with|ENCODE cCRE|000165:CHR1_10034_10251|enhancer|https://screen.wenglab.org/downloads|ENSG00000186092|gene
54705|associated_with|ENCODE cCRE|000165:CHR1_10386_10714|enhancer|https://screen.wenglab.org/downloads|ENSG00000186092|gene
73499|associated_with|ENCODE cCRE|000165:CHR1_138918_139113|enhancer|https://screen.wenglab.org/downloads|ENSG00000186092|gene
118676|associated_with|ENCODE cCRE|000165:CHR1_184095_184267|enhancer|https://screen.wenglab.org/downloads|ENSG00000186092|gene
98486|associated_with|ENCODE cCRE|000165:CHR1_588016_588168|enhancer|https://screen.wenglab.org/downloads|ENSG00000284662|gene
91184|associated_with|ENCODE cCRE|000165:CHR1_777838_778131|enhancer|https://screen.wenglab.org/downloads|ENSG00000284662|gene
92569|associated_with|ENCODE cCRE|000165:CHR1_779223_779433|enhancer|https://screen.wenglab.org/downloads|ENSG00000284662|gene
93062|associated_with|ENCODE cCRE|000165:CHR1_779716_780048|enhancer|https://screen.wenglab.org/downloads|ENSG00000284662|gene
118128|associated_with|ENCODE cCRE|000165:CHR1_804782_805062|enhancer|https://screen.wenglab.org/downloads|ENSG00000284662|gene
105599|associated_with|ENCODE cCRE|000165:CHR1_817974_818324|enhancer|https://screen.wenglab.org/downloads|ENSG00000187634|gene
105599|associated_with|ENCODE cCRE|000165:CHR1_817974_818324|enhancer|https://screen.wenglab.org/downloads|ENSG00000187634|gene
105349|associated_with|ENCODE cCRE|000165:CHR1_818330_818574|enhancer|https://screen.wenglab.org/downloads|ENSG00000187634|gene
105349|associated_with|ENCODE cCRE|000165:CHR1_818330_818574|enhancer|https://screen.wenglab.org/downloads|ENSG00000187634|gene
105040|associated_with|ENCODE cCRE|000165:CHR1_818714_818883|enhancer|https://screen.wenglab.org/downloads|ENSG00000187634|gene
105040|associated_with|ENCODE cCRE|000165:CHR1_818714_818883|enhancer|https://screen.wenglab.org/downloads|ENSG00000187634|gene
104739|associated_with|ENCODE cCRE|000165:CHR1_818885_819184|enhancer|https://screen.wenglab.org/downloads|ENSG00000187634|gene
104739|associated_with|ENCODE cCRE|000165:CHR1_818885_819184|enhancer|https://screen.wenglab.org/downloads|ENSG00000187634|gene
97854|associated_with|ENCODE cCRE|000165:CHR1_825847_826069|enhancer|https://screen.wenglab.org/downloads|ENSG00000187634|gene
97854|associated_with|ENCODE cCRE|000165:CHR1_825847_826069|enhancer|https://screen.wenglab.org/downloads|ENSG00000187634|gene
94880|associated_with|ENCODE cCRE|000165:CHR1_828889_829043|enhancer|https://screen.wenglab.org/downloads|ENSG00000187634|gene
94880|associated_with|ENCODE cCRE|000165:CHR1_828889_829043|enhancer|https://screen.wenglab.org/downloads|ENSG00000187634|gene
65406|associated_with|ENCODE cCRE|000165:CHR1_858326_858517|enhancer|https://screen.wenglab.org/downloads|ENSG00000187634|gene
65406|associated_with|ENCODE cCRE|000165:CHR1_858326_858517|enhancer|https://screen.wenglab.org/downloads|ENSG00000187634|gene
64894|associated_with|ENCODE cCRE|000165:CHR1_858684_859029|enhancer|https://screen.wenglab.org/downloads|ENSG00000187634|gene
64894|associated_with|ENCODE cCRE|000165:CHR1_858684_859029|enhancer|https://screen.wenglab.org/downloads|ENSG00000187634|gene
62835|associated_with|ENCODE cCRE|000165:CHR1_860879_861088|enhancer|https://screen.wenglab.org/downloads|ENSG00000187634|gene
62835|associated_with|ENCODE cCRE|000165:CHR1_860879_861088|enhancer|https://screen.wenglab.org/downloads|ENSG00000187634|gene
47972|associated_with|ENCODE cCRE|000165:CHR1_875730_875951|enhancer|https://screen.wenglab.org/downloads|ENSG00000187634|gene
47972|associated_with|ENCODE cCRE|000165:CHR1_875730_875951|enhancer|https://screen.wenglab.org/downloads|ENSG00000187634|gene
47159|associated_with|ENCODE cCRE|000165:CHR1_876437_876764|enhancer|https://screen.wenglab.org/downloads|ENSG00000187634|gene
47159|associated_with|ENCODE cCRE|000165:CHR1_876437_876764|enhancer|https://screen.wenglab.org/downloads|ENSG00000187634|gene
46780|associated_with|ENCODE cCRE|000165:CHR1_876865_877143|enhancer|https://screen.wenglab.org/downloads|ENSG00000187634|gene
46780|associated_with|ENCODE cCRE|000165:CHR1_876865_877143|enhancer|https://screen.wenglab.org/downloads|ENSG00000187634|gene
46382|associated_with|ENCODE cCRE|000165:CHR1_877193_877541|enhancer|https://screen.wenglab.org/downloads|ENSG00000187634|gene
46382|associated_with|ENCODE cCRE|000165:CHR1_877193_877541|enhancer|https://screen.wenglab.org/downloads|ENSG00000187634|gene
20309|associated_with|ENCODE cCRE|000165:CHR1_903439_903614|enhancer|https://screen.wenglab.org/downloads|ENSG00000187634|gene
20309|associated_with|ENCODE cCRE|000165:CHR1_903439_903614|enhancer|https://screen.wenglab.org/downloads|ENSG00000187634|gene
19727|associated_with|ENCODE cCRE|000165:CHR1_903847_904196|enhancer|https://screen.wenglab.org/downloads|ENSG00000187634|gene
19727|associated_with|ENCODE cCRE|000165:CHR1_903847_904196|enhancer|https://screen.wenglab.org/downloads|ENSG00000187634|gene
19392|associated_with|ENCODE cCRE|000165:CHR1_904230_904531|enhancer|https://screen.wenglab.org/downloads|ENSG00000187634|gene
19392|associated_with|ENCODE cCRE|000165:CHR1_904230_904531|enhancer|https://screen.wenglab.org/downloads|ENSG00000187634|gene
18709|associated_with|ENCODE cCRE|000165:CHR1_905008_905214|enhancer|https://screen.wenglab.org/downloads|ENSG00000187634|gene
18709|associated_with|ENCODE cCRE|000165:CHR1_905008_905214|enhancer|https://screen.wenglab.org/downloads|ENSG00000187634|gene
18341|associated_with|ENCODE cCRE|000165:CHR1_905239_905582|enhancer|https://screen.wenglab.org/downloads|ENSG00000187634|gene
18341|associated_with|ENCODE cCRE|000165:CHR1_905239_905582|enhancer|https://screen.wenglab.org/downloads|ENSG00000187634|gene
18131|associated_with|ENCODE cCRE|000165:CHR1_905591_905792|enhancer|https://screen.wenglab.org/downloads|ENSG00000187634|gene
18131|associated_with|ENCODE cCRE|000165:CHR1_905591_905792|enhancer|https://screen.wenglab.org/downloads|ENSG00000187634|gene
17707|associated_with|ENCODE cCRE|000165:CHR1_905957_906216|enhancer|https://screen.wenglab.org/downloads|ENSG00000187634|gene
17707|associated_with|ENCODE cCRE|000165:CHR1_905957_906216|enhancer|https://screen.wenglab.org/downloads|ENSG00000187634|gene
17356|associated_with|ENCODE cCRE|000165:CHR1_906366_906567|enhancer|https://screen.wenglab.org/downloads|ENSG00000187634|gene
17356|associated_with|ENCODE cCRE|000165:CHR1_906366_906567|enhancer|https://screen.wenglab.org/downloads|ENSG00000187634|gene
