biological_context|label|score|source|source_id|source_type|source_url|target_id|target_type
CLO_0001601|associated_with||PEREGRINE|SO_chr1_99534632_99534837_GRCh38|enhancer|https://www.peregrineproj.org/|ensg00000099260|gene
CLO_0002177|associated_with||PEREGRINE|SO_chr1_99534632_99534837_GRCh38|enhancer|https://www.peregrineproj.org/|ensg00000099260|gene
CLO_0003434|associated_with||PEREGRINE|SO_chr1_99534632_99534837_GRCh38|enhancer|https://www.peregrineproj.org/|ensg00000099260|gene
CLO_0007366|associated_with||PEREGRINE|SO_chr1_99534632_99534837_GRCh38|enhancer|https://www.peregrineproj.org/|ensg00000099260|gene
CLO_0008089|associated_with||PEREGRINE|SO_chr1_99534632_99534837_GRCh38|enhancer|https://www.peregrineproj.org/|ensg00000099260|gene
CLO_0008381|associated_with||PEREGRINE|SO_chr1_99534632_99534837_GRCh38|enhancer|https://www.peregrineproj.org/|ensg00000099260|gene
CLO_0008877|associated_with||PEREGRINE|SO_chr1_99534632_99534837_GRCh38|enhancer|https://www.peregrineproj.org/|ensg00000099260|gene
CLO_0037076|associated_with||PEREGRINE|SO_chr1_99534632_99534837_GRCh38|enhancer|https://www.peregrineproj.org/|ensg00000099260|gene
CLO_0009047|associated_with||PEREGRINE|SO_chr1_99534632_99534837_GRCh38|enhancer|https://www.peregrineproj.org/|ensg00000099260|gene
CLO_0009054|associated_with||PEREGRINE|SO_chr1_99534632_99534837_GRCh38|enhancer|https://www.peregrineproj.org/|ensg00000099260|gene
CLO_0009058|associated_with||PEREGRINE|SO_chr1_99534632_99534837_GRCh38|enhancer|https://www.peregrineproj.org/|ensg00000099260|gene
CLO_0009251|associated_with||PEREGRINE|SO_chr1_99534632_99534837_GRCh38|enhancer|https://www.peregrineproj.org/|ensg00000099260|gene
CLO_0001654|associated_with||PEREGRINE|SO_chr1_99534632_99534837_GRCh38|enhancer|https://www.peregrineproj.org/|ensg00000099260|gene
CLO_0002785|associated_with||PEREGRINE|SO_chr1_99534632_99534837_GRCh38|enhancer|https://www.peregrineproj.org/|ensg00000099260|gene
CL_0002603|associated_with||PEREGRINE|SO_chr1_99534632_99534837_GRCh38|enhancer|https://www.peregrineproj.org/|ensg00000099260|gene
CL_2000044|associated_with||PEREGRINE|SO_chr1_99534632_99534837_GRCh38|enhancer|https://www.peregrineproj.org/|ensg00000099260|gene
CL_2000043|associated_with||PEREGRINE|SO_chr1_99534632_99534837_GRCh38|enhancer|https://www.peregrineproj.org/|ensg00000099260|gene
CL_2000091|associated_with||PEREGRINE|SO_chr1_99534632_99534837_GRCh38|enhancer|https://www.peregrineproj.org/|ensg00000099260|gene
CL_0002262|associated_with||PEREGRINE|SO_chr1_99534632_99534837_GRCh38|enhancer|https://www.peregrineproj.org/|ensg00000099260|gene
CLO_0004307|associated_with||PEREGRINE|SO_chr1_99534632_99534837_GRCh38|enhancer|https://www.peregrineproj.org/|ensg00000099260|gene
CLO_0003665|associated_with|0.1576516981884|PEREGRINE|SO_chr1_99534632_99534837_GRCh38|enhancer|https://www.peregrineproj.org/|ensg00000099260|gene
CLO_0050119|associated_with|0.0344599217044222|PEREGRINE|SO_chr1_99534632_99534837_GRCh38|enhancer|https://www.peregrineproj.org/|ensg00000099260|gene
CLO_0007606|associated_with|0.17554256461814|PEREGRINE|SO_chr1_99534632_99534837_GRCh38|enhancer|https://www.peregrineproj.org/|ensg00000099260|gene
CLO_0001601|associated_with||PEREGRINE|SO_chr1_99534632_99534837_GRCh38|enhancer|https://www.peregrineproj.org/|ensg00000162688|gene
CLO_0002177|associated_with||PEREGRINE|SO_chr1_99534632_99534837_GRCh38|enhancer|https://www.peregrineproj.org/|ensg00000162688|gene
CLO_0003434|associated_with||PEREGRINE|SO_chr1_99534632_99534837_GRCh38|enhancer|https://www.peregrineproj.org/|ensg00000162688|gene
CLO_0007366|associated_with||PEREGRINE|SO_chr1_99534632_99534837_GRCh38|enhancer|https://www.peregrineproj.org/|ensg00000162688|gene
CLO_0008089|associated_with||PEREGRINE|SO_chr1_99534632_99534837_GRCh38|enhancer|https://www.peregrineproj.org/|ensg00000162688|gene
CLO_0008381|associated_with||PEREGRINE|SO_chr1_99534632_99534837_GRCh38|enhancer|https://www.peregrineproj.org/|ensg00000162688|gene
CLO_0008877|associated_with||PEREGRINE|SO_chr1_99534632_99534837_GRCh38|enhancer|https://www.peregrineproj.org/|ensg00000162688|gene
CLO_0037076|associated_with||PEREGRINE|SO_chr1_99534632_99534837_GRCh38|enhancer|https://www.peregrineproj.org/|ensg00000162688|gene
CLO_0009047|associated_with||PEREGRINE|SO_chr1_99534632_99534837_GRCh38|enhancer|https://www.peregrineproj.org/|ensg00000162688|gene
CLO_0009054|associated_with||PEREGRINE|SO_chr1_99534632_99534837_GRCh38|enhancer|https://www.peregrineproj.org/|ensg00000162688|gene
CLO_0009058|associated_with||PEREGRINE|SO_chr1_99534632_99534837_GRCh38|enhancer|https://www.peregrineproj.org/|ensg00000162688|gene
CLO_0009251|associated_with||PEREGRINE|SO_chr1_99534632_99534837_GRCh38|enhancer|https://www.peregrineproj.org/|ensg00000162688|gene
CLO_0037280|associated_with||PEREGRINE|SO_chr1_99534632_99534837_GRCh38|enhancer|https://www.peregrineproj.org/|ensg00000162688|gene
CLO_0003665|associated_with|0.053969581878424|PEREGRINE|SO_chr1_99534632_99534837_GRCh38|enhancer|https://www.peregrineproj.org/|ensg00000162688|gene
CLO_0050119|associated_with|0.0462475325608546|PEREGRINE|SO_chr1_99534632_99534837_GRCh38|enhancer|https://www.peregrineproj.org/|ensg00000162688|gene
CLO_0007606|associated_with|0.133478871732277|PEREGRINE|SO_chr1_99534632_99534837_GRCh38|enhancer|https://www.peregrineproj.org/|ensg00000162688|gene
UBERON_0001323|associated_with||PEREGRINE|SO_chr1_1069266_1069606_GRCh38|enhancer|https://www.peregrineproj.org/|ensg00000188290|gene
UBERON_0001323|associated_with||PEREGRINE|SO_chr1_1069266_1069606_GRCh38|enhancer|https://www.peregrineproj.org/|ensg00000188290|gene
CLO_0003665|associated_with|0.0960637493837666|PEREGRINE|SO_chr1_1069266_1069606_GRCh38|enhancer|https://www.peregrineproj.org/|ensg00000188290|gene
CLO_0050119|associated_with|0.128095545083874|PEREGRINE|SO_chr1_1069266_1069606_GRCh38|enhancer|https://www.peregrineproj.org/|ensg00000188290|gene
CLO_0007606|associated_with|0.0954751982066437|PEREGRINE|SO_chr1_1069266_1069606_GRCh38|enhancer|https://www.peregrineproj.org/|ensg00000188290|gene
CLO_0007606|associated_with|0.0363987433994597|PEREGRINE|SO_chr1_1069266_1069606_GRCh38|enhancer|https://www.peregrineproj.org/|ensg00000131591|gene
UBERON_0002190|associated_with||PEREGRINE|SO_chr1_1069266_1069606_GRCh38|enhancer|https://www.peregrineproj.org/|ensg00000131591|gene
UBERON_0002190|associated_with||PEREGRINE|SO_chr1_1069266_1069606_GRCh38|enhancer|https://www.peregrineproj.org/|ensg00000131591|gene
UBERON_0002037|associated_with||PEREGRINE|SO_chr1_1069266_1069606_GRCh38|enhancer|https://www.peregrineproj.org/|ensg00000131591|gene
UBERON_0002037|associated_with||PEREGRINE|SO_chr1_1069266_1069606_GRCh38|enhancer|https://www.peregrineproj.org/|ensg00000131591|gene
UBERON_0014454|associated_with||PEREGRINE|SO_chr1_1069266_1069606_GRCh38|enhancer|https://www.peregrineproj.org/|ensg00000131591|gene
UBERON_0014454|associated_with||PEREGRINE|SO_chr1_1069266_1069606_GRCh38|enhancer|https://www.peregrineproj.org/|ensg00000131591|gene
UBERON_0000310|associated_with||PEREGRINE|SO_chr1_1069266_1069606_GRCh38|enhancer|https://www.peregrineproj.org/|ensg00000131591|gene
UBERON_0000310|associated_with||PEREGRINE|SO_chr1_1069266_1069606_GRCh38|enhancer|https://www.peregrineproj.org/|ensg00000131591|gene
UBERON_0001157|associated_with||PEREGRINE|SO_chr1_1069266_1069606_GRCh38|enhancer|https://www.peregrineproj.org/|ensg00000131591|gene
UBERON_0001157|associated_with||PEREGRINE|SO_chr1_1069266_1069606_GRCh38|enhancer|https://www.peregrineproj.org/|ensg00000131591|gene
UBERON_0002469|associated_with||PEREGRINE|SO_chr1_1069266_1069606_GRCh38|enhancer|https://www.peregrineproj.org/|ensg00000131591|gene
UBERON_0002469|associated_with||PEREGRINE|SO_chr1_1069266_1069606_GRCh38|enhancer|https://www.peregrineproj.org/|ensg00000131591|gene
UBERON_0004648|associated_with||PEREGRINE|SO_chr1_1069266_1069606_GRCh38|enhancer|https://www.peregrineproj.org/|ensg00000131591|gene
UBERON_0004648|associated_with||PEREGRINE|SO_chr1_1069266_1069606_GRCh38|enhancer|https://www.peregrineproj.org/|ensg00000131591|gene
