id|chr|end|label|source|source_url|start
chr1_875311_876520_grch38|chr1|876520|enhancer|Enancer Atlas|http://enhanceratlas.org/downloadv2.php|875311
chr1_876691_877510_grch38|chr1|877510|enhancer|Enancer Atlas|http://enhanceratlas.org/downloadv2.php|876691
chr1_902001_902080_grch38|chr1|902080|enhancer|Enancer Atlas|http://enhanceratlas.org/downloadv2.php|902001
chr1_902181_902820_grch38|chr1|902820|enhancer|Enancer Atlas|http://enhanceratlas.org/downloadv2.php|902181
chr1_948961_949360_grch38|chr1|949360|enhancer|Enancer Atlas|http://enhanceratlas.org/downloadv2.php|948961
chr1_956301_957230_grch38|chr1|957230|enhancer|Enancer Atlas|http://enhanceratlas.org/downloadv2.php|956301
chr1_1283041_1283990_grch38|chr1|1283990|enhancer|Enancer Atlas|http://enhanceratlas.org/downloadv2.php|1283041
chr1_1309831_1310080_grch38|chr1|1310080|enhancer|Enancer Atlas|http://enhanceratlas.org/downloadv2.php|1309831
chr1_1310171_1310370_grch38|chr1|1310370|enhancer|Enancer Atlas|http://enhanceratlas.org/downloadv2.php|1310171
chr1_1342401_1342510_grch38|chr1|1342510|enhancer|Enancer Atlas|http://enhanceratlas.org/downloadv2.php|1342401
chr1_1622861_1623880_grch38|chr1|1623880|enhancer|Enancer Atlas|http://enhanceratlas.org/downloadv2.php|1622861
chr1_1676781_1677160_grch38|chr1|1677160|enhancer|Enancer Atlas|http://enhanceratlas.org/downloadv2.php|1676781
chr1_2064241_2066700_grch38|chr1|2066700|enhancer|Enancer Atlas|http://enhanceratlas.org/downloadv2.php|2064241
chr1_2066791_2068520_grch38|chr1|2068520|enhancer|Enancer Atlas|http://enhanceratlas.org/downloadv2.php|2066791
chr1_2120661_2120980_grch38|chr1|2120980|enhancer|Enancer Atlas|http://enhanceratlas.org/downloadv2.php|2120661
chr1_2121221_2121800_grch38|chr1|2121800|enhancer|Enancer Atlas|http://enhanceratlas.org/downloadv2.php|2121221
chr1_2165301_2167010_grch38|chr1|2167010|enhancer|Enancer Atlas|http://enhanceratlas.org/downloadv2.php|2165301
chr1_2221061_2223590_grch38|chr1|2223590|enhancer|Enancer Atlas|http://enhanceratlas.org/downloadv2.php|2221061
chr1_2343381_2343820_grch38|chr1|2343820|enhancer|Enancer Atlas|http://enhanceratlas.org/downloadv2.php|2343381
chr1_3357431_3358740_grch38|chr1|3358740|enhancer|Enancer Atlas|http://enhanceratlas.org/downloadv2.php|3357431
chr1_5976431_5978240_grch38|chr1|5978240|enhancer|Enancer Atlas|http://enhanceratlas.org/downloadv2.php|5976431
chr1_6076211_6077030_grch38|chr1|6077030|enhancer|Enancer Atlas|http://enhanceratlas.org/downloadv2.php|6076211
chr1_6097221_6097980_grch38|chr1|6097980|enhancer|Enancer Atlas|http://enhanceratlas.org/downloadv2.php|6097221
chr1_6217141_6218670_grch38|chr1|6218670|enhancer|Enancer Atlas|http://enhanceratlas.org/downloadv2.php|6217141
chr1_6258941_6259620_grch38|chr1|6259620|enhancer|Enancer Atlas|http://enhanceratlas.org/downloadv2.php|6258941
chr1_6401891_6402700_grch38|chr1|6402700|enhancer|Enancer Atlas|http://enhanceratlas.org/downloadv2.php|6401891
chr1_6418081_6418880_grch38|chr1|6418880|enhancer|Enancer Atlas|http://enhanceratlas.org/downloadv2.php|6418081
chr1_6445101_6445550_grch38|chr1|6445550|enhancer|Enancer Atlas|http://enhanceratlas.org/downloadv2.php|6445101
chr1_6506001_6507980_grch38|chr1|6507980|enhancer|Enancer Atlas|http://enhanceratlas.org/downloadv2.php|6506001
chr1_6928501_6930000_grch38|chr1|6930000|enhancer|Enancer Atlas|http://enhanceratlas.org/downloadv2.php|6928501
chr1_6930071_6931420_grch38|chr1|6931420|enhancer|Enancer Atlas|http://enhanceratlas.org/downloadv2.php|6930071
chr1_6941141_6942040_grch38|chr1|6942040|enhancer|Enancer Atlas|http://enhanceratlas.org/downloadv2.php|6941141
chr1_7020281_7021100_grch38|chr1|7021100|enhancer|Enancer Atlas|http://enhanceratlas.org/downloadv2.php|7020281
chr1_7324791_7325340_grch38|chr1|7325340|enhancer|Enancer Atlas|http://enhanceratlas.org/downloadv2.php|7324791
chr1_7325721_7327190_grch38|chr1|7327190|enhancer|Enancer Atlas|http://enhanceratlas.org/downloadv2.php|7325721
chr1_7359321_7359910_grch38|chr1|7359910|enhancer|Enancer Atlas|http://enhanceratlas.org/downloadv2.php|7359321
chr1_7372151_7373720_grch38|chr1|7373720|enhancer|Enancer Atlas|http://enhanceratlas.org/downloadv2.php|7372151
chr1_7461821_7462570_grch38|chr1|7462570|enhancer|Enancer Atlas|http://enhanceratlas.org/downloadv2.php|7461821
chr1_7528861_7530430_grch38|chr1|7530430|enhancer|Enancer Atlas|http://enhanceratlas.org/downloadv2.php|7528861
chr1_7530491_7533550_grch38|chr1|7533550|enhancer|Enancer Atlas|http://enhanceratlas.org/downloadv2.php|7530491
