distance|label|source|source_id|source_type|source_url|target_id|target_type
11559|associated_with|ENCODE cCRE|SO_000165:chr1_79305_79546|enhancer|https://screen.wenglab.org/downloads|ensg00000239945|gene
2852|associated_with|ENCODE cCRE|SO_000165:chr1_190810_191059|enhancer|https://screen.wenglab.org/downloads|ensg00000273874|gene
3337|associated_with|ENCODE cCRE|SO_000165:chr1_191295_191645|enhancer|https://screen.wenglab.org/downloads|ensg00000273874|gene
3475|associated_with|ENCODE cCRE|SO_000165:chr1_191760_191936|enhancer|https://screen.wenglab.org/downloads|ensg00000279457|gene
4372|associated_with|ENCODE cCRE|SO_000165:chr1_271227_271469|enhancer|https://screen.wenglab.org/downloads|ensg00000286448|gene
7475|associated_with|ENCODE cCRE|SO_000165:chr1_274330_274482|enhancer|https://screen.wenglab.org/downloads|ensg00000286448|gene
13662|associated_with|ENCODE cCRE|SO_000165:chr1_280517_280779|enhancer|https://screen.wenglab.org/downloads|ensg00000286448|gene
7144|associated_with|ENCODE cCRE|SO_000165:chr1_605331_605669|enhancer|https://screen.wenglab.org/downloads|ensg00000230021|gene
5030|associated_with|ENCODE cCRE|SO_000165:chr1_727122_727351|enhancer|https://screen.wenglab.org/downloads|ensg00000229376|gene
11680|associated_with|ENCODE cCRE|SO_000165:chr1_733772_734007|enhancer|https://screen.wenglab.org/downloads|ensg00000229376|gene
8778|associated_with|ENCODE cCRE|SO_000165:chr1_794886_795156|enhancer|https://screen.wenglab.org/downloads|ensg00000237491|gene
2244|associated_with|ENCODE cCRE|SO_000165:chr1_807737_807917|enhancer|https://screen.wenglab.org/downloads|ensg00000230092|gene
2443|associated_with|ENCODE cCRE|SO_000165:chr1_814727_814928|enhancer|https://screen.wenglab.org/downloads|ensg00000177757|gene
2182|associated_with|ENCODE cCRE|SO_000165:chr1_819894_820228|enhancer|https://screen.wenglab.org/downloads|ensg00000230092|gene
3328|associated_with|ENCODE cCRE|SO_000165:chr1_821040_821269|enhancer|https://screen.wenglab.org/downloads|ensg00000230092|gene
3757|associated_with|ENCODE cCRE|SO_000165:chr1_821469_821732|enhancer|https://screen.wenglab.org/downloads|ensg00000230092|gene
2337|associated_with|ENCODE cCRE|SO_000165:chr1_830133_830376|enhancer|https://screen.wenglab.org/downloads|ensg00000230021|gene
2642|associated_with|ENCODE cCRE|SO_000165:chr1_830438_830596|enhancer|https://screen.wenglab.org/downloads|ensg00000230021|gene
3046|associated_with|ENCODE cCRE|SO_000165:chr1_830842_831016|enhancer|https://screen.wenglab.org/downloads|ensg00000230021|gene
