tad,genelist
9|chr1|8900000|9550000,CA6|Ensembl:ENSG00000131686|HGNC:CA6;SLC2A7|Ensembl:ENSG00000197241|HGNC:SLC2A7;SLC2A5|Ensembl:ENSG00000142583|HGNC:SLC2A5;GPR157|Ensembl:ENSG00000180758|HGNC:GPR157;H6PD|Ensembl:ENSG00000049239|HGNC:H6PD;SPSB1|Ensembl:ENSG00000171621|HGNC:SPSB1;SLC25A33|Ensembl:ENSG00000171612|HGNC:SLC25A33
19|chr1|19250000|19700000,EMC1|Ensembl:ENSG00000127463|HGNC:EMC1;MRTO4|Ensembl:ENSG00000053372|HGNC:MRTO4;AKR7A3|Ensembl:ENSG00000162482|HGNC:AKR7A3;AKR7A2|Ensembl:ENSG00000053371|HGNC:AKR7A2;SLC66A1|Ensembl:ENSG00000040487|HGNC:SLC66A1;CAPZB|Ensembl:ENSG00000077549|HGNC:CAPZB;MICOS10|Ensembl:ENSG00000173436|HGNC:MICOS10;NBL1|Ensembl:ENSG00000158747|HGNC:NBL1;MICOS10-NBL1|Ensembl:ENSG00000270136|HGNC:MICOS10-NBL1;HTR6|Ensembl:ENSG00000158748|HGNC:HTR6;TMCO4|Ensembl:ENSG00000162542|HGNC:TMCO4
27|chr1|23000000|23800000,TEX46|Ensembl:ENSG00000227868|HGNC:TEX46;KDM1A|Ensembl:ENSG00000004487|HGNC:KDM1A;LUZP1|Ensembl:ENSG00000169641|HGNC:LUZP1;HTR1D|Ensembl:ENSG00000179546|HGNC:HTR1D;HNRNPR|Ensembl:ENSG00000125944|HGNC:HNRNPR;ZNF436|Ensembl:ENSG00000125945|HGNC:ZNF436;TCEA3|Ensembl:ENSG00000204219|HGNC:TCEA3;ASAP3|Ensembl:ENSG00000088280|HGNC:ASAP3;E2F2|Ensembl:ENSG00000007968|HGNC:E2F2;ID3|Ensembl:ENSG00000117318|HGNC:ID3;RPL11|Ensembl:ENSG00000142676|HGNC:RPL11;ELOA|Ensembl:ENSG00000011007|HGNC:ELOA;PITHD1|Ensembl:ENSG00000057757|HGNC:PITHD1;LYPLA2|Ensembl:ENSG00000011009|HGNC:LYPLA2;GALE|Ensembl:ENSG00000117308|HGNC:GALE
31|chr1|24650000|24900000,SRRM1|Ensembl:ENSG00000133226|HGNC:SRRM1;CLIC4|Ensembl:ENSG00000169504|HGNC:CLIC4;RUNX3|Ensembl:ENSG00000020633|HGNC:RUNX3
32|chr1|24900000|25250000,RUNX3|Ensembl:ENSG00000020633|HGNC:RUNX3;SYF2|Ensembl:ENSG00000117614|HGNC:SYF2;RSRP1|Ensembl:ENSG00000117616|HGNC:RSRP1
41|chr1|31650000|32200000,COL16A1|Ensembl:ENSG00000084636|HGNC:COL16A1;ADGRB2|Ensembl:ENSG00000121753|HGNC:ADGRB2;SPOCD1|Ensembl:ENSG00000134668|HGNC:SPOCD1;PTP4A2|Ensembl:ENSG00000184007|HGNC:PTP4A2;KHDRBS1|Ensembl:ENSG00000121774|HGNC:KHDRBS1;TMEM39B|Ensembl:ENSG00000121775|HGNC:TMEM39B;KPNA6|Ensembl:ENSG00000025800|HGNC:KPNA6;TXLNA|Ensembl:ENSG00000084652|HGNC:TXLNA
42|chr1|32200000|32450000,CCDC28B|Ensembl:ENSG00000160050|HGNC:CCDC28B;IQCC|Ensembl:ENSG00000160051|HGNC:IQCC;DCDC2B|Ensembl:ENSG00000222046|HGNC:DCDC2B;TMEM234|Ensembl:ENSG00000160055|HGNC:TMEM234;EIF3I|Ensembl:ENSG00000084623|HGNC:EIF3I;FAM167B|Ensembl:ENSG00000183615|HGNC:FAM167B;LCK|Ensembl:ENSG00000182866|HGNC:LCK;HDAC1|Ensembl:ENSG00000116478|HGNC:HDAC1;MARCKSL1|Ensembl:ENSG00000175130|HGNC:MARCKSL1;TSSK3|Ensembl:ENSG00000162526|HGNC:TSSK3;FAM229A|Ensembl:ENSG00000225828|HGNC:FAM229A;BSDC1|Ensembl:ENSG00000160058|HGNC:BSDC1
44|chr1|32900000|33100000,TMEM54|Ensembl:ENSG00000121900|HGNC:TMEM54;RNF19B|Ensembl:ENSG00000116514|HGNC:RNF19B;AK2|Ensembl:ENSG00000004455|HGNC:AK2;AZIN2|Ensembl:ENSG00000142920|HGNC:AZIN2
57|chr1|41000000|42800000,CTPS1|Ensembl:ENSG00000171793|HGNC:CTPS1;SLFNL1|Ensembl:ENSG00000171790|HGNC:SLFNL1;SCMH1|Ensembl:ENSG00000010803|HGNC:SCMH1;FOXO6|Ensembl:ENSG00000204060|HGNC:FOXO6;EDN2|Ensembl:ENSG00000127129|HGNC:EDN2;HIVEP3|Ensembl:ENSG00000127124|HGNC:HIVEP3;GUCA2B|Ensembl:ENSG00000044012|HGNC:GUCA2B;GUCA2A|Ensembl:ENSG00000197273|HGNC:GUCA2A;FOXJ3|Ensembl:ENSG00000198815|HGNC:FOXJ3;RIMKLA|Ensembl:ENSG00000177181|HGNC:RIMKLA;ZMYND12|Ensembl:ENSG00000066185|HGNC:ZMYND12;PPCS|Ensembl:ENSG00000127125|HGNC:PPCS;CCDC30|Ensembl:ENSG00000186409|HGNC:CCDC30;PPIH|Ensembl:ENSG00000171960|HGNC:PPIH;YBX1|Ensembl:ENSG00000065978|HGNC:YBX1;CLDN19|Ensembl:ENSG00000164007|HGNC:CLDN19;P3H1|Ensembl:ENSG00000117385|HGNC:P3H1;C1orf50|Ensembl:ENSG00000164008|HGNC:C1orf50;TMEM269|Ensembl:ENSG00000274386|HGNC:TMEM269
61|chr1|44700000|45550000,ARMH1|Ensembl:ENSG00000198520|HGNC:ARMH1;KIF2C|Ensembl:ENSG00000142945|HGNC:KIF2C;RPS8|Ensembl:ENSG00000142937|HGNC:RPS8;BEST4|Ensembl:ENSG00000142959|HGNC:BEST4;PLK3|Ensembl:ENSG00000173846|HGNC:PLK3;TCTEX1D4|Ensembl:ENSG00000188396|HGNC:TCTEX1D4;BTBD19|Ensembl:ENSG00000222009|HGNC:BTBD19;PTCH2|Ensembl:ENSG00000117425|HGNC:PTCH2;EIF2B3|Ensembl:ENSG00000070785|HGNC:EIF2B3;HECTD3|Ensembl:ENSG00000126107|HGNC:HECTD3;UROD|Ensembl:ENSG00000126088|HGNC:UROD;ZSWIM5|Ensembl:ENSG00000162415|HGNC:ZSWIM5;HPDL|Ensembl:ENSG00000186603|HGNC:HPDL;MUTYH|Ensembl:ENSG00000132781|HGNC:MUTYH;TOE1|Ensembl:ENSG00000132773|HGNC:TOE1;TESK2|Ensembl:ENSG00000070759|HGNC:TESK2;CCDC163|Ensembl:ENSG00000280670|HGNC:CCDC163;MMACHC|Ensembl:ENSG00000132763|HGNC:MMACHC;PRDX1|Ensembl:ENSG00000117450|HGNC:PRDX1
