chr|end|gene_name|id|start|transcript_id|transcript_name|transcript_type
chr20|9839076|PAK5|enst00000353224|9537370|ENST00000353224.10|PAK5-201|protein_coding
chr20|9838831|PAK5|enst00000378423|9537389|ENST00000378423.5|PAK5-202|protein_coding
chr20|9839041|PAK5|enst00000378429|9537389|ENST00000378429.3|PAK5-203|protein_coding
chr20|9571257|unknown|enst00000657954|9562941|ENST00000657954.1|ENST00000657954|lncRNA
chr20|9577689|unknown|enst00000428769|9575608|ENST00000428769.1|ENST00000428769|lncRNA
chr20|9873900|unknown|enst00000656748|9835556|ENST00000656748.1|ENST00000656748|lncRNA
chr20|10007116|PARAL1|enst00000449270|9986088|ENST00000449270.1|PARAL1-201|lncRNA
chr20|10043216|ANKEF1|enst00000437504|9986126|ENST00000437504.1|ANKEF1-203|protein_coding_CDS_not_defined
chr20|10058303|ANKEF1|enst00000378392|10034987|ENST00000378392.6|ANKEF1-202|protein_coding
chr20|10058303|ANKEF1|enst00000378380|10035049|ENST00000378380.4|ANKEF1-201|protein_coding
chr20|10055827|ANKEF1|enst00000488991|10035117|ENST00000488991.1|ANKEF1-204|protein_coding_CDS_not_defined
chr20|10012063|SNAP25-AS1|enst00000655841|10006381|ENST00000655841.1|SNAP25-AS1-210|lncRNA
chr20|10025850|SNAP25-AS1|enst00000658520|10006576|ENST00000658520.1|SNAP25-AS1-213|lncRNA
chr20|10026651|SNAP25-AS1|enst00000603245|10021978|ENST00000603245.2|SNAP25-AS1-206|lncRNA
chr20|10219524|SNAP25-AS1|enst00000661614|10021995|ENST00000661614.1|SNAP25-AS1-216|lncRNA
chr20|10219501|SNAP25-AS1|enst00000663466|10022006|ENST00000663466.1|SNAP25-AS1-218|lncRNA
chr20|10219488|SNAP25-AS1|enst00000670580|10022030|ENST00000670580.1|SNAP25-AS1-222|lncRNA
chr20|10219489|SNAP25-AS1|enst00000664172|10023577|ENST00000664172.1|SNAP25-AS1-219|lncRNA
chr20|10219520|SNAP25-AS1|enst00000658443|10023577|ENST00000658443.1|SNAP25-AS1-212|lncRNA
chr20|10219524|SNAP25-AS1|enst00000666905|10023577|ENST00000666905.1|SNAP25-AS1-220|lncRNA
chr20|10219754|SNAP25-AS1|enst00000603542|10023577|ENST00000603542.6|SNAP25-AS1-207|lncRNA
chr20|10219503|SNAP25-AS1|enst00000662559|10023834|ENST00000662559.1|SNAP25-AS1-217|lncRNA
chr20|10029026|SNAP25-AS1|enst00000661134|10024108|ENST00000661134.1|SNAP25-AS1-215|lncRNA
chr20|10219524|SNAP25-AS1|enst00000655307|10024673|ENST00000655307.1|SNAP25-AS1-209|lncRNA
chr20|10219501|SNAP25-AS1|enst00000660550|10024678|ENST00000660550.1|SNAP25-AS1-214|lncRNA
chr20|10219488|SNAP25-AS1|enst00000667042|10024706|ENST00000667042.1|SNAP25-AS1-221|lncRNA
chr20|10035206|SNAP25-AS1|enst00000671416|10024859|ENST00000671416.1|SNAP25-AS1-223|lncRNA
chr20|10035324|SNAP25-AS1|enst00000438646|10025616|ENST00000438646.1|SNAP25-AS1-203|lncRNA
chr20|10219335|SNAP25-AS1|enst00000656496|10025670|ENST00000656496.1|SNAP25-AS1-211|lncRNA
chr20|10368719|SNAP25-AS1|enst00000421143|10026075|ENST00000421143.6|SNAP25-AS1-201|lncRNA
chr20|10219506|SNAP25-AS1|enst00000426491|10074437|ENST00000426491.5|SNAP25-AS1-202|lncRNA
chr20|10219526|SNAP25-AS1|enst00000605592|10103727|ENST00000605592.2|SNAP25-AS1-208|lncRNA
chr20|10219531|SNAP25-AS1|enst00000451151|10103727|ENST00000451151.6|SNAP25-AS1-204|lncRNA
chr20|10219496|SNAP25-AS1|enst00000671453|10103729|ENST00000671453.1|SNAP25-AS1-224|lncRNA
chr20|10368831|SNAP25-AS1|enst00000692436|10103926|ENST00000692436.2|SNAP25-AS1-225|lncRNA
chr20|10368776|SNAP25-AS1|enst00000453544|10104345|ENST00000453544.5|SNAP25-AS1-205|lncRNA
chr20|10368815|SNAP25-AS1|enst00000701361|10333029|ENST00000701361.1|SNAP25-AS1-226|lncRNA
chr20|10026168|unknown|enst00000614195|10025917|ENST00000614195.1|Metazoa_SRP.120-201|misc_RNA
chr20|10290553|SNAP25|enst00000693732|10172395|ENST00000693732.1|SNAP25-222|protein_coding_CDS_not_defined
chr20|10290601|SNAP25|enst00000689077|10172395|ENST00000689077.1|SNAP25-208|protein_coding_CDS_not_defined
chr20|10290632|SNAP25|enst00000690099|10172395|ENST00000690099.1|SNAP25-213|retained_intron
chr20|10294760|SNAP25|enst00000690766|10172395|ENST00000690766.1|SNAP25-214|retained_intron
chr20|10307418|SNAP25|enst00000254976|10218830|ENST00000254976.7|SNAP25-201|protein_coding
chr20|10308258|SNAP25|enst00000691665|10218830|ENST00000691665.1|SNAP25-218|protein_coding
chr20|10307418|SNAP25|enst00000304886|10218833|ENST00000304886.6|SNAP25-202|protein_coding
chr20|10308258|SNAP25|enst00000693325|10218857|ENST00000693325.1|SNAP25-221|protein_coding
